data_pregao,preco_ultimo
2020-01-02,19.2
2020-01-03,18.93
2020-01-06,19.02
2020-01-07,19.06
2020-01-08,18.97
2020-01-09,18.82
2020-01-10,18.89
2020-01-13,19.21
2020-01-14,19.1
2020-01-15,18.76
2020-01-16,18.7
2020-01-17,18.7
2020-01-20,18.8
2020-01-21,18.74
2020-01-22,19.05
2020-01-23,18.65
2020-01-24,18.99
2020-01-27,18.55
2020-01-28,18.8
2020-01-29,18.3
2020-01-30,18.34
2020-01-31,17.85
2020-02-03,17.59
2020-02-04,17.65
2020-02-05,17.25
2020-02-06,16.87
2020-02-07,16.92
2020-02-10,16.73
2020-02-11,16.8
2020-02-12,16.65
2020-02-13,16.27
2020-02-14,16.41
2020-02-17,16.6
2020-02-18,16.18
2020-02-19,16.13
2020-02-20,16.17
2020-02-21,16.25
2020-02-26,15.82
2020-02-27,14.5
2020-02-28,14.54
2020-03-02,14.72
2020-03-03,14.74
2020-03-04,15.31
2020-03-05,15.23
2020-03-06,15.32
2020-03-09,14.67
2020-03-10,14.42
2020-03-11,13.75
2020-03-12,11.58
2020-03-13,12.7
2020-03-16,11.03
2020-03-17,11.69
2020-03-18,11.19
2020-03-19,11.7
2020-03-20,12.05
2020-03-23,11.51
2020-03-24,11.29
2020-03-25,11.65
2020-03-26,12.8
2020-03-27,12.49
2020-03-30,12.55
2020-03-31,11.92
2020-04-01,11.69
2020-04-02,11.99
2020-04-03,11.39
2020-04-06,11.86
2020-04-07,12.41
2020-04-08,12.31
2020-04-09,12.1
2020-04-13,12.1
2020-04-14,12.09
2020-04-15,11.91
2020-04-16,11.45
2020-04-17,11.6
2020-04-20,11.61
2020-04-22,11.62
2020-04-23,11.55
2020-04-24,11.11
2020-04-27,11.61
2020-04-28,11.7
2020-04-29,11.67
2020-04-30,11.34
2020-05-04,11.76
2020-05-05,11.94
2020-05-06,11.83
2020-05-07,11.54
2020-05-08,12.04
2020-05-11,11.94
2020-05-12,11.72
2020-05-13,11.26
2020-05-14,11.74
2020-05-15,11.64
2020-05-18,12.1
2020-05-19,11.94
2020-05-20,12.14
2020-05-21,11.88
2020-05-22,11.74
2020-05-25,12.27
2020-05-26,12.53
2020-05-27,13.38
2020-05-28,12.82
2020-05-29,12.48
2020-06-01,12.6
2020-06-02,12.97
2020-06-03,13.25
2020-06-04,13.38
2020-06-05,14.05
2020-06-08,14.6
2020-06-09,14.32
2020-06-10,13.96
2020-06-12,13.57
2020-06-15,13.43
2020-06-16,13.26
2020-06-17,13.77
2020-06-18,13.68
2020-06-19,13.84
2020-06-22,14.11
2020-06-23,13.93
2020-06-24,13.68
2020-06-25,14.18
2020-06-26,13.95
2020-06-29,14.26
2020-06-30,14.14
2020-07-01,14.36
2020-07-02,14.17
2020-07-03,14.14
2020-07-06,14.36
2020-07-07,14.45
2020-07-08,14.71
2020-07-09,14.64
2020-07-10,14.85
2020-07-13,14.0
2020-07-14,13.91
2020-07-15,14.29
2020-07-16,14.05
2020-07-17,14.16
2020-07-20,14.12
2020-07-21,14.68
2020-07-22,14.71
2020-07-23,14.4
2020-07-24,14.93
2020-07-27,15.28
2020-07-28,15.09
2020-07-29,15.15
2020-07-30,14.55
