data_pregao,preco_ultimo
2020-01-02,58.8
2020-01-03,56.76
2020-01-06,55.0
2020-01-07,56.82
2020-01-08,56.92
2020-01-09,57.28
2020-01-10,57.5
2020-01-13,58.3
2020-01-14,59.19
2020-01-15,59.3
2020-01-16,59.44
2020-01-17,61.35
2020-01-20,61.77
2020-01-21,60.05
2020-01-22,59.6
2020-01-23,61.2
2020-01-24,59.46
2020-01-27,57.48
2020-01-28,62.41
2020-01-29,59.87
2020-01-30,59.71
2020-01-31,59.26
2020-02-03,60.13
2020-02-04,60.8
2020-02-05,61.27
2020-02-06,59.07
2020-02-07,56.29
2020-02-10,56.82
2020-02-11,58.34
2020-02-12,59.66
2020-02-13,59.0
2020-02-14,59.24
2020-02-17,58.7
2020-02-18,58.02
2020-02-19,58.08
2020-02-20,56.4
2020-02-21,55.65
2020-02-26,48.25
2020-02-27,45.13
2020-02-28,44.44
2020-03-02,45.19
2020-03-03,44.0
2020-03-04,44.75
2020-03-05,38.25
2020-03-06,38.68
2020-03-09,32.1
2020-03-10,36.18
2020-03-11,30.25
2020-03-12,20.3
2020-03-13,24.71
2020-03-16,15.6
2020-03-17,15.23
2020-03-18,10.35
2020-03-19,11.97
2020-03-20,13.8
2020-03-23,14.28
2020-03-24,16.17
2020-03-25,19.17
2020-03-26,20.52
2020-03-27,19.5
2020-03-30,19.09
2020-03-31,17.55
2020-04-01,14.85
2020-04-02,14.61
2020-04-03,14.1
2020-04-06,15.6
2020-04-07,15.6
2020-04-08,16.79
2020-04-09,16.3
2020-04-13,16.15
2020-04-14,16.35
2020-04-15,16.5
2020-04-16,16.0
2020-04-17,16.19
2020-04-20,16.68
2020-04-22,16.31
2020-04-23,16.37
2020-04-24,13.99
2020-04-27,14.11
2020-04-28,16.05
2020-04-29,17.12
2020-04-30,17.4
2020-05-04,15.16
2020-05-05,15.16
2020-05-06,14.77
2020-05-07,13.66
2020-05-08,13.6
2020-05-11,13.15
2020-05-12,12.53
2020-05-13,12.29
2020-05-14,11.6
2020-05-15,11.08
2020-05-18,14.39
2020-05-19,13.65
2020-05-20,15.33
2020-05-21,15.43
2020-05-22,14.8
2020-05-25,15.34
2020-05-26,14.75
2020-05-27,14.87
2020-05-28,14.75
2020-05-29,14.28
2020-06-01,15.35
2020-06-02,16.75
2020-06-03,18.45
2020-06-04,19.08
2020-06-05,21.16
2020-06-08,27.35
2020-06-09,25.78
2020-06-10,23.5
2020-06-12,22.12
2020-06-15,22.15
2020-06-16,22.59
2020-06-17,22.62
2020-06-18,21.93
2020-06-19,21.8
2020-06-22,20.63
2020-06-23,22.5
2020-06-24,21.1
2020-06-25,21.2
2020-06-26,20.0
2020-06-29,20.73
2020-06-30,20.11
2020-07-01,20.67
2020-07-02,20.76
2020-07-03,21.15
2020-07-06,22.05
2020-07-07,21.5
2020-07-08,21.53
2020-07-09,20.9
2020-07-10,21.91
2020-07-13,21.16
2020-07-14,21.75
2020-07-15,22.73
2020-07-16,22.05
2020-07-17,21.8
2020-07-20,21.59
2020-07-21,21.8
2020-07-22,21.68
2020-07-23,20.95
2020-07-24,20.54
2020-07-27,20.71
2020-07-28,21.52
2020-07-29,20.96
2020-07-30,21.02
2020-07-31,20.31
2020-08-03,20.1
2020-08-04,19.82
2020-08-05,20.16
2020-08-06,21.45
2020-08-07,21.01
2020-08-10,21.78
2020-08-11,23.32
2020-08-12,22.88
2020-08-13,22.01
2020-08-14,22.49
2020-08-17,21.25
2020-08-18,21.8
2020-08-19,21.47
2020-08-20,21.57
2020-08-21,21.69
2020-08-24,22.57
2020-08-25,21.95
2020-08-26,21.59
2020-08-27,22.37
2020-08-28,22.88
2020-08-31,22.21
2020-09-01,22.91
2020-09-02,23.14
2020-09-03,23.99
2020-09-04,24.59
2020-09-08,26.26
2020-09-09,26.22
2020-09-10,26.1
2020-09-11,26.58
2020-09-14,28.25
2020-09-15,28.03
2020-09-16,29.09
2020-09-17,28.91
2020-09-18,28.2
2020-09-21,26.0
2020-09-22,26.27
2020-09-23,26.75
2020-09-24,26.85
2020-09-25,26.78
2020-09-28,25.95
2020-09-29,23.95
2020-09-30,24.38
2020-10-01,25.7
2020-10-02,24.27
2020-10-05,24.31
2020-10-06,25.89
2020-10-07,24.97
2020-10-08,25.13
2020-10-09,25.3
2020-10-13,25.19
2020-10-14,25.81
2020-10-15,25.73
2020-10-16,25.5
2020-10-19,26.53
2020-10-20,26.28
2020-10-21,26.12
2020-10-22,26.74
2020-10-23,27.1
2020-10-26,26.14
2020-10-27,25.88
2020-10-28,23.4
2020-10-29,23.39
2020-10-30,22.55
2020-11-03,22.49
2020-11-04,23.38
2020-11-05,25.6
2020-11-06,25.93
2020-11-09,30.71
2020-11-10,30.29
2020-11-11,29.8
2020-11-12,27.9
2020-11-13,29.0
2020-11-16,32.15
2020-11-17,32.85
2020-11-18,34.3
2020-11-19,35.68
2020-11-20,34.63
2020-11-23,35.62
2020-11-24,35.89
2020-11-25,36.0
2020-11-26,37.23
2020-11-27,36.89
2020-11-30,38.02
2020-12-01,38.94
2020-12-02,40.52
2020-12-03,42.28
2020-12-04,42.0
2020-12-07,41.89
2020-12-08,41.39
2020-12-09,40.89
2020-12-10,40.05
2020-12-11,40.72
2020-12-14,39.54
2020-12-15,39.91
2020-12-16,39.68
2020-12-17,38.74
2020-12-18,37.95
2020-12-21,36.5
2020-12-22,35.27
2020-12-23,37.7
2020-12-28,37.77
2020-12-29,37.67
2020-12-30,39.3
2021-01-04,37.73
2021-01-05,38.2
2021-01-06,36.66
2021-01-07,36.05
2021-01-08,36.6
2021-01-11,36.44
2021-01-12,37.72
2021-01-13,35.96
2021-01-14,38.57
2021-01-15,37.42
2021-01-18,38.1
2021-01-19,37.59
2021-01-20,37.91
2021-01-21,38.3
2021-01-22,38.91
2021-01-26,37.87
2021-01-27,39.95
2021-01-28,41.44
2021-01-29,40.34
2021-02-01,41.4
2021-02-02,42.14
2021-02-03,42.51
2021-02-04,43.37
2021-02-05,43.55
2021-02-08,44.59
2021-02-09,44.3
2021-02-10,42.75
2021-02-11,43.04
2021-02-12,42.86
2021-02-17,43.33
2021-02-18,42.3
2021-02-19,43.7
2021-02-22,41.73
2021-02-23,43.1
2021-02-24,44.95
2021-02-25,42.45
2021-02-26,40.6
2021-03-01,40.05
2021-03-02,38.79
2021-03-03,38.56
2021-03-04,38.5
2021-03-05,38.14
2021-03-08,35.46
2021-03-09,35.98
2021-03-10,38.34
2021-03-11,40.45
2021-03-12,41.13
2021-03-15,42.84
2021-03-16,40.19
2021-03-17,41.54
2021-03-18,40.7
2021-03-19,41.99
2021-03-22,39.43
2021-03-23,36.75
2021-03-24,36.53
2021-03-25,37.21
2021-03-26,37.37
2021-03-29,36.48
2021-03-30,39.01
2021-03-31,37.85
2021-04-01,37.99
2021-04-05,39.8
2021-04-06,39.67
2021-04-07,39.45
2021-04-08,39.96
2021-04-09,39.35
2021-04-12,38.35
2021-04-13,38.03
2021-04-14,38.1
2021-04-15,37.82
2021-04-16,37.81
2021-04-19,37.96
2021-04-20,37.44
2021-04-22,38.66
2021-04-23,38.91
2021-04-26,39.41
2021-04-27,39.4
2021-04-28,40.09
2021-04-29,40.19
2021-04-30,38.5
2021-05-03,38.2
2021-05-04,37.45
2021-05-05,38.09
2021-05-06,37.46
2021-05-07,38.81
2021-05-10,39.48
2021-05-11,40.73
2021-05-12,38.41
2021-05-13,38.99
2021-05-14,39.67
2021-05-17,39.44
2021-05-18,39.58
2021-05-19,39.8
2021-05-20,40.21
2021-05-21,40.98
2021-05-24,40.35
2021-05-25,42.01
2021-05-26,46.76
2021-05-27,44.62
2021-05-28,42.86
2021-05-31,43.0
2021-06-01,42.9
2021-06-02,43.85
2021-06-04,44.71
2021-06-07,47.2
2021-06-08,48.55
2021-06-09,47.63
2021-06-10,47.78
2021-06-11,46.82
2021-06-14,47.7
2021-06-15,46.43
2021-06-16,46.32
2021-06-17,45.93
2021-06-18,46.82
2021-06-21,48.29
2021-06-22,47.43
2021-06-23,47.5
2021-06-24,47.0
2021-06-25,45.97
2021-06-28,45.33
2021-06-29,44.53
2021-06-30,43.89
2021-07-01,43.96
2021-07-02,44.72
2021-07-05,44.35
2021-07-06,42.5
2021-07-07,42.67
2021-07-08,41.21
2021-07-12,42.55
2021-07-13,42.49
2021-07-14,42.55
2021-07-15,41.85
2021-07-16,40.5
2021-07-19,39.27
2021-07-20,40.44
2021-07-21,40.74
2021-07-22,40.2
2021-07-23,39.7
2021-07-26,40.78
2021-07-27,39.67
2021-07-28,40.68
2021-07-29,40.13
2021-07-30,38.9
2021-08-02,38.68
2021-08-03,38.65
2021-08-04,37.74
2021-08-05,37.78
2021-08-06,37.97
2021-08-09,37.97
2021-08-10,37.86
2021-08-11,37.7
2021-08-12,37.19
2021-08-13,36.77
2021-08-16,35.34
2021-08-17,33.99
2021-08-18,34.36
2021-08-19,35.19
2021-08-20,36.13
2021-08-23,37.0
2021-08-24,39.7
2021-08-25,39.74
2021-08-26,38.8
2021-08-27,39.17
2021-08-30,37.89
2021-08-31,37.73
2021-09-01,37.78
2021-09-02,37.12
2021-09-03,36.65
2021-09-06,36.31
2021-09-08,34.67
2021-09-09,35.5
2021-09-10,34.92
2021-09-13,35.8
2021-09-14,35.2
2021-09-15,34.84
2021-09-16,35.18
2021-09-17,34.76
