data_pregao,preco_ultimo
2020-01-02,45.11
2020-01-03,43.81
2020-01-06,43.39
2020-01-07,44.79
2020-01-08,44.67
2020-01-09,44.65
2020-01-10,44.3
2020-01-13,44.35
2020-01-14,44.65
2020-01-15,43.45
2020-01-16,43.95
2020-01-17,45.34
2020-01-20,45.5
2020-01-21,44.7
2020-01-22,47.5
2020-01-23,48.7
2020-01-24,48.99
2020-01-27,47.65
2020-01-28,49.08
2020-01-29,48.6
2020-01-30,48.8
2020-01-31,48.2
2020-02-03,50.09
2020-02-04,49.96
2020-02-05,49.35
2020-02-06,48.69
2020-02-07,48.3
2020-02-10,48.63
2020-02-11,48.9
2020-02-12,49.88
2020-02-13,49.58
2020-02-14,50.2
2020-02-17,51.69
2020-02-18,51.13
2020-02-19,53.13
2020-02-20,52.31
2020-02-21,52.05
2020-02-26,47.95
2020-02-27,46.04
2020-02-28,48.0
2020-03-02,50.0
2020-03-03,49.61
2020-03-04,49.79
2020-03-05,47.11
2020-03-06,46.48
2020-03-09,40.9
2020-03-10,46.0
2020-03-11,42.55
2020-03-12,36.89
2020-03-13,40.88
2020-03-16,34.29
2020-03-17,35.54
2020-03-18,32.8
2020-03-19,32.51
2020-03-20,32.44
2020-03-23,30.45
2020-03-24,36.31
2020-03-25,38.79
2020-03-26,38.64
2020-03-27,36.91
2020-03-30,37.0
2020-03-31,35.9
2020-04-01,34.65
2020-04-02,36.8
2020-04-03,35.85
2020-04-06,37.21
2020-04-07,38.5
2020-04-08,39.31
2020-04-09,39.01
2020-04-13,39.34
2020-04-14,39.56
2020-04-15,39.92
2020-04-16,39.31
2020-04-17,39.53
2020-04-20,40.59
2020-04-22,42.01
2020-04-23,41.25
2020-04-24,37.0
2020-04-27,39.23
2020-04-28,39.8
2020-04-29,39.9
2020-04-30,38.42
2020-05-04,38.38
2020-05-05,38.74
2020-05-06,38.44
2020-05-07,36.85
2020-05-08,37.76
2020-05-11,36.8
2020-05-12,35.73
2020-05-13,36.16
2020-05-14,37.82
2020-05-15,39.54
2020-05-18,41.99
2020-05-19,40.72
2020-05-20,40.64
2020-05-21,43.62
2020-05-22,43.88
2020-05-25,46.5
2020-05-26,46.5
2020-05-27,46.59
2020-05-28,45.95
2020-05-29,45.55
2020-06-01,45.53
2020-06-02,46.46
2020-06-03,48.82
2020-06-04,49.58
2020-06-05,49.07
2020-06-08,51.72
2020-06-09,51.07
2020-06-10,50.74
2020-06-12,49.85
2020-06-15,49.51
2020-06-16,49.5
2020-06-17,51.2
2020-06-18,50.36
2020-06-19,51.0
2020-06-22,50.33
2020-06-23,52.28
2020-06-24,52.65
2020-06-25,55.0
2020-06-26,53.45
2020-06-29,54.96
2020-06-30,55.09
2020-07-01,56.03
2020-07-02,56.2
2020-07-03,56.5
2020-07-06,56.52
2020-07-07,57.17
2020-07-08,60.65
2020-07-09,58.89
2020-07-10,59.95
2020-07-13,59.89
2020-07-14,61.14
2020-07-15,61.89
2020-07-16,61.5
2020-07-17,63.89
2020-07-20,67.4
2020-07-21,66.13
2020-07-22,66.7
2020-07-23,65.52
2020-07-24,65.35
2020-07-27,66.23
2020-07-28,65.23
2020-07-29,64.63
2020-07-30,64.61
2020-07-31,63.44
2020-08-03,63.89
2020-08-04,63.22
2020-08-05,63.5
2020-08-06,64.05
2020-08-07,62.55
2020-08-10,62.25
2020-08-11,60.84
2020-08-12,61.5
2020-08-13,60.65
2020-08-14,60.57
2020-08-17,58.1
2020-08-18,61.8
2020-08-19,59.57
2020-08-20,62.34
2020-08-21,60.97
2020-08-24,60.9
2020-08-25,61.85
2020-08-26,60.5
2020-08-27,60.28
2020-08-28,61.02
2020-08-31,58.8
2020-09-01,60.05
2020-09-02,59.97
2020-09-03,57.82
2020-09-04,58.33
2020-09-08,57.04
2020-09-09,58.26
2020-09-10,56.0
2020-09-11,56.02
2020-09-14,58.73
2020-09-15,57.28
2020-09-16,57.02
2020-09-17,56.68
2020-09-18,56.13
2020-09-21,56.1
2020-09-22,57.36
2020-09-23,55.89
2020-09-24,58.97
2020-09-25,57.35
2020-09-28,55.01
2020-09-29,53.65
2020-09-30,55.01
2020-10-01,54.53
2020-10-02,53.26
2020-10-05,55.75
2020-10-06,53.76
2020-10-07,53.71
2020-10-08,54.85
2020-10-09,54.71
2020-10-13,54.8
2020-10-14,56.38
2020-10-15,55.61
2020-10-16,54.34
2020-10-19,56.14
2020-10-20,57.9
2020-10-21,57.37
2020-10-22,56.07
2020-10-23,54.8
2020-10-26,54.98
2020-10-27,52.75
2020-10-28,51.33
2020-10-29,52.98
2020-10-30,51.05
2020-11-03,50.97
2020-11-04,54.1
2020-11-05,56.61
2020-11-06,56.62
2020-11-09,53.85
2020-11-10,54.1
2020-11-11,55.4
2020-11-12,53.78
2020-11-13,53.7
2020-11-16,53.4
2020-11-17,53.55
2020-11-18,54.05
2020-11-19,55.32
2020-11-20,54.55
2020-11-23,54.09
2020-11-24,55.7
2020-11-25,56.61
2020-11-26,57.0
2020-11-27,56.9
2020-11-30,56.13
2020-12-01,56.78
2020-12-02,59.6
2020-12-03,58.89
2020-12-04,58.77
2020-12-07,58.46
2020-12-08,58.12
2020-12-09,56.65
2020-12-10,58.21
2020-12-11,58.84
2020-12-14,58.28
2020-12-15,58.88
2020-12-16,60.55
2020-12-17,60.45
2020-12-18,60.1
2020-12-21,59.0
2020-12-22,60.28
2020-12-23,59.99
2020-12-28,61.5
2020-12-29,61.82
2020-12-30,61.98
2021-01-04,60.98
2021-01-05,61.1
2021-01-06,59.77
2021-01-07,61.78
2021-01-08,62.69
2021-01-11,60.11
2021-01-12,61.85
2021-01-13,62.1
2021-01-14,61.66
2021-01-15,59.82
2021-01-18,60.8
2021-01-19,60.59
2021-01-20,60.0
2021-01-21,58.1
2021-01-22,58.55
2021-01-26,59.3
2021-01-27,58.98
2021-01-28,61.29
2021-01-29,59.8
2021-02-01,61.25
2021-02-02,62.69
2021-02-03,62.96
2021-02-04,62.44
2021-02-05,63.45
2021-02-08,62.51
2021-02-09,62.22
2021-02-10,60.05
2021-02-11,60.32
2021-02-12,59.86
2021-02-17,59.01
2021-02-18,58.02
2021-02-19,58.05
2021-02-22,55.74
2021-02-23,55.34
2021-02-24,55.62
2021-02-25,54.83
2021-02-26,54.3
2021-03-01,54.35
2021-03-02,56.01
2021-03-03,56.59
2021-03-04,55.49
2021-03-05,56.49
2021-03-08,52.76
2021-03-09,53.5
2021-03-10,55.31
2021-03-11,56.7
2021-03-12,55.34
2021-03-15,53.8
2021-03-16,52.45
2021-03-17,52.95
2021-03-18,53.73
2021-03-19,55.64
2021-03-22,55.02
2021-03-23,54.17
2021-03-24,53.79
2021-03-25,53.78
2021-03-26,54.01
2021-03-29,53.6
2021-03-30,53.5
2021-03-31,54.62
2021-04-01,53.61
2021-04-05,54.32
2021-04-06,55.07
2021-04-07,54.95
2021-04-08,55.85
2021-04-09,55.22
2021-04-12,55.77
2021-04-13,55.3
2021-04-14,55.03
2021-04-15,54.56
2021-04-16,55.4
2021-04-19,54.36
2021-04-20,53.72
2021-04-22,53.35
2021-04-23,53.72
2021-04-26,53.01
2021-04-27,52.95
2021-04-28,53.6
2021-04-29,52.55
2021-04-30,51.5
2021-05-03,51.49
2021-05-04,50.67
2021-05-05,51.5
2021-05-06,50.8
2021-05-07,53.34
2021-05-10,53.3
2021-05-11,52.85
2021-05-12,51.5
2021-05-13,51.75
2021-05-14,53.55
2021-05-17,17.58
2021-05-18,17.3
2021-05-19,17.22
2021-05-20,17.25
2021-05-21,17.35
2021-05-24,17.45
2021-05-25,17.0
2021-05-26,17.1
2021-05-27,16.98
2021-05-28,17.48
2021-05-31,17.54
2021-06-01,17.7
2021-06-02,17.01
2021-06-04,17.24
2021-06-07,17.29
2021-06-08,16.33
2021-06-09,16.4
2021-06-10,16.0
2021-06-11,16.13
2021-06-14,16.32
2021-06-15,16.67
2021-06-16,16.91
2021-06-17,17.17
2021-06-18,17.38
2021-06-21,17.07
2021-06-22,16.99
2021-06-23,17.02
2021-06-24,16.99
2021-06-25,16.69
2021-06-28,16.99
2021-06-29,17.04
2021-06-30,16.82
2021-07-01,16.32
2021-07-02,16.42
2021-07-05,16.11
2021-07-06,15.92
2021-07-07,16.27
2021-07-08,16.15
2021-07-12,16.71
2021-07-13,16.95
2021-07-14,17.12
2021-07-15,17.0
2021-07-16,16.59
2021-07-19,16.41
2021-07-20,16.42
2021-07-21,16.35
2021-07-22,16.5
2021-07-23,16.35
2021-07-26,16.41
2021-07-27,16.1
2021-07-28,15.84
2021-07-29,15.81
2021-07-30,15.25
2021-08-02,15.62
2021-08-03,16.01
2021-08-04,15.94
2021-08-05,15.71
2021-08-06,15.9
2021-08-09,15.77
2021-08-10,15.51
2021-08-11,15.05
2021-08-12,13.89
2021-08-13,14.64
2021-08-16,13.98
2021-08-17,13.82
2021-08-18,13.54
2021-08-19,14.18
2021-08-20,14.2
2021-08-23,13.65
2021-08-24,13.9
2021-08-25,13.99
2021-08-26,13.66
2021-08-27,13.94
2021-08-30,13.7
2021-08-31,14.07
2021-09-01,14.43
2021-09-02,14.07
2021-09-03,14.05
2021-09-06,14.32
2021-09-08,13.12
2021-09-09,13.63
2021-09-10,13.81
2021-09-13,14.2
2021-09-14,14.13
2021-09-15,14.05
2021-09-16,14.12
2021-09-17,14.18
