data_pregao,preco_ultimo
2020-01-02,53.8
2020-01-03,53.71
2020-01-06,53.0
2020-01-07,52.6
2020-01-08,52.12
2020-01-09,51.06
2020-01-10,49.86
2020-01-13,50.42
2020-01-14,50.15
2020-01-15,49.23
2020-01-16,49.45
2020-01-17,50.12
2020-01-20,49.8
2020-01-21,48.36
2020-01-22,48.74
2020-01-23,51.48
2020-01-24,50.8
2020-01-27,50.3
2020-01-28,50.71
2020-01-29,49.46
2020-01-30,49.8
2020-01-31,48.54
2020-02-03,48.78
2020-02-04,48.25
2020-02-05,50.4
2020-02-06,49.55
2020-02-07,49.6
2020-02-10,49.11
2020-02-11,51.32
2020-02-12,51.62
2020-02-13,50.82
2020-02-14,49.85
2020-02-17,49.1
2020-02-18,49.57
2020-02-19,49.69
2020-02-20,49.18
2020-02-21,49.22
2020-02-26,45.23
2020-02-27,45.79
2020-02-28,46.86
2020-03-02,47.15
2020-03-03,45.77
2020-03-04,45.82
2020-03-05,43.11
2020-03-06,42.3
2020-03-09,37.63
2020-03-10,39.61
2020-03-11,36.19
2020-03-12,31.25
2020-03-13,36.49
2020-03-16,30.4
2020-03-17,31.87
2020-03-18,26.61
2020-03-19,25.57
2020-03-20,24.6
2020-03-23,22.13
2020-03-24,25.92
2020-03-25,29.03
2020-03-26,30.49
2020-03-27,28.24
2020-03-30,28.99
2020-03-31,27.89
2020-04-01,26.71
2020-04-02,27.02
2020-04-03,25.5
2020-04-06,27.86
2020-04-07,29.17
2020-04-08,29.73
2020-04-09,29.65
2020-04-13,30.24
2020-04-14,30.21
2020-04-15,29.65
2020-04-16,28.8
2020-04-17,29.58
2020-04-20,28.99
2020-04-22,28.86
2020-04-23,28.05
2020-04-24,24.3
2020-04-27,25.69
2020-04-28,29.14
2020-04-29,29.56
2020-04-30,28.5
2020-05-04,27.76
2020-05-05,27.8
2020-05-06,26.99
2020-05-07,26.26
2020-05-08,27.1
2020-05-11,27.27
2020-05-12,26.31
2020-05-13,25.55
2020-05-14,26.65
2020-05-15,26.15
2020-05-18,27.4
