data_pregao,preco_ultimo
2020-01-02,35.44
2020-01-03,34.87
2020-01-06,34.67
2020-01-07,34.08
2020-01-08,33.56
2020-01-09,33.23
2020-01-10,32.65
2020-01-13,33.05
2020-01-14,33.12
2020-01-15,32.36
2020-01-16,32.89
2020-01-17,33.58
2020-01-20,33.06
2020-01-21,31.91
2020-01-22,32.18
2020-01-23,33.05
2020-01-24,32.87
2020-01-27,32.0
2020-01-28,32.08
2020-01-29,31.4
2020-01-30,31.7
2020-01-31,31.35
2020-02-03,31.58
2020-02-04,31.68
2020-02-05,32.26
2020-02-06,31.81
2020-02-07,31.71
2020-02-10,31.88
2020-02-11,32.75
2020-02-12,32.28
2020-02-13,31.52
2020-02-14,30.67
2020-02-17,30.5
2020-02-18,30.27
2020-02-19,30.45
2020-02-20,29.76
2020-02-21,29.37
2020-02-26,27.22
2020-02-27,26.65
2020-02-28,27.29
2020-03-02,27.61
2020-03-03,27.15
2020-03-04,27.36
2020-03-05,26.55
2020-03-06,25.71
2020-03-09,23.19
2020-03-10,23.86
2020-03-11,21.97
2020-03-12,19.17
2020-03-13,22.3
2020-03-16,19.1
2020-03-17,20.32
2020-03-18,18.68
2020-03-19,18.03
2020-03-20,16.99
2020-03-23,15.68
2020-03-24,17.89
2020-03-25,19.31
2020-03-26,19.99
2020-03-27,18.83
2020-03-30,19.25
2020-03-31,18.81
2020-04-01,17.99
2020-04-02,18.39
2020-04-03,17.67
2020-04-06,19.46
2020-04-07,20.54
2020-04-08,20.91
2020-04-09,20.68
2020-04-13,21.24
2020-04-14,19.78
2020-04-15,19.0
2020-04-16,18.63
2020-04-17,18.87
2020-04-20,18.42
2020-04-22,18.42
2020-04-23,17.89
2020-04-24,15.93
2020-04-27,16.45
2020-04-28,18.07
2020-04-29,18.77
2020-04-30,17.56
2020-05-04,16.89
2020-05-05,16.85
2020-05-06,16.46
2020-05-07,15.92
2020-05-08,16.63
2020-05-11,16.34
2020-05-12,15.82
2020-05-13,15.7
2020-05-14,16.38
2020-05-15,15.81
2020-05-18,16.56
2020-05-19,16.0
2020-05-20,16.3
2020-05-21,17.3
2020-05-22,17.02
2020-05-25,18.38
2020-05-26,17.55
2020-05-27,17.83
2020-05-28,17.67
2020-05-29,17.8
2020-06-01,18.37
2020-06-02,19.05
2020-06-03,19.91
2020-06-04,19.99
2020-06-05,20.45
2020-06-08,21.43
2020-06-09,21.21
2020-06-10,20.36
2020-06-12,19.89
2020-06-15,19.55
2020-06-16,20.19
2020-06-17,20.46
2020-06-18,20.45
2020-06-19,19.99
2020-06-22,19.64
2020-06-23,19.65
2020-06-24,19.22
2020-06-25,19.63
2020-06-26,19.08
2020-06-29,19.56
2020-06-30,18.96
2020-07-01,19.28
2020-07-02,19.43
2020-07-03,19.43
2020-07-06,20.73
2020-07-07,19.88
2020-07-08,20.56
2020-07-09,20.3
2020-07-10,20.45
2020-07-13,20.04
2020-07-14,20.32
2020-07-15,20.74
2020-07-16,20.4
2020-07-17,20.79
2020-07-20,21.05
2020-07-21,21.4
2020-07-22,21.14
2020-07-23,20.88
2020-07-24,20.72
2020-07-27,21.58
2020-07-28,21.42
2020-07-29,22.06
2020-07-30,21.5
2020-07-31,20.73
2020-08-03,20.65
2020-08-04,20.02
2020-08-05,20.14
2020-08-06,20.42
2020-08-07,20.29
2020-08-10,20.46
2020-08-11,20.2
2020-08-12,20.1
2020-08-13,19.51
2020-08-14,19.67
2020-08-17,19.15
2020-08-18,19.42
2020-08-19,19.35
2020-08-20,19.22
2020-08-21,19.31
2020-08-24,19.61
2020-08-25,19.6
2020-08-26,19.16
2020-08-27,19.56
2020-08-28,19.93
2020-08-31,19.03
2020-09-01,19.62
2020-09-02,19.6
2020-09-03,20.35
2020-09-04,20.32
2020-09-08,19.93
2020-09-09,19.98
2020-09-10,19.31
2020-09-11,18.87
2020-09-14,19.16
2020-09-15,18.92
2020-09-16,19.04
2020-09-17,19.11
2020-09-18,18.77
2020-09-21,18.44
2020-09-22,18.63
2020-09-23,18.14
2020-09-24,18.43
2020-09-25,18.39
2020-09-28,18.22
2020-09-29,17.89
2020-09-30,18.02
2020-10-01,18.05
2020-10-02,18.12
2020-10-05,18.52
2020-10-06,18.41
2020-10-07,18.17
2020-10-08,19.2
2020-10-09,19.16
2020-10-13,19.17
2020-10-14,19.21
2020-10-15,19.17
2020-10-16,18.66
2020-10-19,18.89
2020-10-20,19.59
2020-10-21,19.77
2020-10-22,20.44
2020-10-23,20.4
2020-10-26,20.63
2020-10-27,20.1
2020-10-28,18.89
2020-10-29,18.74
2020-10-30,18.17
2020-11-03,18.63
2020-11-04,18.62
2020-11-05,18.98
2020-11-06,19.0
2020-11-09,20.73
2020-11-10,21.89
2020-11-11,21.93
2020-11-12,21.16
2020-11-13,21.74
2020-11-16,22.69
2020-11-17,22.82
2020-11-18,22.29
2020-11-19,22.29
2020-11-20,22.08
2020-11-23,22.13
2020-11-24,22.94
2020-11-25,22.57
2020-11-26,22.18
2020-11-27,22.02
2020-11-30,21.65
2020-12-01,22.8
2020-12-02,22.99
2020-12-03,22.83
2020-12-04,22.95
2020-12-07,23.03
2020-12-08,22.78
2020-12-09,22.73
2020-12-10,23.72
2020-12-11,23.69
2020-12-14,23.74
2020-12-15,23.87
2020-12-16,24.43
2020-12-17,24.74
2020-12-18,24.55
2020-12-21,23.95
2020-12-22,24.33
2020-12-23,24.85
2020-12-28,25.06
2020-12-29,24.68
2020-12-30,24.2
2021-01-04,23.6
2021-01-05,23.47
2021-01-06,23.97
2021-01-07,24.65
2021-01-08,24.46
2021-01-11,24.09
2021-01-12,24.1
2021-01-13,23.65
2021-01-14,24.4
2021-01-15,23.5
2021-01-18,23.6
2021-01-19,23.16
2021-01-20,22.7
2021-01-21,22.29
2021-01-22,21.92
2021-01-26,21.45
2021-01-27,21.63
2021-01-28,22.3
2021-01-29,21.64
2021-02-01,22.1
2021-02-02,22.04
2021-02-03,22.18
2021-02-04,22.86
2021-02-05,22.71
2021-02-08,22.3
2021-02-09,22.51
2021-02-10,22.29
2021-02-11,22.35
2021-02-12,22.4
2021-02-17,22.17
2021-02-18,21.85
2021-02-19,21.77
2021-02-22,20.53
2021-02-23,21.47
2021-02-24,21.33
2021-02-25,20.79
2021-02-26,20.59
2021-03-01,19.92
2021-03-02,20.25
2021-03-03,20.66
2021-03-04,21.35
2021-03-05,22.52
2021-03-08,21.65
2021-03-09,21.68
2021-03-10,22.01
2021-03-11,22.45
2021-03-12,22.13
2021-03-15,22.35
2021-03-16,21.95
2021-03-17,22.73
2021-03-18,23.15
2021-03-19,23.3
2021-03-22,23.2
2021-03-23,22.97
2021-03-24,22.61
2021-03-25,23.07
2021-03-26,23.26
2021-03-29,23.43
2021-03-30,23.98
2021-03-31,23.51
2021-04-01,22.7
2021-04-05,22.96
2021-04-06,22.5
2021-04-07,22.35
2021-04-08,22.32
2021-04-09,22.16
2021-04-12,22.63
2021-04-13,22.51
2021-04-14,22.72
2021-04-15,22.8
2021-04-16,23.12
2021-04-19,20.76
2021-04-20,20.45
2021-04-22,20.28
2021-04-23,20.67
2021-04-26,20.67
2021-04-27,20.5
2021-04-28,21.48
2021-04-29,20.75
2021-04-30,20.67
2021-05-03,21.27
2021-05-04,20.6
2021-05-05,20.74
2021-05-06,20.8
2021-05-07,20.99
2021-05-10,21.47
2021-05-11,21.43
2021-05-12,20.97
2021-05-13,21.61
2021-05-14,21.75
2021-05-17,21.78
2021-05-18,22.01
2021-05-19,22.13
2021-05-20,22.38
2021-05-21,22.44
2021-05-24,22.52
