data_pregao,preco_ultimo
2020-01-02,38.1
2020-01-03,37.68
2020-01-06,38.3
2020-01-07,38.32
2020-01-08,38.3
2020-01-09,38.19
2020-01-10,36.4
2020-01-13,36.13
2020-01-14,36.56
2020-01-15,36.6
2020-01-16,36.07
2020-01-17,36.14
2020-01-20,36.16
2020-01-21,36.0
2020-01-22,36.19
2020-01-23,36.24
2020-01-24,35.9
2020-01-27,35.0
2020-01-28,35.01
2020-01-29,35.62
2020-01-30,35.61
2020-01-31,34.78
2020-02-03,34.93
2020-02-04,34.45
2020-02-05,34.63
2020-02-06,34.8
2020-02-07,35.36
2020-02-10,35.82
2020-02-11,36.87
2020-02-12,37.15
2020-02-13,37.24
2020-02-14,34.48
2020-02-17,33.73
2020-02-18,33.33
2020-02-19,33.98
2020-02-20,33.44
2020-02-21,33.0
2020-02-26,31.73
2020-02-27,31.47
2020-02-28,31.85
2020-03-02,31.6
2020-03-03,30.63
2020-03-04,31.04
2020-03-05,30.44
2020-03-06,30.48
2020-03-09,28.39
2020-03-10,29.0
2020-03-11,27.78
2020-03-12,25.21
2020-03-13,26.61
2020-03-16,24.08
2020-03-17,26.67
2020-03-18,26.85
2020-03-19,24.47
2020-03-20,24.49
2020-03-23,22.4
2020-03-24,24.71
2020-03-25,26.54
2020-03-26,26.55
2020-03-27,24.5
2020-03-30,24.79
2020-03-31,24.85
2020-04-01,24.06
2020-04-02,23.48
2020-04-03,23.29
2020-04-06,23.63
2020-04-07,24.98
2020-04-08,25.51
2020-04-09,25.78
2020-04-13,26.09
2020-04-14,26.14
2020-04-15,26.21
2020-04-16,25.8
2020-04-17,25.92
2020-04-20,26.25
2020-04-22,26.95
2020-04-23,26.18
2020-04-24,24.4
2020-04-27,25.3
2020-04-28,25.26
2020-04-29,26.0
2020-04-30,26.55
2020-05-04,25.3
2020-05-05,24.9
2020-05-06,24.52
2020-05-07,23.49
2020-05-08,23.27
2020-05-11,23.55
2020-05-12,22.85
2020-05-13,23.11
2020-05-14,23.71
2020-05-15,22.59
2020-05-18,23.5
2020-05-19,23.48
2020-05-20,23.53
2020-05-21,24.15
2020-05-22,23.51
2020-05-25,24.65
2020-05-26,25.18
2020-05-27,25.3
2020-05-28,25.61
2020-05-29,25.28
2020-06-01,25.65
2020-06-02,26.51
2020-06-03,27.89
2020-06-04,28.05
2020-06-05,28.49
2020-06-08,28.4
2020-06-09,27.62
2020-06-10,26.85
2020-06-12,26.42
2020-06-15,26.35
2020-06-16,26.15
2020-06-17,27.09
2020-06-18,27.82
2020-06-19,28.79
2020-06-22,28.83
2020-06-23,28.75
2020-06-24,28.37
2020-06-25,29.0
2020-06-26,27.85
2020-06-29,28.25
2020-06-30,27.27
2020-07-01,27.7
2020-07-02,27.53
2020-07-03,27.76
2020-07-06,28.03
2020-07-07,27.8
2020-07-08,28.34
2020-07-09,28.05
2020-07-10,27.72
2020-07-13,27.38
2020-07-14,27.31
2020-07-15,27.56
2020-07-16,27.4
2020-07-17,27.55
2020-07-20,28.31
2020-07-21,28.21
2020-07-22,28.33
2020-07-23,27.87
2020-07-24,28.0
2020-07-27,28.49
2020-07-28,28.07
2020-07-29,28.24
2020-07-30,28.07
2020-07-31,27.83
2020-08-03,28.27
2020-08-04,28.1
2020-08-05,28.21
2020-08-06,28.77
2020-08-07,28.55
2020-08-10,28.74
2020-08-11,28.91
2020-08-12,28.95
2020-08-13,27.1
2020-08-14,27.04
2020-08-17,26.25
2020-08-18,27.02
2020-08-19,26.52
2020-08-20,26.48
2020-08-21,26.63
2020-08-24,26.49
2020-08-25,26.75
2020-08-26,26.33
2020-08-27,26.5
2020-08-28,27.55
2020-08-31,26.38
2020-09-01,26.9
2020-09-02,27.23
2020-09-03,26.97
2020-09-04,27.0
2020-09-08,26.58
2020-09-09,26.6
2020-09-10,26.28
2020-09-11,25.47
2020-09-14,25.86
2020-09-15,26.1
2020-09-16,26.22
2020-09-17,26.1
2020-09-18,25.6
2020-09-21,25.14
2020-09-22,25.27
2020-09-23,24.71
2020-09-24,25.27
2020-09-25,25.03
2020-09-28,24.25
2020-09-29,24.45
2020-09-30,24.27
2020-10-01,24.61
2020-10-02,24.4
2020-10-05,24.46
2020-10-06,24.31
2020-10-07,24.0
2020-10-08,24.5
2020-10-09,24.2
2020-10-13,24.54
2020-10-14,24.73
2020-10-15,24.79
2020-10-16,24.58
2020-10-19,25.11
2020-10-20,25.13
2020-10-21,25.63
2020-10-22,25.62
2020-10-23,25.57
2020-10-26,25.71
2020-10-27,25.28
2020-10-28,24.32
2020-10-29,24.28
2020-10-30,23.68
2020-11-03,24.68
2020-11-04,25.5
2020-11-05,26.02
2020-11-06,26.15
2020-11-09,26.62
2020-11-10,27.25
2020-11-11,26.97
2020-11-12,26.5
2020-11-13,27.14
2020-11-16,28.0
2020-11-17,28.75
2020-11-18,28.29
2020-11-19,28.07
2020-11-20,28.4
2020-11-23,29.12
2020-11-24,29.38
2020-11-25,29.34
2020-11-26,29.42
2020-11-27,29.62
2020-11-30,28.56
2020-12-01,28.38
2020-12-02,28.54
2020-12-03,28.74
2020-12-04,28.73
2020-12-07,28.97
2020-12-08,28.65
2020-12-09,28.58
2020-12-10,29.47
2020-12-11,29.95
2020-12-14,29.85
2020-12-15,29.93
2020-12-16,30.26
2020-12-17,30.26
2020-12-18,29.6
2020-12-21,28.97
2020-12-22,29.16
2020-12-23,29.13
2020-12-28,29.73
2020-12-29,30.06
2020-12-30,29.63
2021-01-04,29.39
2021-01-05,28.84
2021-01-06,28.37
2021-01-07,28.97
2021-01-08,29.87
2021-01-11,29.25
2021-01-12,29.44
2021-01-13,29.58
2021-01-14,29.98
2021-01-15,29.35
2021-01-18,29.05
2021-01-19,28.83
2021-01-20,28.65
2021-01-21,28.79
2021-01-22,28.42
2021-01-26,28.45
2021-01-27,28.0
2021-01-28,28.23
2021-01-29,27.66
2021-02-01,28.05
2021-02-02,28.29
2021-02-03,28.35
2021-02-04,28.28
2021-02-05,28.52
2021-02-08,28.09
2021-02-09,28.58
2021-02-10,28.72
2021-02-11,28.64
2021-02-12,28.01
2021-02-17,27.94
2021-02-18,27.66
2021-02-19,27.67
2021-02-22,26.58
2021-02-23,26.83
2021-02-24,26.54
2021-02-25,25.92
2021-02-26,25.43
2021-03-01,24.8
2021-03-02,24.79
2021-03-03,24.62
2021-03-04,24.5
2021-03-05,25.15
2021-03-08,24.38
2021-03-09,23.66
2021-03-10,24.15
2021-03-11,24.37
2021-03-12,23.95
2021-03-15,24.09
2021-03-16,23.92
2021-03-17,24.21
2021-03-18,24.3
2021-03-19,24.5
2021-03-22,24.42
2021-03-23,24.28
2021-03-24,23.74
2021-03-25,23.85
2021-03-26,23.96
2021-03-29,24.07
2021-03-30,24.78
2021-03-31,24.25
2021-04-01,23.92
2021-04-05,24.07
2021-04-06,24.06
2021-04-07,24.04
2021-04-08,23.96
2021-04-09,23.89
2021-04-12,24.14
2021-04-13,23.82
2021-04-14,23.78
2021-04-15,23.65
2021-04-16,23.73
2021-04-19,23.28
2021-04-20,23.33
2021-04-22,23.21
2021-04-23,23.4
2021-04-26,23.19
2021-04-27,22.39
2021-04-28,22.47
2021-04-29,22.75
2021-04-30,22.33
2021-05-03,22.27
2021-05-04,21.98
2021-05-05,22.36
2021-05-06,22.69
2021-05-07,23.0
2021-05-10,22.79
2021-05-11,23.39
2021-05-12,23.02
2021-05-13,23.37
2021-05-14,23.35
2021-05-17,23.5
2021-05-18,23.27
2021-05-19,23.33
2021-05-20,23.63
2021-05-21,23.64
2021-05-24,23.59
2021-05-25,23.37
2021-05-26,23.25
2021-05-27,23.42
2021-05-28,23.39
2021-05-31,23.4
2021-06-01,24.09
2021-06-02,24.1
2021-06-04,24.19
2021-06-07,24.61
2021-06-08,24.31
2021-06-09,24.28
2021-06-10,24.7
2021-06-11,24.57
2021-06-14,24.92
2021-06-15,25.09
2021-06-16,25.03
2021-06-17,25.14
2021-06-18,25.36
2021-06-21,25.47
2021-06-22,25.54
2021-06-23,24.7
2021-06-24,24.4
2021-06-25,23.92
2021-06-28,24.1
2021-06-29,23.74
2021-06-30,23.1
2021-07-01,23.23
2021-07-02,23.15
2021-07-05,22.91
2021-07-06,22.6
2021-07-07,22.85
2021-07-08,22.6
2021-07-12,23.17
2021-07-13,22.8
2021-07-14,23.1
2021-07-15,22.71
2021-07-16,22.5
2021-07-19,22.13
2021-07-20,22.18
2021-07-21,22.15
2021-07-22,21.86
2021-07-23,22.0
2021-07-26,21.94
2021-07-27,21.54
2021-07-28,21.73
2021-07-29,21.63
2021-07-30,21.37
2021-08-02,21.0
2021-08-03,21.54
2021-08-04,21.47
2021-08-05,21.23
2021-08-06,21.3
2021-08-09,21.69
2021-08-10,21.5
2021-08-11,21.7
2021-08-12,20.9
2021-08-13,20.62
2021-08-16,20.09
2021-08-17,19.82
2021-08-18,19.68
2021-08-19,19.75
2021-08-20,19.86
2021-08-23,19.5
2021-08-24,19.96
2021-08-25,20.19
2021-08-26,19.62
2021-08-27,19.73
2021-08-30,19.29
2021-08-31,19.06
2021-09-01,19.34
2021-09-02,18.69
2021-09-03,19.18
2021-09-06,19.27
2021-09-08,18.4
2021-09-09,18.82
2021-09-10,19.06
2021-09-13,19.57
2021-09-14,19.62
2021-09-15,19.22
2021-09-16,19.4
2021-09-17,19.33
