data_pregao,preco_ultimo
2020-01-02,12.57
2020-01-03,12.9
2020-01-06,12.89
2020-01-07,13.48
2020-01-08,13.63
2020-01-09,13.42
2020-01-10,13.36
2020-01-13,14.56
2020-01-14,14.45
2020-01-15,14.4
2020-01-16,14.99
2020-01-17,14.85
2020-01-20,14.87
2020-01-21,15.22
2020-01-22,14.05
2020-01-23,14.27
2020-01-24,13.1
2020-01-27,12.03
2020-01-28,12.15
2020-01-29,11.93
2020-01-30,11.42
2020-01-31,11.93
2020-02-03,12.31
2020-02-04,12.04
2020-02-05,12.1
2020-02-06,11.9
2020-02-07,11.17
2020-02-10,10.68
2020-02-11,11.39
2020-02-12,11.66
2020-02-13,11.84
2020-02-14,11.79
2020-02-17,12.25
2020-02-18,12.5
2020-02-19,12.55
2020-02-20,12.41
2020-02-21,12.76
2020-02-26,11.8
2020-02-27,11.64
2020-02-28,11.62
2020-03-02,12.08
2020-03-03,11.97
2020-03-04,12.2
2020-03-05,11.3
2020-03-06,10.4
2020-03-09,8.54
2020-03-10,8.85
2020-03-11,8.56
2020-03-12,6.97
2020-03-13,7.96
2020-03-16,7.0
2020-03-17,7.11
2020-03-18,6.6
2020-03-19,7.8
2020-03-20,7.73
2020-03-23,8.2
2020-03-24,8.4
2020-03-25,8.19
2020-03-26,7.7
2020-03-27,7.8
2020-03-30,7.85
2020-03-31,7.95
2020-04-01,8.25
2020-04-02,8.57
2020-04-03,8.75
2020-04-06,9.0
2020-04-07,8.96
2020-04-08,8.71
2020-04-09,8.63
2020-04-13,9.12
2020-04-14,9.28
2020-04-15,9.37
2020-04-16,9.9
2020-04-17,9.5
2020-04-20,9.5
2020-04-22,10.11
2020-04-23,10.09
2020-04-24,10.13
2020-04-27,11.23
2020-04-28,11.9
2020-04-29,12.3
2020-04-30,12.26
2020-05-04,12.65
2020-05-05,12.5
2020-05-06,12.88
2020-05-07,13.82
2020-05-08,13.8
2020-05-11,13.45
2020-05-12,14.4
2020-05-13,14.37
