data_pregao,preco_ultimo
2020-01-02,76.3
2020-01-03,76.35
2020-01-06,75.45
2020-01-07,75.7
2020-01-08,75.2
2020-01-09,75.9
2020-01-10,75.89
2020-01-13,76.33
2020-01-14,75.01
2020-01-15,74.49
2020-01-16,74.94
2020-01-17,76.91
2020-01-20,76.81
2020-01-21,77.35
2020-01-22,78.28
2020-01-23,78.35
2020-01-24,78.35
2020-01-27,73.68
2020-01-28,75.2
2020-01-29,74.91
2020-01-30,75.4
2020-01-31,75.0
2020-02-03,75.49
2020-02-04,75.64
2020-02-05,78.9
2020-02-06,78.2
2020-02-07,77.43
2020-02-10,73.82
2020-02-11,76.37
2020-02-12,79.4
2020-02-13,81.45
2020-02-14,78.0
2020-02-17,77.3
2020-02-18,74.95
2020-02-19,74.95
2020-02-20,72.9
2020-02-21,72.49
2020-02-26,67.36
2020-02-27,65.71
2020-02-28,67.56
2020-03-02,68.3
2020-03-03,64.2
2020-03-04,65.83
2020-03-05,60.0
2020-03-06,57.62
2020-03-09,47.21
2020-03-10,51.26
2020-03-11,44.41
2020-03-12,32.48
2020-03-13,41.54
2020-03-16,35.12
2020-03-17,35.0
2020-03-18,32.0
2020-03-19,32.25
2020-03-20,30.0
2020-03-23,26.11
2020-03-24,32.59
2020-03-25,34.21
2020-03-26,37.23
2020-03-27,36.4
2020-03-30,36.08
2020-03-31,33.24
2020-04-01,30.0
2020-04-02,31.91
2020-04-03,32.31
2020-04-06,35.45
2020-04-07,38.23
2020-04-08,39.89
2020-04-09,41.75
2020-04-13,40.0
2020-04-14,40.46
2020-04-15,39.98
2020-04-16,39.62
2020-04-17,40.51
2020-04-20,39.5
2020-04-22,41.9
2020-04-23,40.6
2020-04-24,37.5
2020-04-27,40.15
2020-04-28,44.5
2020-04-29,43.74
2020-04-30,42.3
2020-05-04,41.21
2020-05-05,41.39
2020-05-06,39.5
2020-05-07,37.0
2020-05-08,37.42
2020-05-11,37.08
2020-05-12,36.49
2020-05-13,37.75
2020-05-14,38.12
2020-05-15,37.39
2020-05-18,40.83
2020-05-19,41.5
2020-05-20,42.97
2020-05-21,47.0
2020-05-22,46.07
2020-05-25,50.22
2020-05-26,49.21
2020-05-27,50.89
2020-05-28,49.59
2020-05-29,48.84
2020-06-01,50.14
2020-06-02,55.36
2020-06-03,59.5
2020-06-04,60.25
2020-06-05,60.24
2020-06-08,66.02
2020-06-09,65.58
2020-06-10,63.09
2020-06-12,63.01
2020-06-15,60.81
2020-06-16,62.9
2020-06-17,64.06
2020-06-18,69.9
2020-06-19,72.0
2020-06-22,75.99
2020-06-23,78.46
2020-06-24,76.7
2020-06-25,76.9
2020-06-26,72.67
2020-06-29,76.0
2020-06-30,76.5
2020-07-01,76.5
2020-07-02,79.0
2020-07-03,79.51
2020-07-06,80.0
2020-07-07,81.62
2020-07-08,85.0
2020-07-09,83.2
2020-07-10,85.4
2020-07-13,84.52
2020-07-14,83.67
2020-07-15,83.98
2020-07-16,86.03
2020-07-17,89.03
2020-07-20,92.5
2020-07-21,89.3
2020-07-22,89.2
2020-07-23,87.4
2020-07-24,86.92
2020-07-27,87.71
2020-07-28,84.87
2020-07-29,87.9
2020-07-30,86.86
2020-07-31,86.42
2020-08-03,89.75
2020-08-04,87.2
2020-08-05,88.2
2020-08-06,89.64
2020-08-07,87.76
2020-08-10,88.88
2020-08-11,87.31
2020-08-12,87.35
2020-08-13,85.46
2020-08-14,82.6
2020-08-17,79.11
2020-08-18,85.71
2020-08-19,83.88
2020-08-20,83.14
2020-08-21,82.63
2020-08-24,83.39
2020-08-25,81.1
2020-08-26,80.65
2020-08-27,82.78
2020-08-28,82.8
2020-08-31,80.33
2020-09-01,83.86
2020-09-02,83.1
2020-09-03,81.47
2020-09-04,79.5
2020-09-08,78.03
2020-09-09,81.51
2020-09-10,79.13
2020-09-11,78.11
2020-09-14,81.48
2020-09-15,79.89
2020-09-16,80.0
2020-09-17,79.72
2020-09-18,75.76
2020-09-21,72.6
2020-09-22,73.2
2020-09-23,73.13
2020-09-24,74.07
2020-09-25,74.3
