data_pregao,preco_ultimo
2020-01-02,38.03
2020-01-03,38.57
2020-01-06,38.75
2020-01-07,38.92
2020-01-08,38.91
2020-01-09,38.41
2020-01-10,38.29
2020-01-13,39.9
2020-01-14,40.28
2020-01-15,40.38
2020-01-16,40.24
2020-01-17,41.97
2020-01-20,42.39
2020-01-21,41.59
2020-01-22,42.25
2020-01-23,41.66
2020-01-24,40.84
2020-01-27,38.26
2020-01-28,38.25
2020-01-29,37.53
2020-01-30,37.67
2020-01-31,37.01
2020-02-03,37.68
2020-02-04,38.6
2020-02-05,38.86
2020-02-06,38.93
2020-02-07,37.82
2020-02-10,36.91
2020-02-11,38.64
2020-02-12,38.99
2020-02-13,38.18
2020-02-14,37.53
2020-02-17,39.0
2020-02-18,38.64
2020-02-19,38.98
2020-02-20,38.3
2020-02-21,37.72
2020-02-26,34.1
2020-02-27,32.89
2020-02-28,33.39
2020-03-02,34.59
2020-03-03,34.1
2020-03-04,35.05
2020-03-05,33.45
2020-03-06,32.46
2020-03-09,27.5
2020-03-10,31.46
2020-03-11,28.94
2020-03-12,26.08
2020-03-13,30.84
2020-03-16,27.36
2020-03-17,29.19
2020-03-18,27.89
2020-03-19,25.7
2020-03-20,24.35
2020-03-23,24.68
2020-03-24,26.18
2020-03-25,28.32
2020-03-26,28.41
2020-03-27,27.18
2020-03-30,28.57
2020-03-31,29.16
2020-04-01,29.26
2020-04-02,28.99
2020-04-03,26.92
2020-04-06,28.87
2020-04-07,29.22
2020-04-08,29.16
2020-04-09,28.61
2020-04-13,30.07
2020-04-14,29.99
2020-04-15,28.91
2020-04-16,28.72
2020-04-17,29.61
2020-04-20,28.84
2020-04-22,29.36
2020-04-23,29.4
2020-04-24,29.69
2020-04-27,30.3
2020-04-28,29.75
2020-04-29,31.32
2020-04-30,29.86
2020-05-04,28.91
2020-05-05,28.53
2020-05-06,28.92
2020-05-07,29.68
2020-05-08,32.19
2020-05-11,31.94
2020-05-12,32.97
2020-05-13,33.0
2020-05-14,32.35
2020-05-15,32.89
2020-05-18,35.65
2020-05-19,36.14
2020-05-20,36.59
2020-05-21,35.34
2020-05-22,34.65
2020-05-25,34.52
2020-05-26,33.69
2020-05-27,34.08
2020-05-28,33.76
2020-05-29,35.25
2020-06-01,35.8
2020-06-02,35.59
2020-06-03,35.44
2020-06-04,36.8
