data_pregao,preco_ultimo
2020-01-02,30.74
2020-01-03,30.56
2020-01-06,29.03
2020-01-07,28.99
2020-01-08,28.85
2020-01-09,28.09
2020-01-10,28.2
2020-01-13,28.79
2020-01-14,28.8
2020-01-15,28.44
2020-01-16,28.16
2020-01-17,28.75
2020-01-20,29.13
2020-01-21,28.7
2020-01-22,29.05
2020-01-23,29.47
2020-01-24,29.59
2020-01-27,28.65
2020-01-28,29.0
2020-01-29,28.65
2020-01-30,28.97
2020-01-31,28.8
2020-02-03,29.35
2020-02-04,29.23
2020-02-05,29.59
2020-02-06,29.3
2020-02-07,28.84
2020-02-10,28.75
2020-02-11,30.1
2020-02-12,30.75
2020-02-13,31.09
2020-02-14,30.47
2020-02-17,30.5
2020-02-18,30.27
2020-02-19,29.92
2020-02-20,29.54
2020-02-21,28.99
2020-02-26,27.25
2020-02-27,26.21
2020-02-28,26.1
2020-03-02,26.51
2020-03-03,26.26
2020-03-04,26.5
2020-03-05,25.11
2020-03-06,24.63
2020-03-09,22.2
2020-03-10,24.38
2020-03-11,22.69
2020-03-12,19.22
2020-03-13,20.65
2020-03-16,17.79
2020-03-17,18.25
2020-03-18,15.6
2020-03-19,14.96
2020-03-20,14.68
2020-03-23,13.74
2020-03-24,14.9
2020-03-25,16.56
2020-03-26,17.8
2020-03-27,16.16
2020-03-30,15.75
2020-03-31,15.51
2020-04-01,14.02
2020-04-02,14.35
2020-04-03,13.85
2020-04-06,15.9
2020-04-07,18.28
2020-04-08,19.1
2020-04-09,19.42
2020-04-13,18.9
2020-04-14,19.11
2020-04-15,19.49
2020-04-16,18.53
2020-04-17,18.41
2020-04-20,18.67
2020-04-22,19.07
2020-04-23,18.3
2020-04-24,16.94
2020-04-27,18.25
2020-04-28,19.4
2020-04-29,20.62
2020-04-30,19.53
2020-05-04,19.57
2020-05-05,19.8
2020-05-06,19.36
2020-05-07,18.2
2020-05-08,19.05
2020-05-11,17.91
2020-05-12,17.6
2020-05-13,17.3
2020-05-14,18.55
2020-05-15,18.21
2020-05-18,19.01
2020-05-19,19.35
2020-05-20,19.55
2020-05-21,21.02
2020-05-22,20.13
2020-05-25,22.22
2020-05-26,21.47
2020-05-27,22.2
2020-05-28,22.18
2020-05-29,21.64
2020-06-01,21.6
2020-06-02,22.82
2020-06-03,23.45
2020-06-04,23.39
2020-06-05,22.92
2020-06-08,24.0
2020-06-09,23.41
2020-06-10,22.4
2020-06-12,22.42
2020-06-15,22.64
2020-06-16,22.26
2020-06-17,22.99
2020-06-18,22.88
2020-06-19,22.22
2020-06-22,21.79
2020-06-23,21.6
2020-06-24,21.49
2020-06-25,22.1
2020-06-26,21.22
2020-06-29,21.47
2020-06-30,21.55
2020-07-01,21.8
2020-07-02,21.99
2020-07-03,22.2
2020-07-06,22.48
2020-07-07,22.41
2020-07-08,22.96
2020-07-09,22.8
2020-07-10,22.61
2020-07-13,22.0
2020-07-14,22.74
2020-07-15,22.81
2020-07-16,22.34
2020-07-17,23.75
2020-07-20,23.51
2020-07-21,23.87
2020-07-22,23.63
2020-07-23,23.16
2020-07-24,22.95
2020-07-27,22.92
2020-07-28,22.87
2020-07-29,23.29
2020-07-30,23.0
2020-07-31,22.7
2020-08-03,21.8
2020-08-04,21.4
2020-08-05,22.17
2020-08-06,22.49
2020-08-07,22.11
2020-08-10,22.07
2020-08-11,21.81
2020-08-12,21.61
2020-08-13,20.95
2020-08-14,21.09
2020-08-17,20.55
2020-08-18,21.5
2020-08-19,21.25
2020-08-20,21.77
2020-08-21,22.56
2020-08-24,22.35
2020-08-25,22.32
2020-08-26,21.73
2020-08-27,21.02
2020-08-28,21.97
2020-08-31,21.34
2020-09-01,22.2
2020-09-02,22.0
2020-09-03,21.91
2020-09-04,22.38
2020-09-08,22.97
2020-09-09,23.09
2020-09-10,22.49
2020-09-11,22.11
2020-09-14,22.25
2020-09-15,22.07
2020-09-16,21.99
2020-09-17,22.17
2020-09-18,21.4
2020-09-21,21.2
2020-09-22,21.35
2020-09-23,20.85
2020-09-24,21.09
2020-09-25,20.88
2020-09-28,20.25
2020-09-29,20.07
2020-09-30,20.15
2020-10-01,21.0
2020-10-02,20.36
2020-10-05,20.57
2020-10-06,20.22
2020-10-07,20.0
2020-10-08,20.33
2020-10-09,20.1
2020-10-13,20.4
2020-10-14,20.6
2020-10-15,20.27
2020-10-16,20.44
2020-10-19,21.05
2020-10-20,20.96
