data_pregao,preco_ultimo
2020-01-02,35.88
2020-01-03,35.94
2020-01-06,35.57
2020-01-07,35.16
2020-01-08,36.51
2020-01-09,36.84
2020-01-10,36.34
2020-01-13,36.7
2020-01-14,36.55
2020-01-15,36.47
2020-01-16,35.87
2020-01-17,35.75
2020-01-20,36.05
2020-01-21,35.43
2020-01-22,35.6
2020-01-23,34.84
2020-01-24,33.83
2020-01-27,31.78
2020-01-28,31.36
2020-01-29,31.1
2020-01-30,30.6
2020-01-31,30.55
2020-02-03,31.57
2020-02-04,32.18
2020-02-05,32.07
2020-02-06,31.85
2020-02-07,31.54
2020-02-10,30.84
2020-02-11,30.9
2020-02-12,31.25
2020-02-13,31.33
2020-02-14,30.9
2020-02-17,31.0
2020-02-18,30.85
2020-02-19,31.16
2020-02-20,30.68
2020-02-21,30.36
2020-02-26,28.45
2020-02-27,27.53
2020-02-28,27.04
2020-03-02,28.2
2020-03-03,26.15
2020-03-04,26.66
2020-03-05,25.6
2020-03-06,23.11
2020-03-09,20.0
2020-03-10,20.84
2020-03-11,18.5
2020-03-12,15.25
2020-03-13,16.49
2020-03-16,13.25
2020-03-17,14.25
2020-03-18,13.01
2020-03-19,14.9
2020-03-20,14.15
2020-03-23,14.03
2020-03-24,15.04
2020-03-25,15.91
2020-03-26,15.97
2020-03-27,14.87
2020-03-30,14.51
2020-03-31,15.09
2020-04-01,15.61
2020-04-02,16.25
2020-04-03,15.26
2020-04-06,17.68
2020-04-07,17.53
2020-04-08,17.4
2020-04-09,18.04
2020-04-13,17.82
2020-04-14,18.86
2020-04-15,19.05
2020-04-16,19.27
2020-04-17,19.05
2020-04-20,18.92
2020-04-22,19.45
2020-04-23,19.51
2020-04-24,18.55
2020-04-27,20.56
2020-04-28,20.31
2020-04-29,20.38
2020-04-30,19.39
2020-05-04,18.4
2020-05-05,18.34
2020-05-06,18.31
2020-05-07,18.41
2020-05-08,18.74
2020-05-11,20.85
2020-05-12,20.37
2020-05-13,22.85
2020-05-14,23.06
2020-05-15,22.66
2020-05-18,21.74
2020-05-19,22.0
2020-05-20,22.47
2020-05-21,21.8
2020-05-22,21.76
2020-05-25,21.75
2020-05-26,22.5
2020-05-27,23.25
2020-05-28,23.21
2020-05-29,23.13
2020-06-01,23.67
2020-06-02,23.35
2020-06-03,22.65
2020-06-04,23.45
2020-06-05,22.7
2020-06-08,23.25
2020-06-09,23.07
2020-06-10,22.52
2020-06-12,21.56
2020-06-15,21.2
2020-06-16,22.1
2020-06-17,22.49
2020-06-18,22.36
2020-06-19,22.45
2020-06-22,22.01
2020-06-23,22.18
2020-06-24,21.87
2020-06-25,21.99
2020-06-26,21.45
2020-06-29,20.87
2020-06-30,21.26
2020-07-01,20.5
2020-07-02,20.4
2020-07-03,20.19
2020-07-06,21.15
2020-07-07,20.5
2020-07-08,20.91
2020-07-09,20.7
2020-07-10,20.6
2020-07-13,20.08
2020-07-14,20.1
2020-07-15,20.31
2020-07-16,20.15
2020-07-17,20.68
2020-07-20,21.25
2020-07-21,20.89
2020-07-22,20.58
2020-07-23,20.4
2020-07-24,20.33
2020-07-27,20.12
2020-07-28,21.3
2020-07-29,21.86
2020-07-30,21.2
2020-07-31,20.7
2020-08-03,20.63
2020-08-04,20.39
2020-08-05,20.66
2020-08-06,21.91
2020-08-07,22.42
2020-08-10,21.92
2020-08-11,22.37
2020-08-12,22.7
2020-08-13,20.93
2020-08-14,20.7
2020-08-17,20.98
2020-08-18,21.09
2020-08-19,20.83
2020-08-20,20.59
2020-08-21,20.52
2020-08-24,20.37
2020-08-25,20.0
2020-08-26,19.6
2020-08-27,19.7
2020-08-28,19.92
2020-08-31,19.59
2020-09-01,19.88
2020-09-02,20.45
2020-09-03,19.86
2020-09-04,19.98
2020-09-08,19.85
2020-09-09,19.88
2020-09-10,20.62
2020-09-11,20.1
2020-09-14,20.74
2020-09-15,21.61
