data_pregao,preco_ultimo
2020-01-02,30.4
2020-01-03,31.75
2020-01-06,33.4
2020-01-07,32.53
2020-01-08,34.16
2020-01-09,34.85
2020-01-10,34.45
2020-01-13,34.0
2020-01-14,34.27
2020-01-15,33.62
2020-01-16,34.08
2020-01-17,34.27
2020-01-20,34.43
2020-01-21,35.54
2020-01-22,36.36
2020-01-23,39.0
2020-01-24,37.63
2020-01-27,35.22
2020-01-28,34.17
2020-01-29,32.85
2020-01-30,31.8
2020-01-31,31.55
2020-02-03,33.45
2020-02-04,33.4
2020-02-05,34.31
2020-02-06,31.75
2020-02-07,31.78
2020-02-10,31.39
2020-02-11,32.16
2020-02-12,31.86
2020-02-13,30.83
2020-02-14,30.93
2020-02-17,31.2
2020-02-18,31.35
2020-02-19,31.9
2020-02-20,31.58
2020-02-21,30.6
2020-02-26,28.87
2020-02-27,27.4
2020-02-28,26.89
2020-03-02,27.5
2020-03-03,28.08
2020-03-04,28.98
2020-03-05,26.74
2020-03-06,25.07
2020-03-09,21.88
2020-03-10,25.12
2020-03-11,21.75
2020-03-12,16.5
2020-03-13,19.77
2020-03-16,16.98
2020-03-17,17.08
2020-03-18,12.9
2020-03-19,12.55
2020-03-20,11.8
2020-03-23,10.07
2020-03-24,11.4
2020-03-25,15.02
2020-03-26,19.23
2020-03-27,17.72
2020-03-30,17.7
2020-03-31,17.22
2020-04-01,16.27
2020-04-02,16.87
2020-04-03,15.62
2020-04-06,16.56
2020-04-07,16.72
2020-04-08,16.51
2020-04-09,16.29
2020-04-13,16.81
2020-04-14,21.63
2020-04-15,21.43
2020-04-16,21.6
2020-04-17,21.0
2020-04-20,20.89
2020-04-22,20.76
2020-04-23,20.69
2020-04-24,18.93
2020-04-27,21.49
2020-04-28,22.34
2020-04-29,21.95
2020-04-30,21.14
2020-05-04,21.1
2020-05-05,20.68
2020-05-06,20.1
2020-05-07,20.44
2020-05-08,20.38
2020-05-11,22.08
2020-05-12,20.47
2020-05-13,21.67
2020-05-14,22.17
2020-05-15,23.44
2020-05-18,26.95
2020-05-19,26.0
2020-05-20,26.17
2020-05-21,26.39
2020-05-22,25.99
2020-05-25,26.39
2020-05-26,26.47
2020-05-27,27.6
2020-05-28,29.0
2020-05-29,27.74
2020-06-01,27.92
2020-06-02,29.38
2020-06-03,27.95
2020-06-04,27.22
2020-06-05,27.24
2020-06-08,27.55
2020-06-09,27.0
2020-06-10,26.78
2020-06-12,24.7
2020-06-15,24.5
2020-06-16,25.07
2020-06-17,25.51
2020-06-18,25.61
2020-06-19,25.7
2020-06-22,24.83
2020-06-23,24.9
2020-06-24,23.79
2020-06-25,23.39
2020-06-26,22.91
2020-06-29,23.13
2020-06-30,23.22
2020-07-01,23.96
2020-07-02,23.65
2020-07-03,23.51
2020-07-06,24.13
2020-07-07,23.8
2020-07-08,25.35
2020-07-09,23.57
2020-07-10,23.6
2020-07-13,23.24
2020-07-14,23.7
2020-07-15,24.11
2020-07-16,24.24
2020-07-17,25.08
2020-07-20,25.11
2020-07-21,24.61
2020-07-22,24.22
2020-07-23,24.03
2020-07-24,24.14
2020-07-27,24.04
2020-07-28,23.8
2020-07-29,23.99
2020-07-30,23.81
2020-07-31,22.8
2020-08-03,23.3
2020-08-04,22.57
2020-08-05,23.4
2020-08-06,24.1
2020-08-07,23.39
2020-08-10,25.57
2020-08-11,24.74
2020-08-12,24.67
2020-08-13,24.08
2020-08-14,23.97
2020-08-17,23.45
2020-08-18,23.98
2020-08-19,23.68
2020-08-20,24.38
2020-08-21,24.19
2020-08-24,24.2
2020-08-25,23.35
2020-08-26,22.71
2020-08-27,22.23
2020-08-28,21.99
2020-08-31,21.29
2020-09-01,21.5
2020-09-02,21.31
2020-09-03,21.02
2020-09-04,21.88
2020-09-08,22.2
2020-09-09,22.17
2020-09-10,21.86
2020-09-11,21.63
2020-09-14,21.99
2020-09-15,22.3
2020-09-16,22.06
2020-09-17,22.62
2020-09-18,21.81
2020-09-21,22.13
2020-09-22,22.64
2020-09-23,21.24
2020-09-24,21.02
2020-09-25,20.78
2020-09-28,19.82
2020-09-29,20.04
2020-09-30,20.79
2020-10-01,21.32
2020-10-02,20.79
2020-10-05,21.05
2020-10-06,22.0
2020-10-07,22.22
2020-10-08,21.98
2020-10-09,21.32
2020-10-13,21.71
2020-10-14,21.45
2020-10-15,21.16
2020-10-16,22.34
2020-10-19,22.59
2020-10-20,23.25
2020-10-21,24.35
2020-10-22,24.38
2020-10-23,25.44
2020-10-26,24.63
2020-10-27,24.22
2020-10-28,23.4
2020-10-29,23.05
2020-10-30,22.84
2020-11-03,22.9
2020-11-04,22.31
2020-11-05,22.96
2020-11-06,24.2
2020-11-09,24.17
2020-11-10,25.42
2020-11-11,23.75
2020-11-12,23.63
2020-11-13,24.7
2020-11-16,23.93
2020-11-17,24.05
2020-11-18,23.59
2020-11-19,23.26
2020-11-20,23.02
2020-11-23,23.55
2020-11-24,23.7
2020-11-25,23.95
2020-11-26,23.57
2020-11-27,23.44
2020-11-30,22.6
2020-12-01,23.42
2020-12-02,22.28
2020-12-03,22.05
2020-12-04,22.16
2020-12-07,22.02
2020-12-08,21.88
2020-12-09,21.72
2020-12-10,21.64
2020-12-11,21.51
2020-12-14,21.27
2020-12-15,21.21
2020-12-16,22.4
2020-12-17,24.1
2020-12-18,23.74
2020-12-21,23.27
2020-12-22,23.07
2020-12-23,23.24
2020-12-28,23.03
2020-12-29,23.39
2020-12-30,23.57
2021-01-04,23.35
2021-01-05,23.36
2021-01-06,24.27
2021-01-07,24.87
2021-01-08,24.69
2021-01-11,25.1
2021-01-12,25.11
2021-01-13,25.1
2021-01-14,25.24
2021-01-15,25.2
2021-01-18,24.83
2021-01-19,25.38
2021-01-20,25.21
2021-01-21,24.83
2021-01-22,24.01
2021-01-26,23.65
2021-01-27,23.22
2021-01-28,23.83
2021-01-29,24.22
2021-02-01,25.56
2021-02-02,27.18
2021-02-03,28.87
2021-02-04,29.71
2021-02-05,29.16
2021-02-08,28.63
2021-02-09,28.99
2021-02-10,28.81
2021-02-11,29.33
2021-02-12,30.22
2021-02-17,30.52
2021-02-18,30.22
2021-02-19,30.65
2021-02-22,30.01
2021-02-23,30.09
2021-02-24,33.14
2021-02-25,31.71
2021-02-26,31.26
2021-03-01,31.78
2021-03-02,30.51
2021-03-03,29.51
2021-03-04,30.13
2021-03-05,30.53
2021-03-08,30.2
2021-03-09,31.49
2021-03-10,32.11
2021-03-11,33.21
2021-03-12,33.73
2021-03-15,34.57
2021-03-16,35.99
2021-03-17,37.42
2021-03-18,37.45
2021-03-19,37.18
2021-03-22,36.96
2021-03-23,36.67
2021-03-24,37.34
2021-03-25,37.77
2021-03-26,37.91
2021-03-29,39.1
2021-03-30,40.78
2021-03-31,39.69
2021-04-01,40.56
2021-04-05,41.55
2021-04-06,42.16
2021-04-07,44.67
2021-04-08,44.0
2021-04-09,43.37
2021-04-12,46.76
2021-04-13,46.91
2021-04-14,46.86
2021-04-15,48.52
2021-04-16,49.98
2021-04-19,52.79
2021-04-20,51.75
2021-04-22,50.81
2021-04-23,52.62
2021-04-26,54.0
2021-04-27,56.1
2021-04-28,55.23
2021-04-29,56.39
2021-04-30,52.5
2021-05-03,50.04
2021-05-04,49.6
2021-05-05,52.09
2021-05-06,50.9
2021-05-07,52.22
2021-05-10,51.39
2021-05-11,52.11
2021-05-12,51.12
2021-05-13,51.35
2021-05-14,52.12
2021-05-17,53.76
2021-05-18,51.8
2021-05-19,51.17
2021-05-20,49.98
2021-05-21,50.82
2021-05-24,50.6
2021-05-25,50.66
2021-05-26,51.58
2021-05-27,51.79
2021-05-28,51.74
2021-05-31,50.07
2021-06-01,53.35
2021-06-02,55.92
2021-06-04,58.91
2021-06-07,60.2
2021-06-08,56.37
2021-06-09,57.03
2021-06-10,59.46
2021-06-11,57.3
2021-06-14,56.35
2021-06-15,57.39
2021-06-16,56.9
2021-06-17,53.84
2021-06-18,54.06
2021-06-21,55.11
2021-06-22,54.89
2021-06-23,56.44
2021-06-24,56.9
2021-06-25,55.42
2021-06-28,56.3
2021-06-29,59.32
2021-06-30,59.55
2021-07-01,58.35
2021-07-02,60.0
2021-07-05,61.06
2021-07-06,59.02
2021-07-07,58.83
2021-07-08,58.39
2021-07-12,60.4
2021-07-13,59.8
2021-07-14,62.56
2021-07-15,62.09
2021-07-16,60.43
2021-07-19,59.38
2021-07-20,60.11
2021-07-21,62.87
2021-07-22,62.4
2021-07-23,58.93
2021-07-26,60.25
2021-07-27,58.0
2021-07-28,59.1
2021-07-29,59.36
2021-07-30,57.75
2021-08-02,58.23
2021-08-03,58.02
2021-08-04,57.82
2021-08-05,55.41
2021-08-06,56.47
2021-08-09,57.1
2021-08-10,56.99
2021-08-11,56.73
2021-08-12,56.14
2021-08-13,56.49
2021-08-16,54.56
2021-08-17,52.5
2021-08-18,54.71
2021-08-19,57.46
2021-08-20,58.58
2021-08-23,60.08
2021-08-24,60.49
2021-08-25,62.86
2021-08-26,61.66
2021-08-27,62.6
2021-08-30,62.49
2021-08-31,65.99
2021-09-01,67.58
2021-09-02,67.07
2021-09-03,66.78
2021-09-06,67.07
2021-09-08,65.28
2021-09-09,67.08
2021-09-10,67.2
2021-09-13,67.4
2021-09-14,69.42
2021-09-15,70.17
2021-09-16,69.49
2021-09-17,66.01
