data_pregao,preco_ultimo
2020-01-02,18.22
2020-01-03,18.63
2020-01-06,18.5
2020-01-07,18.8
2020-01-08,18.25
2020-01-09,18.51
2020-01-10,18.64
2020-01-13,19.04
2020-01-14,19.22
2020-01-15,19.13
2020-01-16,18.75
2020-01-17,18.97
2020-01-20,18.97
2020-01-21,18.39
2020-01-22,18.47
2020-01-23,18.86
2020-01-24,18.74
2020-01-27,18.44
2020-01-28,18.8
2020-01-29,18.96
2020-01-30,18.76
2020-01-31,18.4
2020-02-03,19.05
2020-02-04,19.18
2020-02-05,19.1
2020-02-06,18.34
2020-02-07,18.04
2020-02-10,17.87
2020-02-11,18.24
2020-02-12,18.56
2020-02-13,18.4
2020-02-14,18.08
2020-02-17,17.76
2020-02-18,17.67
2020-02-19,17.95
2020-02-20,17.66
2020-02-21,17.87
2020-02-26,16.68
2020-02-27,16.33
2020-02-28,16.34
2020-03-02,16.75
2020-03-03,16.54
2020-03-04,16.98
2020-03-05,15.84
2020-03-06,15.01
2020-03-09,13.85
2020-03-10,14.29
2020-03-11,12.48
2020-03-12,11.3
2020-03-13,11.93
2020-03-16,9.96
2020-03-17,10.51
2020-03-18,8.0
2020-03-19,8.8
2020-03-20,8.27
2020-03-23,7.9
2020-03-24,8.94
2020-03-25,9.96
2020-03-26,11.49
2020-03-27,10.9
2020-03-30,10.8
2020-03-31,9.98
2020-04-01,9.46
2020-04-02,9.53
2020-04-03,8.85
2020-04-06,9.14
2020-04-07,9.12
2020-04-08,9.95
2020-04-09,9.45
2020-04-13,9.52
2020-04-14,9.71
2020-04-15,9.31
2020-04-16,9.38
2020-04-17,9.59
2020-04-20,10.15
2020-04-22,10.47
2020-04-23,10.61
2020-04-24,9.3
2020-04-27,9.55
2020-04-28,10.35
2020-04-29,10.67
2020-04-30,10.04
2020-05-04,9.35
2020-05-05,9.1
2020-05-06,8.74
2020-05-07,8.14
2020-05-08,8.18
2020-05-11,7.95
2020-05-12,7.82
2020-05-13,7.99
2020-05-14,8.61
2020-05-15,8.4
2020-05-18,9.0
2020-05-19,9.05
2020-05-20,9.47
2020-05-21,10.21
2020-05-22,9.65
2020-05-25,10.18
2020-05-26,10.03
2020-05-27,10.46
2020-05-28,9.95
2020-05-29,9.81
2020-06-01,10.43
2020-06-02,10.42
2020-06-03,11.23
2020-06-04,10.97
2020-06-05,10.9
2020-06-08,11.44
2020-06-09,11.77
2020-06-10,11.16
2020-06-12,10.79
2020-06-15,10.5
2020-06-16,10.37
2020-06-17,10.64
2020-06-18,10.56
2020-06-19,10.72
2020-06-22,10.6
2020-06-23,10.48
2020-06-24,10.34
2020-06-25,10.2
2020-06-26,9.64
2020-06-29,10.15
2020-06-30,10.08
2020-07-01,10.39
2020-07-02,10.3
2020-07-03,10.48
2020-07-06,10.93
2020-07-07,10.74
2020-07-08,10.87
2020-07-09,11.03
2020-07-10,11.27
2020-07-13,10.81
2020-07-14,10.85
2020-07-15,11.05
2020-07-16,11.01
2020-07-17,11.33
2020-07-20,11.5
2020-07-21,11.49
2020-07-22,10.93
2020-07-23,10.42
2020-07-24,10.3
2020-07-27,10.13
2020-07-28,10.31
2020-07-29,10.34
2020-07-30,10.3
2020-07-31,9.9
2020-08-03,9.59
2020-08-04,9.45
2020-08-05,10.18
2020-08-06,11.32
2020-08-07,10.84
2020-08-10,10.86
2020-08-11,11.03
2020-08-12,10.59
2020-08-13,9.77
2020-08-14,10.25
2020-08-17,9.65
2020-08-18,9.75
2020-08-19,9.56
2020-08-20,9.88
2020-08-21,9.83
2020-08-24,9.8
2020-08-25,9.77
2020-08-26,9.43
2020-08-27,9.42
2020-08-28,9.46
2020-08-31,9.28
2020-09-01,9.67
2020-09-02,9.56
2020-09-03,9.34
2020-09-04,9.45
2020-09-08,9.86
2020-09-09,9.66
2020-09-10,9.47
2020-09-11,9.31
2020-09-14,9.86
2020-09-15,9.77
2020-09-16,9.98
2020-09-17,9.79
2020-09-18,9.4
2020-09-21,9.13
2020-09-22,9.1
2020-09-23,8.77
2020-09-24,8.82
2020-09-25,8.72
2020-09-28,8.5
2020-09-29,8.36
2020-09-30,8.38
2020-10-01,8.85
2020-10-02,8.81
2020-10-05,8.8
2020-10-06,8.98
2020-10-07,8.96
2020-10-08,9.13
2020-10-09,9.09
2020-10-13,9.0
2020-10-14,8.93
2020-10-15,9.0
2020-10-16,8.84
2020-10-19,9.32
2020-10-20,9.46
2020-10-21,9.71
2020-10-22,9.48
2020-10-23,9.43
2020-10-26,9.09
2020-10-27,8.81
2020-10-28,8.24
2020-10-29,8.37
2020-10-30,8.16
2020-11-03,7.92
2020-11-04,8.3
2020-11-05,8.78
2020-11-06,9.05
2020-11-09,10.14
2020-11-10,10.04
2020-11-11,10.05
2020-11-12,9.6
2020-11-13,9.6
2020-11-16,9.8
2020-11-17,9.79
2020-11-18,9.58
2020-11-19,9.46
2020-11-20,9.2
2020-11-23,9.33
2020-11-24,9.99
2020-11-25,10.16
2020-11-26,10.18
2020-11-27,10.23
2020-11-30,9.79
2020-12-01,10.2
2020-12-02,10.34
2020-12-03,10.71
2020-12-04,10.59
2020-12-07,10.61
2020-12-08,10.63
2020-12-09,10.63
2020-12-10,10.79
2020-12-11,10.66
2020-12-14,10.66
2020-12-15,10.67
2020-12-16,10.74
2020-12-17,10.63
2020-12-18,10.39
2020-12-21,10.09
2020-12-22,9.85
2020-12-23,10.01
2020-12-28,10.25
2020-12-29,10.06
2020-12-30,9.9
2021-01-04,9.53
2021-01-05,9.72
2021-01-06,9.21
2021-01-07,9.14
2021-01-08,9.41
2021-01-11,9.14
2021-01-12,9.24
2021-01-13,9.23
2021-01-14,9.38
2021-01-15,9.28
2021-01-18,9.36
2021-01-19,9.45
2021-01-20,9.4
2021-01-21,9.37
2021-01-22,9.17
2021-01-26,9.34
2021-01-27,9.34
2021-01-28,9.89
2021-01-29,9.55
2021-02-01,9.67
2021-02-02,9.87
2021-02-03,10.14
2021-02-04,9.91
2021-02-05,9.83
2021-02-08,9.75
2021-02-09,9.61
2021-02-10,9.47
2021-02-11,9.45
2021-02-12,9.47
2021-02-17,9.35
2021-02-18,9.27
2021-02-19,9.22
2021-02-22,8.96
2021-02-23,8.9
2021-02-24,8.8
2021-02-25,8.7
2021-02-26,8.35
2021-03-01,8.17
2021-03-02,8.23
2021-03-03,8.15
2021-03-04,8.38
2021-03-05,8.72
2021-03-08,8.3
2021-03-09,8.27
2021-03-10,8.46
2021-03-11,9.06
2021-03-12,9.26
2021-03-15,9.33
2021-03-16,9.15
2021-03-17,9.23
2021-03-18,9.02
2021-03-19,9.57
2021-03-22,9.52
2021-03-23,9.68
2021-03-24,9.74
2021-03-25,9.82
2021-03-26,9.81
