data_pregao,preco_ultimo
2020-01-02,65.18
2020-01-03,64.3
2020-01-06,63.9
2020-01-07,63.74
2020-01-08,64.59
2020-01-09,68.04
2020-01-10,66.78
2020-01-13,69.17
2020-01-14,68.35
2020-01-15,70.11
2020-01-16,70.36
2020-01-17,71.26
2020-01-20,75.68
2020-01-21,76.56
2020-01-22,75.85
2020-01-23,75.35
2020-01-24,74.25
2020-01-27,72.13
2020-01-28,75.05
2020-01-29,75.44
2020-01-30,74.0
2020-01-31,71.2
2020-02-03,71.42
2020-02-04,73.45
2020-02-05,73.5
2020-02-06,71.5
2020-02-07,67.96
2020-02-10,65.77
2020-02-11,70.6
2020-02-12,70.93
2020-02-13,73.33
2020-02-14,70.6
2020-02-17,71.65
2020-02-18,72.0
2020-02-19,73.2
2020-02-20,70.99
2020-02-21,72.76
2020-02-26,65.68
2020-02-27,62.71
2020-02-28,62.15
2020-03-02,63.35
2020-03-03,66.51
2020-03-04,68.58
2020-03-05,62.35
2020-03-06,56.26
2020-03-09,49.25
2020-03-10,54.92
2020-03-11,51.79
2020-03-12,43.0
2020-03-13,54.78
2020-03-16,49.5
2020-03-17,53.7
2020-03-18,51.0
2020-03-19,48.67
2020-03-20,49.21
2020-03-23,45.34
2020-03-24,54.8
2020-03-25,60.0
2020-03-26,56.11
2020-03-27,51.28
2020-03-30,50.99
2020-03-31,48.0
2020-04-01,48.08
2020-04-02,49.74
2020-04-03,45.1
2020-04-06,53.84
2020-04-07,57.5
2020-04-08,61.39
2020-04-09,57.73
2020-04-13,58.3
2020-04-14,59.5
2020-04-15,62.8
2020-04-16,64.69
2020-04-17,61.8
2020-04-20,64.66
2020-04-22,75.75
2020-04-23,72.8
2020-04-24,68.68
2020-04-27,75.19
2020-04-28,77.21
2020-04-29,77.79
2020-04-30,73.25
2020-05-04,74.07
2020-05-05,74.86
2020-05-06,89.18
2020-05-07,90.2
2020-05-08,87.5
2020-05-11,86.94
2020-05-12,89.51
2020-05-13,91.41
2020-05-14,88.85
2020-05-15,86.07
2020-05-18,84.12
2020-05-19,92.16
2020-05-20,88.53
2020-05-21,86.6
2020-05-22,85.15
2020-05-25,87.38
2020-05-26,95.4
2020-05-27,94.0
2020-05-28,92.49
2020-05-29,91.62
2020-06-01,91.4
2020-06-02,89.19
2020-06-03,87.35
2020-06-04,86.03
2020-06-05,86.33
2020-06-08,93.0
2020-06-09,94.5
2020-06-10,99.7
2020-06-12,99.47
2020-06-15,101.9
2020-06-16,100.08
2020-06-17,106.2
2020-06-18,104.88
2020-06-19,104.0
2020-06-22,102.4
2020-06-23,103.3
2020-06-24,106.27
2020-06-25,105.25
2020-06-26,103.1
2020-06-29,106.15
2020-06-30,107.05
2020-07-01,112.02
2020-07-02,107.93
2020-07-03,108.86
2020-07-06,118.25
2020-07-07,117.1
2020-07-08,115.41
2020-07-09,120.18
2020-07-10,120.24
2020-07-13,117.0
2020-07-14,115.69
2020-07-15,113.99
2020-07-16,110.61
2020-07-17,115.48
2020-07-20,119.64
2020-07-21,119.23
2020-07-22,125.55
2020-07-23,120.0
2020-07-24,121.59
2020-07-27,120.5
2020-07-28,121.83
2020-07-29,123.41
2020-07-30,122.0
2020-07-31,119.32
2020-08-03,126.0
2020-08-04,122.99
2020-08-05,121.5
2020-08-06,123.01
2020-08-07,121.67
2020-08-10,121.78
2020-08-11,120.0
2020-08-12,120.26
2020-08-13,122.0
2020-08-14,113.6
2020-08-17,108.46
2020-08-18,114.4
2020-08-19,112.39
2020-08-20,112.81
2020-08-21,115.77
2020-08-24,115.14
2020-08-25,114.33
2020-08-26,111.0
2020-08-27,111.23
2020-08-28,115.56
2020-08-31,112.09
2020-09-01,113.51
2020-09-02,110.9
2020-09-03,102.5
2020-09-04,102.3
2020-09-08,99.36
2020-09-09,102.8
2020-09-10,100.18
2020-09-11,98.16
2020-09-14,100.47
2020-09-15,99.9
2020-09-16,98.5
2020-09-17,97.31
2020-09-18,94.19
2020-09-21,97.97
2020-09-22,94.25
2020-09-23,91.4
2020-09-24,95.15
2020-09-25,95.41
2020-09-28,91.23
2020-09-29,89.17
2020-09-30,89.98
2020-10-01,89.23
2020-10-02,87.34
2020-10-05,87.01
2020-10-06,89.13
2020-10-07,88.63
2020-10-08,87.2
2020-10-09,89.03
2020-10-13,95.02
2020-10-14,95.61
2020-10-15,94.54
2020-10-16,93.0
2020-10-19,90.16
2020-10-20,90.2
2020-10-21,89.15
2020-10-22,87.1
2020-10-23,86.7
2020-10-26,86.86
2020-10-27,85.65
2020-10-28,83.2
2020-10-29,82.65
2020-10-30,75.24
2020-11-03,75.98
2020-11-04,80.99
2020-11-05,84.03
2020-11-06,82.28
2020-11-09,79.69
2020-11-10,73.07
2020-11-11,74.73
2020-11-12,75.86
2020-11-13,75.27
2020-11-16,74.3
2020-11-17,76.32
2020-11-18,75.6
2020-11-19,74.63
2020-11-20,75.0
2020-11-23,73.86
2020-11-24,74.1
2020-11-25,74.8
2020-11-26,75.75
2020-11-27,76.61
2020-11-30,70.4
2020-12-01,69.76
2020-12-02,68.5
2020-12-03,72.44
2020-12-04,78.0
2020-12-07,84.03
2020-12-08,83.75
2020-12-09,81.4
2020-12-10,81.5
2020-12-11,78.6
2020-12-14,78.11
2020-12-15,78.48
2020-12-16,81.49
2020-12-17,79.95
2020-12-18,78.66
2020-12-21,77.1
2020-12-22,75.97
2020-12-23,75.6
2020-12-28,77.04
2020-12-29,75.7
2020-12-30,75.61
2021-01-04,75.18
2021-01-05,73.5
2021-01-06,68.41
2021-01-07,67.31
2021-01-08,72.0
2021-01-11,71.31
2021-01-12,74.09
2021-01-13,75.3
2021-01-14,77.35
2021-01-15,81.3
2021-01-18,82.15
2021-01-19,80.62
2021-01-20,87.5
2021-01-21,89.79
2021-01-22,89.31
2021-01-26,85.85
2021-01-27,84.77
2021-01-28,86.2
2021-01-29,82.32
2021-02-01,83.56
2021-02-02,89.3
2021-02-03,90.39
2021-02-04,86.34
2021-02-05,84.51
2021-02-08,84.07
2021-02-09,83.0
2021-02-10,82.54
2021-02-11,85.6
2021-02-12,85.41
2021-02-17,86.38
2021-02-18,83.0
2021-02-19,88.65
2021-02-22,89.67
2021-02-23,85.9
2021-02-24,86.3
2021-02-25,85.27
2021-02-26,82.0
2021-03-01,80.73
2021-03-02,78.59
2021-03-03,76.15
2021-03-04,74.68
2021-03-05,71.49
2021-03-08,66.64
2021-03-09,63.14
2021-03-10,67.98
2021-03-11,67.42
2021-03-12,63.91
2021-03-15,65.82
2021-03-16,63.76
2021-03-17,64.55
2021-03-18,61.25
2021-03-19,62.39
2021-03-22,62.96
2021-03-23,62.56
2021-03-24,60.43
2021-03-25,60.8
2021-03-26,59.29
2021-03-29,60.26
2021-03-30,61.55
2021-03-31,60.75
2021-04-01,61.57
2021-04-05,61.7
2021-04-06,63.14
2021-04-07,61.27
2021-04-08,63.24
2021-04-09,62.64
2021-04-12,63.3
2021-04-13,68.98
2021-04-14,67.07
2021-04-15,68.19
2021-04-16,68.2
2021-04-19,67.6
2021-04-20,65.7
2021-04-22,65.0
2021-04-23,64.8
2021-04-26,64.35
2021-04-27,62.46
2021-04-28,63.45
2021-04-29,68.33
2021-04-30,67.32
2021-05-03,66.74
2021-05-04,65.85
2021-05-05,65.4
2021-05-06,63.0
2021-05-07,62.48
2021-05-10,59.75
2021-05-11,59.1
2021-05-12,58.57
2021-05-13,60.01
2021-05-14,59.31
2021-05-17,58.5
2021-05-18,57.74
2021-05-19,56.59
2021-05-20,56.8
2021-05-21,56.0
2021-05-24,58.31
2021-05-25,59.24
2021-05-26,57.99
2021-05-27,59.59
2021-05-28,59.89
2021-05-31,59.75
2021-06-01,63.66
2021-06-02,63.55
2021-06-04,64.35
2021-06-07,65.71
2021-06-08,66.38
2021-06-09,66.14
2021-06-10,68.12
2021-06-11,67.32
