data_pregao,preco_ultimo
2020-01-02,19.0
2020-01-03,18.79
2020-01-06,18.31
2020-01-07,18.72
2020-01-08,18.59
2020-01-09,18.14
2020-01-10,18.17
2020-01-13,18.3
2020-01-14,18.91
2020-01-15,18.51
2020-01-16,18.78
2020-01-17,19.03
2020-01-20,19.45
2020-01-21,19.44
2020-01-22,19.3
2020-01-23,20.08
2020-01-24,19.82
2020-01-27,19.42
2020-01-28,19.45
2020-01-29,19.0
2020-01-30,18.8
2020-01-31,18.24
2020-02-03,18.45
2020-02-04,18.1
2020-02-05,18.35
2020-02-06,17.8
2020-02-07,17.28
2020-02-10,17.26
2020-02-11,17.96
2020-02-12,18.16
2020-02-13,18.0
2020-02-14,17.9
2020-02-17,17.94
2020-02-18,18.12
2020-02-19,18.76
2020-02-20,18.41
2020-02-21,18.15
2020-02-26,16.63
2020-02-27,15.84
2020-02-28,16.33
2020-03-02,16.64
2020-03-03,16.44
2020-03-04,16.55
2020-03-05,15.35
2020-03-06,14.41
2020-03-09,12.7
2020-03-10,14.9
2020-03-11,14.11
2020-03-12,11.87
2020-03-13,14.5
2020-03-16,11.9
2020-03-17,12.05
2020-03-18,10.68
2020-03-19,10.52
2020-03-20,10.36
2020-03-23,9.92
2020-03-24,11.88
2020-03-25,13.2
2020-03-26,13.82
2020-03-27,12.73
2020-03-30,12.29
2020-03-31,11.73
2020-04-01,11.63
2020-04-02,11.44
2020-04-03,11.25
2020-04-06,12.04
2020-04-07,12.13
2020-04-08,12.4
2020-04-09,12.81
2020-04-13,12.5
2020-04-14,12.92
2020-04-15,12.77
2020-04-16,12.26
2020-04-17,12.69
2020-04-20,13.14
2020-04-22,13.29
2020-04-23,13.09
2020-04-24,12.04
2020-04-27,12.31
2020-04-28,12.84
2020-04-29,13.08
2020-04-30,12.35
2020-05-04,12.18
2020-05-05,12.5
2020-05-06,12.29
2020-05-07,11.42
2020-05-08,11.42
2020-05-11,11.24
2020-05-12,10.99
2020-05-13,10.91
2020-05-14,11.46
2020-05-15,10.97
2020-05-18,11.83
2020-05-19,12.12
2020-05-20,12.7
2020-05-21,14.18
2020-05-22,13.47
2020-05-25,14.3
2020-05-26,14.69
2020-05-27,14.7
2020-05-28,14.78
2020-05-29,14.7
2020-06-01,14.59
2020-06-02,14.5
2020-06-03,15.15
2020-06-04,14.69
2020-06-05,14.6
2020-06-08,14.94
2020-06-09,14.48
2020-06-10,14.35
2020-06-12,14.36
2020-06-15,14.22
2020-06-16,13.98
2020-06-17,14.06
2020-06-18,14.61
2020-06-19,15.0
2020-06-22,14.69
