data_pregao,preco_ultimo
2020-01-02,8.57
2020-01-03,8.46
2020-01-06,8.25
2020-01-07,8.01
2020-01-08,7.83
2020-01-09,7.35
2020-01-10,7.4
2020-01-13,7.43
2020-01-14,7.49
2020-01-15,7.27
2020-01-16,7.3
2020-01-17,7.23
2020-01-20,7.05
2020-01-21,6.9
2020-01-22,7.16
2020-01-23,7.12
2020-01-24,7.0
2020-01-27,7.0
2020-01-28,7.25
2020-01-29,6.96
2020-01-30,7.09
2020-01-31,7.07
2020-02-03,7.16
2020-02-04,6.96
2020-02-05,7.04
2020-02-06,7.37
2020-02-07,7.36
2020-02-10,7.24
2020-02-11,7.13
2020-02-12,7.32
2020-02-13,7.2
2020-02-14,7.29
2020-02-17,7.24
2020-02-18,7.4
2020-02-19,7.45
2020-02-20,7.2
2020-02-21,7.05
2020-02-26,6.86
2020-02-27,6.49
2020-02-28,6.85
2020-03-02,7.08
2020-03-03,7.2
2020-03-04,7.37
2020-03-05,6.88
2020-03-06,6.56
2020-03-09,6.02
2020-03-10,6.34
2020-03-11,5.95
2020-03-12,4.69
2020-03-13,5.67
2020-03-16,5.0
2020-03-17,5.46
2020-03-18,5.09
2020-03-19,4.65
2020-03-20,4.43
2020-03-23,4.14
2020-03-24,4.05
2020-03-25,5.0
2020-03-26,5.0
2020-03-27,4.61
2020-03-30,4.76
2020-03-31,4.44
2020-04-01,4.28
2020-04-02,4.23
2020-04-03,3.98
2020-04-06,4.05
2020-04-07,4.11
2020-04-08,5.02
2020-04-09,4.83
2020-04-13,4.95
2020-04-14,4.83
2020-04-15,4.81
2020-04-16,4.62
2020-04-17,4.53
2020-04-20,4.4
2020-04-22,4.41
2020-04-23,4.26
2020-04-24,4.08
2020-04-27,4.11
2020-04-28,4.18
2020-04-29,4.23
2020-04-30,4.06
2020-05-04,3.94
2020-05-05,3.91
2020-05-06,3.81
2020-05-07,3.6
2020-05-08,3.76
2020-05-11,3.64
2020-05-12,3.54
2020-05-13,3.33
2020-05-14,3.55
2020-05-15,3.47
2020-05-18,3.7
2020-05-19,3.6
2020-05-20,3.56
2020-05-21,3.48
2020-05-22,3.41
2020-05-25,3.68
2020-05-26,3.81
2020-05-27,4.0
2020-05-28,4.05
2020-05-29,4.09
2020-06-01,4.17
2020-06-02,4.4
2020-06-03,4.54
2020-06-04,4.38
2020-06-05,4.5
2020-06-08,4.64
2020-06-09,4.84
2020-06-10,4.56
2020-06-12,4.21
2020-06-15,4.8
2020-06-16,4.96
2020-06-17,5.18
2020-06-18,5.63
2020-06-19,5.7
2020-06-22,5.51
2020-06-23,5.4
2020-06-24,4.7
2020-06-25,4.87
2020-06-26,4.63
2020-06-29,4.62
2020-06-30,4.62
2020-07-01,4.87
2020-07-02,4.85
2020-07-03,4.8
2020-07-06,4.83
2020-07-07,4.75
2020-07-08,5.0
2020-07-09,4.9
2020-07-10,4.91
2020-07-13,4.98
2020-07-14,4.9
2020-07-15,4.9
2020-07-16,4.82
2020-07-17,5.26
2020-07-20,5.24
2020-07-21,5.33
2020-07-22,5.52
2020-07-23,5.22
2020-07-24,5.27
