data_pregao,preco_ultimo
2020-01-02,13.88
2020-01-03,13.73
2020-01-06,13.92
2020-01-07,14.43
2020-01-08,14.83
2020-01-09,14.71
2020-01-10,14.93
2020-01-13,15.35
2020-01-14,15.51
2020-01-15,15.41
2020-01-16,15.5
2020-01-17,15.64
2020-01-20,15.41
2020-01-21,15.22
2020-01-22,15.05
2020-01-23,15.28
2020-01-24,15.44
2020-01-27,15.22
2020-01-28,15.5
2020-01-29,15.41
2020-01-30,15.19
2020-01-31,14.95
2020-02-03,15.18
2020-02-04,15.37
2020-02-05,15.97
2020-02-06,15.68
2020-02-07,15.18
2020-02-10,14.63
2020-02-11,15.06
2020-02-12,15.08
2020-02-13,14.78
2020-02-14,14.82
2020-02-17,15.07
2020-02-18,15.06
2020-02-19,14.98
2020-02-20,14.6
2020-02-21,14.96
2020-02-26,13.86
2020-02-27,13.7
2020-02-28,13.96
2020-03-02,14.39
2020-03-03,14.42
2020-03-04,15.08
2020-03-05,14.36
2020-03-06,13.69
2020-03-09,12.3
2020-03-10,12.64
2020-03-11,11.39
2020-03-12,9.19
2020-03-13,10.5
2020-03-16,9.32
2020-03-17,9.92
2020-03-18,9.18
2020-03-19,9.44
2020-03-20,8.9
2020-03-23,8.15
2020-03-24,8.4
2020-03-25,9.07
2020-03-26,10.0
2020-03-27,9.22
2020-03-30,9.11
2020-03-31,8.91
2020-04-01,8.43
2020-04-02,8.21
2020-04-03,7.95
2020-04-06,8.5
2020-04-07,8.67
2020-04-08,8.87
2020-04-09,9.17
2020-04-13,9.48
2020-04-14,9.94
2020-04-15,10.05
2020-04-16,10.11
2020-04-17,10.14
2020-04-20,10.06
2020-04-22,10.14
2020-04-23,9.85
2020-04-24,8.75
2020-04-27,8.82
2020-04-28,9.4
2020-04-29,9.76
2020-04-30,9.52
2020-05-04,9.24
2020-05-05,9.25
2020-05-06,8.82
2020-05-07,8.28
2020-05-08,8.63
2020-05-11,8.3
2020-05-12,8.06
2020-05-13,7.92
2020-05-14,8.59
2020-05-15,8.21
2020-05-18,8.78
2020-05-19,8.53
2020-05-20,8.77
2020-05-21,9.25
2020-05-22,9.36
2020-05-25,10.03
2020-05-26,10.47
2020-05-27,10.93
2020-05-28,10.61
2020-05-29,10.8
2020-06-01,10.9
2020-06-02,11.13
2020-06-03,11.26
2020-06-04,11.18
2020-06-05,11.4
2020-06-08,12.01
2020-06-09,12.05
2020-06-10,11.51
2020-06-12,11.03
2020-06-15,10.75
2020-06-16,11.12
2020-06-17,11.72
2020-06-18,11.36
2020-06-19,11.38
2020-06-22,11.58
2020-06-23,11.4
2020-06-24,11.04
2020-06-25,11.19
2020-06-26,10.6
2020-06-29,10.87
2020-06-30,11.02
2020-07-01,11.17
2020-07-02,11.12
2020-07-03,11.13
2020-07-06,11.36
2020-07-07,11.26
2020-07-08,11.5
2020-07-09,11.57
2020-07-10,11.52
2020-07-13,11.67
2020-07-14,11.41
2020-07-15,11.45
2020-07-16,11.25
2020-07-17,11.33
2020-07-20,11.64
2020-07-21,11.51
2020-07-22,12.4
2020-07-23,12.14
2020-07-24,12.01
2020-07-27,12.35
2020-07-28,12.39
2020-07-29,12.19
2020-07-30,12.24
2020-07-31,12.0
2020-08-03,11.31
2020-08-04,11.06
2020-08-05,10.97
2020-08-06,11.41
2020-08-07,11.18
2020-08-10,11.19
2020-08-11,11.01
2020-08-12,10.77
2020-08-13,10.42
2020-08-14,10.4
2020-08-17,10.19
2020-08-18,10.46
2020-08-19,10.52
2020-08-20,10.45
2020-08-21,10.81
2020-08-24,10.8
2020-08-25,11.12
2020-08-26,10.65
2020-08-27,10.78
2020-08-28,10.97
2020-08-31,10.53
2020-09-01,10.84
2020-09-02,10.87
2020-09-03,10.92
2020-09-04,10.79
2020-09-08,10.72
2020-09-09,11.19
2020-09-10,11.03
2020-09-11,10.76
2020-09-14,10.82
2020-09-15,10.62
2020-09-16,10.81
2020-09-17,10.92
2020-09-18,10.63
2020-09-21,10.44
2020-09-22,10.63
2020-09-23,10.41
2020-09-24,10.78
2020-09-25,10.54
2020-09-28,10.2
2020-09-29,10.13
2020-09-30,10.1
2020-10-01,10.27
2020-10-02,10.15
2020-10-05,10.5
2020-10-06,10.42
2020-10-07,10.4
2020-10-08,10.61
2020-10-09,10.68
2020-10-13,10.71
2020-10-14,10.89
2020-10-15,10.92
2020-10-16,10.91
2020-10-19,10.82
2020-10-20,10.96
2020-10-21,10.93
2020-10-22,11.0
2020-10-23,10.91
2020-10-26,10.93
2020-10-27,10.73
2020-10-28,10.45
2020-10-29,10.39
2020-10-30,10.25
2020-11-03,10.33
2020-11-04,10.66
2020-11-05,11.05
2020-11-06,11.2
2020-11-09,11.44
2020-11-10,11.69
2020-11-11,11.29
2020-11-12,11.03
2020-11-13,11.32
2020-11-16,11.75
2020-11-17,11.89
2020-11-18,12.05
2020-11-19,11.95
2020-11-20,11.67
2020-11-23,11.85
2020-11-24,12.28
2020-11-25,12.42
2020-11-26,12.31
2020-11-27,12.45
2020-11-30,12.63
2020-12-01,12.95
2020-12-02,13.01
2020-12-03,12.91
2020-12-04,12.66
2020-12-07,13.23
2020-12-08,13.05
2020-12-09,13.02
2020-12-10,13.24
2020-12-11,13.69
2020-12-14,13.59
2020-12-15,13.48
2020-12-16,13.48
2020-12-17,13.81
2020-12-18,13.96
2020-12-21,13.5
2020-12-22,13.85
2020-12-23,14.18
2020-12-28,14.52
2020-12-29,14.47
2020-12-30,14.56
2021-01-04,14.14
2021-01-05,14.14
2021-01-06,14.46
2021-01-07,14.27
2021-01-08,15.25
2021-01-11,14.72
2021-01-12,14.66
2021-01-13,14.79
2021-01-14,15.01
2021-01-15,14.67
2021-01-18,14.43
2021-01-19,14.18
2021-01-20,13.84
2021-01-21,13.83
2021-01-22,13.8
2021-01-26,13.48
2021-01-27,13.46
2021-01-28,14.15
2021-01-29,13.7
2021-02-01,14.14
2021-02-02,14.28
2021-02-03,14.42
2021-02-04,14.29
2021-02-05,14.14
2021-02-08,14.16
2021-02-09,13.92
2021-02-10,13.73
2021-02-11,13.74
2021-02-12,13.53
2021-02-17,13.24
2021-02-18,12.9
2021-02-19,12.74
2021-02-22,12.3
2021-02-23,12.42
2021-02-24,12.38
2021-02-25,11.97
2021-02-26,11.96
2021-03-01,11.53
2021-03-02,11.87
2021-03-03,11.77
2021-03-04,12.15
2021-03-05,11.92
2021-03-08,11.48
2021-03-09,11.36
2021-03-10,11.91
2021-03-11,12.04
2021-03-12,12.09
2021-03-15,12.23
2021-03-16,12.1
2021-03-17,12.16
2021-03-18,12.26
2021-03-19,12.5
2021-03-22,12.31
2021-03-23,12.31
2021-03-24,12.06
2021-03-25,12.44
2021-03-26,12.43
2021-03-29,12.8
2021-03-30,12.95
2021-03-31,13.03
2021-04-01,12.77
2021-04-05,12.51
2021-04-06,12.67
2021-04-07,12.69
2021-04-08,12.7
2021-04-09,12.58
2021-04-12,12.63
2021-04-13,12.82
2021-04-14,12.94
2021-04-15,12.83
2021-04-16,12.9
2021-04-19,13.0
2021-04-20,13.5
2021-04-22,13.45
2021-04-23,13.5
2021-04-26,13.45
2021-04-27,13.33
2021-04-28,14.11
2021-04-29,14.03
2021-04-30,13.84
2021-05-03,12.1
2021-05-04,11.95
2021-05-05,12.1
2021-05-06,11.99
2021-05-07,12.01
2021-05-10,11.85
2021-05-11,12.01
2021-05-12,11.53
2021-05-13,11.78
2021-05-14,12.18
2021-05-17,12.4
2021-05-18,12.63
2021-05-19,13.27
2021-05-20,13.06
2021-05-21,13.12
2021-05-24,13.43
2021-05-25,13.45
2021-05-26,13.46
2021-05-27,13.75
2021-05-28,13.7
2021-05-31,13.58
2021-06-01,13.69
2021-06-02,13.9
2021-06-04,13.8
2021-06-07,13.96
2021-06-08,13.92
2021-06-09,13.76
2021-06-10,13.72
2021-06-11,13.44
2021-06-14,13.68
2021-06-15,13.51
2021-06-16,13.48
2021-06-17,13.29
2021-06-18,13.27
2021-06-21,13.07
2021-06-22,12.81
2021-06-23,12.7
2021-06-24,12.75
2021-06-25,12.53
2021-06-28,12.53
2021-06-29,12.27
2021-06-30,12.13
2021-07-01,11.89
2021-07-02,12.11
2021-07-05,12.09
2021-07-06,11.96
2021-07-07,12.08
2021-07-08,11.73
2021-07-12,12.14
2021-07-13,11.89
2021-07-14,12.14
2021-07-15,12.02
2021-07-16,11.93
2021-07-19,11.87
2021-07-20,12.14
2021-07-21,12.17
2021-07-22,12.28
2021-07-23,12.16
2021-07-26,12.09
2021-07-27,12.13
2021-07-28,12.37
2021-07-29,12.1
2021-07-30,11.94
2021-08-02,11.87
2021-08-03,11.95
2021-08-04,11.8
2021-08-05,11.61
2021-08-06,11.72
2021-08-09,11.77
2021-08-10,11.56
2021-08-11,11.61
2021-08-12,11.47
2021-08-13,11.57
2021-08-16,11.38
2021-08-17,11.7
2021-08-18,11.93
2021-08-19,12.18
2021-08-20,12.49
2021-08-23,12.5
2021-08-24,13.04
2021-08-25,13.14
2021-08-26,13.03
2021-08-27,13.24
2021-08-30,13.18
2021-08-31,13.51
2021-09-01,13.97
2021-09-02,13.69
2021-09-03,13.61
2021-09-06,13.49
2021-09-08,13.25
2021-09-09,13.37
2021-09-10,13.46
2021-09-13,13.67
2021-09-14,13.76
2021-09-15,13.75
2021-09-16,13.78
2021-09-17,13.76
