data_pregao,preco_ultimo
2020-01-02,12.2
2020-01-03,12.15
2020-01-06,11.99
2020-01-07,12.08
2020-01-08,12.0
2020-01-09,12.1
2020-01-10,12.2
2020-01-13,12.55
2020-01-14,12.79
2020-01-15,12.35
2020-01-16,12.02
2020-01-17,11.67
2020-01-20,11.53
2020-01-21,11.18
2020-01-22,11.3
2020-01-23,11.69
2020-01-24,11.67
2020-01-27,11.28
2020-01-28,11.7
2020-01-29,11.7
2020-01-30,11.49
2020-01-31,11.62
2020-02-03,11.65
2020-02-04,12.3
2020-02-05,12.18
2020-02-06,11.85
2020-02-07,11.29
2020-02-10,11.09
2020-02-11,11.15
2020-02-12,11.6
2020-02-13,11.8
2020-02-14,11.71
2020-02-17,11.71
2020-02-18,11.4
2020-02-19,11.15
2020-02-20,11.05
2020-02-21,11.05
2020-02-26,10.26
2020-02-27,9.94
2020-02-28,10.09
2020-03-02,10.25
2020-03-03,10.49
2020-03-04,10.43
2020-03-05,9.98
2020-03-06,9.0
2020-03-09,7.54
2020-03-10,8.15
2020-03-11,7.55
2020-03-12,5.98
2020-03-13,6.67
2020-03-16,5.29
2020-03-17,5.91
2020-03-18,4.75
2020-03-19,4.86
2020-03-20,4.91
2020-03-23,4.53
2020-03-24,4.48
2020-03-25,5.0
2020-03-26,5.85
2020-03-27,5.32
2020-03-30,5.06
2020-03-31,4.0
2020-04-01,3.87
2020-04-02,3.66
2020-04-03,3.72
2020-04-06,4.2
2020-04-07,4.48
2020-04-08,4.6
2020-04-09,4.58
2020-04-13,4.87
2020-04-14,4.96
2020-04-15,5.25
2020-04-16,5.11
2020-04-17,5.04
2020-04-20,5.09
2020-04-22,5.08
2020-04-23,4.9
2020-04-24,4.61
2020-04-27,4.6
2020-04-28,4.98
2020-04-29,5.59
2020-04-30,5.54
2020-05-04,5.22
2020-05-05,4.96
2020-05-06,4.98
2020-05-07,4.71
2020-05-08,4.73
2020-05-11,4.52
2020-05-12,4.36
2020-05-13,4.15
2020-05-14,4.2
2020-05-15,4.21
2020-05-18,4.65
2020-05-19,4.61
2020-05-20,4.57
2020-05-21,4.7
2020-05-22,4.3
2020-05-25,4.73
2020-05-26,4.81
2020-05-27,5.3
2020-05-28,5.23
2020-05-29,5.26
2020-06-01,5.63
2020-06-02,6.4
2020-06-03,6.78
2020-06-04,6.74
2020-06-05,6.9
2020-06-08,6.9
2020-06-09,6.95
2020-06-10,6.66
2020-06-12,6.35
2020-06-15,6.39
2020-06-16,6.15
2020-06-17,6.43
2020-06-18,6.33
2020-06-19,6.31
2020-06-22,6.61
2020-06-23,7.01
2020-06-24,6.76
2020-06-25,6.71
2020-06-26,6.36
2020-06-29,6.55
2020-06-30,6.61
2020-07-01,6.97
2020-07-02,6.92
2020-07-03,7.2
2020-07-06,7.6
2020-07-07,7.45
2020-07-08,7.66
2020-07-09,7.78
2020-07-10,8.64
2020-07-13,8.68
2020-07-14,8.62
2020-07-15,8.75
2020-07-16,9.19
2020-07-17,9.35
2020-07-20,9.6
2020-07-21,9.4
2020-07-22,9.39
2020-07-23,8.75
2020-07-24,8.28
2020-07-27,8.33
2020-07-28,9.0
2020-07-29,9.24
2020-07-30,9.46
2020-07-31,8.28
2020-08-03,7.85
2020-08-04,7.4
2020-08-05,7.38
2020-08-06,7.27
2020-08-07,7.29
2020-08-10,7.39
2020-08-11,7.33
2020-08-12,7.19
2020-08-13,6.92
2020-08-14,7.19
2020-08-17,6.88
2020-08-18,6.96
2020-08-19,6.58
2020-08-20,6.57
2020-08-21,6.56
2020-08-24,6.37
2020-08-25,6.2
2020-08-26,6.06
2020-08-27,6.07
2020-08-28,6.01
2020-08-31,5.7
2020-09-01,5.95
2020-09-02,5.93
2020-09-03,5.8
2020-09-04,6.01
2020-09-08,6.15
2020-09-09,5.9
2020-09-10,5.88
2020-09-11,5.7
2020-09-14,5.98
2020-09-15,5.8
2020-09-16,5.83
2020-09-17,5.77
2020-09-18,5.53
2020-09-21,5.56
2020-09-22,5.67
2020-09-23,5.51
2020-09-24,5.5
2020-09-25,5.58
2020-09-28,5.33
2020-09-29,5.21
2020-09-30,5.18
2020-10-01,5.52
2020-10-02,5.4
2020-10-05,5.31
2020-10-06,5.24
2020-10-07,5.2
2020-10-08,5.38
2020-10-09,5.25
2020-10-13,5.21
2020-10-14,5.22
2020-10-15,5.04
2020-10-16,4.83
2020-10-19,4.81
2020-10-20,4.94
2020-10-21,5.04
2020-10-22,4.91
2020-10-23,4.85
2020-10-26,4.8
2020-10-27,4.62
2020-10-28,4.25
2020-10-29,4.54
2020-10-30,4.29
2020-11-03,4.2
2020-11-04,4.47
2020-11-05,4.39
2020-11-06,4.5
2020-11-09,4.92
2020-11-10,4.9
2020-11-11,4.71
2020-11-12,4.58
2020-11-13,4.76
2020-11-16,4.75
2020-11-17,4.87
2020-11-18,5.13
2020-11-19,4.98
2020-11-20,5.12
2020-11-23,5.04
2020-11-24,5.02
2020-11-25,4.88
2020-11-26,5.09
2020-11-27,4.89
2020-11-30,4.69
2020-12-01,5.0
2020-12-02,5.17
2020-12-03,5.26
2020-12-04,5.2
2020-12-07,5.11
2020-12-08,5.12
2020-12-09,5.05
2020-12-10,5.22
2020-12-11,5.3
2020-12-14,5.01
2020-12-15,4.87
2020-12-16,4.92
2020-12-17,4.82
2020-12-18,4.78
2020-12-21,4.64
2020-12-22,4.5
2020-12-23,4.6
2020-12-28,4.6
2020-12-29,4.69
2020-12-30,4.63
2021-01-04,4.7
2021-01-05,4.67
2021-01-06,4.52
2021-01-07,4.62
2021-01-08,4.82
2021-01-11,4.62
2021-01-12,4.65
2021-01-13,4.63
2021-01-14,4.77
2021-01-15,4.76
2021-01-18,4.69
2021-01-19,4.63
2021-01-20,4.64
2021-01-21,4.5
2021-01-22,4.41
2021-01-26,4.33
2021-01-27,4.37
2021-01-28,4.59
2021-01-29,4.52
2021-02-01,4.54
2021-02-02,4.65
2021-02-03,4.74
2021-02-04,4.62
2021-02-05,4.63
2021-02-08,4.47
2021-02-09,4.42
2021-02-10,4.24
2021-02-11,4.23
2021-02-12,4.19
2021-02-17,4.26
2021-02-18,4.2
2021-02-19,4.18
2021-02-22,3.98
2021-02-23,3.96
2021-02-24,3.9
2021-02-25,3.83
2021-02-26,3.74
2021-03-01,3.61
2021-03-02,3.63
2021-03-03,3.67
2021-03-04,3.7
2021-03-05,4.07
2021-03-08,3.83
2021-03-09,3.75
2021-03-10,4.05
2021-03-11,4.14
2021-03-12,4.19
2021-03-15,4.12
2021-03-16,3.97
2021-03-17,4.12
2021-03-18,3.97
2021-03-19,4.16
2021-03-22,4.05
2021-03-23,3.96
2021-03-24,3.88
2021-03-25,3.99
2021-03-26,3.81
2021-03-29,3.77
2021-03-30,3.86
2021-03-31,3.98
2021-04-01,3.84
2021-04-05,4.07
2021-04-06,4.05
2021-04-07,4.0
2021-04-08,4.05
2021-04-09,4.11
2021-04-12,4.09
2021-04-13,4.33
2021-04-14,4.13
2021-04-15,4.11
2021-04-16,4.19
2021-04-19,4.1
2021-04-20,3.99
2021-04-22,3.96
2021-04-23,3.96
2021-04-26,3.99
2021-04-27,3.96
2021-04-28,4.0
2021-04-29,3.93
2021-04-30,3.87
2021-05-03,3.86
2021-05-04,3.77
2021-05-05,3.88
2021-05-06,3.85
2021-05-07,3.87
2021-05-10,3.97
2021-05-11,3.92
2021-05-12,3.78
2021-05-13,3.87
2021-05-14,3.98
2021-05-17,4.03
2021-05-18,4.02
2021-05-19,4.01
2021-05-20,3.99
2021-05-21,3.92
2021-05-24,3.91
2021-05-25,4.17
2021-05-26,4.04
2021-05-27,4.29
2021-05-28,4.26
2021-05-31,4.22
2021-06-01,4.45
2021-06-02,4.45
2021-06-04,4.63
2021-06-07,4.59
2021-06-08,4.56
2021-06-09,4.5
2021-06-10,4.46
2021-06-11,4.34
2021-06-14,4.75
2021-06-15,4.66
2021-06-16,4.64
2021-06-17,4.66
2021-06-18,4.57
2021-06-21,4.8
2021-06-22,4.69
2021-06-23,4.74
2021-06-24,4.75
2021-06-25,4.59
2021-06-28,4.57
2021-06-29,4.49
2021-06-30,4.33
2021-07-01,4.26
2021-07-02,4.34
2021-07-05,4.3
2021-07-06,4.17
2021-07-07,4.17
2021-07-08,4.14
2021-07-12,4.23
2021-07-13,4.25
2021-07-14,4.28
2021-07-15,4.19
2021-07-16,4.14
2021-07-19,4.06
2021-07-20,4.07
2021-07-21,3.97
2021-07-22,3.95
2021-07-23,3.87
2021-07-26,3.79
2021-07-27,3.73
2021-07-28,3.82
2021-07-29,3.71
2021-07-30,3.64
2021-08-02,3.64
2021-08-03,3.6
2021-08-04,3.56
2021-08-05,3.48
2021-08-06,3.51
2021-08-09,3.48
2021-08-10,3.44
2021-08-11,3.35
2021-08-12,3.27
2021-08-13,3.32
2021-08-16,3.12
2021-08-17,3.1
2021-08-18,3.24
2021-08-19,3.22
2021-08-20,3.32
2021-08-23,3.3
2021-08-24,3.39
2021-08-25,3.39
2021-08-26,3.4
2021-08-27,3.39
2021-08-30,3.26
2021-08-31,3.21
2021-09-01,3.15
2021-09-02,3.06
2021-09-03,3.04
2021-09-06,3.06
2021-09-08,2.87
2021-09-09,2.98
2021-09-10,3.01
2021-09-13,3.21
2021-09-14,3.17
2021-09-15,3.03
2021-09-16,3.04
2021-09-17,2.97
