data_pregao,preco_ultimo
2020-01-02,35.21
2020-01-03,34.99
2020-01-06,35.32
2020-01-07,34.91
2020-01-08,34.69
2020-01-09,35.32
2020-01-10,35.99
2020-01-13,35.86
2020-01-14,35.59
2020-01-15,35.85
2020-01-16,36.5
2020-01-17,37.3
2020-01-20,38.0
2020-01-21,37.76
2020-01-22,37.69
2020-01-23,38.3
2020-01-24,37.93
2020-01-27,37.0
2020-01-28,37.21
2020-01-29,38.23
2020-01-30,38.46
2020-01-31,38.27
2020-02-03,39.0
2020-02-04,38.35
2020-02-05,39.2
2020-02-06,38.25
2020-02-07,37.8
2020-02-10,36.87
2020-02-11,37.68
2020-02-12,37.96
2020-02-13,37.54
2020-02-14,37.57
2020-02-17,38.15
2020-02-18,38.0
2020-02-19,38.45
2020-02-20,37.8
2020-02-21,37.74
2020-02-26,36.33
2020-02-27,35.64
2020-02-28,35.53
2020-03-02,37.08
2020-03-03,37.07
2020-03-04,39.1
2020-03-05,37.8
2020-03-06,37.0
2020-03-09,34.0
2020-03-10,34.46
2020-03-11,32.1
2020-03-12,27.87
2020-03-13,30.32
2020-03-16,28.1
2020-03-17,29.19
2020-03-18,25.2
2020-03-19,24.5
2020-03-20,25.25
2020-03-23,23.5
2020-03-24,25.3
2020-03-25,26.03
2020-03-26,28.07
2020-03-27,26.99
2020-03-30,27.06
2020-03-31,26.87
2020-04-01,26.29
2020-04-02,25.9
2020-04-03,25.83
2020-04-06,26.54
2020-04-07,27.32
2020-04-08,27.6
2020-04-09,27.8
2020-04-13,28.79
2020-04-14,29.5
2020-04-15,29.62
2020-04-16,29.77
2020-04-17,29.59
2020-04-20,30.02
2020-04-22,30.1
2020-04-23,29.94
2020-04-24,27.95
2020-04-27,29.67
2020-04-28,30.7
2020-04-29,30.04
2020-04-30,29.04
2020-05-04,29.45
2020-05-05,30.39
2020-05-06,30.1
2020-05-07,28.19
2020-05-08,29.65
2020-05-11,29.17
2020-05-12,28.99
2020-05-13,28.2
2020-05-14,29.35
2020-05-15,29.69
2020-05-18,30.25
2020-05-19,29.4
2020-05-20,28.63
2020-05-21,29.82
2020-05-22,30.57
2020-05-25,31.82
2020-05-26,31.55
2020-05-27,33.61
2020-05-28,32.78
2020-05-29,32.25
2020-06-01,31.72
2020-06-02,32.0
2020-06-03,32.1
2020-06-04,32.05
2020-06-05,32.4
2020-06-08,33.21
2020-06-09,33.45
2020-06-10,33.06
2020-06-12,32.31
2020-06-15,31.6
2020-06-16,31.17
2020-06-17,31.96
2020-06-18,31.69
2020-06-19,32.18
2020-06-22,31.6
2020-06-23,30.55
2020-06-24,30.27
2020-06-25,30.41
2020-06-26,29.96
2020-06-29,30.31
2020-06-30,30.66
2020-07-01,30.81
2020-07-02,30.43
2020-07-03,30.8
2020-07-06,31.49
2020-07-07,31.25
2020-07-08,30.91
2020-07-09,30.26
2020-07-10,30.34
2020-07-13,29.92
2020-07-14,30.39
2020-07-15,30.8
2020-07-16,30.24
2020-07-17,30.65
2020-07-20,31.14
2020-07-21,31.14
2020-07-22,31.71
2020-07-23,31.59
2020-07-24,32.22
2020-07-27,33.01
2020-07-28,31.2
2020-07-29,31.4
2020-07-30,31.73
2020-07-31,31.4
2020-08-03,31.04
2020-08-04,30.57
2020-08-05,30.85
2020-08-06,31.76
2020-08-07,31.18
2020-08-10,31.3
2020-08-11,30.74
2020-08-12,30.2
2020-08-13,29.8
2020-08-14,30.03
2020-08-17,29.03
2020-08-18,29.89
2020-08-19,29.35
2020-08-20,29.28
2020-08-21,29.49
2020-08-24,29.38
2020-08-25,29.27
2020-08-26,28.55
2020-08-27,28.86
2020-08-28,29.5
2020-08-31,28.74
2020-09-01,29.26
2020-09-02,29.03
