data_pregao,preco_ultimo
2020-01-02,23.93
2020-01-03,24.55
2020-01-06,23.48
2020-01-07,23.34
2020-01-08,22.9
2020-01-09,23.4
2020-01-10,23.64
2020-01-13,23.43
2020-01-14,23.4
2020-01-15,22.85
2020-01-16,23.44
2020-01-17,23.39
2020-01-20,23.54
2020-01-21,22.97
2020-01-22,23.28
2020-01-23,23.75
2020-01-24,23.66
2020-01-27,22.66
2020-01-28,23.39
2020-01-29,23.6
2020-01-30,23.12
2020-01-31,22.59
2020-02-03,22.55
2020-02-04,23.08
2020-02-05,22.94
2020-02-06,22.62
2020-02-07,22.54
2020-02-10,22.15
2020-02-11,22.05
2020-02-12,22.14
2020-02-13,22.02
2020-02-14,21.65
2020-02-17,22.4
2020-02-18,22.04
2020-02-19,21.8
2020-02-20,21.47
2020-02-21,21.5
2020-02-26,20.45
2020-02-27,19.61
2020-02-28,20.69
2020-03-02,21.5
2020-03-03,21.9
2020-03-04,22.3
2020-03-05,21.28
2020-03-06,21.32
2020-03-09,20.24
2020-03-10,21.15
2020-03-11,20.44
2020-03-12,18.0
2020-03-13,19.32
2020-03-16,17.6
2020-03-17,19.8
2020-03-18,20.19
2020-03-19,21.75
2020-03-20,22.8
2020-03-23,22.42
2020-03-24,21.8
2020-03-25,20.85
2020-03-26,21.6
2020-03-27,21.25
2020-03-30,21.58
2020-03-31,20.63
2020-04-01,19.72
2020-04-02,21.47
2020-04-03,21.18
2020-04-06,21.27
2020-04-07,20.86
2020-04-08,20.85
2020-04-09,20.0
2020-04-13,20.7
2020-04-14,20.31
2020-04-15,19.92
2020-04-16,20.53
2020-04-17,20.4
2020-04-20,20.09
2020-04-22,20.95
2020-04-23,20.6
2020-04-24,19.99
2020-04-27,20.13
2020-04-28,19.82
2020-04-29,20.2
2020-04-30,20.0
2020-05-04,20.04
2020-05-05,19.86
2020-05-06,19.88
2020-05-07,19.62
2020-05-08,19.75
2020-05-11,19.38
2020-05-12,18.54
2020-05-13,18.12
2020-05-14,17.9
2020-05-15,17.38
2020-05-18,17.18
2020-05-19,17.13
2020-05-20,17.4
2020-05-21,17.8
2020-05-22,17.61
2020-05-25,17.99
2020-05-26,17.79
2020-05-27,18.47
2020-05-28,17.98
2020-05-29,18.49
2020-06-01,18.4
2020-06-02,18.7
2020-06-03,18.85
2020-06-04,18.5
2020-06-05,18.25
2020-06-08,18.4
2020-06-09,18.37
2020-06-10,18.01
2020-06-12,18.5
2020-06-15,18.3
2020-06-16,19.0
2020-06-17,19.04
2020-06-18,19.16
2020-06-19,19.81
2020-06-22,19.4
2020-06-23,19.73
2020-06-24,19.63
2020-06-25,20.0
2020-06-26,19.5
2020-06-29,19.84
2020-06-30,19.75
2020-07-01,19.94
2020-07-02,20.12
2020-07-03,20.2
2020-07-06,20.06
2020-07-07,19.9
2020-07-08,20.7
2020-07-09,20.15
2020-07-10,20.2
2020-07-13,19.85
2020-07-14,19.89
2020-07-15,19.67
2020-07-16,19.44
2020-07-17,20.22
2020-07-20,20.33
2020-07-21,20.9
2020-07-22,20.85
2020-07-23,20.5
2020-07-24,20.63
2020-07-27,21.36
2020-07-28,22.5
2020-07-29,22.31
2020-07-30,22.65
2020-07-31,22.44
2020-08-03,21.92
2020-08-04,21.6
2020-08-05,21.4
2020-08-06,21.3
2020-08-07,21.25
2020-08-10,21.3
2020-08-11,20.85
2020-08-12,20.32
2020-08-13,19.77
2020-08-14,20.19
2020-08-17,19.7
2020-08-18,20.07
2020-08-19,19.65
2020-08-20,19.86
2020-08-21,19.39
2020-08-24,19.36
2020-08-25,19.8
2020-08-26,19.2
2020-08-27,19.4
2020-08-28,19.77
2020-08-31,19.55
2020-09-01,20.2
2020-09-02,20.52
2020-09-03,20.75
2020-09-04,20.62
2020-09-08,20.77
2020-09-09,20.87
2020-09-10,20.55
2020-09-11,20.48
2020-09-14,20.58
2020-09-15,20.92
2020-09-16,21.05
2020-09-17,21.48
2020-09-18,21.18
2020-09-21,21.02
2020-09-22,21.33
2020-09-23,20.5
2020-09-24,21.07
2020-09-25,20.89
2020-09-28,20.23
2020-09-29,20.06
2020-09-30,20.49
2020-10-01,20.72
2020-10-02,20.36
2020-10-05,20.52
2020-10-06,20.64
2020-10-07,20.49
2020-10-08,20.86
2020-10-09,20.87
2020-10-13,20.89
2020-10-14,20.98
2020-10-15,20.7
2020-10-16,20.74
2020-10-19,20.39
2020-10-20,20.7
2020-10-21,20.5
2020-10-22,20.45
2020-10-23,20.15
2020-10-26,20.25
2020-10-27,20.13
2020-10-28,19.7
2020-10-29,19.2
2020-10-30,18.45
2020-11-03,18.73
2020-11-04,19.05
2020-11-05,19.37
2020-11-06,19.84
2020-11-09,19.93
2020-11-10,19.64
2020-11-11,19.2
2020-11-12,19.01
2020-11-13,19.41
2020-11-16,19.78
2020-11-17,19.89
2020-11-18,20.0
2020-11-19,20.29
2020-11-20,20.39
2020-11-23,19.3
2020-11-24,19.2
2020-11-25,19.05
2020-11-26,19.47
2020-11-27,19.41
2020-11-30,20.11
2020-12-01,19.84
