data_pregao,preco_ultimo
2020-01-02,71.71
2020-01-03,73.1
2020-01-06,72.67
2020-01-07,73.98
2020-01-08,72.76
2020-01-09,71.98
2020-01-10,73.05
2020-01-13,74.92
2020-01-14,77.31
2020-01-15,76.04
2020-01-16,77.2
2020-01-17,78.0
2020-01-20,79.56
2020-01-21,78.07
2020-01-22,80.39
2020-01-23,80.71
2020-01-24,80.57
2020-01-27,78.81
2020-01-28,80.35
2020-01-29,79.99
2020-01-30,80.68
2020-01-31,79.7
2020-02-03,82.24
2020-02-04,81.4
2020-02-05,82.3
2020-02-06,80.96
2020-02-07,78.9
2020-02-10,78.9
2020-02-11,83.7
2020-02-12,84.2
2020-02-13,83.27
2020-02-14,82.7
2020-02-17,81.06
2020-02-18,79.54
2020-02-19,81.1
2020-02-20,79.87
2020-02-21,79.6
2020-02-26,75.37
2020-02-27,72.18
2020-02-28,73.17
2020-03-02,75.55
2020-03-03,75.97
2020-03-04,77.06
2020-03-05,71.99
2020-03-06,69.36
2020-03-09,63.0
2020-03-10,67.27
2020-03-11,59.5
2020-03-12,48.53
2020-03-13,55.45
2020-03-16,49.24
2020-03-17,52.05
2020-03-18,46.0
2020-03-19,47.1
2020-03-20,50.5
2020-03-23,48.97
2020-03-24,52.9
2020-03-25,57.0
2020-03-26,61.46
2020-03-27,55.64
2020-03-30,55.58
2020-03-31,53.76
2020-04-01,49.9
2020-04-02,49.71
2020-04-03,48.1
2020-04-06,51.11
2020-04-07,52.5
2020-04-08,53.31
2020-04-09,51.57
2020-04-13,53.6
2020-04-14,54.0
2020-04-15,55.75
2020-04-16,56.7
2020-04-17,53.5
2020-04-20,56.49
2020-04-22,59.25
2020-04-23,59.31
2020-04-24,56.14
2020-04-27,59.12
2020-04-28,62.0
2020-04-29,61.84
2020-04-30,60.34
2020-05-04,59.53
2020-05-05,61.24
2020-05-06,60.35
2020-05-07,58.35
2020-05-08,62.29
2020-05-11,60.81
2020-05-12,59.47
2020-05-13,59.03
2020-05-14,59.07
2020-05-15,57.75
2020-05-18,61.11
2020-05-19,62.5
2020-05-20,63.41
2020-05-21,65.56
2020-05-22,62.99
2020-05-25,63.75
2020-05-26,63.88
2020-05-27,66.27
2020-05-28,65.18
2020-05-29,65.85
2020-06-01,68.29
2020-06-02,69.9
2020-06-03,71.83
2020-06-04,69.43
2020-06-05,69.22
2020-06-08,69.3
2020-06-09,68.53
2020-06-10,66.25
2020-06-12,65.76
2020-06-15,66.82
2020-06-16,67.7
2020-06-17,69.82
2020-06-18,71.6
2020-06-19,70.54
2020-06-22,70.29
2020-06-23,68.76
2020-06-24,68.79
2020-06-25,70.16
2020-06-26,68.69
2020-06-29,70.18
2020-06-30,70.92
2020-07-01,74.94
2020-07-02,74.03
2020-07-03,75.62
2020-07-06,76.78
2020-07-07,73.5
2020-07-08,75.24
2020-07-09,73.75
2020-07-10,74.4
2020-07-13,73.18
2020-07-14,74.51
2020-07-15,77.4
2020-07-16,77.73
2020-07-17,81.73
2020-07-20,84.75
2020-07-21,83.63
2020-07-22,84.02
2020-07-23,82.96
2020-07-24,82.44
2020-07-27,83.0
2020-07-28,82.65
2020-07-29,84.05
2020-07-30,88.1
2020-07-31,90.4
2020-08-03,88.01
2020-08-04,86.14
2020-08-05,87.91
2020-08-06,87.86
2020-08-07,87.1
2020-08-10,86.98
2020-08-11,84.0
2020-08-12,83.5
2020-08-13,83.05
2020-08-14,82.8
2020-08-17,81.55
2020-08-18,85.17
2020-08-19,82.96
2020-08-20,83.81
2020-08-21,83.36
2020-08-24,85.39
2020-08-25,84.64
2020-08-26,82.85
2020-08-27,82.92
2020-08-28,85.95
2020-08-31,83.25
2020-09-01,81.69
2020-09-02,79.11
2020-09-03,76.7
2020-09-04,76.87
2020-09-08,76.02
2020-09-09,78.31
2020-09-10,75.56
2020-09-11,74.26
2020-09-14,74.24
2020-09-15,75.71
2020-09-16,75.22
2020-09-17,75.61
2020-09-18,74.05
2020-09-21,73.36
2020-09-22,71.97
2020-09-23,68.96
2020-09-24,69.49
2020-09-25,68.3
2020-09-28,66.31
2020-09-29,65.86
2020-09-30,68.33
2020-10-01,70.33
2020-10-02,68.28
2020-10-05,68.69
2020-10-06,67.87
2020-10-07,67.95
2020-10-08,68.4
2020-10-09,66.24
2020-10-13,67.24
2020-10-14,69.0
2020-10-15,70.38
2020-10-16,68.58
2020-10-19,70.84
2020-10-20,70.27
2020-10-21,70.89
2020-10-22,70.29
2020-10-23,69.24
2020-10-26,68.25
2020-10-27,70.17
2020-10-28,67.9
2020-10-29,67.22
2020-10-30,64.99
2020-11-03,66.3
