data_pregao,preco_ultimo
2020-01-02,14.69
2020-01-03,14.58
2020-01-06,14.22
2020-01-07,14.22
2020-01-08,14.2
2020-01-09,14.05
2020-01-10,14.21
2020-01-13,15.07
2020-01-14,14.83
2020-01-15,14.63
2020-01-16,14.76
2020-01-17,14.78
2020-01-20,15.1
2020-01-21,14.66
2020-01-22,15.68
2020-01-23,15.49
2020-01-24,14.91
2020-01-27,13.75
2020-01-28,13.64
2020-01-29,13.36
2020-01-30,13.41
2020-01-31,12.9
2020-02-03,13.02
2020-02-04,13.25
2020-02-05,13.3
2020-02-06,13.22
2020-02-07,12.72
2020-02-10,12.16
2020-02-11,12.72
2020-02-12,12.98
2020-02-13,12.99
2020-02-14,12.66
2020-02-17,13.09
2020-02-18,13.32
2020-02-19,13.53
2020-02-20,13.22
2020-02-21,13.13
2020-02-26,11.7
2020-02-27,11.32
2020-02-28,11.18
2020-03-02,12.35
2020-03-03,12.17
2020-03-04,12.32
2020-03-05,11.95
2020-03-06,11.11
2020-03-09,8.3
2020-03-10,9.37
2020-03-11,8.02
2020-03-12,6.58
2020-03-13,7.95
2020-03-16,7.2
2020-03-17,7.75
2020-03-18,6.71
2020-03-19,6.36
2020-03-20,6.16
2020-03-23,5.8
2020-03-24,5.8
2020-03-25,6.55
2020-03-26,7.1
2020-03-27,6.77
2020-03-30,7.06
2020-03-31,6.98
2020-04-01,6.84
2020-04-02,6.97
2020-04-03,6.25
2020-04-06,6.55
2020-04-07,6.95
2020-04-08,7.41
2020-04-09,7.17
2020-04-13,7.33
2020-04-14,7.44
2020-04-15,7.29
2020-04-16,7.44
2020-04-17,7.59
2020-04-20,7.32
2020-04-22,7.34
2020-04-23,7.5
2020-04-24,7.08
2020-04-27,7.25
2020-04-28,7.81
2020-04-29,9.03
2020-04-30,8.96
2020-05-04,8.23
2020-05-05,7.96
2020-05-06,8.1
2020-05-07,8.49
2020-05-08,8.51
2020-05-11,8.02
2020-05-12,7.88
2020-05-13,7.52
2020-05-14,8.39
2020-05-15,7.88
2020-05-18,8.28
2020-05-19,8.74
2020-05-20,8.57
