data_pregao,preco_ultimo
2020-01-02,44.71
2020-01-03,44.2
2020-01-06,43.82
2020-01-07,44.4
2020-01-08,44.34
2020-01-09,43.39
2020-01-10,42.04
2020-01-13,41.6
2020-01-14,42.5
2020-01-15,41.39
2020-01-16,41.07
2020-01-17,41.64
2020-01-20,41.0
2020-01-21,39.33
2020-01-22,39.74
2020-01-23,40.41
2020-01-24,39.54
2020-01-27,37.82
2020-01-28,38.41
2020-01-29,37.01
2020-01-30,36.23
2020-01-31,36.5
2020-02-03,36.66
2020-02-04,37.2
2020-02-05,37.0
2020-02-06,36.52
2020-02-07,35.0
2020-02-10,32.89
2020-02-11,34.6
2020-02-12,33.74
2020-02-13,33.88
2020-02-14,33.1
2020-02-17,33.34
2020-02-18,32.51
2020-02-19,32.6
2020-02-20,32.07
2020-02-21,30.88
2020-02-26,27.38
2020-02-27,26.21
2020-02-28,25.73
2020-03-02,23.0
2020-03-03,22.51
2020-03-04,22.18
2020-03-05,20.0
2020-03-06,22.88
2020-03-09,19.5
2020-03-10,21.76
2020-03-11,19.24
2020-03-12,13.64
2020-03-13,15.35
2020-03-16,10.4
2020-03-17,9.95
2020-03-18,6.49
2020-03-19,7.45
2020-03-20,8.21
2020-03-23,7.61
2020-03-24,8.75
2020-03-25,9.35
2020-03-26,12.38
2020-03-27,12.84
2020-03-30,12.95
2020-03-31,11.1
2020-04-01,9.4
2020-04-02,10.25
2020-04-03,9.9
2020-04-06,10.33
2020-04-07,11.6
2020-04-08,11.75
2020-04-09,12.95
2020-04-13,13.1
2020-04-14,14.28
2020-04-15,14.5
2020-04-16,14.6
2020-04-17,14.67
2020-04-20,14.56
2020-04-22,14.85
2020-04-23,13.92
2020-04-24,11.99
2020-04-27,12.36
2020-04-28,14.15
2020-04-29,14.19
2020-04-30,13.8
2020-05-04,12.91
2020-05-05,12.39
2020-05-06,11.66
2020-05-07,10.9
2020-05-08,11.89
2020-05-11,11.16
2020-05-12,10.75
2020-05-13,10.72
2020-05-14,10.61
2020-05-15,10.55
2020-05-18,12.58
2020-05-19,12.38
2020-05-20,13.23
2020-05-21,12.93
2020-05-22,12.47
2020-05-25,14.1
2020-05-26,13.5
2020-05-27,15.25
2020-05-28,14.74
2020-05-29,14.4
2020-06-01,15.5
2020-06-02,18.6
2020-06-03,19.82
2020-06-04,19.8
2020-06-05,20.91
2020-06-08,23.04
2020-06-09,24.05
2020-06-10,22.98
2020-06-12,20.81
2020-06-15,20.45
2020-06-16,19.77
2020-06-17,19.47
2020-06-18,19.2
2020-06-19,19.84
2020-06-22,19.6
2020-06-23,19.66
2020-06-24,18.76
2020-06-25,18.28
2020-06-26,17.7
2020-06-29,18.2
2020-06-30,18.14
2020-07-01,19.09
2020-07-02,19.28
2020-07-03,19.71
2020-07-06,21.79
2020-07-07,20.28
2020-07-08,19.05
2020-07-09,19.3
2020-07-10,22.0
2020-07-13,22.52
2020-07-14,22.7
2020-07-15,21.7
2020-07-16,22.2
2020-07-17,21.8
2020-07-20,21.62
2020-07-21,22.65
2020-07-22,21.9
2020-07-23,21.1
2020-07-24,20.64
2020-07-27,21.01
2020-07-28,21.49
2020-07-29,21.44
2020-07-30,21.5
2020-07-31,20.8
2020-08-03,20.0
2020-08-04,18.92
2020-08-05,19.85
2020-08-06,19.59
2020-08-07,19.01
2020-08-10,19.1
2020-08-11,20.35
2020-08-12,19.72
2020-08-13,18.93
2020-08-14,19.44
2020-08-17,18.87
2020-08-18,19.34
2020-08-19,18.94
2020-08-20,19.17
2020-08-21,19.97
2020-08-24,20.09
2020-08-25,19.65
2020-08-26,18.87
2020-08-27,19.09
2020-08-28,19.16
2020-08-31,18.3
2020-09-01,18.7
2020-09-02,18.5
2020-09-03,18.1
2020-09-04,18.07
2020-09-08,18.0
2020-09-09,17.71
2020-09-10,17.06
2020-09-11,16.88
2020-09-14,17.64
2020-09-15,17.48
2020-09-16,18.2
2020-09-17,17.8
2020-09-18,17.28
2020-09-21,16.52
2020-09-22,16.2
2020-09-23,16.36
