data_pregao,preco_ultimo
2020-01-02,31.11
2020-01-03,32.8
2020-01-06,32.5
2020-01-07,32.6
2020-01-08,31.59
2020-01-09,31.43
2020-01-10,31.65
2020-01-13,32.25
2020-01-14,32.5
2020-01-15,32.0
2020-01-16,32.12
2020-01-17,33.13
2020-01-20,33.85
2020-01-21,33.52
2020-01-22,34.03
2020-01-23,34.38
2020-01-24,33.34
2020-01-27,32.2
2020-01-28,33.08
2020-01-29,32.74
2020-01-30,32.47
2020-01-31,31.8
2020-02-03,32.45
2020-02-04,32.85
2020-02-05,33.0
2020-02-06,33.0
2020-02-07,32.73
2020-02-10,30.79
2020-02-11,32.16
2020-02-12,32.82
2020-02-13,32.77
2020-02-14,32.5
2020-02-17,32.82
2020-02-18,32.49
2020-02-19,33.6
2020-02-20,33.75
2020-02-21,33.85
2020-02-26,31.24
2020-02-27,29.5
2020-02-28,29.83
2020-03-02,30.63
2020-03-03,30.57
2020-03-04,32.18
2020-03-05,29.42
2020-03-06,27.75
2020-03-09,23.12
2020-03-10,25.17
2020-03-11,24.3
2020-03-12,18.31
2020-03-13,21.05
2020-03-16,17.06
2020-03-17,16.85
2020-03-18,13.37
2020-03-19,14.7
2020-03-20,14.17
2020-03-23,12.96
2020-03-24,15.3
2020-03-25,16.57
2020-03-26,18.23
2020-03-27,16.07
2020-03-30,15.7
2020-03-31,14.13
2020-04-01,12.96
2020-04-02,12.45
2020-04-03,12.77
2020-04-06,13.2
2020-04-07,13.8
2020-04-08,14.35
2020-04-09,14.6
2020-04-13,14.28
2020-04-14,14.43
2020-04-15,14.22
2020-04-16,14.05
2020-04-17,14.35
2020-04-20,15.62
2020-04-22,16.05
2020-04-23,16.0
2020-04-24,14.01
2020-04-27,14.25
2020-04-28,16.06
2020-04-29,17.08
2020-04-30,15.91
2020-05-04,14.83
2020-05-05,14.85
2020-05-06,14.35
2020-05-07,13.34
2020-05-08,13.6
2020-05-11,13.19
2020-05-12,13.06
2020-05-13,12.59
2020-05-14,13.63
2020-05-15,12.65
2020-05-18,13.53
2020-05-19,13.39
2020-05-20,14.0
2020-05-21,15.54
2020-05-22,14.88
2020-05-25,16.73
2020-05-26,16.15
2020-05-27,17.5
2020-05-28,17.5
2020-05-29,16.95
2020-06-01,17.08
2020-06-02,18.2
2020-06-03,20.89
2020-06-04,20.95
2020-06-05,20.68
2020-06-08,22.15
2020-06-09,21.43
2020-06-10,20.89
2020-06-12,20.34
2020-06-15,20.75
2020-06-16,20.94
2020-06-17,22.35
2020-06-18,22.35
2020-06-19,22.77
2020-06-22,22.86
2020-06-23,23.47
2020-06-24,22.64
2020-06-25,23.15
2020-06-26,21.92
2020-06-29,22.97
2020-06-30,22.85
2020-07-01,24.57
