data_pregao,preco_ultimo
2020-01-02,16.3
2020-01-03,16.17
2020-01-06,16.08
2020-01-07,16.44
2020-01-08,16.48
2020-01-09,16.43
2020-01-10,16.37
2020-01-13,16.65
2020-01-14,17.36
2020-01-15,17.5
2020-01-16,17.99
2020-01-17,18.2
2020-01-20,18.4
2020-01-21,18.58
2020-01-22,18.39
2020-01-23,18.96
2020-01-24,18.9
2020-01-27,19.02
2020-01-28,19.1
2020-01-29,18.87
2020-01-30,18.36
2020-01-31,17.73
2020-02-03,18.0
2020-02-04,17.75
2020-02-05,17.86
2020-02-06,17.43
2020-02-07,16.82
2020-02-10,16.76
2020-02-11,17.27
2020-02-12,17.6
2020-02-13,17.2
2020-02-14,17.03
2020-02-17,17.15
2020-02-18,17.18
2020-02-19,17.47
2020-02-20,17.52
2020-02-21,17.37
2020-02-26,16.1
2020-02-27,15.54
2020-02-28,15.78
2020-03-02,16.28
2020-03-03,15.99
2020-03-04,16.2
2020-03-05,15.1
2020-03-06,14.36
2020-03-09,12.02
2020-03-10,13.8
2020-03-11,13.25
2020-03-12,10.79
2020-03-13,13.13
2020-03-16,10.84
2020-03-17,11.37
2020-03-18,9.8
2020-03-19,9.53
2020-03-20,9.11
2020-03-23,8.71
2020-03-24,9.98
2020-03-25,10.85
2020-03-26,11.3
2020-03-27,10.57
2020-03-30,10.2
2020-03-31,9.45
2020-04-01,9.06
2020-04-02,9.0
2020-04-03,8.25
2020-04-06,9.35
2020-04-07,9.35
2020-04-08,10.13
2020-04-09,10.7
2020-04-13,10.9
2020-04-14,10.9
2020-04-15,10.69
2020-04-16,10.12
2020-04-17,10.34
2020-04-20,10.92
2020-04-22,11.26
2020-04-23,11.52
2020-04-24,10.32
2020-04-27,10.78
2020-04-28,10.84
2020-04-29,11.04
2020-04-30,10.49
2020-05-04,10.16
2020-05-05,10.5
2020-05-06,10.46
2020-05-07,9.76
2020-05-08,9.78
2020-05-11,9.66
2020-05-12,9.45
2020-05-13,9.25
2020-05-14,9.63
2020-05-15,9.34
2020-05-18,10.16
2020-05-19,10.59
2020-05-20,11.19
2020-05-21,12.29
2020-05-22,11.91
2020-05-25,12.96
2020-05-26,13.12
2020-05-27,13.56
2020-05-28,13.42
2020-05-29,13.15
2020-06-01,13.19
2020-06-02,13.03
2020-06-03,14.17
2020-06-04,13.57
2020-06-05,13.99
2020-06-08,14.41
2020-06-09,13.98
2020-06-10,13.64
2020-06-12,13.5
2020-06-15,13.35
2020-06-16,13.1
2020-06-17,13.08
2020-06-18,13.0
2020-06-19,13.24
2020-06-22,13.01
2020-06-23,13.0
2020-06-24,12.69
2020-06-25,13.42
2020-06-26,12.92
2020-06-29,12.96
2020-06-30,12.97
2020-07-01,13.7
2020-07-02,13.85
2020-07-03,13.87
2020-07-06,14.64
2020-07-07,14.36
2020-07-08,14.9
2020-07-09,14.41
2020-07-10,14.29
2020-07-13,13.85
2020-07-14,14.03
2020-07-15,14.05
2020-07-16,13.65
2020-07-17,13.94
2020-07-20,14.35
2020-07-21,14.04
2020-07-22,13.95
2020-07-23,13.6
2020-07-24,13.72
