data_pregao,preco_ultimo
2020-01-02,52.0
2020-01-03,52.3
2020-01-06,51.86
2020-01-07,51.97
2020-01-08,51.45
2020-01-09,51.6
2020-01-10,52.37
2020-01-13,53.36
2020-01-14,54.1
2020-01-15,53.45
2020-01-16,53.09
2020-01-17,53.43
2020-01-20,53.4
2020-01-21,53.6
2020-01-22,53.61
2020-01-23,53.6
2020-01-24,53.87
2020-01-27,52.82
2020-01-28,53.49
2020-01-29,53.02
2020-01-30,52.5
2020-01-31,52.05
2020-02-03,52.6
2020-02-04,52.85
2020-02-05,52.8
2020-02-06,51.81
2020-02-07,50.32
2020-02-10,49.93
2020-02-11,50.87
2020-02-12,50.8
2020-02-13,50.35
2020-02-14,50.2
2020-02-17,50.6
2020-02-18,50.85
2020-02-19,50.89
2020-02-20,49.37
2020-02-21,50.14
2020-02-26,47.99
2020-02-27,46.4
2020-02-28,47.53
2020-03-02,48.5
2020-03-03,48.53
2020-03-04,50.8
2020-03-05,48.8
2020-03-06,48.0
2020-03-09,44.77
2020-03-10,47.0
2020-03-11,45.27
2020-03-12,43.84
2020-03-13,48.19
2020-03-16,43.55
2020-03-17,46.82
2020-03-18,43.89
2020-03-19,41.68
2020-03-20,40.15
2020-03-23,37.98
2020-03-24,37.77
2020-03-25,38.23
2020-03-26,41.25
2020-03-27,39.09
2020-03-30,39.8
2020-03-31,38.92
2020-04-01,38.2
2020-04-02,38.11
2020-04-03,37.56
2020-04-06,38.85
2020-04-07,38.44
2020-04-08,38.96
2020-04-09,39.27
2020-04-13,39.99
2020-04-14,41.0
2020-04-15,40.34
2020-04-16,40.5
2020-04-17,40.05
2020-04-20,40.63
2020-04-22,41.03
2020-04-23,40.87
2020-04-24,38.23
2020-04-27,40.09
2020-04-28,40.26
2020-04-29,40.01
2020-04-30,39.12
2020-05-04,38.89
2020-05-05,38.93
2020-05-06,38.79
2020-05-07,37.0
2020-05-08,38.23
2020-05-11,37.72
2020-05-12,37.1
2020-05-13,36.72
2020-05-14,38.35
2020-05-15,38.4
2020-05-18,39.89
2020-05-19,39.43
2020-05-20,39.05
2020-05-21,39.88
2020-05-22,39.29
2020-05-25,41.27
2020-05-26,41.66
2020-05-27,41.64
2020-05-28,42.27
2020-05-29,42.41
2020-06-01,41.59
2020-06-02,42.09
2020-06-03,42.89
2020-06-04,42.7
2020-06-05,42.68
2020-06-08,43.76
2020-06-09,43.36
2020-06-10,43.77
2020-06-12,42.75
2020-06-15,42.87
2020-06-16,42.75
2020-06-17,44.51
2020-06-18,43.6
2020-06-19,43.25
2020-06-22,43.71
2020-06-23,43.24
2020-06-24,42.38
2020-06-25,42.78
2020-06-26,41.6
2020-06-29,42.71
2020-06-30,42.09
2020-07-01,42.84
2020-07-02,43.66
2020-07-03,45.05
2020-07-06,44.56
2020-07-07,43.88
2020-07-08,43.51
2020-07-09,43.28
2020-07-10,42.94
2020-07-13,44.0
2020-07-14,43.39
2020-07-15,43.21
2020-07-16,43.19
2020-07-17,44.0
2020-07-20,44.49
2020-07-21,43.92
2020-07-22,44.41
2020-07-23,43.8
2020-07-24,44.19
2020-07-27,44.37
2020-07-28,43.95
2020-07-29,44.5
2020-07-30,44.67
2020-07-31,46.17
2020-08-03,46.12
2020-08-04,45.88
2020-08-05,45.37
2020-08-06,46.48
2020-08-07,46.24
2020-08-10,45.31
2020-08-11,44.8
2020-08-12,43.78
2020-08-13,43.11
2020-08-14,43.79
2020-08-17,42.9
2020-08-18,43.29
2020-08-19,43.03
2020-08-20,42.7
2020-08-21,42.7
2020-08-24,42.74
2020-08-25,43.43
2020-08-26,43.11
2020-08-27,42.99
2020-08-28,43.36
2020-08-31,42.63
2020-09-01,43.61
2020-09-02,43.83
2020-09-03,43.28
2020-09-04,43.28
2020-09-08,44.12
2020-09-09,45.3
2020-09-10,44.32
2020-09-11,42.99
2020-09-14,43.28
2020-09-15,43.74
2020-09-16,42.73
2020-09-17,42.85
2020-09-18,42.11
2020-09-21,42.27
2020-09-22,42.23
2020-09-23,41.4
2020-09-24,41.72
2020-09-25,41.65
2020-09-28,40.66
2020-09-29,40.14
2020-09-30,40.35
2020-10-01,40.85
2020-10-02,40.08
2020-10-05,40.5
2020-10-06,40.33
2020-10-07,40.25
2020-10-08,40.52
2020-10-09,39.9
2020-10-13,40.18
2020-10-14,40.48
2020-10-15,40.65
2020-10-16,40.74
2020-10-19,40.7
2020-10-20,41.33
2020-10-21,41.53
2020-10-22,41.37
2020-10-23,41.38
2020-10-26,41.94
2020-10-27,41.71
2020-10-28,40.5
2020-10-29,40.32
2020-10-30,39.89
2020-11-03,39.87
2020-11-04,41.66
2020-11-05,43.3
2020-11-06,43.28
2020-11-09,43.9
2020-11-10,43.34
2020-11-11,43.29
2020-11-12,43.6
2020-11-13,43.33
2020-11-16,43.61
2020-11-17,45.74
2020-11-18,44.7
2020-11-19,44.01
2020-11-20,42.86
2020-11-23,43.01
2020-11-24,42.74
2020-11-25,42.98
2020-11-26,43.11
2020-11-27,43.03
2020-11-30,42.34
2020-12-01,42.75
2020-12-02,42.7
2020-12-03,42.88
2020-12-04,42.85
2020-12-07,43.25
2020-12-08,43.16
2020-12-09,43.3
2020-12-10,43.32
2020-12-11,44.91
2020-12-14,44.23
2020-12-15,44.25
2020-12-16,45.45
2020-12-17,44.87
2020-12-18,44.91
2020-12-21,43.5
2020-12-22,43.26
2020-12-23,43.66
2020-12-28,44.84
2020-12-29,44.49
2020-12-30,43.94
2021-01-04,43.58
2021-01-05,43.19
2021-01-06,42.86
2021-01-07,42.48
2021-01-08,44.26
2021-01-11,43.4
2021-01-12,43.6
2021-01-13,44.3
2021-01-14,45.23
2021-01-15,44.59
2021-01-18,44.5
2021-01-19,44.99
2021-01-20,44.02
2021-01-21,43.61
2021-01-22,43.33
2021-01-26,42.73
2021-01-27,43.06
2021-01-28,43.86
2021-01-29,42.96
2021-02-01,43.78
2021-02-02,44.25
2021-02-03,45.0
2021-02-04,45.12
2021-02-05,45.12
2021-02-08,45.02
2021-02-09,44.87
2021-02-10,45.1
2021-02-11,45.82
2021-02-12,45.9
2021-02-17,44.58
2021-02-18,44.4
2021-02-19,44.41
2021-02-22,42.3
2021-02-23,42.51
2021-02-24,42.25
2021-02-25,41.66
2021-02-26,41.15
2021-03-01,40.15
2021-03-02,39.64
2021-03-03,39.84
2021-03-04,40.3
2021-03-05,40.24
2021-03-08,38.91
2021-03-09,38.44
2021-03-10,39.28
2021-03-11,39.94
2021-03-12,39.83
2021-03-15,40.63
2021-03-16,40.5
2021-03-17,42.33
2021-03-18,41.9
2021-03-19,42.24
2021-03-22,41.63
2021-03-23,41.55
2021-03-24,40.31
2021-03-25,40.99
2021-03-26,41.22
2021-03-29,41.18
2021-03-30,41.56
2021-03-31,41.83
2021-04-01,41.48
2021-04-05,41.92
2021-04-06,41.87
2021-04-07,41.3
2021-04-08,41.57
2021-04-09,41.51
2021-04-12,41.54
2021-04-13,41.55
2021-04-14,41.32
2021-04-15,41.52
2021-04-16,41.94
2021-04-19,41.73
2021-04-20,41.8
2021-04-22,41.67
2021-04-23,42.21
2021-04-26,41.9
2021-04-27,41.24
2021-04-28,41.56
2021-04-29,41.55
2021-04-30,40.67
2021-05-03,41.21
2021-05-04,40.29
2021-05-05,40.21
2021-05-06,39.77
2021-05-07,40.18
2021-05-10,39.9
2021-05-11,40.15
2021-05-12,38.58
2021-05-13,39.65
