data_pregao,preco_ultimo
2020-01-02,38.71
2020-01-03,38.55
2020-01-06,38.61
2020-01-07,39.2
2020-01-08,39.53
2020-01-09,40.11
2020-01-10,40.65
2020-01-13,40.79
2020-01-14,40.15
2020-01-15,40.02
2020-01-16,40.86
2020-01-17,41.17
2020-01-20,41.13
2020-01-21,40.68
2020-01-22,42.42
2020-01-23,42.51
2020-01-24,42.38
2020-01-27,41.22
2020-01-28,42.66
2020-01-29,42.53
2020-01-30,41.4
2020-01-31,40.87
2020-02-03,40.23
2020-02-04,40.63
2020-02-05,40.28
2020-02-06,39.26
2020-02-07,38.37
2020-02-10,37.32
2020-02-11,37.61
2020-02-12,38.05
2020-02-13,37.9
2020-02-14,38.38
2020-02-17,38.63
2020-02-18,40.65
2020-02-19,41.14
2020-02-20,40.37
2020-02-21,39.73
2020-02-26,36.99
2020-02-27,35.6
2020-02-28,35.85
2020-03-02,35.91
2020-03-03,35.72
2020-03-04,36.45
2020-03-05,36.05
2020-03-06,34.4
2020-03-09,29.83
2020-03-10,32.39
2020-03-11,30.84
2020-03-12,24.88
2020-03-13,28.92
2020-03-16,24.59
2020-03-17,25.46
2020-03-18,21.36
2020-03-19,19.41
2020-03-20,18.91
2020-03-23,18.48
2020-03-24,20.49
2020-03-25,23.95
2020-03-26,25.31
2020-03-27,24.81
2020-03-30,26.44
2020-03-31,26.03
2020-04-01,24.94
2020-04-02,25.24
2020-04-03,24.95
2020-04-06,24.85
2020-04-07,25.62
2020-04-08,26.95
2020-04-09,28.34
2020-04-13,29.19
2020-04-14,30.19
2020-04-15,29.96
2020-04-16,29.08
2020-04-17,29.34
2020-04-20,29.21
2020-04-22,29.97
2020-04-23,28.71
2020-04-24,24.93
2020-04-27,25.79
2020-04-28,27.32
2020-04-29,27.74
2020-04-30,27.84
2020-05-04,26.3
2020-05-05,26.2
2020-05-06,25.86
2020-05-07,24.33
2020-05-08,25.4
2020-05-11,24.7
2020-05-12,23.25
2020-05-13,23.35
2020-05-14,25.17
2020-05-15,25.22
2020-05-18,26.57
2020-05-19,25.92
2020-05-20,26.02
2020-05-21,26.46
2020-05-22,27.82
2020-05-25,29.74
2020-05-26,29.89
2020-05-27,30.98
2020-05-28,30.83
2020-05-29,30.7
2020-06-01,30.77
2020-06-02,31.24
2020-06-03,31.36
2020-06-04,31.15
2020-06-05,31.31
2020-06-08,32.77
2020-06-09,33.21
2020-06-10,31.44
2020-06-12,31.43
2020-06-15,30.45
2020-06-16,30.75
2020-06-17,32.8
2020-06-18,32.18
2020-06-19,31.6
2020-06-22,31.87
2020-06-23,31.69
2020-06-24,30.8
2020-06-25,31.95
2020-06-26,31.41
2020-06-29,31.91
2020-06-30,32.24
2020-07-01,33.65
2020-07-02,33.42
2020-07-03,33.95
2020-07-06,33.76
2020-07-07,34.19
2020-07-08,34.6
2020-07-09,37.85
2020-07-10,37.09
2020-07-13,36.23
2020-07-14,36.13
2020-07-15,37.6
2020-07-16,36.49
2020-07-17,40.81
2020-07-20,40.4
2020-07-21,39.33
2020-07-22,39.69
2020-07-23,39.24
2020-07-24,39.05
2020-07-27,39.78
2020-07-28,39.66
2020-07-29,40.58
2020-07-30,39.19
2020-07-31,38.45
2020-08-03,38.5
2020-08-04,38.29
2020-08-05,38.22
2020-08-06,39.45
2020-08-07,39.28
2020-08-10,38.98
2020-08-11,38.44
2020-08-12,37.15
2020-08-13,35.15
2020-08-14,35.64
2020-08-17,33.8
2020-08-18,34.37
2020-08-19,33.16
2020-08-20,32.9
2020-08-21,34.53
2020-08-24,37.3
2020-08-25,38.46
2020-08-26,36.92
2020-08-27,36.53
2020-08-28,37.56
2020-08-31,35.89
2020-09-01,36.89
2020-09-02,37.86
2020-09-03,37.49
2020-09-04,37.14
2020-09-08,37.05
2020-09-09,36.82
2020-09-10,35.97
2020-09-11,35.59
2020-09-14,35.42
2020-09-15,34.56
2020-09-16,34.35
2020-09-17,34.43
2020-09-18,33.5
2020-09-21,33.75
2020-09-22,33.81
2020-09-23,32.87
2020-09-24,32.92
2020-09-25,32.75
2020-09-28,31.54
2020-09-29,31.33
2020-09-30,31.19
2020-10-01,31.02
2020-10-02,30.33
2020-10-05,31.55
2020-10-06,31.67
2020-10-07,31.4
2020-10-08,31.16
2020-10-09,30.79
2020-10-13,31.5
2020-10-14,31.66
2020-10-15,32.08
2020-10-16,32.31
2020-10-19,32.16
2020-10-20,32.59
2020-10-21,33.0
2020-10-22,33.37
2020-10-23,33.34
2020-10-26,33.75
2020-10-27,33.15
2020-10-28,31.88
2020-10-29,31.89
2020-10-30,30.99
2020-11-03,31.59
2020-11-04,32.57
2020-11-05,33.85
2020-11-06,33.72
2020-11-09,33.9
2020-11-10,34.97
2020-11-11,34.67
2020-11-12,33.25
2020-11-13,33.57
2020-11-16,33.74
2020-11-17,33.76
2020-11-18,32.79
2020-11-19,32.59
2020-11-20,32.1
2020-11-23,32.0
2020-11-24,32.63
2020-11-25,32.67
2020-11-26,33.3
2020-11-27,33.18
2020-11-30,32.0
2020-12-01,32.78
2020-12-02,34.1
2020-12-03,33.89
2020-12-04,34.56
2020-12-07,34.25
