data_pregao,preco_ultimo
2020-01-02,20.2
2020-01-03,20.41
2020-01-06,20.38
2020-01-07,20.5
2020-01-08,20.33
2020-01-09,20.19
2020-01-10,20.11
2020-01-13,20.46
2020-01-14,20.37
2020-01-15,20.0
2020-01-16,19.65
2020-01-17,19.55
2020-01-20,19.39
2020-01-21,18.93
2020-01-22,19.2
2020-01-23,18.99
2020-01-24,18.55
2020-01-27,18.14
2020-01-28,18.2
2020-01-29,18.18
2020-01-30,18.1
2020-01-31,18.14
2020-02-03,18.04
2020-02-04,18.25
2020-02-05,18.41
2020-02-06,18.65
2020-02-07,18.39
2020-02-10,18.51
2020-02-11,18.94
2020-02-12,19.13
2020-02-13,19.17
2020-02-14,18.56
2020-02-17,18.87
2020-02-18,18.77
2020-02-19,19.04
2020-02-20,19.68
2020-02-21,19.54
2020-02-26,17.84
2020-02-27,17.18
2020-02-28,16.96
2020-03-02,17.15
2020-03-03,16.91
2020-03-04,17.24
2020-03-05,16.55
2020-03-06,15.92
2020-03-09,14.96
2020-03-10,15.17
2020-03-11,14.22
2020-03-12,10.46
2020-03-13,11.68
2020-03-16,10.0
2020-03-17,10.48
2020-03-18,9.03
2020-03-19,9.65
2020-03-20,8.4
2020-03-23,7.74
2020-03-24,9.05
2020-03-25,10.57
2020-03-26,10.13
2020-03-27,8.97
2020-03-30,9.32
2020-03-31,9.54
2020-04-01,9.44
2020-04-02,9.25
2020-04-03,8.48
2020-04-06,8.86
2020-04-07,8.75
2020-04-08,9.34
2020-04-09,9.63
2020-04-13,9.76
2020-04-14,9.62
2020-04-15,9.28
2020-04-16,9.25
2020-04-17,9.55
2020-04-20,9.2
2020-04-22,8.97
2020-04-23,9.27
2020-04-24,8.28
2020-04-27,7.66
2020-04-28,8.17
2020-04-29,8.82
2020-04-30,8.65
2020-05-04,7.72
2020-05-05,7.5
2020-05-06,7.16
2020-05-07,7.01
2020-05-08,7.54
2020-05-11,7.19
2020-05-12,6.78
2020-05-13,6.19
2020-05-14,6.57
2020-05-15,6.23
2020-05-18,6.59
2020-05-19,6.44
2020-05-20,6.58
2020-05-21,6.59
2020-05-22,6.47
2020-05-25,6.86
2020-05-26,6.64
2020-05-27,7.27
2020-05-28,6.98
2020-05-29,7.15
2020-06-01,7.41
2020-06-02,8.24
2020-06-03,8.52
2020-06-04,8.93
2020-06-05,9.04
2020-06-08,10.7
2020-06-09,10.31
2020-06-10,9.33
2020-06-12,8.82
2020-06-15,8.58
2020-06-16,9.05
2020-06-17,8.95
2020-06-18,8.87
2020-06-19,8.76
2020-06-22,8.45
2020-06-23,8.52
2020-06-24,8.09
2020-06-25,8.15
2020-06-26,7.83
2020-06-29,8.42
2020-06-30,8.09
2020-07-01,8.1
2020-07-02,8.17
2020-07-03,8.19
2020-07-06,8.47
2020-07-07,8.2
2020-07-08,8.18
2020-07-09,7.99
2020-07-10,8.06
2020-07-13,8.16
2020-07-14,8.01
2020-07-15,8.8
2020-07-16,8.26
2020-07-17,8.38
2020-07-20,8.32
2020-07-21,8.5
2020-07-22,8.31
2020-07-23,8.22
2020-07-24,8.02
2020-07-27,8.02
2020-07-28,8.17
2020-07-29,8.18
2020-07-30,7.95
2020-07-31,7.61
2020-08-03,7.66
2020-08-04,7.47
2020-08-05,7.66
2020-08-06,7.58
2020-08-07,7.5
2020-08-10,7.93
2020-08-11,8.02
2020-08-12,7.8
2020-08-13,7.6
2020-08-14,7.68
2020-08-17,7.39
2020-08-18,7.39
2020-08-19,7.16
2020-08-20,7.16
2020-08-21,7.24
2020-08-24,7.64
2020-08-25,7.66
2020-08-26,7.31
2020-08-27,7.33
2020-08-28,7.56
2020-08-31,7.34
2020-09-01,7.67
2020-09-02,7.57
2020-09-03,7.44
2020-09-04,7.41
2020-09-08,7.36
2020-09-09,7.19
2020-09-10,7.01
2020-09-11,6.81
2020-09-14,6.9
2020-09-15,6.87
2020-09-16,6.92
2020-09-17,6.97
2020-09-18,6.68
2020-09-21,6.36
2020-09-22,6.18
2020-09-23,6.04
2020-09-24,6.18
2020-09-25,6.12
2020-09-28,6.36
2020-09-29,6.1
2020-09-30,6.24
2020-10-01,6.47
2020-10-02,6.49
2020-10-05,6.42
2020-10-06,6.62
2020-10-07,6.37
2020-10-08,6.69
2020-10-09,6.69
2020-10-13,6.49
2020-10-14,6.57
2020-10-15,6.6
2020-10-16,6.47
2020-10-19,6.4
2020-10-20,6.59
2020-10-21,6.79
2020-10-22,6.82
2020-10-23,7.09
2020-10-26,6.88
2020-10-27,6.45
2020-10-28,6.05
2020-10-29,6.11
2020-10-30,6.03
2020-11-03,6.03
2020-11-04,6.24
2020-11-05,6.61
2020-11-06,6.55
2020-11-09,7.41
2020-11-10,7.32
2020-11-11,7.18
2020-11-12,7.02
2020-11-13,7.45
2020-11-16,8.05
2020-11-17,8.1
2020-11-18,8.05
2020-11-19,8.08
2020-11-20,7.9
2020-11-23,8.21
2020-11-24,8.41
2020-11-25,8.31
2020-11-26,8.27
2020-11-27,8.25
2020-11-30,8.1
2020-12-01,8.21
2020-12-02,8.42
2020-12-03,9.35
2020-12-04,9.37
2020-12-07,9.37
2020-12-08,9.18
2020-12-09,8.97
2020-12-10,8.89
2020-12-11,9.05
2020-12-14,9.01
2020-12-15,9.27
2020-12-16,9.22
2020-12-17,9.11
2020-12-18,8.95
2020-12-21,8.54
2020-12-22,8.22
2020-12-23,8.56
2020-12-28,8.67
2020-12-29,8.63
2020-12-30,8.85
2021-01-04,8.37
2021-01-05,8.57
2021-01-06,8.91
2021-01-07,8.88
2021-01-08,8.81
2021-01-11,8.61
2021-01-12,9.29
2021-01-13,9.2
2021-01-14,9.98
2021-01-15,9.52
2021-01-18,9.38
2021-01-19,9.47
2021-01-20,9.16
2021-01-21,8.88
2021-01-22,8.66
2021-01-26,8.65
2021-01-27,8.84
2021-01-28,9.13
2021-01-29,8.79
2021-02-01,8.93
2021-02-02,9.53
2021-02-03,9.64
2021-02-04,9.45
2021-02-05,9.47
2021-02-08,9.63
2021-02-09,9.63
2021-02-10,9.67
2021-02-11,10.02
2021-02-12,10.08
2021-02-17,11.5
2021-02-18,11.3
2021-02-19,11.62
2021-02-22,12.48
2021-02-23,12.35
2021-02-24,13.1
2021-02-25,12.27
2021-02-26,12.23
2021-03-01,12.21
2021-03-02,12.42
2021-03-03,12.43
2021-03-04,12.4
2021-03-05,12.82
2021-03-08,12.23
2021-03-09,12.34
2021-03-10,13.82
2021-03-11,13.74
2021-03-12,14.4
2021-03-15,14.69
2021-03-16,13.99
2021-03-17,14.42
2021-03-18,13.95
2021-03-19,14.51
2021-03-22,13.43
2021-03-23,13.35
2021-03-24,13.1
2021-03-25,13.19
2021-03-26,13.2
2021-03-29,13.12
2021-03-30,14.34
2021-03-31,14.01
2021-04-01,13.9
2021-04-05,14.66
2021-04-06,14.46
2021-04-07,14.78
2021-04-08,16.08
2021-04-09,15.96
2021-04-12,16.05
2021-04-13,15.76
2021-04-14,16.14
2021-04-15,15.96
2021-04-16,15.81
2021-04-19,15.43
2021-04-20,15.08
2021-04-22,15.19
2021-04-23,15.51
2021-04-26,16.09
2021-04-27,15.93
2021-04-28,15.78
2021-04-29,15.1
2021-04-30,15.4
2021-05-03,15.96
2021-05-04,15.91
2021-05-05,15.71
2021-05-06,15.82
2021-05-07,16.99
2021-05-10,16.57
2021-05-11,16.44
2021-05-12,15.57
2021-05-13,15.53
2021-05-14,15.99
2021-05-17,16.1
2021-05-18,16.42
2021-05-19,15.89
2021-05-20,16.15
2021-05-21,16.66
2021-05-24,17.05
2021-05-25,17.27
2021-05-26,16.85
2021-05-27,17.87
2021-05-28,17.43
2021-05-31,17.28
2021-06-01,17.98
2021-06-02,17.82
2021-06-04,17.26
2021-06-07,17.48
2021-06-08,17.55
2021-06-09,17.3
2021-06-10,20.0
2021-06-11,21.02
2021-06-14,21.07
2021-06-15,21.38
