data_pregao,preco_ultimo
2020-01-02,21.91
2020-01-03,22.05
2020-01-06,21.88
2020-01-07,21.75
2020-01-08,21.72
2020-01-09,22.26
2020-01-10,22.67
2020-01-13,22.67
2020-01-14,22.67
2020-01-15,22.2
2020-01-16,22.4
2020-01-17,22.4
2020-01-20,22.89
2020-01-21,22.88
2020-01-22,22.88
2020-01-23,23.2
2020-01-24,23.08
2020-01-27,22.89
2020-01-28,23.15
2020-01-29,22.51
2020-01-30,22.23
2020-01-31,22.35
2020-02-03,22.96
2020-02-04,22.51
2020-02-05,22.45
2020-02-06,22.23
2020-02-07,21.5
2020-02-10,21.26
2020-02-11,21.36
2020-02-12,21.59
2020-02-13,21.62
2020-02-14,21.52
2020-02-17,21.54
2020-02-18,21.6
2020-02-19,22.09
2020-02-20,21.45
2020-02-21,21.66
2020-02-26,20.8
2020-02-27,20.09
2020-02-28,20.43
2020-03-02,20.84
2020-03-03,20.41
2020-03-04,21.48
2020-03-05,20.81
2020-03-06,20.17
2020-03-09,19.07
2020-03-10,19.43
2020-03-11,18.64
2020-03-12,16.26
2020-03-13,18.01
2020-03-16,16.15
2020-03-17,16.9
2020-03-18,15.36
2020-03-19,14.78
2020-03-20,14.33
2020-03-23,13.79
2020-03-24,14.08
2020-03-25,14.61
2020-03-26,16.1
2020-03-27,15.5
2020-03-30,16.29
2020-03-31,16.28
2020-04-01,15.5
2020-04-02,15.22
2020-04-03,14.61
2020-04-06,15.71
2020-04-07,15.88
2020-04-08,15.94
2020-04-09,16.09
2020-04-13,16.39
2020-04-14,16.97
2020-04-15,17.1
2020-04-16,16.93
2020-04-17,16.8
2020-04-20,17.19
2020-04-22,17.55
2020-04-23,16.95
2020-04-24,16.01
2020-04-27,16.57
2020-04-28,16.87
2020-04-29,16.97
2020-04-30,17.0
2020-05-04,16.94
2020-05-05,16.85
2020-05-06,16.83
2020-05-07,15.97
2020-05-08,16.08
2020-05-11,15.51
2020-05-12,15.47
2020-05-13,15.29
2020-05-14,15.76
2020-05-15,15.63
2020-05-18,16.23
2020-05-19,15.98
2020-05-20,15.74
2020-05-21,16.35
2020-05-22,16.31
2020-05-25,17.22
2020-05-26,17.17
2020-05-27,17.3
2020-05-28,17.41
2020-05-29,17.67
2020-06-01,17.57
2020-06-02,17.95
2020-06-03,17.97
2020-06-04,17.72
2020-06-05,17.8
2020-06-08,18.32
2020-06-09,18.55
2020-06-10,18.14
2020-06-12,18.11
2020-06-15,17.77
2020-06-16,17.62
2020-06-17,18.26
2020-06-18,17.95
2020-06-19,18.2
2020-06-22,17.92
2020-06-23,17.56
2020-06-24,17.55
2020-06-25,17.7
2020-06-26,17.4
2020-06-29,17.45
2020-06-30,17.42
2020-07-01,17.9
2020-07-02,17.65
2020-07-03,18.15
2020-07-06,17.96
2020-07-07,17.69
2020-07-08,17.95
2020-07-09,17.76
2020-07-10,17.72
2020-07-13,17.62
2020-07-14,17.48
2020-07-15,17.71
2020-07-16,17.56
2020-07-17,18.08
2020-07-20,18.3
2020-07-21,17.95
2020-07-22,18.11
2020-07-23,17.95
2020-07-24,18.36
2020-07-27,18.49
2020-07-28,18.13
2020-07-29,18.4
2020-07-30,18.52
2020-07-31,18.56
2020-08-03,18.34
2020-08-04,17.93
2020-08-05,17.82
2020-08-06,18.29
2020-08-07,17.98
2020-08-10,17.9
2020-08-11,17.76
2020-08-12,17.67
2020-08-13,17.43
2020-08-14,17.59
2020-08-17,17.24
2020-08-18,17.55
2020-08-19,17.39
2020-08-20,17.31
2020-08-21,17.5
2020-08-24,17.66
2020-08-25,17.69
2020-08-26,17.3
2020-08-27,17.14
2020-08-28,17.53
2020-08-31,18.69
2020-09-01,18.99
2020-09-02,18.81
2020-09-03,18.78
2020-09-04,18.9
2020-09-08,18.81
2020-09-09,19.12
2020-09-10,18.68
2020-09-11,18.3
2020-09-14,18.47
2020-09-15,18.6
2020-09-16,18.57
2020-09-17,18.55
2020-09-18,18.08
2020-09-21,18.26
2020-09-22,18.24
2020-09-23,17.87
2020-09-24,17.96
2020-09-25,18.04
2020-09-28,17.64
2020-09-29,17.54
