data_pregao,preco_ultimo
2020-01-02,54.23
2020-01-03,54.43
2020-01-06,54.59
2020-01-07,53.96
2020-01-08,54.3
2020-01-09,54.58
2020-01-10,55.4
2020-01-13,55.26
2020-01-14,55.12
2020-01-15,54.58
2020-01-16,54.71
2020-01-17,54.62
2020-01-20,54.34
2020-01-21,54.52
2020-01-22,55.41
2020-01-23,55.74
2020-01-24,56.32
2020-01-27,56.23
2020-01-28,57.18
2020-01-29,56.64
2020-01-30,56.0
2020-01-31,55.17
2020-02-03,57.18
2020-02-04,57.8
2020-02-05,58.58
2020-02-06,57.9
2020-02-07,57.01
2020-02-10,55.45
2020-02-11,57.05
2020-02-12,58.75
2020-02-13,57.91
2020-02-14,58.16
2020-02-17,59.0
2020-02-18,58.62
2020-02-19,58.5
2020-02-20,58.15
2020-02-21,58.75
2020-02-26,56.0
2020-02-27,55.0
2020-02-28,54.0
2020-03-02,55.96
2020-03-03,57.3
2020-03-04,60.0
2020-03-05,56.79
2020-03-06,55.24
2020-03-09,50.84
2020-03-10,51.52
2020-03-11,48.16
2020-03-12,41.26
2020-03-13,46.5
2020-03-16,43.18
2020-03-17,45.51
2020-03-18,40.05
2020-03-19,41.0
2020-03-20,38.45
2020-03-23,35.5
2020-03-24,35.35
2020-03-25,36.17
2020-03-26,39.18
2020-03-27,37.0
2020-03-30,37.85
2020-03-31,37.8
2020-04-01,35.85
2020-04-02,36.0
2020-04-03,36.0
2020-04-06,38.1
2020-04-07,38.2
2020-04-08,40.75
2020-04-09,41.71
2020-04-13,41.43
2020-04-14,41.62
2020-04-15,41.07
2020-04-16,41.81
2020-04-17,42.89
2020-04-20,44.69
2020-04-22,47.38
2020-04-23,45.45
2020-04-24,42.47
2020-04-27,44.6
2020-04-28,46.5
2020-04-29,46.23
2020-04-30,43.7
2020-05-04,42.02
2020-05-05,43.04
2020-05-06,41.78
2020-05-07,39.5
2020-05-08,40.82
2020-05-11,41.28
2020-05-12,41.14
2020-05-13,39.31
2020-05-14,41.5
2020-05-15,42.0
2020-05-18,44.0
2020-05-19,42.99
2020-05-20,41.71
2020-05-21,42.84
2020-05-22,43.0
2020-05-25,45.6
2020-05-26,44.7
2020-05-27,46.92
2020-05-28,46.89
2020-05-29,47.5
2020-06-01,46.8
2020-06-02,46.9
2020-06-03,47.43
2020-06-04,47.03
2020-06-05,47.37
2020-06-08,50.13
2020-06-09,49.49
2020-06-10,48.23
2020-06-12,48.77
2020-06-15,48.53
2020-06-16,48.0
2020-06-17,49.1
2020-06-18,47.6
2020-06-19,48.85
2020-06-22,48.59
2020-06-23,47.94
2020-06-24,47.67
2020-06-25,48.75
2020-06-26,47.61
2020-06-29,48.73
2020-06-30,49.0
2020-07-01,48.2
2020-07-02,47.44
2020-07-03,47.25
2020-07-06,47.25
2020-07-07,47.58
2020-07-08,48.0
2020-07-09,47.74
2020-07-10,47.57
2020-07-13,46.31
2020-07-14,46.4
2020-07-15,46.58
2020-07-16,46.32
2020-07-17,47.73
2020-07-20,47.72
2020-07-21,47.17
2020-07-22,48.35
2020-07-23,48.54
2020-07-24,48.0
2020-07-27,49.5
2020-07-28,50.02
2020-07-29,49.38
2020-07-30,49.43
2020-07-31,49.15
2020-08-03,48.93
2020-08-04,47.88
2020-08-05,47.99
2020-08-06,49.39
2020-08-07,49.07
2020-08-10,49.24
2020-08-11,48.07
2020-08-12,46.5
2020-08-13,44.86
2020-08-14,45.0
2020-08-17,43.6
2020-08-18,45.1
2020-08-19,43.88
2020-08-20,44.6
2020-08-21,45.14
2020-08-24,45.55
2020-08-25,45.09
2020-08-26,44.35
2020-08-27,44.57
2020-08-28,45.7
2020-08-31,43.45
2020-09-01,44.28
2020-09-02,44.48
2020-09-03,43.52
2020-09-04,44.11
2020-09-08,43.78
2020-09-09,44.81
2020-09-10,43.73
2020-09-11,43.7
2020-09-14,45.04
2020-09-15,44.46
2020-09-16,45.62
2020-09-17,44.73
2020-09-18,43.0
2020-09-21,42.68
2020-09-22,42.75
2020-09-23,41.54
2020-09-24,42.24
2020-09-25,42.28
2020-09-28,41.11
2020-09-29,40.85
2020-09-30,41.12
2020-10-01,41.05
2020-10-02,40.0
2020-10-05,40.91
2020-10-06,40.48
2020-10-07,40.15
2020-10-08,40.5
2020-10-09,39.95
2020-10-13,40.56
2020-10-14,40.8
2020-10-15,41.68
2020-10-16,41.73
2020-10-19,42.21
2020-10-20,42.65
2020-10-21,43.47
2020-10-22,43.62
2020-10-23,42.99
2020-10-26,43.9
2020-10-27,43.46
2020-10-28,42.13
2020-10-29,42.5
2020-10-30,41.97
2020-11-03,42.1
2020-11-04,43.89
2020-11-05,46.45
2020-11-06,46.6
2020-11-09,46.29
2020-11-10,46.61
2020-11-11,46.18
2020-11-12,44.61
2020-11-13,45.5
2020-11-16,46.4
2020-11-17,47.3
2020-11-18,46.84
2020-11-19,46.8
2020-11-20,45.76
2020-11-23,44.78
2020-11-24,45.0
2020-11-25,45.7
2020-11-26,46.28
2020-11-27,45.83
2020-11-30,46.54
2020-12-01,46.43
2020-12-02,46.95
2020-12-03,47.66
2020-12-04,47.17
2020-12-07,47.3
2020-12-08,46.8
2020-12-09,46.87
2020-12-10,47.72
2020-12-11,49.07
2020-12-14,48.66
2020-12-15,49.75
2020-12-16,50.63
2020-12-17,50.64
2020-12-18,50.6
2020-12-21,49.04
2020-12-22,49.5
2020-12-23,49.9
2020-12-28,51.1
2020-12-29,51.37
2020-12-30,52.36
2021-01-04,50.6
2021-01-05,50.99
2021-01-06,49.34
2021-01-07,47.58
2021-01-08,49.43
2021-01-11,47.02
2021-01-12,47.17
2021-01-13,47.25
2021-01-14,48.9
2021-01-15,48.4
2021-01-18,47.65
2021-01-19,47.76
2021-01-20,47.63
2021-01-21,47.84
2021-01-22,47.66
2021-01-26,47.67
2021-01-27,49.54
2021-01-28,50.69
2021-01-29,49.25
2021-02-01,49.4
2021-02-02,50.78
2021-02-03,52.0
2021-02-04,50.76
2021-02-05,50.11
2021-02-08,50.78
2021-02-09,51.25
2021-02-10,50.62
2021-02-11,51.11
2021-02-12,51.14
2021-02-17,50.56
2021-02-18,49.56
2021-02-19,49.39
2021-02-22,46.9
2021-02-23,46.9
2021-02-24,46.13
2021-02-25,44.92
2021-02-26,43.67
2021-03-01,42.71
2021-03-02,43.1
2021-03-03,43.4
2021-03-04,44.22
2021-03-05,44.14
2021-03-08,41.57
2021-03-09,41.9
2021-03-10,42.51
2021-03-11,44.1
2021-03-12,43.82
2021-03-15,44.81
2021-03-16,44.63
2021-03-17,45.4
2021-03-18,45.33
2021-03-19,46.05
2021-03-22,44.14
2021-03-23,43.86
2021-03-24,41.86
2021-03-25,44.0
2021-03-26,44.29
2021-03-29,43.95
2021-03-30,44.55
2021-03-31,45.22
2021-04-01,44.22
2021-04-05,44.33
2021-04-06,44.59
2021-04-07,43.58
2021-04-08,43.47
2021-04-09,42.94
2021-04-12,43.48
2021-04-13,43.55
2021-04-14,43.03
2021-04-15,43.02
2021-04-16,43.42
2021-04-19,43.84
2021-04-20,44.1
2021-04-22,43.55
2021-04-23,43.99
2021-04-26,43.59
2021-04-27,44.14
2021-04-28,44.89
2021-04-29,45.08
2021-04-30,44.06
2021-05-03,43.68
2021-05-04,43.57
2021-05-05,43.9
2021-05-06,43.65
2021-05-07,44.52
2021-05-10,43.71
2021-05-11,43.93
2021-05-12,42.66
2021-05-13,44.27
2021-05-14,45.25
2021-05-17,45.46
2021-05-18,44.78
2021-05-19,45.47
2021-05-20,45.92
2021-05-21,46.0
2021-05-24,46.79
2021-05-25,46.75
2021-05-26,46.29
2021-05-27,47.13
2021-05-28,47.22
2021-05-31,46.47
2021-06-01,47.53
2021-06-02,47.4
2021-06-04,47.03
2021-06-07,49.01
2021-06-08,49.1
2021-06-09,48.28
2021-06-10,48.83
2021-06-11,48.28
2021-06-14,49.13
2021-06-15,48.89
2021-06-16,48.21
2021-06-17,48.22
2021-06-18,48.5
2021-06-21,47.75
2021-06-22,48.13
2021-06-23,47.61
2021-06-24,47.7
2021-06-25,46.46
2021-06-28,46.7
2021-06-29,46.69
2021-06-30,46.6
2021-07-01,45.52
2021-07-02,45.66
2021-07-05,45.6
2021-07-06,45.64
2021-07-07,45.94
2021-07-08,45.1
2021-07-12,45.38
2021-07-13,45.18
2021-07-14,45.3
2021-07-15,44.53
2021-07-16,44.32
2021-07-19,44.3
2021-07-20,44.5
2021-07-21,44.48
2021-07-22,45.2
2021-07-23,44.33
2021-07-26,44.0
2021-07-27,44.25
2021-07-28,44.47
2021-07-29,43.88
2021-07-30,42.75
2021-08-02,43.34
2021-08-03,43.5
2021-08-04,42.82
2021-08-05,42.21
2021-08-06,42.3
2021-08-09,42.46
2021-08-10,41.61
2021-08-11,41.54
2021-08-12,41.15
2021-08-13,43.35
2021-08-16,43.64
2021-08-17,43.36
2021-08-18,42.33
2021-08-19,43.63
2021-08-20,44.25
2021-08-23,43.87
2021-08-24,45.05
2021-08-25,45.18
2021-08-26,44.15
2021-08-27,44.53
2021-08-30,44.53
2021-08-31,44.37
2021-09-01,45.22
2021-09-02,44.38
2021-09-03,43.81
2021-09-06,44.24
2021-09-08,43.03
2021-09-09,44.26
2021-09-10,43.16
2021-09-13,43.45
2021-09-14,43.45
2021-09-15,43.18
2021-09-16,43.22
2021-09-17,43.16
