data_pregao,preco_ultimo
2020-01-02,23.55
2020-01-03,23.27
2020-01-06,23.3
2020-01-07,23.18
2020-01-08,23.34
2020-01-09,23.62
2020-01-10,23.9
2020-01-13,23.89
2020-01-14,24.45
2020-01-15,24.25
2020-01-16,24.4
2020-01-17,24.51
2020-01-20,24.54
2020-01-21,24.4
2020-01-22,24.39
2020-01-23,24.41
2020-01-24,24.43
2020-01-27,24.06
2020-01-28,24.64
2020-01-29,24.27
2020-01-30,24.38
2020-01-31,23.84
2020-02-03,24.9
2020-02-04,25.86
2020-02-05,25.87
2020-02-06,25.46
2020-02-07,25.17
2020-02-10,24.98
2020-02-11,25.6
2020-02-12,26.29
2020-02-13,26.36
2020-02-14,25.95
2020-02-17,26.37
2020-02-18,25.8
2020-02-19,26.46
2020-02-20,25.96
2020-02-21,26.35
2020-02-26,24.93
2020-02-27,24.24
2020-02-28,24.66
2020-03-02,25.89
2020-03-03,25.76
2020-03-04,26.9
2020-03-05,25.78
2020-03-06,24.9
2020-03-09,22.25
2020-03-10,22.5
2020-03-11,21.4
2020-03-12,19.08
2020-03-13,20.3
2020-03-16,18.56
2020-03-17,19.79
2020-03-18,18.0
2020-03-19,17.8
2020-03-20,17.27
2020-03-23,16.29
2020-03-24,16.84
2020-03-25,17.0
2020-03-26,18.1
2020-03-27,16.55
2020-03-30,17.59
2020-03-31,17.6
2020-04-01,16.41
2020-04-02,16.24
2020-04-03,15.88
2020-04-06,16.81
2020-04-07,16.48
2020-04-08,17.52
2020-04-09,18.33
2020-04-13,18.49
2020-04-14,18.44
2020-04-15,18.35
2020-04-16,18.4
2020-04-17,19.0
2020-04-20,19.29
2020-04-22,19.48
2020-04-23,18.71
2020-04-24,17.94
2020-04-27,18.69
2020-04-28,19.09
2020-04-29,18.86
2020-04-30,18.33
2020-05-04,18.0
2020-05-05,18.17
2020-05-06,17.62
2020-05-07,16.7
2020-05-08,17.6
2020-05-11,17.89
2020-05-12,17.3
2020-05-13,16.8
2020-05-14,17.64
2020-05-15,17.6
2020-05-18,18.3
2020-05-19,17.77
2020-05-20,17.5
2020-05-21,17.54
2020-05-22,18.03
2020-05-25,19.5
2020-05-26,19.39
2020-05-27,20.1
2020-05-28,19.9
2020-05-29,20.05
2020-06-01,19.85
2020-06-02,20.1
2020-06-03,20.8
2020-06-04,20.6
2020-06-05,20.56
2020-06-08,21.55
2020-06-09,21.77
2020-06-10,21.53
2020-06-12,21.6
2020-06-15,21.48
2020-06-16,21.36
2020-06-17,22.09
2020-06-18,21.73
2020-06-19,22.15
2020-06-22,22.18
2020-06-23,22.15
2020-06-24,22.18
2020-06-25,22.59
2020-06-26,22.49
2020-06-29,22.84
2020-06-30,23.22
2020-07-01,23.95
2020-07-02,23.61
2020-07-03,24.24
2020-07-06,24.15
2020-07-07,24.37
2020-07-08,24.53
2020-07-09,24.02
2020-07-10,24.44
2020-07-13,23.9
2020-07-14,23.7
2020-07-15,24.4
2020-07-16,24.38
2020-07-17,24.81
2020-07-20,24.3
2020-07-21,24.04
2020-07-22,24.3
2020-07-23,24.21
2020-07-24,24.64
