data_pregao,preco_ultimo
2020-01-02,31.02
2020-01-03,30.11
2020-01-06,31.0
2020-01-07,31.32
2020-01-08,31.13
2020-01-09,31.71
2020-01-10,31.15
2020-01-13,31.0
2020-01-14,31.46
2020-01-15,31.23
2020-01-16,31.24
2020-01-17,31.39
2020-01-20,32.23
2020-01-21,32.15
2020-01-22,32.87
2020-01-23,32.25
2020-01-24,32.36
2020-01-27,32.15
2020-01-28,32.5
2020-01-29,31.16
2020-01-30,31.66
2020-01-31,31.0
2020-02-03,31.71
2020-02-04,32.66
2020-02-05,33.5
2020-02-06,32.1
2020-02-07,31.2
2020-02-10,30.93
2020-02-11,31.17
2020-02-12,31.79
2020-02-13,30.68
2020-02-14,30.99
2020-02-17,31.08
2020-02-18,30.95
2020-02-19,31.99
2020-02-20,31.45
2020-02-21,31.25
2020-02-26,30.1
2020-02-27,28.57
2020-02-28,29.76
2020-03-02,30.9
2020-03-03,30.62
2020-03-04,31.01
2020-03-05,29.99
2020-03-06,29.56
2020-03-09,27.01
2020-03-10,27.27
2020-03-11,26.2
2020-03-12,22.8
2020-03-13,23.6
2020-03-16,20.0
2020-03-17,21.11
2020-03-18,18.14
2020-03-19,19.5
2020-03-20,19.24
2020-03-23,18.76
2020-03-24,19.44
2020-03-25,20.08
2020-03-26,20.9
2020-03-27,19.7
2020-03-30,20.65
2020-03-31,20.24
2020-04-01,20.0
2020-04-02,20.2
2020-04-03,19.21
2020-04-06,20.0
2020-04-07,21.39
2020-04-08,21.64
2020-04-09,21.55
2020-04-13,21.34
2020-04-14,22.4
2020-04-15,22.48
2020-04-16,22.72
2020-04-17,23.72
2020-04-20,24.58
2020-04-22,24.25
2020-04-23,24.2
2020-04-24,23.11
2020-04-27,23.4
2020-04-28,23.41
2020-04-29,23.29
2020-04-30,22.8
2020-05-04,21.71
2020-05-05,21.52
2020-05-06,21.6
2020-05-07,20.98
2020-05-08,20.66
2020-05-11,19.86
2020-05-12,20.0
2020-05-13,19.61
2020-05-14,20.83
2020-05-15,20.15
2020-05-18,20.7
2020-05-19,19.96
2020-05-20,20.87
2020-05-21,22.08
2020-05-22,22.23
2020-05-25,23.0
2020-05-26,23.1
2020-05-27,23.35
2020-05-28,22.86
2020-05-29,23.35
2020-06-01,23.99
2020-06-02,25.61
2020-06-03,25.85
2020-06-04,25.2
2020-06-05,25.79
2020-06-08,26.06
2020-06-09,25.59
2020-06-10,25.38
2020-06-12,24.91
2020-06-15,24.78
2020-06-16,25.0
2020-06-17,26.19
2020-06-18,26.0
2020-06-19,25.11
2020-06-22,24.8
2020-06-23,25.15
2020-06-24,24.56
2020-06-25,24.94
2020-06-26,24.36
2020-06-29,24.61
2020-06-30,24.59
