data_pregao,preco_ultimo
2020-01-02,20.76
2020-01-03,20.42
2020-01-06,20.37
2020-01-07,20.69
2020-01-08,20.77
2020-01-09,20.66
2020-01-10,20.94
2020-01-13,21.84
2020-01-14,21.42
2020-01-15,21.1
2020-01-16,21.3
2020-01-17,21.57
2020-01-20,22.27
2020-01-21,21.8
2020-01-22,22.07
2020-01-23,22.16
2020-01-24,21.67
2020-01-27,19.95
2020-01-28,20.2
2020-01-29,20.14
2020-01-30,20.74
2020-01-31,20.05
2020-02-03,20.55
2020-02-04,21.43
2020-02-05,21.4
2020-02-06,21.24
2020-02-07,20.25
2020-02-10,19.93
2020-02-11,21.09
2020-02-12,21.28
2020-02-13,21.18
2020-02-14,20.5
2020-02-17,20.7
2020-02-18,20.52
2020-02-19,20.43
2020-02-20,19.53
2020-02-21,19.1
2020-02-26,17.1
2020-02-27,17.09
2020-02-28,16.93
2020-03-02,17.31
2020-03-03,17.46
2020-03-04,18.33
2020-03-05,17.43
2020-03-06,16.15
2020-03-09,13.25
2020-03-10,14.34
2020-03-11,12.69
2020-03-12,10.6
2020-03-13,12.45
2020-03-16,10.69
2020-03-17,10.82
2020-03-18,9.51
2020-03-19,9.59
2020-03-20,9.25
2020-03-23,8.64
2020-03-24,9.52
2020-03-25,10.52
2020-03-26,10.93
2020-03-27,10.1
2020-03-30,9.78
2020-03-31,10.05
2020-04-01,9.57
2020-04-02,10.04
2020-04-03,9.33
2020-04-06,9.7
2020-04-07,10.32
2020-04-08,11.05
2020-04-09,10.7
2020-04-13,11.23
2020-04-14,11.56
2020-04-15,11.31
2020-04-16,11.58
2020-04-17,12.3
2020-04-20,11.85
2020-04-22,11.7
2020-04-23,11.93
2020-04-24,10.93
2020-04-27,11.32
2020-04-28,11.98
2020-04-29,12.46
2020-04-30,11.74
2020-05-04,11.47
2020-05-05,11.51
2020-05-06,11.64
2020-05-07,12.45
2020-05-08,13.0
2020-05-11,12.5
2020-05-12,12.13
2020-05-13,11.63
2020-05-14,11.74
2020-05-15,10.92
2020-05-18,11.82
2020-05-19,11.8
2020-05-20,11.92
2020-05-21,12.05
2020-05-22,11.6
2020-05-25,12.36
2020-05-26,11.95
2020-05-27,13.26
2020-05-28,13.53
2020-05-29,13.43
2020-06-01,13.52
2020-06-02,14.36
2020-06-03,15.34
2020-06-04,15.36
2020-06-05,15.17
2020-06-08,15.5
2020-06-09,14.96
2020-06-10,14.34
2020-06-12,13.88
2020-06-15,13.55
2020-06-16,14.8
2020-06-17,14.72
2020-06-18,15.3
2020-06-19,15.45
2020-06-22,15.22
2020-06-23,15.51
2020-06-24,15.74
2020-06-25,15.66
2020-06-26,15.18
2020-06-29,15.69
2020-06-30,16.01
2020-07-01,15.48
2020-07-02,15.78
2020-07-03,15.71
2020-07-06,16.15
2020-07-07,15.77
2020-07-08,15.96
2020-07-09,16.05
2020-07-10,16.1
2020-07-13,16.26
2020-07-14,16.6
2020-07-15,16.55
2020-07-16,16.24
2020-07-17,16.31
2020-07-20,16.31
2020-07-21,16.15
2020-07-22,16.74
2020-07-23,16.39
2020-07-24,17.14
2020-07-27,17.84
2020-07-28,17.73
2020-07-29,17.99
2020-07-30,17.74
2020-07-31,17.45
2020-08-03,17.5
2020-08-04,17.48
2020-08-05,18.52
2020-08-06,18.06
2020-08-07,17.61
2020-08-10,18.26
2020-08-11,18.15
2020-08-12,18.11
2020-08-13,17.86
2020-08-14,17.99
2020-08-17,18.02
2020-08-18,19.49
2020-08-19,20.02
2020-08-20,20.27
2020-08-21,19.68
2020-08-24,19.57
2020-08-25,19.55
2020-08-26,19.54
2020-08-27,19.25
2020-08-28,19.6
2020-08-31,19.09
2020-09-01,20.0
2020-09-02,19.79
2020-09-03,19.38
2020-09-04,19.92
2020-09-08,19.69
2020-09-09,20.53
2020-09-10,19.85
2020-09-11,19.91
2020-09-14,20.28
2020-09-15,21.45
2020-09-16,21.19
2020-09-17,21.44
2020-09-18,20.96
2020-09-21,20.59
2020-09-22,20.72
2020-09-23,20.65
2020-09-24,20.68
2020-09-25,20.51
2020-09-28,20.54
2020-09-29,20.21
2020-09-30,20.8
2020-10-01,20.75
2020-10-02,20.6
2020-10-05,21.8
2020-10-06,21.7
2020-10-07,22.4
2020-10-08,22.25
2020-10-09,21.8
2020-10-13,21.98
2020-10-14,22.11
2020-10-15,22.67
2020-10-16,22.82
2020-10-19,22.75
2020-10-20,23.0
2020-10-21,23.06
2020-10-22,23.18
2020-10-23,23.28
2020-10-26,23.06
2020-10-27,23.61
2020-10-28,22.22
2020-10-29,22.5
2020-10-30,21.81
2020-11-03,23.18
2020-11-04,22.28
2020-11-05,22.35
2020-11-06,22.51
2020-11-09,22.0
2020-11-10,20.83
2020-11-11,20.93
2020-11-12,20.68
2020-11-13,20.93
2020-11-16,20.99
2020-11-17,21.39
2020-11-18,20.97
2020-11-19,21.24
2020-11-20,21.41
2020-11-23,22.05
2020-11-24,22.62
2020-11-25,22.54
2020-11-26,22.97
2020-11-27,22.76
2020-11-30,22.6
2020-12-01,23.8
2020-12-02,23.44
2020-12-03,22.48
2020-12-04,22.94
2020-12-07,23.27
2020-12-08,23.07
2020-12-09,22.63
2020-12-10,23.0
2020-12-11,22.96
2020-12-14,22.81
2020-12-15,23.8
2020-12-16,23.78
2020-12-17,24.4
2020-12-18,24.83
2020-12-21,24.39
2020-12-22,24.06
2020-12-23,24.24
2020-12-28,24.23
2020-12-29,24.5
2020-12-30,24.45
2021-01-04,26.04
2021-01-05,26.67
2021-01-06,27.99
2021-01-07,29.54
2021-01-08,29.1
2021-01-11,28.3
2021-01-12,27.52
2021-01-13,26.61
2021-01-14,27.72
2021-01-15,26.08
2021-01-18,26.45
2021-01-19,25.67
2021-01-20,25.14
2021-01-21,25.02
2021-01-22,25.36
2021-01-26,24.05
2021-01-27,23.61
2021-01-28,24.29
2021-01-29,23.25
2021-02-01,23.24
2021-02-02,22.97
2021-02-03,23.53
2021-02-04,23.19
2021-02-05,24.2
2021-02-08,24.0
2021-02-09,24.15
2021-02-10,23.57
2021-02-11,24.11
2021-02-12,24.11
2021-02-17,24.46
2021-02-18,24.39
2021-02-19,24.9
2021-02-22,24.78
2021-02-23,25.73
2021-02-24,27.14
2021-02-25,26.12
2021-02-26,25.87
2021-03-01,26.67
2021-03-02,27.03
2021-03-03,26.94
2021-03-04,26.91
2021-03-05,27.62
2021-03-08,26.96
2021-03-09,27.33
2021-03-10,26.97
2021-03-11,27.99
2021-03-12,27.5
2021-03-15,28.49
2021-03-16,28.78
2021-03-17,29.12
2021-03-18,28.61
2021-03-19,28.64
2021-03-22,27.77
2021-03-23,26.56
2021-03-24,26.77
2021-03-25,27.17
2021-03-26,28.6
2021-03-29,29.0
2021-03-30,29.46
2021-03-31,30.22
2021-04-01,29.38
2021-04-05,29.44
2021-04-06,30.14
2021-04-07,30.71
2021-04-08,30.81
2021-04-09,31.12
2021-04-12,31.22
2021-04-13,31.94
2021-04-14,32.39
2021-04-15,32.62
2021-04-16,32.53
2021-04-19,32.51
2021-04-20,32.27
2021-04-22,33.3
2021-04-23,33.52
2021-04-26,34.3
2021-04-27,34.43
2021-04-28,34.67
2021-04-29,34.39
2021-04-30,33.22
2021-05-03,32.5
2021-05-04,32.65
2021-05-05,34.45
2021-05-06,36.02
2021-05-07,36.37
2021-05-10,36.38
2021-05-11,37.65
2021-05-12,36.65
2021-05-13,35.63
2021-05-14,34.61
2021-05-17,35.4
2021-05-18,35.86
2021-05-19,35.47
2021-05-20,34.3
2021-05-21,33.87
2021-05-24,32.89
2021-05-25,32.2
2021-05-26,32.55
2021-05-27,33.09
2021-05-28,32.65
2021-05-31,32.92
2021-06-01,34.12
2021-06-02,33.39
2021-06-04,32.46
2021-06-07,31.89
2021-06-08,31.34
2021-06-09,32.07
2021-06-10,32.14
2021-06-11,33.0
2021-06-14,32.1
2021-06-15,31.76
2021-06-16,30.14
2021-06-17,29.0
2021-06-18,29.08
2021-06-21,29.87
2021-06-22,29.8
2021-06-23,29.79
2021-06-24,30.77
2021-06-25,30.84
2021-06-28,30.57
2021-06-29,30.26
2021-06-30,29.61
2021-07-01,28.95
2021-07-02,29.76
2021-07-05,29.68
2021-07-06,29.56
2021-07-07,30.0
2021-07-08,29.1
2021-07-12,30.41
2021-07-13,30.53
2021-07-14,30.13
2021-07-15,29.93
2021-07-16,29.46
2021-07-19,29.51
2021-07-20,29.63
2021-07-21,30.3
2021-07-22,30.56
2021-07-23,30.74
2021-07-26,31.8
2021-07-27,30.66
2021-07-28,30.73
2021-07-29,31.4
2021-07-30,30.8
2021-08-02,30.73
2021-08-03,31.55
2021-08-04,31.61
2021-08-05,30.74
2021-08-06,31.36
2021-08-09,30.96
2021-08-10,31.74
2021-08-11,32.08
2021-08-12,31.64
2021-08-13,31.32
2021-08-16,30.34
2021-08-17,28.95
2021-08-18,28.7
2021-08-19,27.69
2021-08-20,27.65
2021-08-23,27.85
2021-08-24,28.89
2021-08-25,29.05
2021-08-26,28.44
2021-08-27,28.95
2021-08-30,28.69
2021-08-31,28.32
2021-09-01,28.15
2021-09-02,27.39
2021-09-03,27.38
2021-09-06,27.69
2021-09-08,27.05
2021-09-09,27.41
2021-09-10,27.3
2021-09-13,27.51
2021-09-14,27.55
2021-09-15,27.33
2021-09-16,26.4
2021-09-17,24.6
