data_pregao,preco_ultimo
2020-01-02,71.66
2020-01-03,73.0
2020-01-06,69.99
2020-01-07,67.6
2020-01-08,68.0
2020-01-09,68.37
2020-01-10,68.78
2020-01-13,69.96
2020-01-14,70.92
2020-01-15,72.88
2020-01-16,71.9
2020-01-17,74.1
2020-01-20,76.33
2020-01-21,74.47
2020-01-22,74.54
2020-01-23,72.65
2020-01-24,70.65
2020-01-27,68.21
2020-01-28,70.49
2020-01-29,70.49
2020-01-30,70.32
2020-01-31,70.21
2020-02-03,73.44
2020-02-04,73.5
2020-02-05,72.49
2020-02-06,72.0
2020-02-07,70.14
2020-02-10,68.4
2020-02-11,70.23
2020-02-12,72.64
2020-02-13,72.5
2020-02-14,72.04
2020-02-17,72.42
2020-02-18,71.71
2020-02-19,71.99
2020-02-20,71.17
2020-02-21,69.17
2020-02-26,63.0
2020-02-27,61.9
2020-02-28,63.23
2020-03-02,64.04
2020-03-03,64.0
2020-03-04,63.0
2020-03-05,60.0
2020-03-06,59.0
2020-03-09,51.0
2020-03-10,54.95
2020-03-11,49.0
2020-03-12,41.4
2020-03-13,46.2
2020-03-16,40.75
2020-03-17,41.6
2020-03-18,33.5
2020-03-19,36.15
2020-03-20,39.99
2020-03-23,39.64
2020-03-24,44.3
2020-03-25,48.5
2020-03-26,53.11
2020-03-27,47.74
2020-03-30,48.0
2020-03-31,44.96
2020-04-01,41.42
2020-04-02,42.46
2020-04-03,37.35
2020-04-06,43.61
2020-04-07,48.68
2020-04-08,50.23
2020-04-09,52.15
2020-04-13,51.0
2020-04-14,56.07
2020-04-15,54.74
2020-04-16,54.93
2020-04-17,55.6
2020-04-20,57.54
2020-04-22,56.85
2020-04-23,54.28
2020-04-24,52.04
2020-04-27,54.79
2020-04-28,56.0
2020-04-29,57.0
2020-04-30,54.81
2020-05-04,53.5
2020-05-05,54.7
2020-05-06,54.26
2020-05-07,56.49
2020-05-08,55.69
2020-05-11,53.77
2020-05-12,54.37
2020-05-13,53.12
2020-05-14,52.59
2020-05-15,52.34
2020-05-18,55.38
2020-05-19,55.32
2020-05-20,55.47
2020-05-21,56.52
2020-05-22,56.59
2020-05-25,59.5
2020-05-26,62.4
2020-05-27,62.4
2020-05-28,62.59
2020-05-29,62.3
2020-06-01,61.75
2020-06-02,63.26
2020-06-03,62.75
2020-06-04,62.48
2020-06-05,64.1
2020-06-08,64.24
2020-06-09,63.66
2020-06-10,64.0
2020-06-12,63.84
2020-06-15,62.9
2020-06-16,62.84
2020-06-17,63.0
2020-06-18,62.98
2020-06-19,64.67
2020-06-22,63.98
2020-06-23,66.27
2020-06-24,65.17
2020-06-25,66.5
2020-06-26,66.52
2020-06-29,68.01
2020-06-30,68.01
2020-07-01,68.28
2020-07-02,65.5
2020-07-03,65.8
2020-07-06,65.96
2020-07-07,64.47
2020-07-08,64.59
2020-07-09,64.91
2020-07-10,63.75
2020-07-13,61.7
2020-07-14,64.11
2020-07-15,64.28
2020-07-16,63.03
2020-07-17,67.42
2020-07-20,69.11
2020-07-21,68.27
2020-07-22,69.65
2020-07-23,67.21
2020-07-24,68.06
2020-07-27,67.01
2020-07-28,68.05
2020-07-29,67.42
2020-07-30,68.9
2020-07-31,66.76
2020-08-03,68.66
2020-08-04,66.2
2020-08-05,67.99
2020-08-06,70.57
2020-08-07,70.43
2020-08-10,68.66
2020-08-11,67.79
2020-08-12,65.57
2020-08-13,66.31
2020-08-14,66.84
2020-08-17,65.84
2020-08-18,67.0
2020-08-19,65.34
2020-08-20,65.66
2020-08-21,69.17
2020-08-24,69.73
2020-08-25,70.59
2020-08-26,72.88
2020-08-27,73.63
2020-08-28,74.5
2020-08-31,74.1
2020-09-01,74.53
2020-09-02,73.68
2020-09-03,74.33
2020-09-04,74.58
2020-09-08,74.28
2020-09-09,75.17
2020-09-10,72.6
2020-09-11,69.86
2020-09-14,73.0
2020-09-15,71.27
2020-09-16,71.86
2020-09-17,69.7
2020-09-18,69.43
2020-09-21,69.17
2020-09-22,68.44
2020-09-23,66.81
2020-09-24,67.87
2020-09-25,67.68
2020-09-28,64.16
2020-09-29,63.6
2020-09-30,65.06
2020-10-01,65.89
2020-10-02,64.25
2020-10-05,65.73
2020-10-06,64.2
2020-10-07,64.99
2020-10-08,66.06
2020-10-09,64.7
2020-10-13,66.95
2020-10-14,68.72
2020-10-15,67.07
2020-10-16,65.03
2020-10-19,65.13
2020-10-20,65.3
2020-10-21,65.51
2020-10-22,66.43
2020-10-23,64.34
2020-10-26,66.53
2020-10-27,66.87
2020-10-28,65.93
2020-10-29,67.46
2020-10-30,65.75
2020-11-03,67.5
2020-11-04,71.79
2020-11-05,72.72
2020-11-06,73.86
2020-11-09,72.1
2020-11-10,69.36
2020-11-11,68.9
2020-11-12,69.33
2020-11-13,74.5
2020-11-16,73.98
2020-11-17,71.8
2020-11-18,71.0
2020-11-19,70.39
2020-11-20,69.88
2020-11-23,71.48
2020-11-24,70.59
2020-11-25,72.35
2020-11-26,70.48
2020-11-27,69.5
2020-11-30,68.5
2020-12-01,70.07
2020-12-02,73.14
2020-12-03,73.83
2020-12-04,74.77
2020-12-07,73.47
2020-12-08,74.9
2020-12-09,75.25
2020-12-10,75.05
2020-12-11,74.86
2020-12-14,74.43
2020-12-15,74.05
2020-12-16,74.79
2020-12-17,75.58
2020-12-18,74.35
2020-12-21,75.48
2020-12-22,77.57
2020-12-23,77.3
2020-12-28,78.0
2020-12-29,79.97
2020-12-30,78.34
2021-01-04,77.26
2021-01-05,75.5
2021-01-06,72.31
2021-01-07,72.2
2021-01-08,91.4
2021-01-11,101.45
2021-01-12,98.67
2021-01-13,95.09
2021-01-14,94.18
2021-01-15,95.5
2021-01-18,99.0
2021-01-19,96.8
2021-01-20,98.09
2021-01-21,98.62
