data_pregao,preco_ultimo
2020-01-02,37.17
2020-01-03,35.9
2020-01-06,34.25
2020-01-07,34.45
2020-01-08,35.81
2020-01-09,36.65
2020-01-10,37.24
2020-01-13,38.0
2020-01-14,37.99
2020-01-15,36.97
2020-01-16,36.64
2020-01-17,37.93
2020-01-20,37.8
2020-01-21,36.68
2020-01-22,37.18
2020-01-23,39.05
2020-01-24,37.82
2020-01-27,35.3
2020-01-28,36.19
2020-01-29,34.94
2020-01-30,35.04
2020-01-31,34.25
2020-02-03,34.35
2020-02-04,35.16
2020-02-05,36.19
2020-02-06,35.75
2020-02-07,34.46
2020-02-10,34.16
2020-02-11,36.2
2020-02-12,36.3
2020-02-13,35.4
2020-02-14,36.0
2020-02-17,36.39
2020-02-18,35.87
2020-02-19,36.35
2020-02-20,34.8
2020-02-21,33.82
2020-02-26,28.98
2020-02-27,26.4
2020-02-28,25.6
2020-03-02,26.11
2020-03-03,25.12
2020-03-04,24.81
2020-03-05,20.65
2020-03-06,21.05
2020-03-09,17.38
2020-03-10,18.32
2020-03-11,15.65
2020-03-12,9.97
2020-03-13,11.17
2020-03-16,8.04
2020-03-17,7.78
2020-03-18,5.6
2020-03-19,6.25
2020-03-20,7.28
2020-03-23,6.93
2020-03-24,8.1
2020-03-25,10.94
2020-03-26,13.04
2020-03-27,12.59
2020-03-30,12.3
2020-03-31,11.37
2020-04-01,9.98
2020-04-02,10.13
2020-04-03,9.47
2020-04-06,10.15
2020-04-07,10.95
2020-04-08,11.99
2020-04-09,11.63
2020-04-13,11.45
2020-04-14,11.46
2020-04-15,12.28
2020-04-16,11.76
2020-04-17,12.0
2020-04-20,12.07
2020-04-22,11.9
2020-04-23,12.11
2020-04-24,10.67
2020-04-27,10.92
2020-04-28,12.19
2020-04-29,13.34
2020-04-30,12.4
2020-05-04,11.15
2020-05-05,11.78
2020-05-06,11.52
2020-05-07,10.75
2020-05-08,11.0
2020-05-11,10.54
2020-05-12,10.0
2020-05-13,10.07
2020-05-14,10.43
2020-05-15,10.86
2020-05-18,12.43
2020-05-19,11.65
2020-05-20,12.68
2020-05-21,12.5
2020-05-22,12.23
2020-05-25,12.6
2020-05-26,12.29
2020-05-27,12.37
2020-05-28,12.24
2020-05-29,12.03
2020-06-01,13.06
2020-06-02,15.11
2020-06-03,17.59
2020-06-04,17.04
2020-06-05,18.7
2020-06-08,23.99
2020-06-09,22.4
2020-06-10,20.24
2020-06-12,18.54
2020-06-15,19.51
2020-06-16,19.16
2020-06-17,18.89
2020-06-18,18.66
2020-06-19,18.38
2020-06-22,17.95
2020-06-23,19.9
2020-06-24,18.24
2020-06-25,19.15
2020-06-26,18.33
2020-06-29,18.8
2020-06-30,18.55
2020-07-01,19.02
2020-07-02,18.87
2020-07-03,19.56
2020-07-06,20.17
2020-07-07,20.15
2020-07-08,19.84
2020-07-09,19.71
2020-07-10,20.9
2020-07-13,20.17
2020-07-14,20.52
2020-07-15,21.95
2020-07-16,21.03
2020-07-17,20.8
2020-07-20,20.62
2020-07-21,20.66
2020-07-22,20.0
2020-07-23,19.1
2020-07-24,18.84
2020-07-27,18.52
2020-07-28,19.08
2020-07-29,18.45
2020-07-30,18.55
2020-07-31,17.91
2020-08-03,17.63
2020-08-04,17.65
2020-08-05,17.63
2020-08-06,18.6
2020-08-07,17.97
2020-08-10,17.98
2020-08-11,19.5
2020-08-12,18.75
2020-08-13,18.23
2020-08-14,18.68
2020-08-17,17.55
2020-08-18,18.14
2020-08-19,17.75
2020-08-20,17.7
2020-08-21,17.71
2020-08-24,18.34
2020-08-25,18.09
2020-08-26,17.55
2020-08-27,18.3
2020-08-28,18.98
2020-08-31,17.89
2020-09-01,18.82
2020-09-02,18.86
2020-09-03,19.27
2020-09-04,19.98
2020-09-08,20.39
2020-09-09,19.84
2020-09-10,20.25
2020-09-11,19.76
2020-09-14,21.2
2020-09-15,20.86
2020-09-16,21.57
2020-09-17,21.11
2020-09-18,20.1
2020-09-21,18.4
2020-09-22,18.18
2020-09-23,17.86
2020-09-24,17.94
2020-09-25,17.84
2020-09-28,17.47
2020-09-29,16.47
2020-09-30,17.08
2020-10-01,17.9
2020-10-02,17.39
2020-10-05,17.66
2020-10-06,18.95
2020-10-07,18.3
2020-10-08,18.51
2020-10-09,19.11
2020-10-13,19.16
2020-10-14,19.62
2020-10-15,19.53
2020-10-16,19.05
2020-10-19,19.91
2020-10-20,19.72
2020-10-21,19.41
2020-10-22,19.6
2020-10-23,19.67
2020-10-26,18.96
2020-10-27,18.6
2020-10-28,16.92
2020-10-29,16.61
2020-10-30,15.69
2020-11-03,15.62
2020-11-04,15.87
2020-11-05,17.44
2020-11-06,17.55
2020-11-09,21.05
2020-11-10,20.78
2020-11-11,20.26
2020-11-12,19.06
2020-11-13,19.56
2020-11-16,21.22
2020-11-17,21.28
2020-11-18,21.94
2020-11-19,23.02
2020-11-20,22.12
2020-11-23,22.71
2020-11-24,23.47
2020-11-25,23.56
2020-11-26,23.24
2020-11-27,22.96
2020-11-30,23.52
2020-12-01,23.87
2020-12-02,25.15
2020-12-03,27.36
2020-12-04,27.05
2020-12-07,27.94
2020-12-08,27.69
2020-12-09,27.31
2020-12-10,27.31
2020-12-11,27.05
2020-12-14,26.48
2020-12-15,27.01
2020-12-16,26.68
2020-12-17,26.21
2020-12-18,25.15
2020-12-21,23.95
2020-12-22,23.3
2020-12-23,24.54
2020-12-28,24.25
2020-12-29,24.48
2020-12-30,24.94
2021-01-04,23.96
2021-01-05,23.95
2021-01-06,23.23
2021-01-07,23.4
2021-01-08,23.51
2021-01-11,23.36
2021-01-12,24.28
2021-01-13,23.16
2021-01-14,24.2
2021-01-15,23.55
2021-01-18,23.79
2021-01-19,23.24
2021-01-20,23.23
2021-01-21,22.76
2021-01-22,22.95
2021-01-26,22.21
2021-01-27,23.04
2021-01-28,24.61
2021-01-29,23.95
2021-02-01,24.82
2021-02-02,25.37
2021-02-03,25.0
2021-02-04,25.23
2021-02-05,25.09
2021-02-08,25.76
2021-02-09,25.0
2021-02-10,24.26
2021-02-11,24.11
2021-02-12,24.14
2021-02-17,24.23
2021-02-18,23.57
2021-02-19,23.79
2021-02-22,22.58
2021-02-23,22.83
2021-02-24,23.61
2021-02-25,22.51
2021-02-26,21.63
2021-03-01,21.37
2021-03-02,20.74
2021-03-03,20.5
2021-03-04,19.47
2021-03-05,20.45
2021-03-08,19.58
2021-03-09,19.55
2021-03-10,21.49
2021-03-11,23.03
2021-03-12,22.78
2021-03-15,24.07
2021-03-16,22.54
2021-03-17,23.1
2021-03-18,21.36
2021-03-19,21.49
2021-03-22,20.71
2021-03-23,20.3
2021-03-24,20.8
2021-03-25,21.01
2021-03-26,20.66
2021-03-29,20.57
2021-03-30,22.33
2021-03-31,21.51
2021-04-01,21.68
2021-04-05,22.6
2021-04-06,22.53
2021-04-07,22.38
2021-04-08,23.29
2021-04-09,23.34
2021-04-12,23.22
2021-04-13,23.18
2021-04-14,22.89
2021-04-15,22.96
2021-04-16,22.76
2021-04-19,23.13
2021-04-20,22.22
2021-04-22,23.07
2021-04-23,24.02
2021-04-26,24.22
2021-04-27,23.85
2021-04-28,24.14
2021-04-29,23.84
2021-04-30,23.45
2021-05-03,23.44
2021-05-04,23.17
2021-05-05,24.19
2021-05-06,23.91
2021-05-07,24.95
2021-05-10,25.33
2021-05-11,24.94
2021-05-12,23.99
2021-05-13,24.09
2021-05-14,25.39
2021-05-17,25.23
2021-05-18,25.59
2021-05-19,25.91
2021-05-20,25.94
2021-05-21,25.5
2021-05-24,25.03
2021-05-25,25.75
2021-05-26,27.59
2021-05-27,27.42
2021-05-28,26.59
2021-05-31,26.81
2021-06-01,26.45
2021-06-02,27.03
2021-06-04,26.48
2021-06-07,27.52
2021-06-08,27.2
2021-06-09,27.45
2021-06-10,26.25
2021-06-11,25.79
2021-06-14,25.7
2021-06-15,25.23
2021-06-16,25.11
2021-06-17,24.6
2021-06-18,24.9
2021-06-21,25.45
2021-06-22,24.82
2021-06-23,24.98
2021-06-24,24.78
2021-06-25,24.0
2021-06-28,23.66
2021-06-29,23.27
2021-06-30,22.96
