data_pregao,preco_ultimo
2020-01-02,66.44
2020-01-03,69.25
2020-01-06,66.96
2020-01-07,65.12
2020-01-08,63.78
2020-01-09,63.4
2020-01-10,62.05
2020-01-13,62.39
2020-01-14,62.5
2020-01-15,61.01
2020-01-16,63.06
2020-01-17,63.0
2020-01-20,63.15
2020-01-21,63.8
2020-01-22,63.97
2020-01-23,64.3
2020-01-24,64.5
2020-01-27,61.23
2020-01-28,62.5
2020-01-29,61.3
2020-01-30,60.11
2020-01-31,60.07
2020-02-03,61.8
2020-02-04,61.35
2020-02-05,58.38
2020-02-06,58.7
2020-02-07,57.63
2020-02-10,55.76
2020-02-11,58.01
2020-02-12,58.73
2020-02-13,58.7
2020-02-14,58.49
2020-02-17,59.87
2020-02-18,58.98
2020-02-19,59.54
2020-02-20,57.79
2020-02-21,56.0
2020-02-26,52.52
2020-02-27,53.25
2020-02-28,55.2
2020-03-02,54.56
2020-03-03,55.42
2020-03-04,53.53
2020-03-05,51.3
2020-03-06,50.01
2020-03-09,45.12
2020-03-10,48.89
2020-03-11,44.99
2020-03-12,38.96
2020-03-13,43.61
2020-03-16,37.0
2020-03-17,37.58
2020-03-18,31.72
2020-03-19,36.1
2020-03-20,39.0
2020-03-23,38.2
2020-03-24,42.3
2020-03-25,45.4
2020-03-26,50.39
2020-03-27,45.5
2020-03-30,45.03
2020-03-31,42.4
2020-04-01,40.08
2020-04-02,40.81
2020-04-03,37.75
2020-04-06,43.0
2020-04-07,48.3
2020-04-08,49.99
2020-04-09,48.86
2020-04-13,49.09
2020-04-14,52.99
2020-04-15,52.05
2020-04-16,51.96
2020-04-17,52.4
2020-04-20,54.07
2020-04-22,53.31
2020-04-23,50.97
2020-04-24,50.0
2020-04-27,52.69
2020-04-28,53.42
2020-04-29,54.35
2020-04-30,52.44
2020-05-04,51.16
2020-05-05,51.9
2020-05-06,52.21
2020-05-07,53.26
2020-05-08,50.6
2020-05-11,49.32
2020-05-12,50.91
2020-05-13,48.92
2020-05-14,47.41
2020-05-15,46.9
2020-05-18,49.54
2020-05-19,50.39
2020-05-20,50.9
2020-05-21,52.41
2020-05-22,52.2
2020-05-25,54.24
2020-05-26,54.81
2020-05-27,55.0
2020-05-28,55.01
2020-05-29,54.86
2020-06-01,54.5
2020-06-02,54.56
2020-06-03,58.05
