data_pregao,preco_ultimo
2020-01-02,34.56
2020-01-03,34.98
2020-01-06,34.0
2020-01-07,32.64
2020-01-08,31.88
2020-01-09,31.93
2020-01-10,32.08
2020-01-13,32.87
2020-01-14,33.3
2020-01-15,32.21
2020-01-16,32.3
2020-01-17,31.8
2020-01-20,31.37
2020-01-21,27.42
2020-01-22,27.4
2020-01-23,26.8
2020-01-24,27.28
2020-01-27,26.3
2020-01-28,26.45
2020-01-29,26.38
2020-01-30,25.79
2020-01-31,24.82
2020-02-03,25.0
2020-02-04,25.86
2020-02-05,25.52
2020-02-06,25.3
2020-02-07,24.68
2020-02-10,24.5
2020-02-11,24.5
2020-02-12,24.92
2020-02-13,25.5
2020-02-14,24.95
2020-02-17,25.06
2020-02-18,25.66
2020-02-19,24.92
2020-02-20,24.11
2020-02-21,23.83
2020-02-26,22.71
2020-02-27,21.9
2020-02-28,22.54
2020-03-02,22.99
2020-03-03,22.74
2020-03-04,23.1
2020-03-05,21.75
2020-03-06,20.95
2020-03-09,18.9
2020-03-10,20.45
2020-03-11,19.09
2020-03-12,15.01
2020-03-13,16.61
2020-03-16,13.99
2020-03-17,15.18
2020-03-18,12.64
2020-03-19,13.42
2020-03-20,13.5
2020-03-23,11.18
2020-03-24,12.28
2020-03-25,14.99
2020-03-26,16.41
2020-03-27,15.65
2020-03-30,15.25
2020-03-31,14.88
2020-04-01,13.53
2020-04-02,14.15
2020-04-03,13.29
2020-04-06,13.8
2020-04-07,13.79
2020-04-08,13.93
2020-04-09,14.45
2020-04-13,14.06
2020-04-14,14.08
2020-04-15,14.46
2020-04-16,14.47
2020-04-17,13.7
2020-04-20,14.44
2020-04-22,15.4
2020-04-23,14.87
2020-04-24,13.28
2020-04-27,13.66
2020-04-28,15.29
2020-04-29,15.38
2020-04-30,14.96
2020-05-04,14.31
2020-05-05,13.86
2020-05-06,13.45
2020-05-07,12.7
2020-05-08,12.45
2020-05-11,11.86
2020-05-12,11.59
2020-05-13,11.03
2020-05-14,11.1
2020-05-15,11.97
2020-05-18,13.18
2020-05-19,12.52
2020-05-20,13.09
2020-05-21,14.19
2020-05-22,12.9
2020-05-25,13.73
2020-05-26,13.53
2020-05-27,13.95
2020-05-28,13.38
2020-05-29,13.32
2020-06-01,13.75
2020-06-02,14.19
2020-06-03,15.45
2020-06-04,15.46
2020-06-05,15.51
2020-06-08,16.89
2020-06-09,16.5
2020-06-10,15.3
2020-06-12,14.19
2020-06-15,14.32
2020-06-16,14.12
2020-06-17,14.95
2020-06-18,15.21
2020-06-19,15.29
2020-06-22,14.71
2020-06-23,14.51
2020-06-24,14.42
2020-06-25,14.39
2020-06-26,13.92
2020-06-29,14.25
2020-06-30,14.32
2020-07-01,14.73
2020-07-02,14.56
2020-07-03,14.8
2020-07-06,15.35
2020-07-07,15.06
2020-07-08,15.22
2020-07-09,15.18
2020-07-10,16.14
2020-07-13,15.56
2020-07-14,15.32
2020-07-15,15.2
2020-07-16,15.4
2020-07-17,15.5
2020-07-20,15.48
2020-07-21,15.38
2020-07-22,15.41
2020-07-23,14.78
2020-07-24,14.62
2020-07-27,14.87
2020-07-28,14.61
2020-07-29,15.0
2020-07-30,15.19
2020-07-31,14.8
2020-08-03,14.37
2020-08-04,14.02
2020-08-05,14.23
2020-08-06,14.78
2020-08-07,15.86
2020-08-10,15.05
2020-08-11,15.79
2020-08-12,14.85
2020-08-13,14.9
2020-08-14,16.43
2020-08-17,15.06
2020-08-18,15.67
2020-08-19,15.75
2020-08-20,15.92
2020-08-21,17.51
2020-08-24,17.35
2020-08-25,17.9
2020-08-26,17.9
2020-08-27,18.13
2020-08-28,18.55
2020-08-31,18.29
2020-09-01,19.94
2020-09-02,19.98
2020-09-03,20.81
2020-09-04,19.78
2020-09-08,19.42
2020-09-09,19.26
2020-09-10,18.82
2020-09-11,18.59
2020-09-14,19.59
2020-09-15,18.98
2020-09-16,18.67
2020-09-17,18.49
2020-09-18,18.1
2020-09-21,17.79
2020-09-22,17.73
2020-09-23,17.55
2020-09-24,17.65
2020-09-25,17.38
2020-09-28,16.8
2020-09-29,16.76
