data_pregao,preco_ultimo
2020-01-02,36.0
2020-01-03,36.74
2020-01-06,35.9
2020-01-07,35.55
2020-01-08,35.09
2020-01-09,35.84
2020-01-10,36.03
2020-01-13,37.19
2020-01-14,37.81
2020-01-15,37.32
2020-01-16,37.5
2020-01-17,37.42
2020-01-20,37.75
2020-01-21,36.51
2020-01-22,35.6
2020-01-23,35.48
2020-01-24,35.03
2020-01-27,34.13
2020-01-28,33.81
2020-01-29,34.75
2020-01-30,35.45
2020-01-31,35.57
2020-02-03,36.51
2020-02-04,37.74
2020-02-05,38.29
2020-02-06,38.05
2020-02-07,38.63
2020-02-10,38.05
2020-02-11,38.65
2020-02-12,39.0
2020-02-13,38.5
2020-02-14,37.33
2020-02-17,37.48
2020-02-18,36.39
2020-02-19,36.65
2020-02-20,36.22
2020-02-21,36.2
2020-02-26,34.95
2020-02-27,34.06
2020-02-28,34.3
2020-03-02,40.0
2020-03-03,41.05
2020-03-04,41.78
2020-03-05,40.7
2020-03-06,39.62
2020-03-09,35.5
2020-03-10,37.21
2020-03-11,34.8
2020-03-12,31.07
2020-03-13,33.4
2020-03-16,28.32
2020-03-17,31.19
2020-03-18,29.24
2020-03-19,31.26
2020-03-20,29.25
2020-03-23,26.8
2020-03-24,28.97
2020-03-25,32.72
2020-03-26,31.95
2020-03-27,31.33
2020-03-30,30.7
2020-03-31,28.59
2020-04-01,27.21
2020-04-02,29.52
2020-04-03,28.72
2020-04-06,29.76
2020-04-07,30.05
2020-04-08,32.12
2020-04-09,31.46
2020-04-13,31.16
2020-04-14,32.0
2020-04-15,31.15
2020-04-16,31.18
2020-04-17,31.36
2020-04-20,31.37
2020-04-22,33.7
2020-04-23,30.85
2020-04-24,30.01
2020-04-27,29.33
2020-04-28,29.25
2020-04-29,29.87
2020-04-30,29.08
2020-05-04,28.69
2020-05-05,27.98
2020-05-06,27.85
2020-05-07,28.08
2020-05-08,28.1
2020-05-11,28.11
2020-05-12,27.91
2020-05-13,28.27
2020-05-14,28.6
2020-05-15,28.39
2020-05-18,29.36
2020-05-19,28.27
2020-05-20,27.74
2020-05-21,28.55
2020-05-22,28.4
2020-05-25,28.5
2020-05-26,30.5
2020-05-27,31.0
2020-05-28,31.25
2020-05-29,32.22
2020-06-01,32.92
2020-06-02,34.1
2020-06-03,34.18
2020-06-04,34.62
2020-06-05,34.5
2020-06-08,34.6
2020-06-09,35.0
2020-06-10,34.36
2020-06-12,33.39
2020-06-15,32.98
2020-06-16,32.17
2020-06-17,33.73
2020-06-18,34.33
2020-06-19,34.37
2020-06-22,34.87
2020-06-23,35.07
2020-06-24,34.4
2020-06-25,35.18
2020-06-26,33.75
2020-06-29,33.61
2020-06-30,33.3
2020-07-01,33.15
2020-07-02,32.2
2020-07-03,32.4
2020-07-06,32.62
2020-07-07,32.36
2020-07-08,32.54
2020-07-09,32.33
2020-07-10,32.31
2020-07-13,32.1
2020-07-14,31.7
2020-07-15,31.77
2020-07-16,32.45
2020-07-17,33.7
2020-07-20,34.25
2020-07-21,33.75
2020-07-22,33.59
2020-07-23,33.74
2020-07-24,34.25
2020-07-27,36.25
2020-07-28,36.18
2020-07-29,36.2
2020-07-30,36.26
2020-07-31,36.12
2020-08-03,36.09
2020-08-04,36.3
2020-08-05,35.27
2020-08-06,35.06
2020-08-07,34.44
2020-08-10,34.01
2020-08-11,33.6
2020-08-12,33.85
2020-08-13,33.09
2020-08-14,33.5
2020-08-17,32.46
2020-08-18,32.88
2020-08-19,31.75
2020-08-20,31.84
2020-08-21,32.68
2020-08-24,32.29
2020-08-25,33.27
2020-08-26,32.5
2020-08-27,32.47
2020-08-28,33.64
2020-08-31,31.65
2020-09-01,32.16
2020-09-02,33.26
2020-09-03,32.62
2020-09-04,32.27
2020-09-08,31.59
2020-09-09,31.62
2020-09-10,31.79
2020-09-11,30.65
2020-09-14,31.24
2020-09-15,31.64
2020-09-16,30.86
2020-09-17,31.3
2020-09-18,30.22
2020-09-21,30.36
2020-09-22,30.92
2020-09-23,29.73
2020-09-24,30.77
2020-09-25,30.64
2020-09-28,29.34
2020-09-29,29.25
2020-09-30,29.82
2020-10-01,30.3
2020-10-02,30.3
2020-10-05,31.09
2020-10-06,31.49
2020-10-07,31.25
2020-10-08,31.2
2020-10-09,30.9
2020-10-13,30.56
2020-10-14,30.94
2020-10-15,30.57
2020-10-16,30.44
2020-10-19,30.47
2020-10-20,30.75
2020-10-21,30.77
2020-10-22,31.31
2020-10-23,31.13
2020-10-26,31.08
2020-10-27,30.5
2020-10-28,28.8
2020-10-29,28.82
2020-10-30,27.9
2020-11-03,27.43
2020-11-04,28.24
2020-11-05,29.73
2020-11-06,31.52
2020-11-09,31.8
2020-11-10,31.07
2020-11-11,29.9
2020-11-12,28.92
2020-11-13,29.66
2020-11-16,29.55
2020-11-17,31.77
2020-11-18,31.12
2020-11-19,31.16
2020-11-20,31.28
2020-11-23,30.4
2020-11-24,31.41
2020-11-25,31.62
2020-11-26,31.84
2020-11-27,31.72
2020-11-30,32.11
2020-12-01,31.4
2020-12-02,31.54
2020-12-03,31.08
2020-12-04,31.45
2020-12-07,31.43
2020-12-08,32.64
2020-12-09,32.23
2020-12-10,32.15
2020-12-11,32.5
2020-12-14,32.0
2020-12-15,33.79
2020-12-16,34.59
2020-12-17,34.7
2020-12-18,33.89
2020-12-21,33.3
2020-12-22,33.4
2020-12-23,33.65
2020-12-28,34.9
2020-12-29,34.7
2020-12-30,34.25
2021-01-04,33.13
2021-01-05,34.23
2021-01-06,33.44
2021-01-07,33.43
2021-01-08,35.31
2021-01-11,34.1
2021-01-12,34.87
2021-01-13,34.99
2021-01-14,34.7
2021-01-15,34.8
2021-01-18,34.67
2021-01-19,35.41
2021-01-20,34.99
2021-01-21,34.73
2021-01-22,34.65
2021-01-26,34.24
2021-01-27,33.36
2021-01-28,34.2
2021-01-29,32.29
2021-02-01,33.06
2021-02-02,33.25
2021-02-03,33.02
2021-02-04,33.21
2021-02-05,33.0
2021-02-08,33.02
2021-02-09,32.81
2021-02-10,32.76
2021-02-11,33.83
2021-02-12,33.82
2021-02-17,33.93
2021-02-18,33.99
2021-02-19,34.42
2021-02-22,33.66
2021-02-23,33.76
2021-02-24,33.79
2021-02-25,33.34
2021-02-26,32.78
2021-03-01,31.45
2021-03-02,32.03
2021-03-03,31.23
2021-03-04,31.44
2021-03-05,31.71
2021-03-08,30.52
2021-03-09,31.08
2021-03-10,31.16
2021-03-11,31.79
2021-03-12,31.47
2021-03-15,31.84
2021-03-16,31.53
2021-03-17,32.33
2021-03-18,31.62
2021-03-19,32.87
2021-03-22,33.05
2021-03-23,32.67
2021-03-24,31.7
2021-03-25,32.43
2021-03-26,32.35
2021-03-29,32.2
2021-03-30,32.49
2021-03-31,32.03
2021-04-01,31.8
2021-04-05,33.12
2021-04-06,32.63
2021-04-07,32.78
2021-04-08,33.85
2021-04-09,33.43
2021-04-12,34.19
2021-04-13,35.1
2021-04-14,34.33
2021-04-15,34.93
2021-04-16,35.4
2021-04-19,35.2
2021-04-20,34.8
2021-04-22,35.12
2021-04-23,35.68
2021-04-26,35.02
2021-04-27,34.65
2021-04-28,34.68
2021-04-29,35.09
2021-04-30,34.66
2021-05-03,34.34
2021-05-04,34.1
2021-05-05,34.78
2021-05-06,33.78
2021-05-07,34.72
2021-05-10,33.97
2021-05-11,33.89
2021-05-12,33.17
2021-05-13,33.8
2021-05-14,33.73
2021-05-17,34.61
2021-05-18,34.3
2021-05-19,35.08
2021-05-20,35.39
2021-05-21,35.81
2021-05-24,35.68
2021-05-25,35.62
2021-05-26,35.15
2021-05-27,36.01
2021-05-28,36.2
2021-05-31,36.4
2021-06-01,36.82
2021-06-02,36.23
2021-06-04,35.85
2021-06-07,36.98
2021-06-08,35.81
2021-06-09,35.3
2021-06-10,36.32
2021-06-11,35.23
2021-06-14,35.41
2021-06-15,35.45
2021-06-16,35.99
2021-06-17,36.07
2021-06-18,36.3
2021-06-21,36.52
2021-06-22,36.64
2021-06-23,36.41
2021-06-24,36.56
2021-06-25,35.3
2021-06-28,35.29
2021-06-29,34.8
2021-06-30,34.47
2021-07-01,34.07
2021-07-02,34.44
2021-07-05,34.38
2021-07-06,33.88
2021-07-07,34.34
2021-07-08,33.95
2021-07-12,34.27
2021-07-13,36.45
