data_pregao,preco_ultimo
2020-01-02,39.89
2020-01-03,39.58
2020-01-06,39.21
2020-01-07,39.47
2020-01-08,39.62
2020-01-09,41.15
2020-01-10,41.17
2020-01-13,41.52
2020-01-14,41.24
2020-01-15,42.21
2020-01-16,41.8
2020-01-17,43.21
2020-01-20,43.85
2020-01-21,43.01
2020-01-22,44.9
2020-01-23,43.88
2020-01-24,42.82
2020-01-27,41.9
2020-01-28,44.31
2020-01-29,44.0
2020-01-30,44.17
2020-01-31,44.83
2020-02-03,40.77
2020-02-04,41.29
2020-02-05,42.5
2020-02-06,42.65
2020-02-07,39.53
2020-02-10,33.01
2020-02-11,34.65
2020-02-12,33.7
2020-02-13,32.8
2020-02-14,34.65
2020-02-17,36.6
2020-02-18,36.3
2020-02-19,36.67
2020-02-20,34.39
2020-02-21,32.52
2020-02-26,32.0
2020-02-27,34.13
2020-02-28,33.25
2020-03-02,30.35
2020-03-03,28.0
2020-03-04,19.05
2020-03-05,15.97
2020-03-06,16.37
2020-03-09,13.76
2020-03-10,13.7
2020-03-11,12.7
2020-03-12,9.15
2020-03-13,10.0
2020-03-16,8.75
2020-03-17,8.85
2020-03-18,7.2
2020-03-19,7.59
2020-03-20,7.3
2020-03-23,7.0
2020-03-24,8.18
2020-03-25,9.0
2020-03-26,9.93
2020-03-27,10.4
2020-03-30,10.74
2020-03-31,9.68
2020-04-01,9.31
2020-04-02,9.17
2020-04-03,8.59
2020-04-06,10.18
2020-04-07,10.2
2020-04-08,10.14
2020-04-09,10.1
2020-04-13,10.39
2020-04-14,11.98
2020-04-15,11.84
2020-04-16,11.81
2020-04-17,11.92
2020-04-20,11.93
2020-04-22,11.06
2020-04-23,10.12
2020-04-24,9.07
2020-04-27,9.46
2020-04-28,9.0
2020-04-29,10.25
2020-04-30,10.22
2020-05-04,9.59
2020-05-05,9.01
2020-05-06,9.14
2020-05-07,8.51
2020-05-08,9.04
2020-05-11,7.7
2020-05-12,8.04
2020-05-13,7.41
2020-05-14,7.04
2020-05-15,6.7
2020-05-18,7.35
