data_pregao,preco_ultimo
2020-01-02,14.35
2020-01-03,14.14
2020-01-06,14.11
2020-01-07,13.92
2020-01-08,13.71
2020-01-09,13.44
2020-01-10,13.35
2020-01-13,13.53
2020-01-14,13.68
2020-01-15,13.46
2020-01-16,13.49
2020-01-17,13.6
2020-01-20,13.41
2020-01-21,13.1
2020-01-22,13.29
2020-01-23,13.55
2020-01-24,13.35
2020-01-27,13.06
2020-01-28,13.11
2020-01-29,12.97
2020-01-30,13.08
2020-01-31,12.86
2020-02-03,12.85
2020-02-04,12.88
2020-02-05,12.95
2020-02-06,12.82
2020-02-07,12.79
2020-02-10,13.05
2020-02-11,13.28
2020-02-12,13.37
2020-02-13,13.17
2020-02-14,13.0
2020-02-17,13.0
2020-02-18,13.19
2020-02-19,13.34
2020-02-20,13.25
2020-02-21,12.81
2020-02-26,12.07
2020-02-27,11.87
2020-02-28,12.01
2020-03-02,12.31
2020-03-03,12.13
2020-03-04,12.2
2020-03-05,11.83
2020-03-06,11.56
2020-03-09,10.83
2020-03-10,11.06
2020-03-11,10.4
2020-03-12,9.27
2020-03-13,10.2
2020-03-16,9.1
2020-03-17,9.54
2020-03-18,9.07
2020-03-19,8.76
2020-03-20,8.31
2020-03-23,7.53
2020-03-24,8.07
2020-03-25,8.61
2020-03-26,8.98
2020-03-27,8.5
2020-03-30,8.82
2020-03-31,8.77
2020-04-01,8.26
2020-04-02,8.37
2020-04-03,8.11
2020-04-06,8.71
2020-04-07,8.97
2020-04-08,9.32
2020-04-09,9.24
2020-04-13,9.49
2020-04-14,9.6
2020-04-15,9.3
2020-04-16,9.02
2020-04-17,9.14
2020-04-20,8.97
2020-04-22,8.96
2020-04-23,8.84
2020-04-24,8.4
2020-04-27,8.67
2020-04-28,9.28
2020-04-29,9.26
2020-04-30,9.0
2020-05-04,8.7
2020-05-05,8.91
2020-05-06,8.7
2020-05-07,8.29
2020-05-08,8.49
2020-05-11,8.42
2020-05-12,8.18
2020-05-13,8.22
2020-05-14,8.52
2020-05-15,8.14
2020-05-18,8.54
2020-05-19,8.24
2020-05-20,8.25
2020-05-21,8.69
2020-05-22,8.86
2020-05-25,9.24
2020-05-26,8.92
2020-05-27,9.11
2020-05-28,9.0
2020-05-29,8.86
2020-06-01,9.07
2020-06-02,9.54
2020-06-03,9.81
2020-06-04,9.92
2020-06-05,10.04
2020-06-08,10.4
2020-06-09,10.36
2020-06-10,10.03
2020-06-12,9.79
2020-06-15,9.56
2020-06-16,9.76
2020-06-17,9.93
2020-06-18,10.25
2020-06-19,10.41
2020-06-22,10.15
2020-06-23,10.06
2020-06-24,9.77
2020-06-25,9.96
2020-06-26,9.66
2020-06-29,9.89
2020-06-30,9.59
2020-07-01,9.79
2020-07-02,9.95
2020-07-03,9.97
2020-07-06,10.36
2020-07-07,9.99
2020-07-08,10.17
2020-07-09,10.2
2020-07-10,10.23
2020-07-13,10.04
2020-07-14,10.16
2020-07-15,10.27
2020-07-16,10.15
2020-07-17,10.27
2020-07-20,10.42
2020-07-21,10.52
2020-07-22,10.52
2020-07-23,10.37
2020-07-24,10.45
2020-07-27,11.02
2020-07-28,10.88
2020-07-29,11.13
2020-07-30,10.91
2020-07-31,10.67
2020-08-03,10.7
2020-08-04,10.21
2020-08-05,10.2
2020-08-06,10.32
2020-08-07,10.21
2020-08-10,10.36
2020-08-11,10.2
2020-08-12,10.11
2020-08-13,9.86
2020-08-14,9.93
2020-08-17,9.63
2020-08-18,9.8
2020-08-19,9.73
2020-08-20,9.67
2020-08-21,9.73
2020-08-24,9.83
2020-08-25,9.75
2020-08-26,9.61
2020-08-27,9.69
2020-08-28,9.78
2020-08-31,9.43
2020-09-01,9.72
2020-09-02,9.59
2020-09-03,9.79
2020-09-04,9.77
2020-09-08,9.64
2020-09-09,9.68
2020-09-10,9.46
2020-09-11,9.27
2020-09-14,9.38
2020-09-15,9.26
2020-09-16,9.26
2020-09-17,9.25
2020-09-18,8.99
2020-09-21,8.98
2020-09-22,8.98
2020-09-23,8.8
2020-09-24,9.03
2020-09-25,9.02
2020-09-28,8.97
2020-09-29,8.82
2020-09-30,8.8
2020-10-01,8.9
2020-10-02,8.92
2020-10-05,8.96
2020-10-06,8.98
2020-10-07,8.9
2020-10-08,9.33
2020-10-09,9.36
2020-10-13,9.32
2020-10-14,9.29
2020-10-15,9.25
2020-10-16,9.07
2020-10-19,9.22
2020-10-20,9.5
2020-10-21,9.54
2020-10-22,9.9
2020-10-23,9.84
2020-10-26,9.91
2020-10-27,9.63
2020-10-28,9.18
2020-10-29,9.23
2020-10-30,9.09
2020-11-03,9.18
2020-11-04,9.39
2020-11-05,9.78
2020-11-06,9.83
2020-11-09,10.43
2020-11-10,10.77
2020-11-11,10.6
2020-11-12,10.47
2020-11-13,10.65
2020-11-16,10.88
2020-11-17,10.91
2020-11-18,10.7
2020-11-19,10.72
2020-11-20,10.63
2020-11-23,10.71
2020-11-24,10.94
2020-11-25,10.79
2020-11-26,10.71
2020-11-27,10.87
2020-11-30,10.58
2020-12-01,11.04
2020-12-02,11.03
2020-12-03,11.19
2020-12-04,11.21
2020-12-07,11.26
2020-12-08,11.21
2020-12-09,11.27
2020-12-10,11.5
2020-12-11,11.41
2020-12-14,11.28
2020-12-15,11.5
2020-12-16,11.66
2020-12-17,11.67
2020-12-18,11.56
2020-12-21,11.38
2020-12-22,11.4
2020-12-23,11.67
2020-12-28,11.8
2020-12-29,11.87
2020-12-30,11.73
2021-01-04,11.55
2021-01-05,11.46
2021-01-06,11.71
2021-01-07,12.16
2021-01-08,12.13
2021-01-11,11.85
2021-01-12,11.94
2021-01-13,11.82
2021-01-14,12.08
2021-01-15,11.61
2021-01-18,11.63
2021-01-19,11.45
2021-01-20,11.27
2021-01-21,11.04
2021-01-22,10.88
2021-01-26,10.62
2021-01-27,10.58
2021-01-28,10.97
2021-01-29,10.61
2021-02-01,10.79
2021-02-02,10.81
2021-02-03,10.82
2021-02-04,10.82
2021-02-05,10.76
2021-02-08,10.6
2021-02-09,10.69
2021-02-10,10.62
2021-02-11,10.64
2021-02-12,10.6
2021-02-17,10.54
2021-02-18,10.35
2021-02-19,10.25
2021-02-22,9.78
2021-02-23,10.52
2021-02-24,10.42
2021-02-25,10.08
2021-02-26,9.95
2021-03-01,9.62
2021-03-02,9.9
2021-03-03,9.99
2021-03-04,10.21
2021-03-05,10.37
2021-03-08,9.96
2021-03-09,10.05
2021-03-10,10.31
2021-03-11,10.28
2021-03-12,10.2
2021-03-15,10.23
2021-03-16,10.08
2021-03-17,10.37
2021-03-18,10.47
2021-03-19,10.44
2021-03-22,10.52
2021-03-23,10.26
2021-03-24,10.05
2021-03-25,10.26
2021-03-26,10.36
2021-03-29,10.32
2021-03-30,10.47
2021-03-31,10.32
2021-04-01,10.1
2021-04-05,10.23
2021-04-06,10.13
2021-04-07,10.12
2021-04-08,10.09
2021-04-09,10.04
2021-04-12,10.21
2021-04-13,10.19
2021-04-14,10.26
2021-04-15,10.26
2021-04-16,10.3
2021-04-19,10.2
2021-04-20,10.22
2021-04-22,10.22
2021-04-23,10.32
2021-04-26,10.27
2021-04-27,10.05
2021-04-28,10.4
2021-04-29,10.16
2021-04-30,10.06
2021-05-03,10.19
2021-05-04,9.92
2021-05-05,10.21
2021-05-06,10.2
2021-05-07,10.34
