data_pregao,preco_ultimo
2020-01-02,38.03
2020-01-03,37.63
2020-01-06,37.07
2020-01-07,36.21
2020-01-08,35.62
2020-01-09,34.91
2020-01-10,34.6
2020-01-13,35.06
2020-01-14,35.06
2020-01-15,34.63
2020-01-16,34.7
2020-01-17,34.94
2020-01-20,34.23
2020-01-21,33.5
2020-01-22,33.7
2020-01-23,34.5
2020-01-24,34.24
2020-01-27,33.5
2020-01-28,33.49
2020-01-29,32.97
2020-01-30,33.45
2020-01-31,32.82
2020-02-03,32.9
2020-02-04,33.16
2020-02-05,33.36
2020-02-06,33.28
2020-02-07,33.71
2020-02-10,34.28
2020-02-11,35.07
2020-02-12,34.93
2020-02-13,34.39
2020-02-14,33.81
2020-02-17,33.5
2020-02-18,33.64
2020-02-19,34.12
2020-02-20,34.0
2020-02-21,32.68
2020-02-26,31.05
2020-02-27,31.07
2020-02-28,32.0
2020-03-02,31.88
2020-03-03,31.3
2020-03-04,31.6
2020-03-05,30.52
2020-03-06,29.87
2020-03-09,27.8
2020-03-10,28.49
2020-03-11,26.17
2020-03-12,23.6
2020-03-13,26.21
2020-03-16,23.8
2020-03-17,25.2
2020-03-18,23.45
2020-03-19,22.85
2020-03-20,22.05
2020-03-23,20.52
2020-03-24,22.5
2020-03-25,23.6
2020-03-26,24.25
2020-03-27,22.97
2020-03-30,24.11
2020-03-31,23.09
2020-04-01,21.4
2020-04-02,21.5
2020-04-03,20.66
2020-04-06,22.18
2020-04-07,23.0
2020-04-08,24.18
2020-04-09,23.5
2020-04-13,24.0
2020-04-14,24.3
2020-04-15,23.4
2020-04-16,22.81
2020-04-17,23.22
2020-04-20,22.64
2020-04-22,22.37
2020-04-23,22.05
2020-04-24,20.88
2020-04-27,21.57
2020-04-28,23.35
2020-04-29,23.66
2020-04-30,22.77
2020-05-04,21.89
2020-05-05,22.7
2020-05-06,22.24
2020-05-07,21.44
2020-05-08,22.32
2020-05-11,22.38
2020-05-12,21.61
2020-05-13,21.6
2020-05-14,22.55
2020-05-15,21.63
2020-05-18,22.67
2020-05-19,21.69
2020-05-20,21.6
2020-05-21,22.84
2020-05-22,22.96
2020-05-25,23.96
2020-05-26,23.01
2020-05-27,23.73
2020-05-28,23.31
2020-05-29,23.04
2020-06-01,23.66
2020-06-02,25.25
2020-06-03,25.92
2020-06-04,26.67
2020-06-05,27.26
2020-06-08,28.36
2020-06-09,27.8
2020-06-10,26.59
2020-06-12,26.06
2020-06-15,25.45
2020-06-16,26.18
2020-06-17,26.51
2020-06-18,27.55
2020-06-19,28.09
2020-06-22,27.22
2020-06-23,26.86
2020-06-24,25.84
2020-06-25,26.15
2020-06-26,25.71
2020-06-29,26.48
2020-06-30,25.45
2020-07-01,26.1
2020-07-02,26.55
2020-07-03,26.5
2020-07-06,27.73
2020-07-07,26.37
2020-07-08,26.94
2020-07-09,26.95
2020-07-10,27.2
2020-07-13,26.8
2020-07-14,27.25
2020-07-15,27.44
2020-07-16,26.98
2020-07-17,27.22
2020-07-20,27.3
2020-07-21,27.7
2020-07-22,27.07
2020-07-23,26.5
2020-07-24,26.47
2020-07-27,27.8
2020-07-28,27.64
2020-07-29,28.29
2020-07-30,27.81
2020-07-31,26.89
2020-08-03,27.28
2020-08-04,25.69
2020-08-05,25.67
2020-08-06,26.03
2020-08-07,25.48
2020-08-10,25.81
2020-08-11,25.51
2020-08-12,25.22
2020-08-13,24.5
2020-08-14,24.73
2020-08-17,24.14
2020-08-18,24.24
2020-08-19,24.12
2020-08-20,24.12
2020-08-21,24.08
2020-08-24,24.48
2020-08-25,24.3
2020-08-26,23.79
2020-08-27,24.18
2020-08-28,24.43
2020-08-31,23.55
2020-09-01,24.34
2020-09-02,24.29
2020-09-03,24.88
2020-09-04,24.96
2020-09-08,24.4
2020-09-09,24.43
2020-09-10,23.91
2020-09-11,23.63
2020-09-14,24.05
2020-09-15,23.73
2020-09-16,23.66
2020-09-17,23.69
2020-09-18,23.1
2020-09-21,22.9
2020-09-22,23.1
2020-09-23,22.48
2020-09-24,23.03
2020-09-25,22.91
2020-09-28,22.9
2020-09-29,22.4
2020-09-30,22.5
2020-10-01,22.52
2020-10-02,22.59
2020-10-05,22.83
2020-10-06,22.87
2020-10-07,22.7
2020-10-08,24.07
2020-10-09,24.0
2020-10-13,23.77
2020-10-14,23.7
2020-10-15,23.49
2020-10-16,23.11
2020-10-19,23.36
2020-10-20,24.29
2020-10-21,24.51
2020-10-22,25.77
2020-10-23,25.44
2020-10-26,25.62
2020-10-27,24.89
2020-10-28,23.78
2020-10-29,23.9
2020-10-30,23.48
