data_pregao,preco_ultimo
2020-01-02,27.2
2020-01-03,27.47
2020-01-06,26.82
2020-01-07,27.3
2020-01-08,27.97
2020-01-09,28.31
2020-01-10,28.16
2020-01-13,28.73
2020-01-14,28.7
2020-01-15,28.61
2020-01-16,28.81
2020-01-17,29.75
2020-01-20,29.82
2020-01-21,30.09
2020-01-22,30.05
2020-01-23,29.82
2020-01-24,29.3
2020-01-27,27.3
2020-01-28,28.19
2020-01-29,27.39
2020-01-30,26.95
2020-01-31,27.58
2020-02-03,28.12
2020-02-04,27.48
2020-02-05,27.22
2020-02-06,26.79
2020-02-07,25.67
2020-02-10,25.51
2020-02-11,25.96
2020-02-12,25.81
2020-02-13,26.29
2020-02-14,25.78
2020-02-17,25.81
2020-02-18,25.7
2020-02-19,26.8
2020-02-20,25.79
2020-02-21,25.98
2020-02-26,23.51
2020-02-27,22.59
2020-02-28,22.7
2020-03-02,23.42
2020-03-03,22.68
2020-03-04,23.7
2020-03-05,22.2
2020-03-06,21.01
2020-03-09,18.0
2020-03-10,20.76
2020-03-11,18.98
2020-03-12,16.75
2020-03-13,20.87
2020-03-16,17.89
2020-03-17,18.63
2020-03-18,16.85
2020-03-19,20.0
2020-03-20,19.18
2020-03-23,19.34
2020-03-24,21.22
2020-03-25,22.05
2020-03-26,21.87
2020-03-27,20.89
2020-03-30,21.57
2020-03-31,20.34
2020-04-01,21.77
2020-04-02,20.9
2020-04-03,20.4
2020-04-06,21.09
2020-04-07,19.85
2020-04-08,19.36
2020-04-09,19.0
2020-04-13,19.76
2020-04-14,20.1
2020-04-15,20.76
2020-04-16,20.81
2020-04-17,21.31
2020-04-20,21.35
2020-04-22,21.8
2020-04-23,21.8
2020-04-24,21.54
2020-04-27,23.38
2020-04-28,23.92
2020-04-29,24.0
2020-04-30,23.84
2020-05-04,22.77
2020-05-05,22.76
2020-05-06,23.08
2020-05-07,24.39
2020-05-08,23.45
2020-05-11,23.16
2020-05-12,23.74
2020-05-13,25.25
2020-05-14,24.45
2020-05-15,23.33
2020-05-18,21.79
2020-05-19,21.3
2020-05-20,21.05
2020-05-21,20.4
2020-05-22,20.65
2020-05-25,20.78
2020-05-26,20.67
2020-05-27,21.76
2020-05-28,22.0
2020-05-29,21.97
2020-06-01,21.96
2020-06-02,21.81
2020-06-03,20.6
2020-06-04,21.47
2020-06-05,20.95
2020-06-08,21.89
2020-06-09,22.06
2020-06-10,22.09
2020-06-12,21.98
2020-06-15,21.49
2020-06-16,21.55
2020-06-17,22.38
2020-06-18,22.45
2020-06-19,22.36
2020-06-22,21.65
2020-06-23,21.53
2020-06-24,21.83
2020-06-25,21.71
2020-06-26,21.18
2020-06-29,21.09
2020-06-30,21.15
2020-07-01,20.89
2020-07-02,21.3
2020-07-03,21.95
2020-07-06,22.32
2020-07-07,22.95
2020-07-08,22.62
2020-07-09,22.24
2020-07-10,22.84
2020-07-13,22.24
2020-07-14,22.01
2020-07-15,22.15
2020-07-16,21.42
2020-07-17,22.29
2020-07-20,22.66
2020-07-21,22.27
2020-07-22,22.06
2020-07-23,22.36
2020-07-24,22.07
2020-07-27,21.98
2020-07-28,22.25
2020-07-29,22.17
2020-07-30,21.97
2020-07-31,21.54
2020-08-03,22.5
2020-08-04,21.96
2020-08-05,21.81
2020-08-06,22.05
2020-08-07,21.67
2020-08-10,21.95
2020-08-11,21.81
2020-08-12,22.37
2020-08-13,22.15
2020-08-14,23.3
2020-08-17,23.89
2020-08-18,23.86
2020-08-19,24.61
2020-08-20,24.43
2020-08-21,24.38
2020-08-24,24.52
2020-08-25,23.78
2020-08-26,23.35
2020-08-27,23.1
2020-08-28,22.88
2020-08-31,22.44
2020-09-01,22.3
2020-09-02,22.56
2020-09-03,22.01
2020-09-04,21.87
2020-09-08,21.85
2020-09-09,22.0
2020-09-10,22.53
2020-09-11,22.53
2020-09-14,23.21
2020-09-15,24.1
2020-09-16,23.34
2020-09-17,23.29
2020-09-18,23.27
2020-09-21,22.99
2020-09-22,22.5
2020-09-23,21.62
2020-09-24,21.66
2020-09-25,21.6
2020-09-28,20.62
2020-09-29,20.36
2020-09-30,20.67
2020-10-01,20.51
2020-10-02,20.08
2020-10-05,20.46
2020-10-06,20.11
2020-10-07,19.96
2020-10-08,20.12
2020-10-09,19.3
2020-10-13,19.67
2020-10-14,21.48
2020-10-15,22.4
2020-10-16,23.2
2020-10-19,22.14
2020-10-20,22.36
2020-10-21,22.09
2020-10-22,22.03
2020-10-23,21.3
2020-10-26,21.09
2020-10-27,20.42
2020-10-28,19.98
2020-10-29,19.65
2020-10-30,19.45
2020-11-03,19.11
2020-11-04,19.48
2020-11-05,19.99
2020-11-06,20.11
2020-11-09,20.25
2020-11-10,20.94
2020-11-11,21.09
2020-11-12,20.99
2020-11-13,21.18
2020-11-16,21.14
2020-11-17,21.2
2020-11-18,21.63
2020-11-19,21.84
2020-11-20,21.99
2020-11-23,22.33
2020-11-24,22.58
2020-11-25,22.68
2020-11-26,22.91
2020-11-27,23.07
2020-11-30,23.15
2020-12-01,23.49
2020-12-02,23.48
