data_pregao,preco_ultimo
2020-01-02,18.76
2020-01-03,19.39
2020-01-06,19.13
2020-01-07,19.16
2020-01-08,19.22
2020-01-09,19.44
2020-01-10,19.52
2020-01-13,20.45
2020-01-14,21.08
2020-01-15,20.63
2020-01-16,20.61
2020-01-17,20.76
2020-01-20,20.9
2020-01-21,20.61
2020-01-22,21.7
2020-01-23,21.78
2020-01-24,21.76
2020-01-27,20.81
2020-01-28,20.83
2020-01-29,21.15
2020-01-30,21.19
2020-01-31,20.75
2020-02-03,20.59
2020-02-04,20.96
2020-02-05,20.91
2020-02-06,21.09
2020-02-07,20.56
2020-02-10,20.18
2020-02-11,20.78
2020-02-12,21.72
2020-02-13,21.68
2020-02-14,21.34
2020-02-17,20.96
2020-02-18,21.0
2020-02-19,21.0
2020-02-20,21.03
2020-02-21,21.82
2020-02-26,20.0
2020-02-27,19.33
2020-02-28,19.25
2020-03-02,20.33
2020-03-03,20.8
2020-03-04,22.06
2020-03-05,21.59
2020-03-06,20.98
2020-03-09,19.59
2020-03-10,19.71
2020-03-11,18.2
2020-03-12,15.8
2020-03-13,16.16
2020-03-16,13.79
2020-03-17,14.28
2020-03-18,12.81
2020-03-19,14.42
2020-03-20,13.76
2020-03-23,13.51
2020-03-24,13.39
2020-03-25,13.88
2020-03-26,14.13
2020-03-27,14.98
2020-03-30,15.73
2020-03-31,15.99
2020-04-01,15.75
2020-04-02,16.85
2020-04-03,16.61
2020-04-06,16.49
2020-04-07,16.1
2020-04-08,16.24
2020-04-09,16.0
2020-04-13,16.2
2020-04-14,16.45
2020-04-15,15.97
2020-04-16,15.94
2020-04-17,15.85
2020-04-20,15.95
2020-04-22,16.53
2020-04-23,16.96
2020-04-24,17.25
2020-04-27,17.82
2020-04-28,17.94
2020-04-29,17.55
2020-04-30,17.81
2020-05-04,17.78
2020-05-05,18.7
2020-05-06,18.58
2020-05-07,20.61
2020-05-08,21.49
2020-05-11,21.66
2020-05-12,21.6
2020-05-13,23.25
2020-05-14,22.4
2020-05-15,21.73
2020-05-18,20.0
2020-05-19,20.04
2020-05-20,19.85
2020-05-21,19.07
2020-05-22,19.2
2020-05-25,18.87
2020-05-26,18.85
2020-05-27,19.61
2020-05-28,19.49
2020-05-29,19.71
2020-06-01,19.65
2020-06-02,19.71
2020-06-03,19.48
2020-06-04,19.71
2020-06-05,19.1
2020-06-08,19.6
2020-06-09,19.68
2020-06-10,19.69
2020-06-12,19.24
2020-06-15,19.28
2020-06-16,19.11
2020-06-17,19.55
2020-06-18,20.08
2020-06-19,20.51
2020-06-22,20.36
2020-06-23,19.97
2020-06-24,20.48
2020-06-25,20.36
2020-06-26,20.51
2020-06-29,20.25
2020-06-30,20.33
2020-07-01,20.84
2020-07-02,20.72
2020-07-03,20.87
2020-07-06,20.64
2020-07-07,20.59
2020-07-08,21.0
2020-07-09,20.64
2020-07-10,20.45
2020-07-13,20.02
2020-07-14,20.4
2020-07-15,20.96
2020-07-16,20.68
2020-07-17,20.94
2020-07-20,21.27
2020-07-21,20.99
2020-07-22,21.15
2020-07-23,21.36
2020-07-24,21.45
2020-07-27,21.44
2020-07-28,21.14
2020-07-29,21.05
2020-07-30,21.29
2020-07-31,20.66
2020-08-03,20.87
2020-08-04,20.85
2020-08-05,22.89
2020-08-06,23.25
2020-08-07,23.07
2020-08-10,23.38
2020-08-11,23.95
2020-08-12,24.52
2020-08-13,25.25
2020-08-14,25.15
2020-08-17,25.68
2020-08-18,25.87
2020-08-19,25.77
2020-08-20,26.18
2020-08-21,26.11
2020-08-24,26.58
2020-08-25,26.13
2020-08-26,26.18
2020-08-27,26.08
2020-08-28,26.17
2020-08-31,25.7
2020-09-01,26.09
2020-09-02,25.39
2020-09-03,25.2
2020-09-04,24.95
2020-09-08,24.43
2020-09-09,24.84
2020-09-10,24.62
2020-09-11,24.2
2020-09-14,24.75
2020-09-15,25.5
2020-09-16,25.07
2020-09-17,25.41
2020-09-18,25.19
2020-09-21,24.78
2020-09-22,24.33
2020-09-23,24.26
2020-09-24,24.43
2020-09-25,24.55
2020-09-28,23.81
2020-09-29,24.07
2020-09-30,23.8
2020-10-01,24.32
2020-10-02,23.88
2020-10-05,24.27
2020-10-06,24.03
2020-10-07,24.44
2020-10-08,24.89
2020-10-09,24.18
2020-10-13,24.66
2020-10-14,24.45
2020-10-15,24.82
2020-10-16,25.81
2020-10-19,25.17
2020-10-20,25.38
2020-10-21,25.14
2020-10-22,25.23
2020-10-23,25.37
2020-10-26,25.25
2020-10-27,24.63
2020-10-28,23.72
2020-10-29,23.83
2020-10-30,23.74
2020-11-03,24.2
2020-11-04,24.08
2020-11-05,23.96
2020-11-06,23.76
2020-11-09,23.54
2020-11-10,23.3
2020-11-11,23.19
2020-11-12,23.4
2020-11-13,24.44
2020-11-16,24.12
2020-11-17,23.69
2020-11-18,23.72
2020-11-19,23.35
2020-11-20,23.42
2020-11-23,23.45
2020-11-24,23.37
2020-11-25,23.3
2020-11-26,23.95
2020-11-27,24.83
2020-11-30,25.08
2020-12-01,25.51
2020-12-02,24.85
2020-12-03,24.05
2020-12-04,24.16
2020-12-07,23.91
2020-12-08,23.91
2020-12-09,23.75
2020-12-10,23.82
2020-12-11,23.9
2020-12-14,23.9
2020-12-15,24.49
2020-12-16,24.84
2020-12-17,25.12
2020-12-18,25.49
2020-12-21,24.9
2020-12-22,25.77
2020-12-23,25.27
2020-12-28,25.46
2020-12-29,25.58
2020-12-30,26.47
2021-01-04,25.94
2021-01-05,25.88
2021-01-06,26.14
2021-01-07,28.13
2021-01-08,29.28
2021-01-11,29.27
2021-01-12,29.59
2021-01-13,28.73
2021-01-14,28.6
2021-01-15,28.73
2021-01-18,29.1
2021-01-19,29.13
2021-01-20,29.11
2021-01-21,29.14
2021-01-22,28.73
2021-01-26,29.3
2021-01-27,28.2
2021-01-28,28.12
2021-01-29,28.1
2021-02-01,28.7
2021-02-02,28.14
2021-02-03,28.29
2021-02-04,28.01
2021-02-05,28.46
2021-02-08,28.16
2021-02-09,27.86
2021-02-10,28.08
2021-02-11,28.26
2021-02-12,28.11
2021-02-17,28.48
2021-02-18,28.9
2021-02-19,29.62
2021-02-22,30.57
2021-02-23,30.68
2021-02-24,31.18
2021-02-25,29.78
2021-02-26,29.47
2021-03-01,30.76
2021-03-02,29.91
2021-03-03,30.09
2021-03-04,30.02
2021-03-05,30.7
2021-03-08,29.56
2021-03-09,30.51
2021-03-10,29.28
2021-03-11,28.93
2021-03-12,29.08
2021-03-15,28.37
2021-03-16,29.61
2021-03-17,29.56
2021-03-18,28.7
2021-03-19,28.25
2021-03-22,28.46
2021-03-23,28.52
2021-03-24,28.77
2021-03-25,28.56
2021-03-26,28.6
2021-03-29,28.63
2021-03-30,28.32
2021-03-31,27.63
2021-04-01,28.05
2021-04-05,28.08
2021-04-06,28.6
2021-04-07,28.83
2021-04-08,29.18
2021-04-09,29.44
2021-04-12,29.95
2021-04-13,29.96
2021-04-14,29.7
2021-04-15,30.05
2021-04-16,29.45
2021-04-19,29.84
2021-04-20,30.09
2021-04-22,29.3
2021-04-23,29.06
