data_pregao,preco_ultimo
2020-01-02,26.8
2020-01-03,26.85
2020-01-06,26.54
2020-01-07,26.01
2020-01-08,25.82
2020-01-09,26.52
2020-01-10,26.47
2020-01-13,26.99
2020-01-14,27.87
2020-01-15,27.5
2020-01-16,27.85
2020-01-17,28.33
2020-01-20,29.01
2020-01-21,29.01
2020-01-22,28.52
2020-01-23,29.06
2020-01-24,28.95
2020-01-27,28.22
2020-01-28,28.47
2020-01-29,28.4
2020-01-30,27.71
2020-01-31,27.55
2020-02-03,27.3
2020-02-04,27.8
2020-02-05,27.45
2020-02-06,26.69
2020-02-07,26.2
2020-02-10,25.99
2020-02-11,27.11
2020-02-12,27.29
2020-02-13,27.59
2020-02-14,27.12
2020-02-17,27.43
2020-02-18,27.3
2020-02-19,27.22
2020-02-20,26.84
2020-02-21,28.9
2020-02-26,26.75
2020-02-27,26.03
2020-02-28,26.6
2020-03-02,26.65
2020-03-03,27.09
2020-03-04,27.7
2020-03-05,25.94
2020-03-06,23.85
2020-03-09,21.91
2020-03-10,23.55
2020-03-11,21.65
2020-03-12,17.74
2020-03-13,21.47
2020-03-16,17.49
2020-03-17,18.4
2020-03-18,16.17
2020-03-19,16.34
2020-03-20,17.61
2020-03-23,17.49
2020-03-24,19.29
2020-03-25,20.03
2020-03-26,20.85
2020-03-27,19.0
2020-03-30,19.04
2020-03-31,18.0
2020-04-01,17.95
2020-04-02,18.55
2020-04-03,17.44
2020-04-06,19.5
2020-04-07,20.46
2020-04-08,21.89
2020-04-09,21.3
2020-04-13,20.69
2020-04-14,21.02
2020-04-15,21.53
2020-04-16,22.37
2020-04-17,21.75
2020-04-20,23.01
2020-04-22,25.17
2020-04-23,24.46
2020-04-24,22.5
2020-04-27,24.0
2020-04-28,25.19
2020-04-29,25.77
2020-04-30,24.88
2020-05-04,25.26
2020-05-05,25.54
2020-05-06,27.42
2020-05-07,26.8
2020-05-08,26.9
2020-05-11,26.27
2020-05-12,26.22
2020-05-13,27.21
2020-05-14,27.17
2020-05-15,26.51
2020-05-18,26.89
2020-05-19,27.81
2020-05-20,26.84
2020-05-21,26.85
2020-05-22,25.35
2020-05-25,25.75
2020-05-26,26.9
2020-05-27,28.9
2020-05-28,28.71
2020-05-29,28.25
2020-06-01,29.3
2020-06-02,29.93
2020-06-03,30.23
2020-06-04,30.39
2020-06-05,29.7
2020-06-08,29.8
2020-06-09,30.25
2020-06-10,30.63
2020-06-12,31.3
2020-06-15,31.8
2020-06-16,31.56
2020-06-17,32.7
2020-06-18,33.4
2020-06-19,32.93
2020-06-22,32.5
2020-06-23,32.69
2020-06-24,31.8
2020-06-25,32.4
2020-06-26,31.13
2020-06-29,32.0
2020-06-30,32.18
2020-07-01,32.59
2020-07-02,31.2
2020-07-03,31.0
2020-07-06,32.6
2020-07-07,31.75
2020-07-08,32.12
2020-07-09,35.37
2020-07-10,35.16
2020-07-13,34.15
2020-07-14,34.65
2020-07-15,35.3
2020-07-16,34.72
2020-07-17,35.4
2020-07-20,35.33
2020-07-21,35.64
2020-07-22,36.6
2020-07-23,35.76
2020-07-24,35.53
2020-07-27,35.07
2020-07-28,34.72
2020-07-29,34.82
2020-07-30,35.02
2020-07-31,34.1
2020-08-03,34.39
2020-08-04,34.1
2020-08-05,34.19
2020-08-06,34.55
2020-08-07,34.49
2020-08-10,33.98
2020-08-11,34.67
2020-08-12,35.14
2020-08-13,35.3
2020-08-14,34.24
2020-08-17,33.12
2020-08-18,33.68
2020-08-19,32.75
2020-08-20,32.98
2020-08-21,33.02
2020-08-24,32.8
2020-08-25,33.0
2020-08-26,32.12
2020-08-27,32.36
2020-08-28,33.21
2020-08-31,32.27
2020-09-01,33.0
2020-09-02,32.56
2020-09-03,30.86
2020-09-04,30.84
2020-09-08,30.97
2020-09-09,30.91
2020-09-10,30.15
2020-09-11,29.49
2020-09-14,31.15
2020-09-15,31.26
2020-09-16,30.88
2020-09-17,30.11
2020-09-18,29.4
2020-09-21,29.49
2020-09-22,29.14
2020-09-23,28.87
2020-09-24,28.88
2020-09-25,29.04
2020-09-28,27.8
2020-09-29,28.37
2020-09-30,28.39
2020-10-01,29.33
2020-10-02,28.59
2020-10-05,28.46
2020-10-06,28.54
2020-10-07,27.73
2020-10-08,27.7
2020-10-09,27.2
2020-10-13,27.8
2020-10-14,27.25
2020-10-15,27.82
2020-10-16,27.36
2020-10-19,27.5
2020-10-20,27.4
2020-10-21,26.58
2020-10-22,26.02
2020-10-23,25.89
2020-10-26,26.13
2020-10-27,25.85
2020-10-28,24.72
2020-10-29,24.69
2020-10-30,23.23
2020-11-03,23.77
2020-11-04,24.95
2020-11-05,25.26
2020-11-06,25.02
2020-11-09,25.27
2020-11-10,25.11
2020-11-11,24.42
2020-11-12,23.93
2020-11-13,24.05
2020-11-16,23.58
2020-11-17,23.87
2020-11-18,24.39
2020-11-19,24.26
2020-11-20,24.03
2020-11-23,23.7
2020-11-24,23.71
2020-11-25,23.65
2020-11-26,23.7
2020-11-27,23.64
2020-11-30,22.93
2020-12-01,22.99
2020-12-02,23.02
2020-12-03,23.65
2020-12-04,25.31
2020-12-07,25.44
2020-12-08,25.44
2020-12-09,24.34
2020-12-10,24.98
2020-12-11,23.61
2020-12-14,23.51
2020-12-15,25.27
2020-12-16,25.62
2020-12-17,26.2
2020-12-18,25.53
2020-12-21,24.93
2020-12-22,24.88
2020-12-23,25.16
2020-12-28,26.06
2020-12-29,26.21
2020-12-30,26.29
2021-01-04,25.5
2021-01-05,24.93
2021-01-06,23.5
2021-01-07,23.18
2021-01-08,23.84
2021-01-11,23.38
2021-01-12,23.66
2021-01-13,23.6
2021-01-14,23.98
2021-01-15,24.3
2021-01-18,24.37
2021-01-19,24.65
2021-01-20,25.65
2021-01-21,25.29
2021-01-22,24.77
2021-01-26,24.35
2021-01-27,24.4
2021-01-28,24.85
2021-01-29,24.09
2021-02-01,23.93
2021-02-02,25.25
2021-02-03,25.25
2021-02-04,24.81
2021-02-05,24.8
2021-02-08,24.52
2021-02-09,24.27
2021-02-10,23.82
2021-02-11,24.3
2021-02-12,24.61
2021-02-17,24.4
2021-02-18,23.82
2021-02-19,24.15
2021-02-22,28.95
2021-02-23,27.23
2021-02-24,26.6
2021-02-25,25.98
2021-02-26,24.91
2021-03-01,24.68
2021-03-02,24.25
2021-03-03,23.91
2021-03-04,24.56
2021-03-05,23.92
2021-03-08,22.27
2021-03-09,21.0
2021-03-10,21.97
2021-03-11,22.47
2021-03-12,21.67
2021-03-15,22.19
2021-03-16,22.36
2021-03-17,22.65
2021-03-18,21.7
2021-03-19,22.14
2021-03-22,22.21
2021-03-23,21.99
2021-03-24,21.44
2021-03-25,21.76
2021-03-26,21.6
2021-03-29,21.65
2021-03-30,22.5
2021-03-31,22.36
2021-04-01,22.4
2021-04-05,22.84
2021-04-06,22.7
2021-04-07,22.19
2021-04-08,22.39
2021-04-09,21.91
2021-04-12,22.02
2021-04-13,24.07
2021-04-14,23.31
2021-04-15,23.26
2021-04-16,23.6
2021-04-19,23.35
2021-04-20,22.85
2021-04-22,22.12
2021-04-23,22.8
2021-04-26,22.35
2021-04-27,21.83
2021-04-28,22.63
2021-04-29,21.46
2021-04-30,20.86
2021-05-03,20.95
2021-05-04,21.0
2021-05-05,20.91
2021-05-06,20.45
2021-05-07,20.5
2021-05-10,19.69
2021-05-11,19.6
2021-05-12,19.34
2021-05-13,19.43
2021-05-14,19.44
2021-05-17,19.54
2021-05-18,19.52
2021-05-19,19.06
2021-05-20,18.82
2021-05-21,18.46
2021-05-24,19.48
2021-05-25,19.7
2021-05-26,19.3
2021-05-27,19.38
2021-05-28,20.05
2021-05-31,19.89
2021-06-01,21.4
2021-06-02,21.32
2021-06-04,21.15
2021-06-07,21.81
2021-06-08,22.18
2021-06-09,22.3
2021-06-10,22.53
2021-06-11,22.36
2021-06-14,22.67
2021-06-15,22.74
2021-06-16,22.28
2021-06-17,22.14
2021-06-18,21.75
2021-06-21,22.1
2021-06-22,21.76
2021-06-23,21.42
2021-06-24,22.38
2021-06-25,21.94
2021-06-28,22.35
2021-06-29,22.22
2021-06-30,21.58
2021-07-01,21.09
2021-07-02,21.37
2021-07-05,21.11
2021-07-06,20.5
2021-07-07,20.71
2021-07-08,20.57
2021-07-12,20.92
2021-07-13,21.35
2021-07-14,21.11
2021-07-15,20.59
2021-07-16,20.9
2021-07-19,7.9
2021-07-20,8.33
2021-07-21,7.9
2021-07-22,7.84
2021-07-23,7.82
2021-07-26,7.62
2021-07-27,7.46
2021-07-28,7.47
2021-07-29,7.4
2021-07-30,7.09
2021-08-02,7.27
2021-08-03,7.03
2021-08-04,6.84
2021-08-05,6.72
2021-08-06,6.72
2021-08-09,6.6
2021-08-10,6.42
2021-08-11,6.45
2021-08-12,6.57
2021-08-13,5.97
2021-08-16,5.63
2021-08-17,5.41
2021-08-18,5.41
2021-08-19,5.61
2021-08-20,5.59
2021-08-23,5.25
2021-08-24,5.87
2021-08-25,5.81
2021-08-26,5.95
2021-08-27,5.95
2021-08-30,6.12
2021-08-31,5.96
2021-09-01,6.14
2021-09-02,5.78
2021-09-03,6.02
2021-09-06,6.2
2021-09-08,5.67
2021-09-09,5.8
2021-09-10,5.64
2021-09-13,6.05
2021-09-14,5.95
2021-09-15,5.82
2021-09-16,5.62
2021-09-17,5.49
