data_pregao,preco_ultimo
2020-01-02,57.5
2020-01-03,57.1
2020-01-06,57.05
2020-01-07,57.02
2020-01-08,57.39
2020-01-09,56.95
2020-01-10,57.13
2020-01-13,58.37
2020-01-14,57.63
2020-01-15,57.25
2020-01-16,57.71
2020-01-17,59.22
2020-01-20,59.5
2020-01-21,58.95
2020-01-22,59.85
2020-01-23,60.87
2020-01-24,60.17
2020-01-27,58.88
2020-01-28,59.67
2020-01-29,60.0
2020-01-30,59.2
2020-01-31,57.45
2020-02-03,57.78
2020-02-04,56.9
2020-02-05,57.2
2020-02-06,55.22
2020-02-07,55.57
2020-02-10,54.96
2020-02-11,56.49
2020-02-12,56.65
2020-02-13,57.31
2020-02-14,56.45
2020-02-17,57.2
2020-02-18,56.85
2020-02-19,56.51
2020-02-20,55.53
2020-02-21,56.0
2020-02-26,52.65
2020-02-27,51.05
2020-02-28,53.3
2020-03-02,53.0
2020-03-03,53.33
2020-03-04,54.55
2020-03-05,51.8
2020-03-06,50.78
2020-03-09,46.0
2020-03-10,50.25
2020-03-11,47.09
2020-03-12,43.21
2020-03-13,46.78
2020-03-16,36.9
2020-03-17,38.54
2020-03-18,32.0
2020-03-19,36.8
2020-03-20,34.41
2020-03-23,30.0
2020-03-24,32.99
2020-03-25,36.8
2020-03-26,38.69
2020-03-27,36.0
2020-03-30,35.69
2020-03-31,33.56
2020-04-01,32.25
2020-04-02,32.14
2020-04-03,30.96
2020-04-06,34.75
2020-04-07,37.0
2020-04-08,37.75
2020-04-09,36.58
2020-04-13,36.04
2020-04-14,36.06
2020-04-15,35.75
2020-04-16,35.65
2020-04-17,37.5
2020-04-20,39.0
2020-04-22,40.93
2020-04-23,39.45
2020-04-24,37.67
2020-04-27,38.66
2020-04-28,40.22
2020-04-29,40.57
2020-04-30,38.39
2020-05-04,37.21
2020-05-05,36.35
2020-05-06,35.63
2020-05-07,33.31
2020-05-08,33.9
2020-05-11,32.7
2020-05-12,33.08
2020-05-13,31.78
2020-05-14,33.3
2020-05-15,33.42
2020-05-18,36.2
2020-05-19,36.79
2020-05-20,38.28
2020-05-21,40.77
2020-05-22,37.37
2020-05-25,40.37
2020-05-26,38.15
2020-05-27,39.79
2020-05-28,39.03
2020-05-29,38.55
2020-06-01,40.99
2020-06-02,42.13
2020-06-03,44.18
2020-06-04,44.56
2020-06-05,45.98
2020-06-08,46.21
2020-06-09,45.82
2020-06-10,43.9
2020-06-12,42.98
2020-06-15,42.13
2020-06-16,41.76
2020-06-17,43.4
2020-06-18,43.04
2020-06-19,43.91
2020-06-22,42.94
2020-06-23,41.87
2020-06-24,41.05
2020-06-25,40.81
2020-06-26,40.6
2020-06-29,41.2
2020-06-30,41.8
2020-07-01,41.43
2020-07-02,41.46
2020-07-03,41.0
2020-07-06,42.52
2020-07-07,42.74
2020-07-08,43.6
2020-07-09,44.11
2020-07-10,44.41
2020-07-13,42.77
2020-07-14,41.91
2020-07-15,41.58
2020-07-16,41.54
2020-07-17,42.25
2020-07-20,42.75
2020-07-21,42.3
2020-07-22,42.68
2020-07-23,41.07
2020-07-24,41.2
2020-07-27,40.0
2020-07-28,40.15
2020-07-29,41.7
2020-07-30,41.39
2020-07-31,41.13
2020-08-03,40.82
2020-08-04,39.48
2020-08-05,40.74
2020-08-06,42.85
2020-08-07,43.22
2020-08-10,42.65
2020-08-11,42.49
2020-08-12,41.85
2020-08-13,40.64
2020-08-14,41.61
2020-08-17,40.58
2020-08-18,41.31
2020-08-19,39.76
2020-08-20,41.12
2020-08-21,41.97
2020-08-24,41.99
2020-08-25,43.79
2020-08-26,43.0
2020-08-27,42.69
2020-08-28,43.72
2020-08-31,43.47
2020-09-01,45.47
2020-09-02,45.58
2020-09-03,45.69
2020-09-04,46.3
2020-09-08,46.17
2020-09-09,46.11
2020-09-10,44.07
2020-09-11,43.1
2020-09-14,44.98
2020-09-15,44.26
2020-09-16,44.76
2020-09-17,44.45
2020-09-18,42.24
2020-09-21,41.45
2020-09-22,41.96
2020-09-23,40.04
2020-09-24,40.23
2020-09-25,39.82
2020-09-28,38.68
2020-09-29,38.8
2020-09-30,39.65
2020-10-01,40.73
2020-10-02,39.77
2020-10-05,40.11
2020-10-06,40.2
2020-10-07,39.65
2020-10-08,39.91
2020-10-09,39.21
2020-10-13,39.86
2020-10-14,39.15
2020-10-15,39.7
2020-10-16,40.33
2020-10-19,41.85
2020-10-20,41.53
2020-10-21,40.5
2020-10-22,40.78
2020-10-23,40.97
2020-10-26,41.19
2020-10-27,40.89
2020-10-28,39.68
2020-10-29,39.62
2020-10-30,37.45
2020-11-03,38.05
2020-11-04,40.7
2020-11-05,42.55
2020-11-06,41.9
2020-11-09,47.98
2020-11-10,48.52
2020-11-11,46.88
2020-11-12,45.38
2020-11-13,45.67
2020-11-16,47.5
2020-11-17,48.85
2020-11-18,47.12
2020-11-19,46.94
2020-11-20,45.44
2020-11-23,45.58
2020-11-24,46.07
2020-11-25,46.4
2020-11-26,45.99
2020-11-27,46.35
2020-11-30,44.68
2020-12-01,44.92
2020-12-02,46.03
2020-12-03,46.38
2020-12-04,45.8
2020-12-07,45.02
2020-12-08,44.63
2020-12-09,44.54
2020-12-10,43.81
2020-12-11,44.61
2020-12-14,45.04
2020-12-15,46.02
2020-12-16,46.31
2020-12-17,45.5
2020-12-18,45.19
2020-12-21,43.95
2020-12-22,43.16
2020-12-23,43.72
2020-12-28,43.97
2020-12-29,44.13
2020-12-30,43.54
2021-01-04,42.21
2021-01-05,41.8
2021-01-06,39.78
2021-01-07,40.75
2021-01-08,43.1
2021-01-11,41.45
2021-01-12,41.9
2021-01-13,41.4
2021-01-14,43.38
2021-01-15,43.08
2021-01-18,43.13
2021-01-19,43.9
2021-01-20,43.11
2021-01-21,42.36
2021-01-22,41.02
2021-01-26,41.42
2021-01-27,41.69
2021-01-28,43.23
2021-01-29,41.47
2021-02-01,41.07
2021-02-02,41.01
2021-02-03,41.84
2021-02-04,41.34
2021-02-05,41.01
2021-02-08,41.24
2021-02-09,40.89
2021-02-10,39.76
2021-02-11,39.39
2021-02-12,39.9
2021-02-17,40.55
2021-02-18,40.0
2021-02-19,39.67
2021-02-22,38.34
2021-02-23,38.26
2021-02-24,37.32
2021-02-25,37.24
2021-02-26,36.66
2021-03-01,37.17
2021-03-02,37.37
2021-03-03,37.48
2021-03-04,39.33
2021-03-05,39.56
2021-03-08,38.0
2021-03-09,36.88
2021-03-10,38.32
2021-03-11,40.42
2021-03-12,41.56
