data_pregao,preco_ultimo
2020-01-02,10.06
2020-01-03,10.28
2020-01-06,10.09
2020-01-07,10.4
2020-01-08,10.66
2020-01-09,10.91
2020-01-10,10.75
2020-01-13,11.05
2020-01-14,11.36
2020-01-15,11.91
2020-01-16,12.1
2020-01-17,12.1
2020-01-20,12.27
2020-01-21,12.35
2020-01-22,12.1
2020-01-23,12.14
2020-01-24,12.1
2020-01-27,11.22
2020-01-28,11.57
2020-01-29,11.1
2020-01-30,10.82
2020-01-31,10.97
2020-02-03,11.25
2020-02-04,11.3
2020-02-05,11.63
2020-02-06,11.44
2020-02-07,11.09
2020-02-10,10.32
2020-02-11,10.91
2020-02-12,10.78
2020-02-13,11.3
2020-02-14,11.65
2020-02-17,12.54
2020-02-18,13.46
2020-02-19,13.75
2020-02-20,13.77
2020-02-21,13.99
2020-02-26,12.66
2020-02-27,12.05
2020-02-28,12.07
2020-03-02,12.9
2020-03-03,12.3
2020-03-04,12.73
2020-03-05,11.83
2020-03-06,11.26
2020-03-09,8.57
2020-03-10,9.92
2020-03-11,9.18
2020-03-12,7.34
2020-03-13,9.19
2020-03-16,7.58
2020-03-17,7.9
2020-03-18,6.44
2020-03-19,7.11
2020-03-20,7.11
2020-03-23,7.43
2020-03-24,7.9
2020-03-25,8.29
2020-03-26,8.4
2020-03-27,8.52
2020-03-30,8.95
2020-03-31,8.85
2020-04-01,9.2
2020-04-02,8.85
2020-04-03,8.62
2020-04-06,9.32
2020-04-07,8.94
2020-04-08,8.95
2020-04-09,8.86
2020-04-13,9.39
2020-04-14,9.5
2020-04-15,9.5
2020-04-16,9.39
2020-04-17,9.38
2020-04-20,9.57
2020-04-22,10.33
2020-04-23,10.47
2020-04-24,10.45
2020-04-27,11.5
2020-04-28,12.54
2020-04-29,12.51
2020-04-30,12.84
2020-05-04,12.47
2020-05-05,12.5
2020-05-06,12.69
2020-05-07,13.62
2020-05-08,13.25
2020-05-11,13.75
2020-05-12,14.27
2020-05-13,14.51
2020-05-14,14.35
2020-05-15,14.04
2020-05-18,13.11
2020-05-19,13.48
2020-05-20,13.06
2020-05-21,12.51
2020-05-22,12.63
2020-05-25,12.3
2020-05-26,12.35
2020-05-27,13.05
2020-05-28,12.89
2020-05-29,13.03
2020-06-01,13.15
2020-06-02,13.02
2020-06-03,12.75
2020-06-04,13.15
2020-06-05,12.68
2020-06-08,12.87
2020-06-09,12.66
2020-06-10,12.6
2020-06-12,12.88
2020-06-15,12.8
2020-06-16,13.12
2020-06-17,13.02
2020-06-18,13.47
2020-06-19,13.2
2020-06-22,12.83
2020-06-23,12.5
2020-06-24,12.91
2020-06-25,12.71
2020-06-26,12.55
2020-06-29,12.56
2020-06-30,12.61
2020-07-01,12.37
2020-07-02,12.2
2020-07-03,12.35
2020-07-06,12.62
2020-07-07,13.62
2020-07-08,13.31
2020-07-09,13.08
2020-07-10,13.28
2020-07-13,13.0
2020-07-14,12.87
2020-07-15,13.32
2020-07-16,13.44
2020-07-17,14.61
2020-07-20,15.1
2020-07-21,15.28
2020-07-22,15.36
2020-07-23,15.16
2020-07-24,14.83
2020-07-27,14.88
2020-07-28,14.95
2020-07-29,14.55
2020-07-30,14.63
2020-07-31,14.41
2020-08-03,14.5
2020-08-04,14.15
2020-08-05,14.06
2020-08-06,13.94
2020-08-07,13.86
2020-08-10,14.16
2020-08-11,14.05
2020-08-12,14.72
2020-08-13,14.78
2020-08-14,15.26
2020-08-17,16.08
2020-08-18,16.25
2020-08-19,17.22
2020-08-20,17.46
2020-08-21,17.47
2020-08-24,17.81
2020-08-25,17.83
2020-08-26,18.07
2020-08-27,17.87
2020-08-28,17.62
2020-08-31,17.8
2020-09-01,17.2
2020-09-02,17.52
2020-09-03,16.9
2020-09-04,16.72
2020-09-08,16.33
2020-09-09,16.27
2020-09-10,16.6
2020-09-11,16.12
2020-09-14,16.51
2020-09-15,17.11
2020-09-16,16.7
2020-09-17,16.54
2020-09-18,16.43
2020-09-21,16.53
