data_pregao,preco_ultimo
2020-01-02,22.2
2020-01-03,22.2
2020-01-06,21.9
2020-01-07,22.0
2020-01-08,21.62
2020-01-09,21.46
2020-01-10,21.25
2020-01-13,21.57
2020-01-14,22.05
2020-01-15,21.7
2020-01-16,21.62
2020-01-17,21.69
2020-01-20,22.29
2020-01-21,21.65
2020-01-22,21.81
2020-01-23,21.75
2020-01-24,21.65
2020-01-27,20.17
2020-01-28,20.11
2020-01-29,21.05
2020-01-30,21.18
2020-01-31,20.87
2020-02-03,20.58
2020-02-04,21.15
2020-02-05,21.6
2020-02-06,21.1
2020-02-07,20.03
2020-02-10,19.8
2020-02-11,20.16
2020-02-12,20.45
2020-02-13,20.52
2020-02-14,19.96
2020-02-17,20.0
2020-02-18,20.19
2020-02-19,20.39
2020-02-20,20.46
2020-02-21,20.51
2020-02-26,19.19
2020-02-27,18.17
2020-02-28,19.49
2020-03-02,19.32
2020-03-03,18.67
2020-03-04,19.04
2020-03-05,17.27
2020-03-06,17.3
2020-03-09,15.35
2020-03-10,16.58
2020-03-11,15.78
2020-03-12,12.6
2020-03-13,13.97
2020-03-16,12.73
2020-03-17,12.86
2020-03-18,10.28
2020-03-19,10.71
2020-03-20,11.56
2020-03-23,10.36
2020-03-24,12.03
2020-03-25,13.1
2020-03-26,14.24
2020-03-27,13.6
2020-03-30,13.04
2020-03-31,12.24
2020-04-01,11.0
2020-04-02,11.4
2020-04-03,11.23
2020-04-06,11.97
2020-04-07,12.37
2020-04-08,12.91
2020-04-09,13.36
2020-04-13,13.29
2020-04-14,13.39
2020-04-15,13.44
2020-04-16,13.35
2020-04-17,13.36
2020-04-20,13.7
2020-04-22,14.6
2020-04-23,14.18
2020-04-24,13.0
2020-04-27,13.7
2020-04-28,14.77
2020-04-29,15.65
2020-04-30,15.15
2020-05-04,14.84
2020-05-05,14.66
2020-05-06,14.5
2020-05-07,13.94
2020-05-08,13.83
2020-05-11,13.81
2020-05-12,13.62
2020-05-13,13.23
2020-05-14,13.51
2020-05-15,13.6
2020-05-18,15.48
2020-05-19,15.13
2020-05-20,15.07
2020-05-21,15.28
2020-05-22,14.93
2020-05-25,16.74
2020-05-26,16.33
2020-05-27,16.62
2020-05-28,15.75
2020-05-29,15.17
2020-06-01,15.79
2020-06-02,16.65
2020-06-03,17.58
2020-06-04,17.18
2020-06-05,17.49
2020-06-08,18.0
2020-06-09,17.15
2020-06-10,16.88
2020-06-12,16.35
2020-06-15,16.87
2020-06-16,16.85
2020-06-17,17.12
2020-06-18,16.78
2020-06-19,17.73
2020-06-22,17.78
2020-06-23,18.26
2020-06-24,17.84
2020-06-25,17.91
2020-06-26,17.36
2020-06-29,17.82
2020-06-30,18.0
2020-07-01,18.74
2020-07-02,18.55
2020-07-03,19.27
2020-07-06,19.06
2020-07-07,19.33
2020-07-08,20.2
2020-07-09,20.31
2020-07-10,21.57
2020-07-13,21.0
2020-07-14,20.86
2020-07-15,20.44
2020-07-16,20.7
2020-07-17,20.77
2020-07-20,21.24
2020-07-21,20.66
2020-07-22,20.49
2020-07-23,19.92
2020-07-24,19.48
2020-07-27,19.66
2020-07-28,19.65
2020-07-29,19.96
2020-07-30,19.75
2020-07-31,19.14
2020-08-03,18.46
2020-08-04,18.58
2020-08-05,18.86
2020-08-06,18.99
2020-08-07,18.55
2020-08-10,18.3
2020-08-11,17.95
2020-08-12,17.75
2020-08-13,17.9
2020-08-14,18.3
2020-08-17,17.44
2020-08-18,18.8
2020-08-19,18.3
2020-08-20,18.61
2020-08-21,19.26
2020-08-24,19.11
2020-08-25,18.93
2020-08-26,18.54
2020-08-27,18.18
2020-08-28,18.24
2020-08-31,17.97
2020-09-01,18.32
2020-09-02,18.24
2020-09-03,18.22
2020-09-04,17.93
2020-09-08,17.89
2020-09-09,18.21
2020-09-10,17.8
2020-09-11,17.3
2020-09-14,17.91
2020-09-15,17.62
2020-09-16,17.49
2020-09-17,17.02
2020-09-18,16.27
2020-09-21,16.1
2020-09-22,16.7
2020-09-23,16.38
2020-09-24,16.6
2020-09-25,16.5
2020-09-28,15.7
2020-09-29,15.75
2020-09-30,16.09
2020-10-01,16.73
2020-10-02,16.47
2020-10-05,16.42
2020-10-06,16.57
2020-10-07,16.75
2020-10-08,16.81
2020-10-09,18.24
2020-10-13,17.84
2020-10-14,17.67
2020-10-15,18.16
2020-10-16,18.18
2020-10-19,18.11
2020-10-20,18.88
2020-10-21,18.57
2020-10-22,18.23
2020-10-23,18.28
2020-10-26,17.95
2020-10-27,17.8
2020-10-28,17.31
2020-10-29,17.55
2020-10-30,16.85
2020-11-03,16.97
2020-11-04,17.92
2020-11-05,18.25
2020-11-06,18.45
2020-11-09,19.38
2020-11-10,19.83
