data_pregao,preco_ultimo
2020-01-02,33.55
2020-01-03,33.55
2020-01-06,33.49
2020-01-07,33.58
2020-01-08,33.71
2020-01-09,33.5
2020-01-10,33.15
2020-01-13,33.5
2020-01-14,34.0
2020-01-15,33.97
2020-01-16,34.15
2020-01-17,34.56
2020-01-20,34.48
2020-01-21,34.25
2020-01-22,34.73
2020-01-23,35.52
2020-01-24,35.13
2020-01-27,34.08
2020-01-28,34.65
2020-01-29,35.03
2020-01-30,35.01
2020-01-31,34.68
2020-02-03,35.22
2020-02-04,35.18
2020-02-05,34.77
2020-02-06,33.78
2020-02-07,33.24
2020-02-10,32.7
2020-02-11,33.66
2020-02-12,34.0
2020-02-13,33.44
2020-02-14,33.54
2020-02-17,33.2
2020-02-18,33.82
2020-02-19,34.07
2020-02-20,33.6
2020-02-21,33.8
2020-02-26,31.26
2020-02-27,30.69
2020-02-28,30.52
2020-03-02,31.68
2020-03-03,31.22
2020-03-04,32.24
2020-03-05,30.22
2020-03-06,29.46
2020-03-09,26.89
2020-03-10,28.03
2020-03-11,25.97
2020-03-12,22.44
2020-03-13,23.85
2020-03-16,18.51
2020-03-17,19.5
2020-03-18,17.2
2020-03-19,19.98
2020-03-20,19.03
2020-03-23,17.51
2020-03-24,20.54
2020-03-25,23.09
2020-03-26,23.81
2020-03-27,21.31
2020-03-30,20.95
2020-03-31,19.08
2020-04-01,18.53
2020-04-02,18.62
2020-04-03,18.14
2020-04-06,19.68
2020-04-07,20.12
2020-04-08,20.17
2020-04-09,19.56
2020-04-13,19.7
2020-04-14,19.6
2020-04-15,19.04
2020-04-16,18.8
2020-04-17,20.95
2020-04-20,21.6
2020-04-22,23.2
2020-04-23,22.98
2020-04-24,20.58
2020-04-27,21.06
2020-04-28,21.76
2020-04-29,22.37
2020-04-30,20.89
2020-05-04,19.98
2020-05-05,19.69
2020-05-06,19.3
2020-05-07,18.44
2020-05-08,18.84
2020-05-11,18.38
2020-05-12,17.99
2020-05-13,18.2
2020-05-14,18.67
2020-05-15,18.1
2020-05-18,19.39
2020-05-19,19.67
2020-05-20,20.62
2020-05-21,21.7
2020-05-22,21.19
2020-05-25,22.64
2020-05-26,21.78
2020-05-27,22.54
2020-05-28,21.3
2020-05-29,20.69
2020-06-01,22.28
2020-06-02,22.71
2020-06-03,23.56
2020-06-04,22.99
2020-06-05,23.09
2020-06-08,22.85
2020-06-09,23.93
2020-06-10,22.7
2020-06-12,22.0
2020-06-15,21.68
2020-06-16,21.42
2020-06-17,22.59
2020-06-18,21.81
2020-06-19,22.03
2020-06-22,22.0
2020-06-23,21.91
2020-06-24,21.4
2020-06-25,21.3
2020-06-26,20.23
2020-06-29,20.72
2020-06-30,20.5
2020-07-01,20.95
2020-07-02,20.75
2020-07-03,21.35
2020-07-06,22.8
2020-07-07,22.4
2020-07-08,22.85
2020-07-09,23.37
2020-07-10,23.4
2020-07-13,22.92
2020-07-14,22.87
2020-07-15,22.75
2020-07-16,22.53
2020-07-17,22.77
2020-07-20,23.19
2020-07-21,23.03
2020-07-22,22.17
2020-07-23,21.81
2020-07-24,21.37
2020-07-27,21.26
2020-07-28,21.59
2020-07-29,21.9
2020-07-30,21.6
2020-07-31,21.14
2020-08-03,20.58
2020-08-04,20.3
2020-08-05,21.93
2020-08-06,23.61
2020-08-07,22.8
2020-08-10,22.78
2020-08-11,23.69
2020-08-12,23.42
2020-08-13,22.03
2020-08-14,22.67
2020-08-17,21.85
2020-08-18,21.84
2020-08-19,21.56
2020-08-20,22.4
2020-08-21,22.15
2020-08-24,22.09
2020-08-25,21.63
2020-08-26,21.51
2020-08-27,21.5
2020-08-28,21.61
2020-08-31,20.82
2020-09-01,22.07
2020-09-02,21.95
2020-09-03,21.67
2020-09-04,22.25
2020-09-08,23.15
2020-09-09,22.8
2020-09-10,22.32
2020-09-11,21.77
2020-09-14,22.7
2020-09-15,22.59
2020-09-16,23.12
2020-09-17,22.91
2020-09-18,22.07
2020-09-21,21.44
2020-09-22,21.36
2020-09-23,20.81
2020-09-24,20.74
2020-09-25,20.12
2020-09-28,19.42
2020-09-29,19.21
2020-09-30,19.43
2020-10-01,20.55
2020-10-02,20.26
2020-10-05,20.68
2020-10-06,21.15
2020-10-07,21.6
2020-10-08,21.59
2020-10-09,21.36
2020-10-13,21.15
2020-10-14,21.17
2020-10-15,21.2
2020-10-16,20.9
2020-10-19,21.06
2020-10-20,21.18
2020-10-21,21.97
2020-10-22,21.59
2020-10-23,21.21
2020-10-26,20.3
2020-10-27,20.09
2020-10-28,19.02
2020-10-29,19.1
2020-10-30,18.97
2020-11-03,18.65
2020-11-04,19.39
2020-11-05,20.71
2020-11-06,21.5
2020-11-09,24.52
2020-11-10,24.04
2020-11-11,23.63
2020-11-12,22.99
2020-11-13,22.45
2020-11-16,22.72
2020-11-17,23.09
2020-11-18,22.12
2020-11-19,22.0
2020-11-20,21.51
2020-11-23,21.93
2020-11-24,23.5
2020-11-25,23.74
2020-11-26,23.44
2020-11-27,23.5
2020-11-30,22.67
2020-12-01,24.04
2020-12-02,24.4
2020-12-03,25.15
2020-12-04,24.76
2020-12-07,24.9
2020-12-08,24.49
2020-12-09,24.84
2020-12-10,25.95
2020-12-11,25.02
2020-12-14,25.06
2020-12-15,25.06
2020-12-16,25.3
2020-12-17,24.91
2020-12-18,24.37
2020-12-21,23.8
2020-12-22,23.24
2020-12-23,23.74
2020-12-28,24.26
2020-12-29,23.36
2020-12-30,23.53
2021-01-04,22.55
2021-01-05,22.58
2021-01-06,21.6
2021-01-07,21.6
2021-01-08,22.38
2021-01-11,21.42
2021-01-12,21.64
2021-01-13,21.48
2021-01-14,21.94
2021-01-15,21.35
2021-01-18,21.42
2021-01-19,21.19
2021-01-20,20.96
2021-01-21,20.59
2021-01-22,20.38
2021-01-26,20.51
2021-01-27,20.44
2021-01-28,21.8
2021-01-29,21.2
2021-02-01,21.31
2021-02-02,21.3
2021-02-03,22.5
2021-02-04,22.13
2021-02-05,21.84
2021-02-08,21.6
2021-02-09,21.38
2021-02-10,21.25
2021-02-11,21.35
2021-02-12,21.39
2021-02-17,21.07
2021-02-18,20.93
2021-02-19,20.67
2021-02-22,20.14
2021-02-23,20.1
2021-02-24,19.87
2021-02-25,19.96
2021-02-26,19.68
2021-03-01,19.38
2021-03-02,19.79
2021-03-03,19.85
2021-03-04,20.42
2021-03-05,21.38
2021-03-08,20.5
2021-03-09,20.51
2021-03-10,20.85
2021-03-11,22.33
2021-03-12,23.21
