data_pregao,preco_ultimo
2020-01-02,38.33
2020-01-03,41.0
2020-01-06,40.13
2020-01-07,40.78
2020-01-08,40.99
2020-01-09,42.0
2020-01-10,42.89
2020-01-13,43.73
2020-01-14,44.26
2020-01-15,44.58
2020-01-16,45.41
2020-01-17,45.88
2020-01-20,46.5
2020-01-21,45.95
2020-01-22,47.75
2020-01-23,49.38
2020-01-24,49.18
2020-01-27,47.47
2020-01-28,49.04
2020-01-29,48.35
2020-01-30,48.95
2020-01-31,47.58
2020-02-03,47.79
2020-02-04,48.52
2020-02-05,48.5
2020-02-06,47.04
2020-02-07,45.57
2020-02-10,44.98
2020-02-11,47.8
2020-02-12,49.28
2020-02-13,49.17
2020-02-14,50.89
2020-02-17,50.62
2020-02-18,49.86
2020-02-19,50.35
2020-02-20,50.0
2020-02-21,48.5
2020-02-26,46.34
2020-02-27,45.53
2020-02-28,45.51
2020-03-02,44.81
2020-03-03,44.5
2020-03-04,44.17
2020-03-05,41.25
2020-03-06,39.8
2020-03-09,36.0
2020-03-10,39.1
2020-03-11,35.91
2020-03-12,28.51
2020-03-13,33.0
2020-03-16,25.0
2020-03-17,27.84
2020-03-18,25.2
2020-03-19,25.89
2020-03-20,25.17
2020-03-23,21.25
2020-03-24,24.9
2020-03-25,28.9
2020-03-26,29.0
2020-03-27,28.55
2020-03-30,27.43
2020-03-31,25.74
2020-04-01,23.19
2020-04-02,23.88
2020-04-03,23.68
2020-04-06,26.44
2020-04-07,28.96
2020-04-08,30.11
2020-04-09,28.98
2020-04-13,28.26
2020-04-14,29.78
2020-04-15,31.8
2020-04-16,32.33
2020-04-17,33.34
2020-04-20,33.46
2020-04-22,35.0
2020-04-23,34.6
2020-04-24,33.23
2020-04-27,35.4
2020-04-28,35.06
2020-04-29,36.32
2020-04-30,35.52
2020-05-04,34.4
2020-05-05,34.52
2020-05-06,36.5
2020-05-07,36.45
2020-05-08,35.7
2020-05-11,34.15
2020-05-12,32.05
2020-05-13,32.43
2020-05-14,33.24
2020-05-15,32.18
2020-05-18,33.36
2020-05-19,32.54
2020-05-20,33.71
2020-05-21,33.91
2020-05-22,34.1
2020-05-25,35.14
2020-05-26,36.08
2020-05-27,38.7
2020-05-28,37.74
2020-05-29,37.18
2020-06-01,37.97
2020-06-02,38.01
2020-06-03,38.33
2020-06-04,37.91
2020-06-05,40.14
2020-06-08,41.29
2020-06-09,41.21
2020-06-10,40.85
2020-06-12,40.02
2020-06-15,40.58
2020-06-16,40.31
2020-06-17,41.92
2020-06-18,41.54
2020-06-19,42.23
2020-06-22,41.05
2020-06-23,42.34
2020-06-24,41.3
2020-06-25,41.86
2020-06-26,39.9
2020-06-29,40.02
2020-06-30,39.9
2020-07-01,40.28
2020-07-02,40.81
2020-07-03,41.3
2020-07-06,40.66
2020-07-07,39.91
2020-07-08,42.32
2020-07-09,42.15
2020-07-10,42.03
2020-07-13,39.9
2020-07-14,39.68
2020-07-15,40.55
2020-07-16,40.44
2020-07-17,42.0
2020-07-20,43.44
2020-07-21,43.37
2020-07-22,43.48
2020-07-23,42.8
2020-07-24,42.6
2020-07-27,43.18
2020-07-28,44.12
2020-07-29,47.09
2020-07-30,48.67
2020-07-31,47.04
2020-08-03,46.61
2020-08-04,46.74
2020-08-05,47.81
2020-08-06,48.03
2020-08-07,46.79
2020-08-10,46.45
2020-08-11,45.84
2020-08-12,46.62
2020-08-13,47.54
2020-08-14,51.43
2020-08-17,50.87
2020-08-18,51.4
2020-08-19,50.84
2020-08-20,49.87
2020-08-21,49.81
2020-08-24,50.6
2020-08-25,49.62
2020-08-26,49.14
2020-08-27,49.23
2020-08-28,50.42
2020-08-31,49.34
2020-09-01,50.86
2020-09-02,50.91
2020-09-03,50.27
2020-09-04,49.45
2020-09-08,48.7
2020-09-09,50.72
2020-09-10,49.75
2020-09-11,51.62
2020-09-14,53.26
2020-09-15,53.5
2020-09-16,52.73
2020-09-17,52.74
2020-09-18,52.05
2020-09-21,51.49
2020-09-22,51.0
2020-09-23,50.1
2020-09-24,50.21
2020-09-25,50.17
2020-09-28,48.73
2020-09-29,49.69
2020-09-30,51.13
2020-10-01,48.58
2020-10-02,48.94
2020-10-05,48.95
2020-10-06,47.65
2020-10-07,47.31
2020-10-08,47.0
2020-10-09,46.98
2020-10-13,48.86
2020-10-14,49.4
2020-10-15,49.7
2020-10-16,48.86
2020-10-19,48.25
2020-10-20,48.83
2020-10-21,49.37
2020-10-22,49.73
2020-10-23,49.82
2020-10-26,49.47
2020-10-27,49.31
2020-10-28,48.45
2020-10-29,47.8
2020-10-30,46.1
2020-11-03,46.43
2020-11-04,47.67
2020-11-05,50.28
2020-11-06,50.63
2020-11-09,49.15
2020-11-10,48.45
2020-11-11,49.44
2020-11-12,49.26
2020-11-13,51.03
2020-11-16,51.0
2020-11-17,50.09
2020-11-18,49.21
2020-11-19,48.87
2020-11-20,48.57
2020-11-23,48.21
2020-11-24,48.29
2020-11-25,50.3
2020-11-26,50.41
2020-11-27,51.4
2020-11-30,50.41
2020-12-01,49.1
2020-12-02,49.35
2020-12-03,49.0
2020-12-04,49.15
2020-12-07,48.45
2020-12-08,48.83
2020-12-09,48.29
2020-12-10,47.91
2020-12-11,48.07
2020-12-14,48.65
2020-12-15,49.0
2020-12-16,50.9
2020-12-17,51.14
2020-12-18,51.18
2020-12-21,49.74
2020-12-22,50.05
2020-12-23,51.69
2020-12-28,52.0
2020-12-29,51.94
2020-12-30,52.5
2021-01-04,51.99
2021-01-05,51.69
2021-01-06,48.9
2021-01-07,48.48
2021-01-08,50.72
2021-01-11,49.1
2021-01-12,51.46
2021-01-13,51.2
2021-01-14,50.35
2021-01-15,49.39
2021-01-18,51.94
2021-01-19,51.18
2021-01-20,50.02
2021-01-21,49.16
2021-01-22,49.33
2021-01-26,50.1
2021-01-27,49.42
2021-01-28,50.3
2021-01-29,49.06
2021-02-01,48.46
2021-02-02,49.26
2021-02-03,50.0
2021-02-04,50.41
2021-02-05,50.97
2021-02-08,50.73
2021-02-09,51.09
2021-02-10,50.72
2021-02-11,53.76
2021-02-12,53.3
2021-02-17,53.09
2021-02-18,51.75
2021-02-19,52.55
2021-02-22,51.23
2021-02-23,49.38
2021-02-24,49.54
2021-02-25,47.86
2021-02-26,46.17
2021-03-01,46.35
2021-03-02,47.0
2021-03-03,47.34
2021-03-04,47.42
2021-03-05,50.51
2021-03-08,48.18
2021-03-09,48.22
2021-03-10,47.97
2021-03-11,49.38
2021-03-12,48.86
2021-03-15,50.2
2021-03-16,49.79
2021-03-17,50.95
2021-03-18,49.2
2021-03-19,51.53
2021-03-22,50.89
2021-03-23,50.32
2021-03-24,48.07
2021-03-25,49.37
2021-03-26,48.76
2021-03-29,48.42
2021-03-30,48.75
2021-03-31,48.14
2021-04-01,47.3
2021-04-05,48.07
2021-04-06,49.18
2021-04-07,48.65
2021-04-08,50.41
2021-04-09,51.02
2021-04-12,51.18
2021-04-13,51.91
2021-04-14,52.08
2021-04-15,52.84
2021-04-16,50.16
2021-04-19,50.01
2021-04-20,49.23
2021-04-22,47.6
2021-04-23,48.0
2021-04-26,47.7
2021-04-27,47.42
2021-04-28,47.4
2021-04-29,47.37
2021-04-30,48.74
2021-05-03,49.65
2021-05-04,48.46
2021-05-05,48.63
2021-05-06,47.7
2021-05-07,50.1
2021-05-10,49.06
2021-05-11,49.24
2021-05-12,47.38
2021-05-13,49.23
2021-05-14,49.34
2021-05-17,49.96
2021-05-18,49.8
2021-05-19,50.65
2021-05-20,50.82
2021-05-21,50.37
2021-05-24,50.87
2021-05-25,51.25
2021-05-26,51.25
2021-05-27,51.53
2021-05-28,51.04
2021-05-31,51.55
2021-06-01,53.58
2021-06-02,53.44
2021-06-04,54.43
2021-06-07,56.86
2021-06-08,55.7
2021-06-09,56.54
2021-06-10,56.64
2021-06-11,55.9
2021-06-14,58.08
2021-06-15,58.75
2021-06-16,56.97
2021-06-17,57.39
2021-06-18,57.8
2021-06-21,57.31
2021-06-22,56.92
2021-06-23,56.5
2021-06-24,57.27
2021-06-25,56.31
2021-06-28,57.06
2021-06-29,56.39
2021-06-30,56.74
2021-07-01,57.22
2021-07-02,59.52
2021-07-05,59.96
2021-07-06,59.65
2021-07-07,60.35
2021-07-08,60.1
2021-07-12,61.05
2021-07-13,60.8
2021-07-14,59.92
2021-07-15,59.45
2021-07-16,59.95
2021-07-19,59.55
2021-07-20,59.58
2021-07-21,60.34
2021-07-22,60.62
2021-07-23,60.29
2021-07-26,60.13
2021-07-27,58.75
2021-07-28,55.0
2021-07-29,55.25
2021-07-30,53.75
2021-08-02,53.59
2021-08-03,54.47
2021-08-04,55.15
2021-08-05,54.54
2021-08-06,54.6
2021-08-09,54.23
2021-08-10,53.58
2021-08-11,52.94
2021-08-12,52.66
2021-08-13,54.51
2021-08-16,53.56
2021-08-17,52.6
2021-08-18,52.33
2021-08-19,53.52
2021-08-20,52.91
2021-08-23,52.11
2021-08-24,53.42
2021-08-25,54.07
2021-08-26,52.65
2021-08-27,52.8
2021-08-30,52.45
2021-08-31,51.62
2021-09-01,52.62
2021-09-02,50.34
2021-09-03,50.72
2021-09-06,51.16
2021-09-08,49.98
2021-09-09,50.63
2021-09-10,50.4
2021-09-13,50.48
2021-09-14,49.95
2021-09-15,48.25
2021-09-16,47.56
2021-09-17,48.1
