data_pregao,preco_ultimo
2020-01-08,87.0
2020-01-09,91.16
2020-01-10,90.9
2020-01-14,87.1
2020-01-16,94.0
2020-01-17,94.0
2020-01-20,92.0
2020-01-23,90.01
2020-01-27,94.5
2020-01-28,94.5
2020-01-31,94.5
2020-02-06,94.5
2020-02-13,85.3
2020-02-14,87.01
2020-02-18,88.16
2020-02-27,82.0
2020-02-28,82.0
2020-03-02,73.73
2020-03-03,74.63
2020-03-04,74.5
2020-03-05,71.09
2020-03-06,69.31
2020-03-09,65.3
2020-03-10,66.5
2020-03-11,62.4
2020-03-12,57.69
2020-03-13,65.5
2020-03-16,62.37
2020-03-17,68.0
2020-03-18,59.87
2020-03-19,64.46
2020-03-20,67.23
2020-03-23,71.88
2020-03-24,72.0
2020-03-25,70.0
2020-03-26,66.32
2020-03-27,64.02
2020-03-30,65.0
2020-03-31,66.34
2020-04-01,63.95
2020-04-02,64.99
2020-04-03,62.91
2020-04-06,65.25
2020-04-07,65.76
2020-04-08,66.0
2020-04-09,63.3
2020-04-13,63.55
2020-04-14,64.28
2020-04-15,63.21
2020-04-16,64.85
2020-04-17,64.0
2020-04-20,65.0
2020-04-22,70.72
2020-04-23,69.33
2020-04-24,67.3
2020-04-27,69.47
2020-04-28,67.04
2020-04-29,67.6
2020-04-30,66.22
2020-05-04,66.2
2020-05-05,65.41
2020-05-06,64.88
2020-05-07,63.86
2020-05-08,65.8
2020-05-11,65.92
2020-05-12,65.18
2020-05-13,63.9
2020-05-14,59.9
2020-05-15,55.15
2020-05-18,55.85
2020-05-19,55.07
2020-05-20,55.0
2020-05-21,56.35
2020-05-22,57.21
2020-05-25,59.47
2020-05-26,59.84
2020-05-27,60.38
2020-05-28,60.85
2020-05-29,62.98
2020-06-01,64.75
2020-06-02,66.68
2020-06-03,67.5
2020-06-04,67.55
2020-06-05,66.84
2020-06-08,67.0
2020-06-09,66.88
2020-06-10,65.21
2020-06-12,64.09
2020-06-15,65.0
2020-06-16,65.4
2020-06-17,66.7
2020-06-18,66.16
2020-06-19,68.42
2020-06-22,68.04
2020-06-23,70.0
2020-06-24,69.28
2020-06-25,71.19
2020-06-26,68.81
2020-06-29,72.9
2020-06-30,70.98
2020-07-01,72.63
2020-07-02,71.32
2020-07-03,72.54
2020-07-06,72.77
2020-07-07,70.9
2020-07-08,72.3
2020-07-09,71.53
2020-07-10,70.7
2020-07-13,68.57
2020-07-14,69.87
2020-07-15,70.32
2020-07-16,69.57
2020-07-17,71.1
2020-07-20,72.0
2020-07-21,76.99
2020-07-22,75.87
2020-07-23,74.21
2020-07-24,74.9
2020-07-27,75.3
2020-07-28,77.72
2020-07-29,78.64
2020-07-30,73.71
2020-07-31,71.0
2020-08-03,68.88
2020-08-04,68.3
2020-08-05,68.65
2020-08-06,67.33
2020-08-07,67.95
2020-08-10,66.58
2020-08-11,67.92
2020-08-12,65.8
2020-08-13,65.19
2020-08-14,65.62
2020-08-17,63.92
2020-08-18,65.31
2020-08-19,63.9
2020-08-20,64.15
2020-08-21,64.65
2020-08-24,64.81
2020-08-25,65.32
2020-08-26,64.73
2020-08-27,64.35
2020-08-28,65.3
2020-08-31,63.51
2020-09-01,64.84
2020-09-02,64.46
2020-09-03,62.77
2020-09-04,63.27
2020-09-08,62.49
2020-09-09,62.15
2020-09-10,71.35
2020-09-11,74.18
2020-09-14,73.89
2020-09-15,73.84
2020-09-16,75.07
2020-09-17,76.24
2020-09-18,75.3
2020-09-21,74.55
2020-09-22,75.18
2020-09-23,72.18
2020-09-24,74.83
2020-09-25,74.04
2020-09-28,70.87
2020-09-29,70.62
2020-09-30,69.74
2020-10-01,70.24
2020-10-02,68.57
2020-10-05,68.16
2020-10-06,68.5
2020-10-07,69.21
2020-10-08,68.7
2020-10-09,67.65
2020-10-13,66.3
2020-10-14,66.1
2020-10-15,65.48
2020-10-16,66.58
2020-10-19,66.28
2020-10-20,67.35
2020-10-21,66.71
2020-10-22,66.85
2020-10-23,66.38
2020-10-26,66.67
2020-10-27,65.58
2020-10-28,63.08
2020-10-29,62.78
2020-10-30,61.95
2020-11-03,62.21
2020-11-04,64.32
2020-11-05,65.45
2020-11-06,65.69
2020-11-09,65.9
2020-11-10,67.08
2020-11-11,66.05
2020-11-12,66.38
2020-11-13,69.6
2020-11-16,69.08
2020-11-17,68.65
2020-11-18,69.2
2020-11-19,69.82
2020-11-20,73.0
2020-11-23,70.1
2020-11-24,71.31
2020-11-25,70.45
2020-11-26,69.0
2020-11-27,69.45
2020-11-30,69.25
2020-12-01,67.83
2020-12-02,66.77
2020-12-03,71.64
2020-12-04,70.72
2020-12-07,69.71
2020-12-08,71.58
2020-12-09,71.72
2020-12-10,71.69
2020-12-11,72.8
2020-12-14,72.52
2020-12-15,73.47
2020-12-16,74.4
2020-12-17,73.56
2020-12-18,74.3
2020-12-21,72.2
2020-12-22,72.7
2020-12-23,72.71
2020-12-28,75.36
2020-12-29,75.37
2020-12-30,75.05
2021-01-04,75.09
2021-01-05,73.34
2021-01-06,72.75
2021-01-07,74.03
2021-01-08,76.54
2021-01-11,74.43
2021-01-12,76.35
2021-01-13,77.84
2021-01-14,77.3
2021-01-15,76.42
2021-01-18,76.7
2021-01-19,78.6
2021-01-20,77.27
2021-01-21,76.02
2021-01-22,75.41
2021-01-26,75.36
2021-01-27,74.07
2021-01-28,75.52
2021-01-29,75.48
2021-02-01,79.41
2021-02-02,81.69
2021-02-03,82.0
2021-02-04,83.73
2021-02-05,85.1
2021-02-08,87.6
2021-02-09,87.92
2021-02-10,87.24
2021-02-11,87.53
2021-02-12,88.95
2021-02-17,87.9
2021-02-18,86.14
2021-02-19,88.95
2021-02-22,89.43
2021-02-23,89.67
2021-02-24,90.33
2021-02-25,84.75
2021-02-26,83.0
2021-03-01,23.33
2021-03-02,22.62
2021-03-03,21.35
2021-03-04,22.27
2021-03-05,22.91
2021-03-08,22.85
2021-03-09,23.7
2021-03-10,24.83
2021-03-11,24.9
2021-03-12,24.9
2021-03-15,25.0
2021-03-16,24.69
2021-03-17,24.9
2021-03-18,25.0
2021-03-19,28.31
2021-03-22,29.74
2021-03-23,29.45
2021-03-24,28.18
2021-03-25,29.66
2021-03-26,31.41
2021-03-29,33.64
2021-03-30,33.8
2021-03-31,33.18
2021-04-01,32.3
2021-04-05,33.02
2021-04-06,32.64
2021-04-07,33.04
2021-04-08,34.83
2021-04-09,33.7
2021-04-12,37.0
2021-04-13,39.11
2021-04-14,38.2
2021-04-15,36.26
2021-04-16,36.57
2021-04-19,36.08
2021-04-20,39.3
2021-04-22,38.75
2021-04-23,38.15
2021-04-26,38.34
2021-04-27,37.86
2021-04-28,37.58
2021-04-29,39.05
2021-04-30,40.73
2021-05-03,40.11
