data_pregao,preco_ultimo
2020-01-02,30.7
2020-01-03,30.45
2020-01-06,30.81
2020-01-07,30.69
2020-01-08,30.5
2020-01-09,30.4
2020-01-10,30.27
2020-01-13,30.33
2020-01-14,30.0
2020-01-15,29.55
2020-01-16,29.52
2020-01-17,29.85
2020-01-20,30.0
2020-01-21,29.62
2020-01-22,29.29
2020-01-23,29.6
2020-01-24,29.3
2020-01-27,28.03
2020-01-28,28.8
2020-01-29,28.85
2020-01-30,28.94
2020-01-31,28.45
2020-02-03,28.18
2020-02-04,28.63
2020-02-05,28.39
2020-02-06,29.18
2020-02-07,28.93
2020-02-10,29.13
2020-02-11,29.48
2020-02-12,30.13
2020-02-13,29.72
2020-02-14,29.42
2020-02-17,29.36
2020-02-18,29.75
2020-02-19,30.55
2020-02-20,29.92
2020-02-21,29.14
2020-02-26,26.21
2020-02-27,25.3
2020-02-28,25.34
2020-03-02,26.53
2020-03-03,26.05
2020-03-04,26.89
2020-03-05,25.29
2020-03-06,22.83
2020-03-09,16.05
2020-03-10,17.56
2020-03-11,15.85
2020-03-12,12.6
2020-03-13,15.4
2020-03-16,13.09
2020-03-17,13.0
2020-03-18,11.29
2020-03-19,12.21
2020-03-20,12.0
2020-03-23,11.5
2020-03-24,13.25
2020-03-25,14.32
2020-03-26,14.39
2020-03-27,13.3
2020-03-30,13.38
2020-03-31,13.99
2020-04-01,14.3
2020-04-02,15.51
2020-04-03,15.34
2020-04-06,15.77
2020-04-07,16.4
2020-04-08,17.32
2020-04-09,16.82
2020-04-13,16.93
2020-04-14,16.73
2020-04-15,16.38
2020-04-16,15.72
2020-04-17,16.13
2020-04-20,15.95
2020-04-22,16.75
2020-04-23,16.95
2020-04-24,15.95
2020-04-27,16.45
2020-04-28,17.25
2020-04-29,18.2
2020-04-30,18.05
2020-05-04,17.38
2020-05-05,17.94
2020-05-06,17.28
2020-05-07,17.44
2020-05-08,18.48
2020-05-11,18.15
2020-05-12,18.14
2020-05-13,17.59
2020-05-14,17.4
2020-05-15,17.15
2020-05-18,18.54
2020-05-19,18.68
2020-05-20,19.3
2020-05-21,19.19
2020-05-22,18.67
2020-05-25,19.48
2020-05-26,19.67
2020-05-27,19.93
2020-05-28,19.77
2020-05-29,20.34
2020-06-01,20.33
2020-06-02,21.4
2020-06-03,21.47
2020-06-04,21.43
2020-06-05,22.1
2020-06-08,22.53
2020-06-09,21.72
2020-06-10,21.4
2020-06-12,20.6
2020-06-15,20.7
2020-06-16,21.37
2020-06-17,21.44
2020-06-18,21.6
2020-06-19,21.47
2020-06-22,20.95
2020-06-23,21.65
2020-06-24,21.0
2020-06-25,21.47
2020-06-26,20.84
2020-06-29,21.66
2020-06-30,21.55
2020-07-01,21.71
2020-07-02,22.06
2020-07-03,21.98
2020-07-06,22.51
2020-07-07,22.23
2020-07-08,22.65
2020-07-09,22.14
2020-07-10,22.51
2020-07-13,22.16
2020-07-14,22.9
2020-07-15,23.34
2020-07-16,22.72
2020-07-17,22.74
2020-07-20,22.74
2020-07-21,23.37
2020-07-22,23.05
2020-07-23,22.57
2020-07-24,22.73
2020-07-27,23.2
2020-07-28,22.8
2020-07-29,23.17
2020-07-30,22.82
2020-07-31,22.2
2020-08-03,21.8
2020-08-04,21.78
2020-08-05,23.18
2020-08-06,23.22
2020-08-07,22.79
2020-08-10,23.45
2020-08-11,23.08
2020-08-12,23.48
2020-08-13,22.84
2020-08-14,22.67
2020-08-17,22.6
2020-08-18,23.02
2020-08-19,22.89
2020-08-20,22.73
2020-08-21,22.56
2020-08-24,22.97
2020-08-25,22.87
2020-08-26,22.22
2020-08-27,22.15
2020-08-28,22.54
2020-08-31,21.89
2020-09-01,22.87
2020-09-02,22.8
2020-09-03,22.88
2020-09-04,22.92
2020-09-08,22.26
2020-09-09,22.73
2020-09-10,22.12
2020-09-11,21.88
2020-09-14,21.68
2020-09-15,21.67
2020-09-16,21.73
2020-09-17,22.15
2020-09-18,21.65
2020-09-21,20.9
2020-09-22,20.8
2020-09-23,20.23
2020-09-24,20.4
2020-09-25,20.13
2020-09-28,19.63
2020-09-29,19.31
2020-09-30,19.61
2020-10-01,19.85
2020-10-02,19.02
2020-10-05,20.03
2020-10-06,19.93
2020-10-07,19.79
2020-10-08,20.44
2020-10-09,19.8
2020-10-13,20.13
2020-10-14,19.97
