data_pregao,preco_ultimo
2020-01-02,39.2
2020-01-03,40.01
2020-01-06,41.65
2020-01-07,40.59
2020-01-08,39.81
2020-01-09,40.1
2020-01-10,40.65
2020-01-13,41.95
2020-01-14,42.96
2020-01-15,42.39
2020-01-16,41.63
2020-01-17,41.81
2020-01-20,42.6
2020-01-21,43.33
2020-01-22,44.49
2020-01-23,44.99
2020-01-24,43.98
2020-01-27,41.86
2020-01-28,43.53
2020-01-29,42.44
2020-01-30,41.7
2020-01-31,41.46
2020-02-03,43.82
2020-02-04,43.72
2020-02-05,43.6
2020-02-06,43.65
2020-02-07,42.2
2020-02-10,40.4
2020-02-11,42.42
2020-02-12,43.26
2020-02-13,42.45
2020-02-14,41.7
2020-02-17,42.6
2020-02-18,41.28
2020-02-19,41.8
2020-02-20,39.81
2020-02-21,39.19
2020-02-26,35.79
2020-02-27,34.9
2020-02-28,34.25
2020-03-02,35.06
2020-03-03,36.69
2020-03-04,36.0
2020-03-05,33.16
2020-03-06,32.73
2020-03-09,28.6
2020-03-10,30.87
2020-03-11,28.85
2020-03-12,24.56
2020-03-13,26.0
2020-03-16,22.0
2020-03-17,23.32
2020-03-18,20.01
2020-03-19,21.0
2020-03-20,21.49
2020-03-23,20.8
2020-03-24,22.16
2020-03-25,23.6
2020-03-26,25.85
2020-03-27,23.53
2020-03-30,24.08
2020-03-31,23.6
2020-04-01,22.39
2020-04-02,22.61
2020-04-03,21.36
2020-04-06,22.95
2020-04-07,25.17
2020-04-08,25.21
2020-04-09,24.05
2020-04-13,23.59
2020-04-14,25.33
2020-04-15,24.81
2020-04-16,25.02
2020-04-17,25.34
2020-04-20,26.46
2020-04-22,28.1
2020-04-23,27.19
2020-04-24,25.68
2020-04-27,25.05
2020-04-28,25.61
2020-04-29,26.64
2020-04-30,25.92
2020-05-04,24.53
2020-05-05,24.27
2020-05-06,24.17
2020-05-07,23.55
2020-05-08,22.9
2020-05-11,21.73
2020-05-12,20.85
2020-05-13,19.7
2020-05-14,20.04
2020-05-15,19.7
2020-05-18,19.92
2020-05-19,20.48
2020-05-20,21.57
2020-05-21,22.31
2020-05-22,22.31
2020-05-25,23.43
2020-05-26,23.52
2020-05-27,23.83
2020-05-28,23.29
2020-05-29,23.72
2020-06-01,24.23
2020-06-02,24.41
2020-06-03,26.82
2020-06-04,26.15
2020-06-05,26.85
2020-06-08,27.83
2020-06-09,27.09
2020-06-10,26.84
2020-06-12,25.98
2020-06-15,25.8
2020-06-16,25.88
2020-06-17,27.19
2020-06-18,27.7
2020-06-19,29.0
2020-06-22,29.4
2020-06-23,29.1
2020-06-24,27.95
2020-06-25,28.8
2020-06-26,27.68
2020-06-29,28.29
2020-06-30,29.0
2020-07-01,29.2
2020-07-02,28.45
2020-07-03,28.6
2020-07-06,30.71
2020-07-07,30.18
2020-07-08,30.75
2020-07-09,30.42
2020-07-10,29.65
2020-07-13,29.79
2020-07-14,29.2
2020-07-15,29.8
2020-07-16,29.11
2020-07-17,30.66
2020-07-20,31.85
2020-07-21,29.81
2020-07-22,28.1
2020-07-23,28.52
2020-07-24,28.2
2020-07-27,28.6
2020-07-28,28.07
2020-07-29,28.39
2020-07-30,28.73
2020-07-31,28.0
2020-08-03,27.99
2020-08-04,27.92
2020-08-05,28.13
2020-08-06,28.88
2020-08-07,28.68
2020-08-10,28.3
2020-08-11,28.5
2020-08-12,27.9
2020-08-13,28.3
2020-08-14,28.13
2020-08-17,27.29
2020-08-18,28.39
2020-08-19,27.84
2020-08-20,27.52
2020-08-21,29.67
2020-08-24,30.08
2020-08-25,30.7
2020-08-26,29.9
2020-08-27,29.83
2020-08-28,31.5
2020-08-31,31.24
2020-09-01,31.32
2020-09-02,32.2
2020-09-03,31.53
2020-09-04,33.95
2020-09-08,34.42
2020-09-09,34.5
2020-09-10,33.36
2020-09-11,32.26
2020-09-14,33.15
2020-09-15,32.96
2020-09-16,33.08
2020-09-17,32.64
2020-09-18,31.97
2020-09-21,32.19
2020-09-22,31.96
2020-09-23,31.24
2020-09-24,32.79
2020-09-25,33.25
2020-09-28,32.28
2020-09-29,32.33
2020-09-30,33.99
2020-10-01,32.8
2020-10-02,32.12
2020-10-05,32.77
2020-10-06,32.32
2020-10-07,31.49
2020-10-08,32.13
2020-10-09,31.63
2020-10-13,31.81
2020-10-14,32.87
2020-10-15,32.83
2020-10-16,32.15
2020-10-19,31.75
2020-10-20,32.5
2020-10-21,34.37
2020-10-22,34.5
2020-10-23,33.57
2020-10-26,33.23
2020-10-27,32.49
2020-10-28,31.16
2020-10-29,31.92
2020-10-30,31.83
2020-11-03,31.26
2020-11-04,31.9
2020-11-05,32.8
2020-11-06,33.68
2020-11-09,33.81
2020-11-10,34.02
2020-11-11,33.84
2020-11-12,33.11
2020-11-13,35.03
2020-11-16,34.5
2020-11-17,34.26
2020-11-18,34.22
2020-11-19,34.51
2020-11-20,34.46
2020-11-23,34.65
2020-11-24,34.76
2020-11-25,34.96
2020-11-26,34.46
2020-11-27,34.12
2020-11-30,33.17
2020-12-01,33.18
2020-12-02,33.83
2020-12-03,35.26
2020-12-04,35.34
2020-12-07,34.95
2020-12-08,34.6
2020-12-09,34.45
2020-12-10,34.21
2020-12-11,34.5
2020-12-14,34.5
2020-12-15,34.69
2020-12-16,34.78
2020-12-17,35.17
2020-12-18,34.5
2020-12-21,34.6
2020-12-22,35.18
2020-12-23,35.78
2020-12-28,35.21
2020-12-29,35.67
2020-12-30,34.98
2021-01-04,34.46
2021-01-05,33.81
2021-01-06,32.6
2021-01-07,32.15
2021-01-08,33.85
2021-01-11,33.35
2021-01-12,33.39
2021-01-13,33.36
2021-01-14,33.05
2021-01-15,33.23
2021-01-18,33.28
2021-01-19,32.52
2021-01-20,32.35
2021-01-21,32.85
2021-01-22,32.28
2021-01-26,31.79
2021-01-27,32.02
2021-01-28,32.44
2021-01-29,31.11
2021-02-01,30.88
2021-02-02,31.75
2021-02-03,31.62
2021-02-04,31.31
2021-02-05,31.56
2021-02-08,32.07
2021-02-09,31.86
2021-02-10,32.13
2021-02-11,32.37
2021-02-12,32.23
2021-02-17,33.01
2021-02-18,32.71
2021-02-19,32.75
2021-02-22,31.61
2021-02-23,32.01
2021-02-24,31.66
2021-02-25,31.6
2021-02-26,31.59
2021-03-01,31.8
2021-03-02,32.29
2021-03-03,32.89
2021-03-04,33.75
2021-03-05,34.28
2021-03-08,32.31
2021-03-09,32.04
2021-03-10,32.94
2021-03-11,33.45
2021-03-12,33.6
2021-03-15,33.39
2021-03-16,32.43
2021-03-17,32.88
2021-03-18,32.57
2021-03-19,32.73
2021-03-22,33.0
2021-03-23,32.54
2021-03-24,31.98
2021-03-25,32.21
2021-03-26,31.11
2021-03-29,30.75
2021-03-30,31.0
2021-03-31,30.35
2021-04-01,29.01
2021-04-05,28.64
2021-04-06,29.6
2021-04-07,29.39
2021-04-08,29.07
2021-04-09,28.91
2021-04-12,28.98
2021-04-13,29.68
2021-04-14,29.25
2021-04-15,29.31
2021-04-16,29.18
2021-04-19,28.91
2021-04-20,28.65
2021-04-22,28.0
2021-04-23,27.84
2021-04-26,27.72
2021-04-27,26.96
2021-04-28,26.91
2021-04-29,26.98
2021-04-30,27.05
2021-05-03,26.95
2021-05-04,27.6
2021-05-05,28.08
2021-05-06,27.96
2021-05-07,28.43
2021-05-10,25.5
2021-05-11,26.05
2021-05-12,25.29
2021-05-13,25.1
2021-05-14,26.91
2021-05-17,26.65
2021-05-18,26.63
2021-05-19,26.57
2021-05-20,26.99
2021-05-21,27.03
2021-05-24,27.63
2021-05-25,28.0
2021-05-26,29.08
2021-05-27,28.97
2021-05-28,28.97
2021-05-31,29.22
2021-06-01,28.98
2021-06-02,28.52
2021-06-04,28.45
2021-06-07,28.35
2021-06-08,28.35
2021-06-09,28.66
2021-06-10,28.41
2021-06-11,28.01
2021-06-14,28.14
2021-06-15,28.17
2021-06-16,28.06
2021-06-17,28.41
2021-06-18,28.51
2021-06-21,28.33
2021-06-22,28.54
2021-06-23,28.5
2021-06-24,28.55
2021-06-25,28.44
2021-06-28,29.39
2021-06-29,29.03
2021-06-30,28.91
2021-07-01,28.38
2021-07-02,28.36
2021-07-05,27.97
2021-07-06,27.17
2021-07-07,27.32
2021-07-08,26.62
2021-07-12,26.8
2021-07-13,26.97
2021-07-14,27.17
2021-07-15,26.95
2021-07-16,27.01
2021-07-19,26.71
2021-07-20,26.72
2021-07-21,26.62
2021-07-22,26.58
2021-07-23,26.11
2021-07-26,25.99
2021-07-27,25.77
2021-07-28,26.07
2021-07-29,26.38
2021-07-30,25.75
2021-08-02,26.1
2021-08-03,25.8
2021-08-04,25.27
2021-08-05,24.76
2021-08-06,24.79
2021-08-09,24.58
2021-08-10,24.28
2021-08-11,20.5
2021-08-12,19.54
2021-08-13,18.96
2021-08-16,19.69
2021-08-17,19.73
2021-08-18,19.97
2021-08-19,20.28
2021-08-20,20.58
2021-08-23,20.45
2021-08-24,20.95
2021-08-25,21.65
2021-08-26,21.57
2021-08-27,21.7
2021-08-30,21.5
2021-08-31,21.37
2021-09-01,22.13
2021-09-02,22.09
2021-09-03,22.48
2021-09-06,22.28
2021-09-08,22.5
2021-09-09,22.94
2021-09-10,22.49
2021-09-13,23.56
2021-09-14,23.38
2021-09-15,22.7
2021-09-16,22.99
2021-09-17,22.34
