data_pregao,preco_ultimo
2020-01-02,114.83
2020-01-03,112.27
2020-01-06,110.06
2020-01-07,108.55
2020-01-08,110.0
2020-01-09,113.31
2020-01-10,109.8
2020-01-13,112.37
2020-01-14,114.05
2020-01-15,114.39
2020-01-16,113.82
2020-01-17,115.68
2020-01-20,119.11
2020-01-21,125.5
2020-01-22,125.75
2020-01-23,123.49
2020-01-24,124.0
2020-01-27,125.0
2020-01-28,124.87
2020-01-29,128.59
2020-01-30,125.3
2020-01-31,124.22
2020-02-03,123.81
2020-02-04,123.12
2020-02-05,121.81
2020-02-06,121.25
2020-02-07,120.5
2020-02-10,119.72
2020-02-11,121.29
2020-02-12,122.16
2020-02-13,120.0
2020-02-14,122.18
2020-02-17,120.75
2020-02-18,119.9
2020-02-19,120.24
2020-02-20,119.09
2020-02-21,122.67
2020-02-26,119.19
2020-02-27,113.26
2020-02-28,119.9
2020-03-02,124.57
2020-03-03,124.89
2020-03-04,124.9
2020-03-05,124.21
2020-03-06,123.15
2020-03-09,115.89
2020-03-10,116.8
2020-03-11,115.0
2020-03-12,100.24
2020-03-13,104.99
2020-03-16,95.0
2020-03-17,103.26
2020-03-18,100.8
2020-03-19,107.17
2020-03-20,112.36
2020-03-23,114.9
2020-03-24,108.22
2020-03-25,112.89
2020-03-26,110.46
2020-03-27,107.16
2020-03-30,104.34
2020-03-31,101.85
2020-04-01,103.4
2020-04-02,104.85
2020-04-03,95.0
2020-04-06,97.0
2020-04-07,100.49
2020-04-08,101.39
2020-04-09,101.96
2020-04-13,101.08
2020-04-14,99.9
2020-04-15,102.21
2020-04-16,105.0
2020-04-17,103.91
2020-04-20,108.45
2020-04-22,111.02
2020-04-23,106.95
2020-04-24,104.54
2020-04-27,106.05
2020-04-28,110.55
2020-04-29,108.58
2020-04-30,104.78
2020-05-04,104.56
2020-05-05,104.11
2020-05-06,103.52
2020-05-07,103.69
2020-05-08,104.68
2020-05-11,105.0
2020-05-12,108.27
2020-05-13,105.6
2020-05-14,105.54
2020-05-15,102.83
2020-05-18,105.93
2020-05-19,103.02
2020-05-20,102.95
2020-05-21,107.41
2020-05-22,105.56
2020-05-25,106.96
2020-05-26,109.11
2020-05-27,111.96
2020-05-28,109.47
2020-05-29,109.44
2020-06-01,109.75
2020-06-02,113.37
2020-06-03,111.97
2020-06-04,111.8
2020-06-05,111.0
2020-06-08,110.65
2020-06-09,110.45
2020-06-10,111.6
2020-06-12,108.3
2020-06-15,108.77
2020-06-16,109.0
2020-06-17,111.36
2020-06-18,109.1
2020-06-19,114.23
2020-06-22,107.88
2020-06-23,109.25
2020-06-24,108.0
2020-06-25,110.09
2020-06-26,108.52
2020-06-29,110.24
2020-06-30,110.62
2020-07-01,115.97
2020-07-02,114.53
2020-07-03,114.62
2020-07-06,114.7
2020-07-07,112.74
2020-07-08,112.49
2020-07-09,112.5
2020-07-10,110.6
2020-07-13,109.53
2020-07-14,110.15
2020-07-15,112.37
2020-07-16,112.0
2020-07-17,112.58
2020-07-20,115.92
2020-07-21,117.12
2020-07-22,117.95
2020-07-23,114.4
2020-07-24,114.15
2020-07-27,117.66
2020-07-28,117.5
2020-07-29,120.6
2020-07-30,125.27
2020-07-31,124.1
2020-08-03,118.46
2020-08-04,118.41
2020-08-05,117.95
2020-08-06,118.64
2020-08-07,119.01
2020-08-10,115.9
2020-08-11,114.33
2020-08-12,111.5
2020-08-13,110.09
2020-08-14,112.98
2020-08-17,110.38
2020-08-18,110.95
2020-08-19,107.14
2020-08-20,108.75
2020-08-21,107.5
2020-08-24,107.83
2020-08-25,107.43
2020-08-26,107.94
2020-08-27,107.75
2020-08-28,107.65
2020-08-31,107.8
2020-09-01,112.15
2020-09-02,112.62
2020-09-03,111.58
2020-09-04,112.34
2020-09-08,114.68
2020-09-09,113.42
2020-09-10,112.6
2020-09-11,113.48
2020-09-14,113.93
2020-09-15,113.98
2020-09-16,114.31
2020-09-17,114.0
2020-09-18,115.47
2020-09-21,22.86
2020-09-22,23.11
2020-09-23,22.83
2020-09-24,23.4
2020-09-25,23.05
2020-09-28,22.12
2020-09-29,21.93
2020-09-30,23.42
2020-10-01,24.09
2020-10-02,23.9
2020-10-05,24.56
2020-10-06,24.64
2020-10-07,24.91
2020-10-08,25.32
2020-10-09,25.25
2020-10-13,25.69
2020-10-14,26.39
2020-10-15,25.99
2020-10-16,25.91
2020-10-19,25.29
2020-10-20,26.2
2020-10-21,26.16
2020-10-22,25.64
2020-10-23,25.68
2020-10-26,25.57
2020-10-27,26.08
2020-10-28,24.2
2020-10-29,24.39
2020-10-30,24.06
2020-11-03,23.5
2020-11-04,24.49
2020-11-05,25.58
2020-11-06,25.31
2020-11-09,25.17
2020-11-10,25.59
2020-11-11,26.05
2020-11-12,25.33
2020-11-13,27.03
2020-11-16,27.03
2020-11-17,26.47
2020-11-18,26.07
2020-11-19,25.86
2020-11-20,26.65
2020-11-23,26.32
2020-11-24,25.7
2020-11-25,25.63
2020-11-26,25.35
2020-11-27,25.68
2020-11-30,25.85
2020-12-01,24.98
2020-12-02,24.33
2020-12-03,24.31
2020-12-04,24.61
2020-12-07,24.17
2020-12-08,24.25
2020-12-09,24.25
2020-12-10,24.59
2020-12-11,24.8
2020-12-14,25.12
2020-12-15,25.19
2020-12-16,25.45
2020-12-17,25.9
2020-12-18,25.53
2020-12-21,24.9
2020-12-22,25.38
2020-12-23,24.95
2020-12-28,25.21
2020-12-29,25.3
2020-12-30,25.04
2021-01-04,25.03
2021-01-05,24.96
2021-01-06,24.19
2021-01-07,24.07
2021-01-08,24.77
2021-01-11,24.64
2021-01-12,25.08
2021-01-13,25.08
2021-01-14,25.89
2021-01-15,26.04
2021-01-18,26.96
2021-01-19,26.8
2021-01-20,26.21
2021-01-21,25.47
2021-01-22,25.04
2021-01-26,25.87
2021-01-27,25.17
2021-01-28,25.35
2021-01-29,24.92
2021-02-01,25.03
2021-02-02,25.27
2021-02-03,25.44
2021-02-04,24.88
