data_pregao,preco_ultimo
2020-01-02,26.4
2020-01-03,25.63
2020-01-06,24.9
2020-01-07,25.27
2020-01-08,25.6
2020-01-09,25.93
2020-01-10,25.67
2020-01-13,25.95
2020-01-14,25.8
2020-01-15,24.97
2020-01-16,24.34
2020-01-17,24.3
2020-01-20,24.69
2020-01-21,24.23
2020-01-22,24.32
2020-01-23,24.79
2020-01-24,24.33
2020-01-27,23.9
2020-01-28,23.9
2020-01-29,23.65
2020-01-30,23.22
2020-01-31,23.2
2020-02-03,23.26
2020-02-04,23.73
2020-02-05,23.7
2020-02-06,23.56
2020-02-07,23.2
2020-02-10,22.7
2020-02-11,23.75
2020-02-12,24.44
2020-02-13,23.8
2020-02-14,23.02
2020-02-17,22.72
2020-02-18,23.19
2020-02-19,24.07
2020-02-20,24.13
2020-02-21,23.89
2020-02-26,21.98
2020-02-27,21.36
2020-02-28,21.12
2020-03-02,21.71
2020-03-03,21.03
2020-03-04,21.29
2020-03-05,20.9
2020-03-06,19.3
2020-03-09,17.35
2020-03-10,18.55
2020-03-11,17.12
2020-03-12,14.29
2020-03-13,17.45
2020-03-16,14.56
2020-03-17,16.6
2020-03-18,15.32
2020-03-19,18.0
2020-03-20,18.41
2020-03-23,17.6
2020-03-24,19.01
2020-03-25,19.55
2020-03-26,21.03
2020-03-27,19.15
2020-03-30,19.8
2020-03-31,19.65
2020-04-01,19.56
2020-04-02,20.34
2020-04-03,20.64
2020-04-06,20.76
2020-04-07,19.61
2020-04-08,19.38
2020-04-09,19.47
2020-04-13,19.86
2020-04-14,20.09
2020-04-15,19.95
2020-04-16,19.35
2020-04-17,20.24
2020-04-20,20.04
2020-04-22,20.77
2020-04-23,20.98
2020-04-24,20.55
2020-04-27,20.67
2020-04-28,20.2
2020-04-29,19.76
2020-04-30,19.79
2020-05-04,19.7
2020-05-05,19.65
2020-05-06,20.14
2020-05-07,19.65
2020-05-08,20.3
2020-05-11,19.97
2020-05-12,19.52
2020-05-13,19.6
2020-05-14,20.54
2020-05-15,19.66
2020-05-18,20.84
2020-05-19,20.12
2020-05-20,20.33
2020-05-21,20.61
2020-05-22,20.89
2020-05-25,21.3
2020-05-26,21.41
2020-05-27,23.45
2020-05-28,23.17
2020-05-29,22.53
2020-06-01,22.62
2020-06-02,22.65
2020-06-03,23.15
2020-06-04,22.36
2020-06-05,23.11
2020-06-08,24.17
2020-06-09,24.31
2020-06-10,24.17
2020-06-12,24.07
2020-06-15,23.53
2020-06-16,23.67
2020-06-17,24.1
2020-06-18,23.46
2020-06-19,23.83
2020-06-22,23.39
2020-06-23,23.8
2020-06-24,23.08
2020-06-25,23.41
2020-06-26,22.79
2020-06-29,22.68
2020-06-30,22.49
2020-07-01,22.97
2020-07-02,22.46
2020-07-03,22.49
2020-07-06,23.28
2020-07-07,23.2
2020-07-08,23.13
2020-07-09,22.85
2020-07-10,22.84
2020-07-13,22.23
2020-07-14,22.24
2020-07-15,22.64
2020-07-16,22.65
2020-07-17,23.47
2020-07-20,23.92
2020-07-21,23.52
2020-07-22,23.22
2020-07-23,22.75
2020-07-24,22.3
2020-07-27,22.73
2020-07-28,22.81
2020-07-29,22.45
2020-07-30,22.73
2020-07-31,22.22
2020-08-03,22.05
2020-08-04,21.57
2020-08-05,21.89
2020-08-06,22.77
2020-08-07,23.33
2020-08-10,22.87
2020-08-11,22.29
2020-08-12,22.53
2020-08-13,22.02
2020-08-14,22.81
2020-08-17,22.22
2020-08-18,22.48
2020-08-19,22.37
2020-08-20,22.78
2020-08-21,22.56
2020-08-24,22.41
2020-08-25,23.19
2020-08-26,22.3
2020-08-27,22.54
2020-08-28,23.76
2020-08-31,22.6
2020-09-01,22.64
2020-09-02,22.16
2020-09-03,22.18
2020-09-04,22.34
2020-09-08,22.06
2020-09-09,22.08
2020-09-10,21.45
2020-09-11,21.02
2020-09-14,21.49
2020-09-15,21.29
2020-09-16,21.5
2020-09-17,21.78
2020-09-18,21.35
2020-09-21,20.44
2020-09-22,20.61
2020-09-23,20.79
2020-09-24,20.7
2020-09-25,20.84
2020-09-28,19.89
2020-09-29,19.14
2020-09-30,19.06
2020-10-01,19.53
2020-10-02,18.95
2020-10-05,18.87
2020-10-06,18.8
2020-10-07,18.43
2020-10-08,18.47
2020-10-09,18.02
2020-10-13,17.94
2020-10-14,18.93
2020-10-15,19.0
2020-10-16,18.75
2020-10-19,18.67
2020-10-20,18.48
2020-10-21,18.35
2020-10-22,18.62
2020-10-23,18.13
2020-10-26,18.02
2020-10-27,18.05
2020-10-28,17.53
2020-10-29,18.33
2020-10-30,18.34
2020-11-03,18.36
2020-11-04,19.04
2020-11-05,19.86
2020-11-06,19.21
2020-11-09,20.45
2020-11-10,20.07
2020-11-11,20.04
2020-11-12,19.0
2020-11-13,19.3
2020-11-16,18.93
2020-11-17,18.8
2020-11-18,18.37
2020-11-19,18.6
2020-11-20,18.5
2020-11-23,19.2
2020-11-24,18.94
2020-11-25,19.16
2020-11-26,19.46
2020-11-27,19.37
2020-11-30,18.96
2020-12-01,19.67
2020-12-02,20.0
2020-12-03,20.25
2020-12-04,20.64
2020-12-07,19.98
2020-12-08,19.81
2020-12-09,19.24
2020-12-10,19.3
2020-12-11,18.77
2020-12-14,18.55
2020-12-15,19.5
2020-12-16,19.52
2020-12-17,19.8
2020-12-18,19.38
2020-12-21,19.25
2020-12-22,19.15
2020-12-23,19.2
2020-12-28,19.65
2020-12-29,19.53
2020-12-30,19.24
2021-01-04,19.15
2021-01-05,19.3
2021-01-06,19.1
2021-01-07,19.63
2021-01-08,20.0
2021-01-11,19.65
