data_pregao,preco_ultimo
2020-01-02,49.62
2020-01-03,48.9
2020-01-06,48.33
2020-01-07,48.8
2020-01-08,48.56
2020-01-09,48.82
2020-01-10,47.85
2020-01-13,48.0
2020-01-14,48.2
2020-01-15,48.21
2020-01-16,49.15
2020-01-17,49.49
2020-01-20,49.6
2020-01-21,49.2
2020-01-22,49.83
2020-01-23,51.74
2020-01-24,51.41
2020-01-27,51.44
2020-01-28,52.9
2020-01-29,54.25
2020-01-30,53.83
2020-01-31,53.63
2020-02-03,54.46
2020-02-04,55.0
2020-02-05,55.52
2020-02-06,53.84
2020-02-07,52.93
2020-02-10,52.32
2020-02-11,54.1
2020-02-12,55.48
2020-02-13,55.02
2020-02-14,55.0
2020-02-17,55.23
2020-02-18,55.3
2020-02-19,55.05
2020-02-20,54.72
2020-02-21,54.4
2020-02-26,50.63
2020-02-27,49.35
2020-02-28,49.54
2020-03-02,49.85
2020-03-03,49.66
2020-03-04,50.8
2020-03-05,48.25
2020-03-06,45.05
2020-03-09,39.8
2020-03-10,41.95
2020-03-11,38.96
2020-03-12,33.0
2020-03-13,36.0
2020-03-16,27.5
2020-03-17,27.7
2020-03-18,23.87
2020-03-19,26.08
2020-03-20,27.55
2020-03-23,24.1
2020-03-24,27.18
2020-03-25,34.47
2020-03-26,34.69
2020-03-27,31.32
2020-03-30,28.7
2020-03-31,26.3
2020-04-01,23.7
2020-04-02,26.14
2020-04-03,23.31
2020-04-06,28.0
2020-04-07,29.22
2020-04-08,31.9
2020-04-09,30.15
2020-04-13,29.75
2020-04-14,30.49
2020-04-15,30.12
2020-04-16,29.56
2020-04-17,32.03
2020-04-20,34.0
2020-04-22,36.5
2020-04-23,34.98
2020-04-24,32.98
2020-04-27,33.5
2020-04-28,35.2
2020-04-29,36.15
2020-04-30,34.19
2020-05-04,33.41
2020-05-05,33.63
2020-05-06,32.5
2020-05-07,29.77
2020-05-08,29.65
2020-05-11,28.1
2020-05-12,27.51
2020-05-13,27.31
2020-05-14,29.29
2020-05-15,30.2
2020-05-18,33.51
2020-05-19,35.07
2020-05-20,35.3
2020-05-21,36.29
2020-05-22,36.19
2020-05-25,36.7
2020-05-26,36.88
2020-05-27,39.1
2020-05-28,37.32
2020-05-29,38.48
2020-06-01,37.61
2020-06-02,38.25
2020-06-03,41.02
2020-06-04,40.0
2020-06-05,40.84
2020-06-08,43.2
2020-06-09,42.9
2020-06-10,41.1
2020-06-12,40.29
2020-06-15,40.7
2020-06-16,40.17
2020-06-17,40.83
2020-06-18,41.21
2020-06-19,41.9
2020-06-22,41.24
2020-06-23,41.76
2020-06-24,40.98
2020-06-25,41.45
2020-06-26,40.25
2020-06-29,41.21
2020-06-30,40.91
2020-07-01,42.35
2020-07-02,42.39
2020-07-03,42.7
2020-07-06,43.25
2020-07-07,44.01
2020-07-08,44.42
2020-07-09,43.33
2020-07-10,43.54
2020-07-13,42.1
2020-07-14,43.9
2020-07-15,44.74
2020-07-16,44.59
