data_pregao,preco_ultimo
2020-01-02,50.93
2020-01-03,50.93
2020-01-06,47.59
2020-01-07,47.3
2020-01-08,46.86
2020-01-09,46.12
2020-01-10,45.73
2020-01-13,46.54
2020-01-14,46.02
2020-01-15,44.96
2020-01-16,45.35
2020-01-17,46.22
2020-01-20,46.0
2020-01-21,43.73
2020-01-22,43.84
2020-01-23,44.7
2020-01-24,43.88
2020-01-27,43.45
2020-01-28,43.59
2020-01-29,42.78
2020-01-30,43.1
2020-01-31,42.07
2020-02-03,41.86
2020-02-04,42.2
2020-02-05,42.44
2020-02-06,41.49
2020-02-07,42.0
2020-02-10,42.61
2020-02-11,42.75
2020-02-12,42.68
2020-02-13,41.85
2020-02-14,40.72
2020-02-17,40.78
2020-02-18,40.95
2020-02-19,41.25
2020-02-20,41.19
2020-02-21,40.87
2020-02-26,38.53
2020-02-27,38.32
2020-02-28,39.86
2020-03-02,39.71
2020-03-03,38.71
2020-03-04,38.54
2020-03-05,37.36
2020-03-06,36.51
2020-03-09,32.89
2020-03-10,33.59
2020-03-11,30.8
2020-03-12,26.65
2020-03-13,29.97
2020-03-16,26.39
2020-03-17,27.6
2020-03-18,25.79
2020-03-19,25.71
2020-03-20,25.75
2020-03-23,24.31
2020-03-24,27.57
2020-03-25,29.53
2020-03-26,30.17
2020-03-27,27.23
2020-03-30,28.2
2020-03-31,26.67
2020-04-01,24.74
2020-04-02,25.51
2020-04-03,23.86
2020-04-06,26.44
2020-04-07,27.36
2020-04-08,27.77
2020-04-09,27.58
2020-04-13,28.29
2020-04-14,28.07
2020-04-15,26.92
2020-04-16,25.88
2020-04-17,26.5
2020-04-20,25.95
2020-04-22,25.34
2020-04-23,25.03
2020-04-24,23.44
2020-04-27,24.42
2020-04-28,27.22
2020-04-29,28.3
2020-04-30,27.0
2020-05-04,25.74
2020-05-05,25.14
2020-05-06,24.91
2020-05-07,23.57
2020-05-08,24.43
2020-05-11,24.51
2020-05-12,23.24
2020-05-13,22.98
2020-05-14,23.94
2020-05-15,22.96
2020-05-18,24.54
2020-05-19,23.51
2020-05-20,23.77
2020-05-21,25.18
2020-05-22,24.61
2020-05-25,25.98
2020-05-26,25.14
2020-05-27,25.9
2020-05-28,25.23
2020-05-29,25.5
2020-06-01,26.54
2020-06-02,28.13
2020-06-03,29.39
2020-06-04,30.44
2020-06-05,31.13
2020-06-08,32.33
2020-06-09,31.89
2020-06-10,30.33
2020-06-12,29.92
2020-06-15,29.3
2020-06-16,30.37
2020-06-17,30.98
2020-06-18,30.71
2020-06-19,31.34
2020-06-22,30.79
2020-06-23,30.16
2020-06-24,28.75
2020-06-25,29.24
2020-06-26,28.34
2020-06-29,29.05
2020-06-30,28.02
2020-07-01,28.41
2020-07-02,28.69
2020-07-03,28.44
2020-07-06,29.83
2020-07-07,28.53
2020-07-08,29.5
2020-07-09,29.0
2020-07-10,29.03
2020-07-13,28.39
2020-07-14,28.8
2020-07-15,29.4
2020-07-16,29.25
2020-07-17,29.81
2020-07-20,29.85
2020-07-21,30.69
2020-07-22,29.57
2020-07-23,28.96
2020-07-24,29.03
2020-07-27,29.52
2020-07-28,29.91
2020-07-29,30.96
2020-07-30,31.05
2020-07-31,29.89
2020-08-03,29.64
2020-08-04,28.81
2020-08-05,29.0
2020-08-06,29.8
2020-08-07,29.25
2020-08-10,30.34
2020-08-11,29.79
2020-08-12,29.95
2020-08-13,28.85
2020-08-14,28.9
2020-08-17,28.71
2020-08-18,29.06
2020-08-19,29.0
2020-08-20,28.9
2020-08-21,28.9
2020-08-24,29.35
2020-08-25,29.14
2020-08-26,28.4
2020-08-27,28.82
2020-08-28,29.28
2020-08-31,28.28
2020-09-01,29.2
2020-09-02,28.68
2020-09-03,29.65
2020-09-04,30.41
2020-09-08,29.91
2020-09-09,29.71
2020-09-10,28.8
2020-09-11,28.44
2020-09-14,28.63
2020-09-15,28.44
2020-09-16,28.23
2020-09-17,28.06
2020-09-18,27.34
2020-09-21,27.3
2020-09-22,27.49
2020-09-23,26.71
2020-09-24,27.44
2020-09-25,27.2
2020-09-28,27.77
2020-09-29,27.09
2020-09-30,27.96
2020-10-01,27.9
2020-10-02,28.4
2020-10-05,28.47
2020-10-06,28.54
2020-10-07,28.47
2020-10-08,30.78
2020-10-09,31.5
2020-10-13,31.78
2020-10-14,32.17
2020-10-15,31.7
2020-10-16,30.71
2020-10-19,30.94
2020-10-20,31.69
2020-10-21,31.97
2020-10-22,33.3
2020-10-23,33.66
2020-10-26,34.92
2020-10-27,33.27
2020-10-28,32.01
2020-10-29,33.39
2020-10-30,32.05
2020-11-03,32.58
2020-11-04,31.84
2020-11-05,32.3
2020-11-06,31.8
2020-11-09,34.22
2020-11-10,36.84
2020-11-11,36.0
2020-11-12,35.0
2020-11-13,35.73
2020-11-16,38.32
2020-11-17,39.03
2020-11-18,38.77
2020-11-19,39.13
2020-11-20,37.84
2020-11-23,38.82
2020-11-24,40.2
2020-11-25,40.32
2020-11-26,40.35
2020-11-27,40.42
2020-11-30,39.15
2020-12-01,41.95
2020-12-02,42.24
2020-12-03,41.31
2020-12-04,42.0
2020-12-07,42.97
2020-12-08,43.21
2020-12-09,42.95
2020-12-10,43.95
2020-12-11,44.46
2020-12-14,43.87
2020-12-15,44.27
2020-12-16,45.08
2020-12-17,44.0
2020-12-18,43.84
2020-12-21,43.36
2020-12-22,44.38
2020-12-23,45.23
2020-12-28,46.11
2020-12-29,46.21
2020-12-30,44.83
2021-01-04,44.41
2021-01-05,43.58
2021-01-06,44.66
2021-01-07,46.38
2021-01-08,45.89
2021-01-11,44.71
2021-01-12,45.16
2021-01-13,44.75
2021-01-14,46.0
2021-01-15,43.7
2021-01-18,43.92
2021-01-19,42.97
2021-01-20,41.87
2021-01-21,40.86
2021-01-22,40.6
2021-01-26,39.29
2021-01-27,39.05
2021-01-28,40.61
