data_pregao,preco_ultimo
2020-01-02,62.33
2020-01-03,64.85
2020-01-06,64.41
2020-01-07,63.55
2020-01-08,63.33
2020-01-09,64.92
2020-01-10,64.32
2020-01-13,62.86
2020-01-14,64.39
2020-01-15,63.3
2020-01-16,64.14
2020-01-17,65.0
2020-01-20,66.59
2020-01-21,66.2
2020-01-22,66.99
2020-01-23,67.15
2020-01-24,66.78
2020-01-27,63.0
2020-01-28,64.47
2020-01-29,64.18
2020-01-30,63.33
2020-01-31,63.0
2020-02-03,62.47
2020-02-04,62.3
2020-02-05,62.29
2020-02-06,61.8
2020-02-07,60.86
2020-02-10,59.5
2020-02-11,61.0
2020-02-12,62.19
2020-02-13,61.63
2020-02-14,61.19
2020-02-17,60.15
2020-02-18,60.94
2020-02-19,62.47
2020-02-20,60.0
2020-02-21,60.0
2020-02-26,55.57
2020-02-27,53.59
2020-02-28,54.06
2020-03-02,53.09
2020-03-03,52.4
2020-03-04,52.41
2020-03-05,50.29
2020-03-06,49.0
2020-03-09,42.01
2020-03-10,45.64
2020-03-11,42.46
2020-03-12,36.99
2020-03-13,38.51
2020-03-16,31.75
2020-03-17,30.58
2020-03-18,26.5
2020-03-19,28.7
2020-03-20,30.26
2020-03-23,29.12
2020-03-24,32.61
2020-03-25,35.96
2020-03-26,38.49
2020-03-27,36.0
2020-03-30,35.9
2020-03-31,33.8
2020-04-01,34.34
2020-04-02,35.55
2020-04-03,34.31
2020-04-06,38.57
2020-04-07,39.72
2020-04-08,40.75
2020-04-09,39.3
2020-04-13,40.75
2020-04-14,44.28
2020-04-15,43.41
2020-04-16,42.35
2020-04-17,43.45
2020-04-20,45.8
2020-04-22,47.6
2020-04-23,45.4
2020-04-24,44.29
2020-04-27,44.86
2020-04-28,46.87
2020-04-29,47.64
2020-04-30,44.75
2020-05-04,42.9
2020-05-05,43.98
2020-05-06,44.64
2020-05-07,44.08
2020-05-08,43.41
2020-05-11,41.85
2020-05-12,40.68
2020-05-13,40.68
2020-05-14,37.87
2020-05-15,36.95
2020-05-18,39.0
2020-05-19,39.98
2020-05-20,40.66
2020-05-21,42.67
2020-05-22,41.25
2020-05-25,43.3
2020-05-26,44.09
2020-05-27,44.01
2020-05-28,43.99
2020-05-29,44.85
2020-06-01,45.61
2020-06-02,46.0
2020-06-03,47.54
2020-06-04,46.8
2020-06-05,46.1
2020-06-08,46.3
2020-06-09,45.82
2020-06-10,45.07
2020-06-12,44.76
2020-06-15,43.55
2020-06-16,42.16
2020-06-17,42.0
2020-06-18,43.74
2020-06-19,45.06
2020-06-22,44.63
2020-06-23,44.6
2020-06-24,44.26
2020-06-25,46.47
2020-06-26,45.61
2020-06-29,45.95
2020-06-30,45.07
2020-07-01,46.4
2020-07-02,46.2
2020-07-03,48.5
2020-07-06,48.06
2020-07-07,47.52
2020-07-08,47.44
2020-07-09,47.0
2020-07-10,48.0
2020-07-13,46.98
2020-07-14,47.61
2020-07-15,46.9
2020-07-16,46.58
2020-07-17,49.02
2020-07-20,51.39
2020-07-21,50.79
2020-07-22,51.18
2020-07-23,50.29
2020-07-24,51.03
2020-07-27,50.0
2020-07-28,49.42
2020-07-29,51.43
2020-07-30,50.85
2020-07-31,50.7
2020-08-03,50.05
2020-08-04,50.24
2020-08-05,50.78
2020-08-06,50.88
2020-08-07,49.4
2020-08-10,49.1
2020-08-11,49.62
2020-08-12,47.87
2020-08-13,47.05
2020-08-14,47.6
2020-08-17,47.14
2020-08-18,48.46
2020-08-19,46.41
2020-08-20,46.75
2020-08-21,46.2
2020-08-24,45.7
2020-08-25,45.42
2020-08-26,44.62
2020-08-27,44.0
2020-08-28,44.8
2020-08-31,43.18
2020-09-01,44.19
2020-09-02,44.17
2020-09-03,43.9
2020-09-04,44.08
2020-09-08,43.5
2020-09-09,43.49
2020-09-10,41.96
2020-09-11,41.42
2020-09-14,41.88
2020-09-15,41.44
2020-09-16,41.25
2020-09-17,41.26
2020-09-18,39.84
2020-09-21,40.98
2020-09-22,40.91
2020-09-23,40.48
2020-09-24,41.23
2020-09-25,41.34
2020-09-28,39.79
2020-09-29,39.44
2020-09-30,39.63
2020-10-01,41.1
2020-10-02,40.91
2020-10-05,40.99
2020-10-06,41.39
2020-10-07,40.69
2020-10-08,40.95
2020-10-09,40.26
2020-10-13,40.71
2020-10-14,40.9
2020-10-15,40.31
2020-10-16,39.98
2020-10-19,41.01
2020-10-20,41.71
2020-10-21,42.9
2020-10-22,42.35
2020-10-23,41.52
2020-10-26,41.77
2020-10-27,41.19
2020-10-28,40.16
2020-10-29,40.01
2020-10-30,39.99
2020-11-03,38.99
2020-11-04,40.54
2020-11-05,41.44
2020-11-06,42.2
2020-11-09,41.49
2020-11-10,42.52
2020-11-11,41.69
2020-11-12,40.63
2020-11-13,41.7
2020-11-16,42.75
2020-11-17,42.8
2020-11-18,41.59
2020-11-19,41.66
2020-11-20,41.97
2020-11-23,41.95
2020-11-24,43.07
2020-11-25,44.02
2020-11-26,44.19
2020-11-27,43.49
2020-11-30,42.82
2020-12-01,43.63
2020-12-02,44.1
2020-12-03,44.08
2020-12-04,43.93
2020-12-07,43.0
2020-12-08,42.99
2020-12-09,42.52
2020-12-10,44.59
2020-12-11,45.12
2020-12-14,44.65
2020-12-15,44.55
2020-12-16,45.09
2020-12-17,44.89
2020-12-18,44.04
2020-12-21,43.24
2020-12-22,43.29
2020-12-23,43.27
2020-12-28,43.58
2020-12-29,44.45
2020-12-30,44.35
2021-01-04,42.7
2021-01-05,42.5
2021-01-06,41.01
2021-01-07,41.3
2021-01-08,42.7
2021-01-11,42.17
2021-01-12,42.29
2021-01-13,42.8
2021-01-14,42.9
2021-01-15,41.87
2021-01-18,41.78
2021-01-19,41.39
2021-01-20,40.9
2021-01-21,40.45
2021-01-22,39.94
2021-01-26,40.05
2021-01-27,39.93
2021-01-28,41.38
2021-01-29,39.91
2021-02-01,39.51
2021-02-02,39.8
2021-02-03,40.4
2021-02-04,39.58
2021-02-05,40.18
2021-02-08,39.67
2021-02-09,38.99
2021-02-10,38.52
2021-02-11,38.55
2021-02-12,38.18
2021-02-17,38.25
2021-02-18,37.52
2021-02-19,36.94
2021-02-22,36.45
2021-02-23,35.88
2021-02-24,36.35
2021-02-25,34.78
2021-02-26,33.03
2021-03-01,32.78
2021-03-02,32.8
2021-03-03,32.61
2021-03-04,32.7
2021-03-05,33.55
2021-03-08,31.79
2021-03-09,31.42
2021-03-10,31.85
2021-03-11,31.94
2021-03-12,31.75
2021-03-15,32.7
2021-03-16,32.61
2021-03-17,35.83
