data_pregao,preco_ultimo
2020-01-02,40.79
2020-01-03,40.65
2020-01-06,40.58
2020-01-07,41.1
2020-01-08,43.15
2020-01-09,43.04
2020-01-10,43.11
2020-01-13,44.7
2020-01-14,44.25
2020-01-15,44.94
2020-01-16,44.3
2020-01-17,43.78
2020-01-20,42.95
2020-01-21,42.7
2020-01-22,44.85
2020-01-23,44.45
2020-01-24,43.87
2020-01-27,40.93
2020-01-28,41.65
2020-01-29,41.02
2020-01-30,40.51
2020-01-31,39.67
2020-02-03,39.5
2020-02-04,38.89
2020-02-05,38.4
2020-02-06,38.9
2020-02-07,37.64
2020-02-10,37.0
2020-02-11,38.49
2020-02-12,40.0
2020-02-13,41.3
2020-02-14,39.81
2020-02-17,40.0
2020-02-18,40.1
2020-02-19,40.17
2020-02-20,40.19
2020-02-21,41.42
2020-02-26,38.6
2020-02-27,38.13
2020-02-28,38.14
2020-03-02,39.65
2020-03-03,39.94
2020-03-04,43.54
2020-03-05,42.62
2020-03-06,40.03
2020-03-09,37.95
2020-03-10,38.86
2020-03-11,35.46
2020-03-12,29.74
2020-03-13,31.58
2020-03-16,28.37
2020-03-17,28.0
2020-03-18,24.62
2020-03-19,27.33
2020-03-20,27.39
2020-03-23,28.8
2020-03-24,28.9
2020-03-25,29.35
2020-03-26,28.05
2020-03-27,32.87
2020-03-30,33.99
2020-03-31,35.79
2020-04-01,37.38
2020-04-02,39.9
2020-04-03,39.8
2020-04-06,40.02
2020-04-07,37.19
2020-04-08,37.96
2020-04-09,35.4
2020-04-13,36.37
2020-04-14,38.0
2020-04-15,37.23
2020-04-16,36.18
2020-04-17,35.84
2020-04-20,34.92
2020-04-22,35.21
2020-04-23,36.56
2020-04-24,39.13
2020-04-27,40.1
2020-04-28,38.65
2020-04-29,38.72
2020-04-30,39.41
2020-05-04,40.5
2020-05-05,41.6
2020-05-06,41.87
2020-05-07,45.01
2020-05-08,47.35
2020-05-11,47.6
2020-05-12,48.55
2020-05-13,50.59
2020-05-14,47.54
2020-05-15,45.03
2020-05-18,41.18
2020-05-19,41.76
2020-05-20,40.25
2020-05-21,38.48
2020-05-22,38.61
2020-05-25,37.7
2020-05-26,37.88
2020-05-27,38.41
2020-05-28,38.36
2020-05-29,37.86
2020-06-01,38.45
2020-06-02,38.42
2020-06-03,38.13
2020-06-04,39.85
2020-06-05,38.3
2020-06-08,38.16
2020-06-09,38.17
2020-06-10,38.13
2020-06-12,37.01
2020-06-15,38.49
2020-06-16,38.1
2020-06-17,38.9
2020-06-18,39.55
2020-06-19,39.5
2020-06-22,38.99
2020-06-23,38.04
2020-06-24,38.6
2020-06-25,38.08
2020-06-26,37.88
2020-06-29,37.73
2020-06-30,36.79
2020-07-01,37.14
2020-07-02,36.82
2020-07-03,37.27
2020-07-06,36.9
2020-07-07,36.19
2020-07-08,36.15
2020-07-09,36.47
2020-07-10,36.68
2020-07-13,36.06
2020-07-14,36.66
2020-07-15,38.85
2020-07-16,38.73
2020-07-17,39.85
2020-07-20,40.24
2020-07-21,40.5
2020-07-22,39.5
2020-07-23,40.74
2020-07-24,42.3
2020-07-27,41.67
2020-07-28,42.0
2020-07-29,41.49
2020-07-30,42.22
2020-07-31,42.0
2020-08-03,43.09
2020-08-04,42.08
2020-08-05,45.28
2020-08-06,46.32
2020-08-07,46.18
2020-08-10,47.36
2020-08-11,46.9
2020-08-12,47.23
2020-08-13,47.67
2020-08-14,50.49
2020-08-17,50.98
2020-08-18,52.0
2020-08-19,50.63
2020-08-20,52.25
2020-08-21,52.15
2020-08-24,52.15
2020-08-25,51.1
2020-08-26,51.76
2020-08-27,51.42
2020-08-28,50.99
2020-08-31,50.2
2020-09-01,51.12
2020-09-02,49.01
2020-09-03,48.0
2020-09-04,47.54
2020-09-08,46.78
2020-09-09,47.05
2020-09-10,46.35
2020-09-11,45.6
2020-09-14,46.12
2020-09-15,48.89
2020-09-16,47.58
2020-09-17,49.02
2020-09-18,50.05
2020-09-21,48.53
2020-09-22,47.37
2020-09-23,46.63
2020-09-24,46.0
2020-09-25,48.14
2020-09-28,47.6
2020-09-29,47.07
2020-09-30,45.55
2020-10-01,46.5
2020-10-02,46.33
2020-10-05,47.4
2020-10-06,47.94
2020-10-07,48.39
2020-10-08,49.27
2020-10-09,48.95
2020-10-13,48.95
2020-10-14,48.19
2020-10-15,48.36
2020-10-16,50.59
2020-10-19,50.11
2020-10-20,50.69
2020-10-21,50.02
2020-10-22,51.6
2020-10-23,51.21
2020-10-26,51.0
2020-10-27,50.1
2020-10-28,48.52
2020-10-29,50.17
2020-10-30,50.05
2020-11-03,52.68
2020-11-04,51.63
2020-11-05,51.3
2020-11-06,49.9
2020-11-09,48.68
2020-11-10,47.97
2020-11-11,48.35
2020-11-12,48.57
2020-11-13,51.94
2020-11-16,53.09
2020-11-17,51.3
2020-11-18,50.74
2020-11-19,50.21
2020-11-20,51.23
2020-11-23,50.62
2020-11-24,50.1
2020-11-25,50.53
2020-11-26,53.4
2020-11-27,55.53
2020-11-30,56.5
2020-12-01,57.46
2020-12-02,54.58
2020-12-03,51.98
2020-12-04,52.8
2020-12-07,52.75
2020-12-08,52.83
2020-12-09,52.48
2020-12-10,50.55
2020-12-11,51.42
2020-12-14,51.66
2020-12-15,53.5
2020-12-16,54.37
2020-12-17,54.96
2020-12-18,56.43
2020-12-21,55.22
2020-12-22,57.68
2020-12-23,56.37
2020-12-28,57.16
2020-12-29,57.21
2020-12-30,58.54
2021-01-04,58.91
2021-01-05,58.64
2021-01-06,57.52
2021-01-07,62.49
2021-01-08,62.78
2021-01-11,61.31
2021-01-12,61.23
2021-01-13,60.0
2021-01-14,59.66
2021-01-15,61.15
2021-01-18,63.29
2021-01-19,65.21
2021-01-20,65.9
2021-01-21,65.43
2021-01-22,64.36
2021-01-26,66.2
2021-01-27,62.3
2021-01-28,62.93
2021-01-29,62.05
2021-02-01,64.23
2021-02-02,63.08
2021-02-03,63.85
2021-02-04,64.66
2021-02-05,66.5
2021-02-08,65.97
2021-02-09,66.7
2021-02-10,68.2
2021-02-11,70.66
2021-02-12,70.72
2021-02-17,72.39
2021-02-18,74.04
2021-02-19,75.03
2021-02-22,76.88
2021-02-23,76.61
2021-02-24,75.76
2021-02-25,74.39
2021-02-26,73.17
2021-03-01,74.49
2021-03-02,73.53
2021-03-03,73.5
2021-03-04,73.6
2021-03-05,76.1
2021-03-08,75.37
2021-03-09,79.18
2021-03-10,74.86
2021-03-11,74.16
2021-03-12,74.25
2021-03-15,72.85
2021-03-16,75.25
2021-03-17,76.55
2021-03-18,75.3
2021-03-19,74.0
2021-03-22,72.41
2021-03-23,71.77
2021-03-24,73.66
2021-03-25,73.2
2021-03-26,72.58
2021-03-29,73.04
2021-03-30,70.62
2021-03-31,68.55
2021-04-01,69.25
2021-04-05,69.25
2021-04-06,70.25
2021-04-07,69.85
2021-04-08,70.43
2021-04-09,71.38
2021-04-12,72.0
2021-04-13,72.4
2021-04-14,71.35
2021-04-15,72.1
2021-04-16,71.12
2021-04-19,72.1
2021-04-20,72.29
2021-04-22,69.55
2021-04-23,70.05
2021-04-26,69.36
2021-04-27,70.87
2021-04-28,67.54
2021-04-29,67.64
2021-04-30,68.67
2021-05-03,67.7
2021-05-04,67.61
2021-05-05,67.67
2021-05-06,67.46
2021-05-07,67.42
2021-05-10,68.47
2021-05-11,68.32
2021-05-12,68.42
2021-05-13,66.81
2021-05-14,65.15
2021-05-17,66.52
2021-05-18,66.46
2021-05-19,65.94
2021-05-20,63.18
2021-05-21,64.85
2021-05-24,64.3
2021-05-25,64.66
2021-05-26,62.22
2021-05-27,62.6
2021-05-28,61.54
2021-05-31,60.73
2021-06-01,59.32
2021-06-02,59.28
2021-06-04,58.6
2021-06-07,59.5
2021-06-08,58.08
2021-06-09,59.7
2021-06-10,58.7
2021-06-11,58.96
2021-06-14,58.46
2021-06-15,58.17
2021-06-16,58.08
2021-06-17,56.36
2021-06-18,57.0
2021-06-21,58.5
2021-06-22,58.7
2021-06-23,58.11
2021-06-24,59.85
2021-06-25,58.41
2021-06-28,59.6
2021-06-29,60.26
2021-06-30,59.81
2021-07-01,60.33
2021-07-02,59.2
2021-07-05,59.5
2021-07-06,59.37
2021-07-07,60.95
2021-07-08,60.98
2021-07-12,60.45
2021-07-13,59.47
2021-07-14,58.78
2021-07-15,57.34
2021-07-16,56.35
2021-07-19,55.86
2021-07-20,56.6
2021-07-21,56.71
2021-07-22,57.0
2021-07-23,56.36
2021-07-26,56.64
2021-07-27,56.09
2021-07-28,55.72
2021-07-29,55.75
2021-07-30,54.07
2021-08-02,54.52
2021-08-03,54.95
2021-08-04,55.1
2021-08-05,54.57
2021-08-06,54.3
2021-08-09,56.37
2021-08-10,56.83
2021-08-11,56.5
2021-08-12,55.71
2021-08-13,56.81
2021-08-16,57.71
2021-08-17,57.3
2021-08-18,56.13
2021-08-19,55.68
2021-08-20,56.85
2021-08-23,57.48
2021-08-24,59.05
2021-08-25,62.26
2021-08-26,61.69
2021-08-27,61.9
2021-08-30,61.52
2021-08-31,61.0
2021-09-01,61.2
2021-09-02,60.74
2021-09-03,61.71
2021-09-06,61.48
2021-09-08,62.59
2021-09-09,62.25
2021-09-10,60.66
2021-09-13,59.92
2021-09-14,60.05
2021-09-15,58.12
2021-09-16,54.78
2021-09-17,52.61
