data_pregao,preco_ultimo
2020-01-02,30.96
2020-01-03,30.97
2020-01-06,31.0
2020-01-07,30.74
2020-01-08,30.12
2020-01-09,30.28
2020-01-10,30.37
2020-01-13,30.71
2020-01-14,30.81
2020-01-15,30.71
2020-01-16,30.85
2020-01-17,31.44
2020-01-20,32.05
2020-01-21,31.85
2020-01-22,31.99
2020-01-23,32.21
2020-01-24,32.02
2020-01-27,31.5
2020-01-28,31.98
2020-01-29,31.77
2020-01-30,31.33
2020-01-31,30.96
2020-02-03,31.15
2020-02-04,31.14
2020-02-05,31.36
2020-02-06,30.85
2020-02-07,30.47
2020-02-10,30.49
2020-02-11,30.81
2020-02-12,31.52
2020-02-13,31.18
2020-02-14,31.04
2020-02-17,31.32
2020-02-18,31.39
2020-02-19,31.47
2020-02-20,30.77
2020-02-21,30.8
2020-02-26,29.7
2020-02-27,29.44
2020-02-28,29.99
2020-03-02,30.27
2020-03-03,30.0
2020-03-04,30.99
2020-03-05,29.91
2020-03-06,29.74
2020-03-09,28.76
2020-03-10,30.29
2020-03-11,29.75
2020-03-12,27.97
2020-03-13,28.59
2020-03-16,26.34
2020-03-17,27.37
2020-03-18,26.29
2020-03-19,25.75
2020-03-20,26.07
2020-03-23,24.54
2020-03-24,24.72
2020-03-25,24.82
2020-03-26,26.0
2020-03-27,25.47
2020-03-30,25.27
2020-03-31,25.83
2020-04-01,25.41
2020-04-02,26.35
2020-04-03,26.5
2020-04-06,27.1
2020-04-07,27.0
2020-04-08,27.04
2020-04-09,26.76
2020-04-13,27.0
2020-04-14,27.5
2020-04-15,27.42
2020-04-16,27.01
2020-04-17,26.78
2020-04-20,26.85
2020-04-22,27.69
2020-04-23,27.88
2020-04-24,27.19
2020-04-27,28.12
2020-04-28,28.3
2020-04-29,27.7
2020-04-30,27.5
2020-05-04,27.4
2020-05-05,27.65
2020-05-06,27.6
2020-05-07,26.81
2020-05-08,27.05
2020-05-11,26.6
2020-05-12,26.35
2020-05-13,26.54
2020-05-14,27.0
2020-05-15,26.9
2020-05-18,27.81
2020-05-19,27.81
2020-05-20,27.09
2020-05-21,27.92
2020-05-22,27.93
2020-05-25,28.15
2020-05-26,28.11
2020-05-27,28.38
2020-05-28,28.5
2020-05-29,28.54
2020-06-01,28.89
2020-06-02,28.97
2020-06-03,28.47
2020-06-04,28.26
2020-06-05,28.71
2020-06-08,28.94
2020-06-09,28.81
2020-06-10,28.99
2020-06-12,28.53
2020-06-15,28.39
2020-06-16,28.34
2020-06-17,28.74
2020-06-18,28.87
2020-06-19,28.97
2020-06-22,28.85
2020-06-23,28.56
2020-06-24,28.19
2020-06-25,28.3
2020-06-26,28.07
2020-06-29,28.67
2020-06-30,28.1
2020-07-01,28.49
2020-07-02,28.41
2020-07-03,28.4
2020-07-06,28.48
2020-07-07,28.46
2020-07-08,28.86
2020-07-09,28.55
2020-07-10,28.49
2020-07-13,28.45
2020-07-14,28.29
2020-07-15,28.32
2020-07-16,28.12
2020-07-17,28.19
2020-07-20,28.32
2020-07-21,28.24
2020-07-22,28.32
2020-07-23,28.17
2020-07-24,28.36
2020-07-27,28.64
2020-07-28,29.0
2020-07-29,28.94
2020-07-30,29.2
2020-07-31,28.96
2020-08-03,28.65
2020-08-04,28.62
2020-08-05,28.37
2020-08-06,28.89
2020-08-07,28.76
2020-08-10,28.93
2020-08-11,28.65
2020-08-12,28.33
2020-08-13,28.62
2020-08-14,29.26
2020-08-17,29.19
2020-08-18,28.13
2020-08-19,28.47
2020-08-20,28.65
2020-08-21,28.32
2020-08-24,28.25
2020-08-25,28.37
2020-08-26,28.17
2020-08-27,28.27
2020-08-28,28.4
2020-08-31,28.21
2020-09-01,28.55
2020-09-02,28.58
2020-09-03,28.33
2020-09-04,28.42
2020-09-08,28.76
2020-09-09,29.24
2020-09-10,28.73
2020-09-11,28.38
2020-09-14,28.6
2020-09-15,28.56
2020-09-16,28.71
2020-09-17,28.62
2020-09-18,28.21
2020-09-21,28.33
2020-09-22,28.33
2020-09-23,28.21
2020-09-24,28.5
2020-09-25,28.3
2020-09-28,27.94
2020-09-29,28.0
2020-09-30,27.96
2020-10-01,28.12
2020-10-02,28.0
2020-10-05,28.07
2020-10-06,28.02
2020-10-07,28.12
2020-10-08,28.14
2020-10-09,28.0
2020-10-13,27.98
2020-10-14,28.06
2020-10-15,28.01
2020-10-16,28.33
2020-10-19,28.5
2020-10-20,28.71
2020-10-21,28.64
2020-10-22,28.78
2020-10-23,28.59
2020-10-26,28.61
2020-10-27,28.75
2020-10-28,28.39
