data_pregao,preco_ultimo
2020-01-02,15.77
2020-01-03,15.8
2020-01-06,15.78
2020-01-07,15.95
2020-01-08,16.12
2020-01-09,15.9
2020-01-10,16.32
2020-01-13,16.33
2020-01-14,16.4
2020-01-15,16.41
2020-01-16,16.59
2020-01-17,16.64
2020-01-20,16.29
2020-01-21,16.7
2020-01-22,17.0
2020-01-23,16.77
2020-01-24,16.39
2020-01-27,16.5
2020-01-28,17.02
2020-01-29,16.87
2020-01-30,16.72
2020-01-31,16.75
2020-02-03,17.06
2020-02-04,16.91
2020-02-05,16.8
2020-02-06,16.63
2020-02-07,16.66
2020-02-10,16.33
2020-02-11,16.81
2020-02-12,17.49
2020-02-13,17.39
2020-02-14,16.89
2020-02-17,17.19
2020-02-18,17.11
2020-02-19,16.96
2020-02-20,16.91
2020-02-21,17.06
2020-02-26,16.64
2020-02-27,16.17
2020-02-28,16.13
2020-03-02,16.6
2020-03-03,16.47
2020-03-04,17.2
2020-03-05,16.72
2020-03-06,16.31
2020-03-09,15.11
2020-03-10,15.51
2020-03-11,15.7
2020-03-12,13.38
2020-03-13,14.32
2020-03-16,12.96
2020-03-17,14.14
2020-03-18,13.55
2020-03-19,14.9
2020-03-20,13.88
2020-03-23,12.3
2020-03-24,12.2
2020-03-25,12.76
2020-03-26,13.59
2020-03-27,12.77
2020-03-30,13.27
2020-03-31,12.44
2020-04-01,12.77
2020-04-02,12.59
2020-04-03,12.35
2020-04-06,13.38
2020-04-07,13.38
2020-04-08,13.54
2020-04-09,13.31
2020-04-13,13.46
2020-04-14,13.35
2020-04-15,12.94
2020-04-16,13.24
2020-04-17,13.02
2020-04-20,12.82
2020-04-22,13.48
2020-04-23,13.35
2020-04-24,12.2
2020-04-27,12.55
2020-04-28,12.54
2020-04-29,13.09
2020-04-30,12.76
2020-05-04,13.45
2020-05-05,13.9
2020-05-06,13.59
2020-05-07,13.0
2020-05-08,13.16
2020-05-11,12.96
2020-05-12,12.64
2020-05-13,12.7
2020-05-14,12.82
2020-05-15,12.2
2020-05-18,12.91
2020-05-19,12.47
2020-05-20,12.88
2020-05-21,13.17
2020-05-22,12.8
2020-05-25,13.55
2020-05-26,13.43
2020-05-27,13.6
2020-05-28,13.41
2020-05-29,13.62
2020-06-01,13.51
2020-06-02,13.77
2020-06-03,13.67
2020-06-04,14.13
2020-06-05,14.6
2020-06-08,14.44
2020-06-09,14.48
2020-06-10,14.3
2020-06-12,14.34
2020-06-15,14.34
2020-06-16,14.75
2020-06-17,14.63
2020-06-18,14.61
2020-06-19,14.48
2020-06-22,14.4
2020-06-23,14.2
2020-06-24,13.99
2020-06-25,14.2
2020-06-26,14.03
2020-06-29,13.77
2020-06-30,14.2
2020-07-01,14.47
2020-07-02,14.55
2020-07-03,15.25
2020-07-06,15.3
2020-07-07,14.93
2020-07-08,15.26
2020-07-09,14.72
2020-07-10,14.91
2020-07-13,14.79
2020-07-14,14.82
2020-07-15,15.16
2020-07-16,15.55
2020-07-17,15.83
2020-07-20,16.8
2020-07-21,16.6
2020-07-22,16.13
2020-07-23,14.77
2020-07-24,14.41
2020-07-27,14.57
2020-07-28,14.88
2020-07-29,14.89
2020-07-30,14.8
2020-07-31,15.75
2020-08-03,15.28
2020-08-04,15.07
2020-08-05,14.88
2020-08-06,15.2
2020-08-07,15.42
2020-08-10,15.8
2020-08-11,15.52
2020-08-12,15.29
2020-08-13,15.11
2020-08-14,15.24
2020-08-17,14.66
2020-08-18,14.87
2020-08-19,14.71
2020-08-20,14.71
2020-08-21,14.75
2020-08-24,14.82
2020-08-25,14.75
2020-08-26,14.62
2020-08-27,14.53
2020-08-28,14.73
2020-08-31,14.32
2020-09-01,15.0
2020-09-02,15.02
2020-09-03,14.81
2020-09-04,14.74
2020-09-08,14.99
2020-09-09,15.28
2020-09-10,14.77
2020-09-11,14.44
2020-09-14,14.52
2020-09-15,14.4
2020-09-16,14.23
2020-09-17,14.25
2020-09-18,14.03
2020-09-21,13.86
2020-09-22,13.85
2020-09-23,13.38
2020-09-24,13.54
2020-09-25,13.58
2020-09-28,13.13
2020-09-29,13.14
2020-09-30,13.06
2020-10-01,13.07
2020-10-02,12.97
2020-10-05,13.16
2020-10-06,13.18
2020-10-07,13.15
2020-10-08,13.58
2020-10-09,13.46
2020-10-13,13.25
2020-10-14,13.19
2020-10-15,13.07
2020-10-16,12.88
2020-10-19,12.82
2020-10-20,12.84
2020-10-21,12.76
2020-10-22,12.99
2020-10-23,12.94
2020-10-26,12.85
2020-10-27,12.63
2020-10-28,12.31
2020-10-29,12.23
2020-10-30,11.85
2020-11-03,11.64
2020-11-04,12.06
2020-11-05,12.16
2020-11-06,12.18
2020-11-09,12.76
2020-11-10,12.88
2020-11-11,12.67
2020-11-12,12.54
2020-11-13,13.02
2020-11-16,13.29
2020-11-17,13.54
2020-11-18,13.83
2020-11-19,13.9
2020-11-20,13.77
2020-11-23,13.73
2020-11-24,13.56
2020-11-25,13.46
2020-11-26,13.63
2020-11-27,14.1
2020-11-30,13.49
2020-12-01,13.78
2020-12-02,13.96
2020-12-03,14.25
2020-12-04,14.38
2020-12-07,14.14
2020-12-08,14.27
2020-12-09,14.32
2020-12-10,14.22
2020-12-11,14.54
2020-12-14,14.61
2020-12-15,14.39
2020-12-16,14.25
2020-12-17,14.41
2020-12-18,14.44
2020-12-21,14.27
2020-12-22,14.34
2020-12-23,14.51
2020-12-28,14.64
2020-12-29,14.88
2020-12-30,14.65
2021-01-04,14.43
2021-01-05,14.1
2021-01-06,13.71
2021-01-07,13.49
2021-01-08,14.1
2021-01-11,14.0
2021-01-12,13.99
2021-01-13,13.96
2021-01-14,14.14
2021-01-15,14.04
2021-01-18,13.92
2021-01-19,13.72
2021-01-20,13.54
2021-01-21,13.3
2021-01-22,13.23
2021-01-26,13.09
2021-01-27,13.32
2021-01-28,13.55
2021-01-29,13.3
2021-02-01,13.31
2021-02-02,13.6
2021-02-03,14.08
2021-02-04,13.85
2021-02-05,13.85
2021-02-08,13.75
2021-02-09,13.68
2021-02-10,13.81
2021-02-11,14.56
2021-02-12,14.4
2021-02-17,14.17
2021-02-18,13.65
2021-02-19,13.7
2021-02-22,13.36
2021-02-23,13.22
2021-02-24,13.3
2021-02-25,13.17
2021-02-26,12.8
2021-03-01,12.72
2021-03-02,12.74
2021-03-03,12.86
2021-03-04,13.05
2021-03-05,13.38
2021-03-08,12.99
2021-03-09,12.86
2021-03-10,12.81
2021-03-11,12.96
2021-03-12,13.07
2021-03-15,13.19
2021-03-16,13.19
2021-03-17,13.29
2021-03-18,13.18
2021-03-19,13.24
2021-03-22,13.13
2021-03-23,13.03
2021-03-24,12.6
2021-03-25,12.76
2021-03-26,12.84
2021-03-29,12.71
2021-03-30,12.88
2021-03-31,12.67
2021-04-01,12.47
2021-04-05,12.33
2021-04-06,12.24
2021-04-07,12.59
2021-04-08,12.6
2021-04-09,12.51
2021-04-12,12.52
2021-04-13,12.3
2021-04-14,12.28
2021-04-15,12.33
2021-04-16,12.27
2021-04-19,12.0
2021-04-20,11.93
2021-04-22,11.85
2021-04-23,12.24
2021-04-26,12.05
2021-04-27,12.03
2021-04-28,12.2
2021-04-29,12.22
2021-04-30,12.19
2021-05-03,12.48
2021-05-04,12.11
