data_pregao,preco_ultimo
2020-01-02,69.15
2020-01-03,70.62
2020-01-06,69.01
2020-01-07,69.3
2020-01-08,68.37
2020-01-09,69.5
2020-01-10,68.98
2020-01-13,69.65
2020-01-14,69.65
2020-01-15,69.82
2020-01-16,69.83
2020-01-17,72.36
2020-01-20,72.88
2020-01-21,72.2
2020-01-22,74.08
2020-01-23,74.87
2020-01-24,73.46
2020-01-27,72.26
2020-01-28,74.55
2020-01-29,73.5
2020-01-30,72.7
2020-01-31,74.65
2020-02-03,78.42
2020-02-04,78.0
2020-02-05,78.25
2020-02-06,76.67
2020-02-07,75.46
2020-02-10,74.53
2020-02-11,75.21
2020-02-12,78.4
2020-02-13,78.1
2020-02-14,77.7
2020-02-17,83.72
2020-02-18,82.6
2020-02-19,82.25
2020-02-20,82.24
2020-02-21,83.03
2020-02-26,78.4
2020-02-27,73.64
2020-02-28,71.01
2020-03-02,74.18
2020-03-03,73.29
2020-03-04,74.0
2020-03-05,69.5
2020-03-06,64.94
2020-03-09,58.32
2020-03-10,62.28
2020-03-11,58.7
2020-03-12,51.25
2020-03-13,57.64
2020-03-16,49.52
2020-03-17,50.64
2020-03-18,42.87
2020-03-19,42.1
2020-03-20,43.73
2020-03-23,43.72
2020-03-24,45.91
2020-03-25,55.0
2020-03-26,53.17
2020-03-27,45.52
2020-03-30,46.94
2020-03-31,46.68
2020-04-01,44.77
2020-04-02,45.6
2020-04-03,43.94
2020-04-06,46.71
2020-04-07,50.9
2020-04-08,54.49
2020-04-09,53.75
2020-04-13,55.65
2020-04-14,55.01
2020-04-15,56.4
2020-04-16,58.08
2020-04-17,59.03
2020-04-20,59.02
2020-04-22,60.3
2020-04-23,58.61
2020-04-24,53.1
2020-04-27,58.44
2020-04-28,57.96
2020-04-29,58.8
2020-04-30,59.15
2020-05-04,20.0
2020-05-05,20.27
2020-05-06,19.69
2020-05-07,18.21
2020-05-08,18.5
2020-05-11,17.97
2020-05-12,17.26
2020-05-13,17.6
2020-05-14,17.74
2020-05-15,18.7
2020-05-18,19.14
2020-05-19,19.13
2020-05-20,19.42
2020-05-21,20.13
2020-05-22,19.73
2020-05-25,20.3
2020-05-26,20.67
2020-05-27,20.32
2020-05-28,20.5
2020-05-29,20.11
2020-06-01,20.44
2020-06-02,20.75
2020-06-03,21.48
2020-06-04,21.69
2020-06-05,20.76
2020-06-08,21.03
2020-06-09,21.11
2020-06-10,21.49
2020-06-12,21.55
2020-06-15,21.17
2020-06-16,21.03
2020-06-17,22.15
2020-06-18,22.74
2020-06-19,22.59
2020-06-22,22.64
2020-06-23,22.84
2020-06-24,22.41
2020-06-25,23.07
2020-06-26,22.26
2020-06-29,22.42
2020-06-30,23.15
2020-07-01,23.75
2020-07-02,24.13
2020-07-03,24.2
2020-07-06,24.36
2020-07-07,24.52
2020-07-08,24.32
2020-07-09,25.09
2020-07-10,25.07
2020-07-13,24.67
2020-07-14,24.68
2020-07-15,25.0
2020-07-16,25.14
2020-07-17,25.71
2020-07-20,26.39
2020-07-21,26.27
2020-07-22,26.3
2020-07-23,26.23
2020-07-24,26.36
2020-07-27,26.24
2020-07-28,25.95
2020-07-29,26.09
2020-07-30,26.12
2020-07-31,25.83
2020-08-03,25.83
2020-08-04,25.94
2020-08-05,26.0
2020-08-06,28.82
2020-08-07,28.78
2020-08-10,26.65
2020-08-11,27.51
2020-08-12,28.0
2020-08-13,27.89
2020-08-14,27.77
2020-08-17,27.0
2020-08-18,28.0
2020-08-19,27.7
2020-08-20,27.54
2020-08-21,28.1
2020-08-24,27.81
2020-08-25,27.84
2020-08-26,28.1
2020-08-27,28.21
2020-08-28,28.8
2020-08-31,28.86
2020-09-01,28.85
2020-09-02,29.85
2020-09-03,28.12
2020-09-04,27.61
2020-09-08,27.7
2020-09-09,28.88
2020-09-10,28.24
2020-09-11,27.65
