data_pregao,preco_ultimo
2020-01-02,25.6
2020-01-03,25.3
2020-01-06,24.75
2020-01-07,25.3
2020-01-08,25.1
2020-01-09,25.15
2020-01-10,25.09
2020-01-13,25.32
2020-01-14,25.6
2020-01-15,25.37
2020-01-16,25.42
2020-01-17,26.27
2020-01-20,26.74
2020-01-21,26.35
2020-01-22,27.41
2020-01-23,27.81
2020-01-24,27.53
2020-01-27,26.45
2020-01-28,26.95
2020-01-29,26.11
2020-01-30,25.96
2020-01-31,25.26
2020-02-03,25.36
2020-02-04,25.13
2020-02-05,25.41
2020-02-06,25.09
2020-02-07,24.34
2020-02-10,23.94
2020-02-11,25.1
2020-02-12,25.08
2020-02-13,24.52
2020-02-14,24.15
2020-02-17,24.63
2020-02-18,24.1
2020-02-19,23.86
2020-02-20,22.11
2020-02-21,21.55
2020-02-26,19.79
2020-02-27,19.15
2020-02-28,19.08
2020-03-02,19.72
2020-03-03,19.98
2020-03-04,19.95
2020-03-05,18.1
2020-03-06,17.2
2020-03-09,15.41
2020-03-10,17.88
2020-03-11,16.67
2020-03-12,13.13
2020-03-13,16.2
2020-03-16,12.74
2020-03-17,14.0
2020-03-18,12.07
2020-03-19,12.2
2020-03-20,12.33
2020-03-23,10.69
2020-03-24,11.97
2020-03-25,12.31
2020-03-26,14.31
2020-03-27,13.1
2020-03-30,12.6
2020-03-31,12.53
2020-04-01,11.46
2020-04-02,11.53
2020-04-03,11.12
2020-04-06,12.43
2020-04-07,12.87
2020-04-08,13.72
2020-04-09,14.24
2020-04-13,14.53
2020-04-14,14.1
2020-04-15,14.19
2020-04-16,14.21
2020-04-17,14.05
2020-04-20,14.2
2020-04-22,14.4
2020-04-23,14.54
2020-04-24,13.49
2020-04-27,14.31
2020-04-28,14.58
2020-04-29,15.37
2020-04-30,14.5
2020-05-04,14.6
2020-05-05,14.43
2020-05-06,14.05
2020-05-07,13.3
2020-05-08,13.88
2020-05-11,13.41
2020-05-12,13.73
2020-05-13,13.48
2020-05-14,15.0
2020-05-15,14.16
2020-05-18,15.09
2020-05-19,15.14
2020-05-20,15.46
2020-05-21,16.45
2020-05-22,16.1
2020-05-25,17.0
2020-05-26,17.1
2020-05-27,17.31
2020-05-28,17.39
2020-05-29,17.12
2020-06-01,17.19
2020-06-02,18.94
2020-06-03,18.76
2020-06-04,18.63
2020-06-05,18.68
2020-06-08,19.13
2020-06-09,19.27
2020-06-10,18.62
2020-06-12,17.99
2020-06-15,17.86
2020-06-16,17.5
2020-06-17,18.1
2020-06-18,18.84
2020-06-19,18.66
2020-06-22,18.34
2020-06-23,18.46
2020-06-24,18.49
2020-06-25,18.31
2020-06-26,17.64
2020-06-29,18.0
2020-06-30,18.38
2020-07-01,18.8
2020-07-02,18.64
2020-07-03,18.43
2020-07-06,18.54
2020-07-07,18.04
2020-07-08,18.77
2020-07-09,18.59
2020-07-10,18.51
2020-07-13,17.7
2020-07-14,18.84
2020-07-15,19.28
2020-07-16,19.34
2020-07-17,19.5
2020-07-20,19.75
2020-07-21,19.8
2020-07-22,19.73
2020-07-23,19.15
2020-07-24,19.15
2020-07-27,19.39
