data_pregao,preco_ultimo
2020-01-02,9.7
2020-01-03,9.6
2020-01-06,9.42
2020-01-07,9.51
2020-01-08,9.39
2020-01-09,9.33
2020-01-10,9.14
2020-01-13,9.54
2020-01-14,9.58
2020-01-15,9.39
2020-01-16,9.67
2020-01-17,9.76
2020-01-20,9.75
2020-01-21,9.55
2020-01-22,10.88
2020-01-23,11.11
2020-01-24,10.82
2020-01-27,10.05
2020-01-28,10.04
2020-01-29,9.88
2020-01-30,9.77
2020-01-31,9.63
2020-02-03,9.7
2020-02-04,9.79
2020-02-05,10.27
2020-02-06,10.04
2020-02-07,9.62
2020-02-10,9.29
2020-02-11,9.92
2020-02-12,9.86
2020-02-13,10.35
2020-02-14,9.9
2020-02-17,9.73
2020-02-18,9.77
2020-02-19,9.72
2020-02-20,9.46
2020-02-21,9.17
2020-02-26,8.22
2020-02-27,8.19
2020-02-28,8.17
2020-03-02,8.47
2020-03-03,8.29
2020-03-04,8.87
2020-03-05,8.4
2020-03-06,7.87
2020-03-09,6.6
2020-03-10,7.12
2020-03-11,6.5
2020-03-12,5.6
2020-03-13,6.52
2020-03-16,5.88
2020-03-17,5.84
2020-03-18,4.6
2020-03-19,4.5
2020-03-20,4.32
2020-03-23,3.8
2020-03-24,4.02
2020-03-25,4.88
2020-03-26,5.14
2020-03-27,4.89
2020-03-30,4.78
2020-03-31,4.92
2020-04-01,4.69
2020-04-02,4.63
2020-04-03,4.08
2020-04-06,4.07
2020-04-07,4.11
2020-04-08,4.39
2020-04-09,4.33
2020-04-13,4.51
2020-04-14,4.77
2020-04-15,4.7
2020-04-16,4.55
2020-04-17,4.63
2020-04-20,4.67
2020-04-22,4.82
2020-04-23,4.76
2020-04-24,4.34
2020-04-27,4.34
2020-04-28,4.71
2020-04-29,5.06
2020-04-30,4.8
2020-05-04,4.68
2020-05-05,4.61
2020-05-06,4.59
2020-05-07,4.74
2020-05-08,4.81
2020-05-11,4.76
2020-05-12,4.59
2020-05-13,4.35
2020-05-14,4.55
2020-05-15,4.51
2020-05-18,4.9
2020-05-19,4.83
2020-05-20,5.05
2020-05-21,4.97
2020-05-22,4.72
2020-05-25,4.88
2020-05-26,4.9
2020-05-27,5.7
2020-05-28,6.0
2020-05-29,6.15
2020-06-01,6.19
2020-06-02,6.92
2020-06-03,6.9
2020-06-04,6.88
2020-06-05,6.9
2020-06-08,7.45
2020-06-09,7.3
2020-06-10,6.89
2020-06-12,6.41
2020-06-15,6.36
2020-06-16,6.55
2020-06-17,6.77
2020-06-18,6.8
2020-06-19,6.98
2020-06-22,6.96
2020-06-23,7.68
2020-06-24,7.33
2020-06-25,7.29
2020-06-26,7.1
2020-06-29,7.15
2020-06-30,7.27
2020-07-01,7.34
2020-07-02,7.35
2020-07-03,7.46
2020-07-06,7.61
2020-07-07,7.45
2020-07-08,7.7
2020-07-09,7.47
2020-07-10,7.43
2020-07-13,7.39
2020-07-14,7.52
2020-07-15,7.51
2020-07-16,7.39
2020-07-17,7.49
2020-07-20,7.46
2020-07-21,7.39
2020-07-22,7.51
