data_pregao,preco_ultimo
2020-01-02,54.33
2020-01-03,53.93
2020-01-06,53.61
2020-01-07,54.0
2020-01-08,54.01
2020-01-09,53.3
2020-01-10,53.36
2020-01-13,55.3
2020-01-14,55.64
2020-01-15,55.46
2020-01-16,55.17
2020-01-17,57.0
2020-01-20,57.36
2020-01-21,56.03
2020-01-22,56.3
2020-01-23,55.5
2020-01-24,53.8
2020-01-27,50.51
2020-01-28,51.2
2020-01-29,50.75
2020-01-30,51.5
2020-01-31,50.27
2020-02-03,50.91
2020-02-04,52.27
2020-02-05,52.99
2020-02-06,53.28
2020-02-07,52.1
2020-02-10,50.19
2020-02-11,52.05
2020-02-12,53.07
2020-02-13,52.14
2020-02-14,51.0
2020-02-17,53.41
2020-02-18,52.8
2020-02-19,52.81
2020-02-20,52.2
2020-02-21,50.13
2020-02-26,45.35
2020-02-27,44.47
2020-02-28,44.31
2020-03-02,46.36
2020-03-03,46.35
2020-03-04,48.57
2020-03-05,46.85
2020-03-06,44.61
2020-03-09,37.83
2020-03-10,44.81
2020-03-11,40.74
2020-03-12,35.35
2020-03-13,42.9
2020-03-16,39.04
2020-03-17,41.51
2020-03-18,38.65
2020-03-19,36.4
2020-03-20,35.19
2020-03-23,34.1
2020-03-24,37.64
2020-03-25,40.85
2020-03-26,42.0
2020-03-27,40.1
2020-03-30,41.77
2020-03-31,43.22
2020-04-01,43.37
2020-04-02,42.78
2020-04-03,40.5
2020-04-06,43.13
2020-04-07,43.78
2020-04-08,43.51
2020-04-09,43.28
2020-04-13,44.57
2020-04-14,44.53
2020-04-15,43.19
2020-04-16,42.76
2020-04-17,44.0
2020-04-20,42.46
2020-04-22,42.9
2020-04-23,43.51
2020-04-24,43.76
2020-04-27,44.55
2020-04-28,44.61
2020-04-29,46.73
2020-04-30,44.86
2020-05-04,43.93
2020-05-05,43.7
2020-05-06,44.33
2020-05-07,46.05
2020-05-08,48.85
2020-05-11,47.73
2020-05-12,47.46
2020-05-13,48.54
2020-05-14,48.09
2020-05-15,48.05
2020-05-18,51.26
2020-05-19,52.44
2020-05-20,52.5
2020-05-21,51.13
2020-05-22,50.27
2020-05-25,50.1
2020-05-26,49.2
2020-05-27,50.64
2020-05-28,50.09
2020-05-29,53.0
2020-06-01,53.42
2020-06-02,53.42
2020-06-03,53.66
2020-06-04,55.66
2020-06-05,54.61
